Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0	3,38471E+6	0	3,38471E+6	
0,005	3,38576E+6	0,005	3,38576E+6	
0,01	3,38462E+6	0,01	3,38462E+6	
0,015	3,38623E+6	0,015	3,38623E+6	
0,02	3,38183E+6	0,02	3,38183E+6	
0,025	3,38108E+6	0,025	3,38108E+6	
0,03	3,37901E+6	0,03	3,37901E+6	
0,035	3,37644E+6	0,035	3,37644E+6	
0,04	3,37492E+6	0,04	3,37492E+6	
0,045	3,37221E+6	0,045	3,37221E+6	
0,05	3,36994E+6	0,05	3,36994E+6	
0,055	3,3694E+6	0,055	3,3694E+6	
0,06	3,36443E+6	0,06	3,36443E+6	
0,065	3,36574E+6	0,065	3,36574E+6	
0,07	3,36766E+6	0,07	3,36766E+6	
0,075	3,36381E+6	0,075	3,36381E+6	
0,08	3,36543E+6	0,08	3,36543E+6	
0,085	3,36485E+6	0,085	3,36485E+6	
0,09	3,36565E+6	0,09	3,36565E+6	
0,095	3,3651E+6	0,095	3,3651E+6	
0,1	3,36827E+6	0,1	3,36827E+6	
0,105	3,36717E+6	0,105	3,36717E+6	
0,11	3,36809E+6	0,11	3,36809E+6	
0,115	3,36991E+6	0,115	3,36991E+6	
0,12	3,3702E+6	0,12	3,3702E+6	
0,125	3,37165E+6	0,125	3,37165E+6	
0,13	3,37028E+6	0,13	3,37028E+6	
0,135	3,37635E+6	0,135	3,37635E+6	
0,14	3,37418E+6	0,14	3,37418E+6	
0,145	3,37649E+6	0,145	3,37649E+6	
0,15	3,37861E+6	0,15	3,37861E+6	
0,155	3,37963E+6	0,155	3,37963E+6	
0,16	3,38213E+6	0,16	3,38213E+6	
0,165	3,38264E+6	0,165	3,38264E+6	
0,17	3,38306E+6	0,17	3,38306E+6	
0,175	3,38143E+6	0,175	3,38143E+6	
0,18	3,38119E+6	0,18	3,38119E+6	
0,185	3,38068E+6	0,185	3,38068E+6	
0,19	3,37725E+6	0,19	3,37725E+6	
0,195	3,37787E+6	0,195	3,37787E+6	
0,2	3,37401E+6	0,2	3,37401E+6	
0,205	3,37539E+6	0,205	3,37539E+6	
0,21	3,37376E+6	0,21	3,37376E+6	
0,215	3,37326E+6	0,215	3,37326E+6	
0,22	3,37214E+6	0,22	3,37214E+6	
0,225	3,36865E+6	0,225	3,36865E+6	
0,23	3,36821E+6	0,23	3,36821E+6	
0,235	3,36959E+6	0,235	3,36959E+6	
0,24	3,3659E+6	0,24	3,3659E+6	
0,245	3,36722E+6	0,245	3,36722E+6	
0,25	3,36697E+6	0,25	3,36697E+6	
0,255	3,36905E+6	0,255	3,36905E+6	
0,26	3,36616E+6	0,26	3,36616E+6	
0,265	3,36431E+6	0,265	3,36431E+6	
0,27	3,36824E+6	0,27	3,36824E+6	
0,275	3,36488E+6	0,275	3,36488E+6	
0,28	3,3691E+6	0,28	3,3691E+6	
0,285	3,36675E+6	0,285	3,36675E+6	
0,29	3,36948E+6	0,29	3,36948E+6	
0,295	3,3721E+6	0,295	3,3721E+6	
0,3	3,37287E+6	0,3	3,37287E+6	
0,305	3,37381E+6	0,305	3,37381E+6	
0,31	3,37477E+6	0,31	3,37477E+6	
0,315	3,37572E+6	0,315	3,37572E+6	
0,32	3,37608E+6	0,32	3,37608E+6	
0,325	3,37648E+6	0,325	3,37648E+6	
0,33	3,37636E+6	0,33	3,37636E+6	
0,335	3,3803E+6	0,335	3,3803E+6	
0,34	3,37717E+6	0,34	3,37717E+6	
0,345	3,37766E+6	0,345	3,37766E+6	
0,35	3,37875E+6	0,35	3,37875E+6	
0,355	3,3785E+6	0,355	3,3785E+6	
0,36	3,37964E+6	0,36	3,37964E+6	
0,365	3,37625E+6	0,365	3,37625E+6	
0,37	3,37738E+6	0,37	3,37738E+6	
0,375	3,37415E+6	0,375	3,37415E+6	
0,38	3,37301E+6	0,38	3,37301E+6	
0,385	3,37376E+6	0,385	3,37376E+6	
0,39	3,37277E+6	0,39	3,37277E+6	
0,395	3,37277E+6	0,395	3,37277E+6	
0,4	3,37146E+6	0,4	3,37146E+6	
0,405	3,36926E+6	0,405	3,36926E+6	
0,41	3,36983E+6	0,41	3,36983E+6	
0,415	3,37038E+6	0,415	3,37038E+6	
0,42	3,37043E+6	0,42	3,37043E+6	
0,425	3,36794E+6	0,425	3,36794E+6	
0,43	3,36706E+6	0,43	3,36706E+6	
0,435	3,37002E+6	0,435	3,37002E+6	
0,44	3,36915E+6	0,44	3,36915E+6	
0,445	3,372E+6	0,445	3,372E+6	
0,45	3,3717E+6	0,45	3,3717E+6	
0,455	3,37166E+6	0,455	3,37166E+6	
0,46	3,37141E+6	0,46	3,37141E+6	
0,465	3,3713E+6	0,465	3,3713E+6	
0,47	3,3727E+6	0,47	3,3727E+6	
0,475	3,36992E+6	0,475	3,36992E+6	
0,48	3,37447E+6	0,48	3,37447E+6	
0,485	3,37448E+6	0,485	3,37448E+6	
0,49	3,37385E+6	0,49	3,37385E+6	
0,495	3,37351E+6	0,495	3,37351E+6	
0,5	3,37475E+6	0,5	3,37475E+6	
0,505	3,37634E+6	0,505	3,37634E+6	
0,51	3,37479E+6	0,51	3,37479E+6	
0,515	3,37451E+6	0,515	3,37451E+6	
0,52	3,37323E+6	0,52	3,37323E+6	
0,525	3,37509E+6	0,525	3,37509E+6	
0,53	3,37631E+6	0,53	3,37631E+6	
0,535	3,37258E+6	0,535	3,37258E+6	
0,54	3,37674E+6	0,54	3,37674E+6	
0,545	3,37432E+6	0,545	3,37432E+6	
0,55	3,37654E+6	0,55	3,37654E+6	
0,555	3,3732E+6	0,555	3,3732E+6	
0,56	3,37518E+6	0,56	3,37518E+6	
0,565	3,37171E+6	0,565	3,37171E+6	
0,57	3,37296E+6	0,57	3,37296E+6	
0,575	3,37158E+6	0,575	3,37158E+6	
0,58	3,37087E+6	0,58	3,37087E+6	
0,585	3,37169E+6	0,585	3,37169E+6	
0,59	3,37042E+6	0,59	3,37042E+6	
0,595	3,3677E+6	0,595	3,3677E+6	
