amplitude = 1V = 7.5*1 GHz, offset = -2V, dt=1e-5, dV=1e-4

Série 1 : ~4000 iterations
Time - Filtered	Amplitude - Filtered	
0	2,0698E+7	
1	2,07254E+7	
2	2,07333E+7	
3	2,07428E+7	
4	2,07791E+7	
5	2,07831E+7	
6	2,08005E+7	
7	2,08249E+7	
8	2,08199E+7	
9	2,08229E+7	
10	2,08348E+7	
11	2,08687E+7	
12	2,08697E+7	
13	2,08741E+7	
14	2,0895E+7	
15	2,09104E+7	
16	2,09254E+7	
17	2,09313E+7	
18	2,09393E+7	
19	2,09522E+7	
20	2,09592E+7	
21	2,09582E+7	
22	2,09871E+7	
23	2,0991E+7	
24	2,0996E+7	
25	2,10134E+7	
26	2,10388E+7	
27	2,10458E+7	
28	2,10662E+7	
29	2,10736E+7	
30	2,10776E+7	
31	2,10821E+7	
32	2,1096E+7	
33	2,1097E+7	
34	2,1108E+7	
35	2,11299E+7	
36	2,11428E+7	
37	2,11527E+7	
38	2,11562E+7	
39	2,11776E+7	
40	2,1196E+7	
41	2,12085E+7	
42	2,12234E+7	
43	2,12259E+7	
44	2,12284E+7	
45	2,12274E+7	
46	2,12333E+7	
47	2,12527E+7	
48	2,12527E+7	
49	2,12821E+7	
50	2,12831E+7	
51	2,12995E+7	
52	2,1309E+7	
53	2,13025E+7	
54	2,13144E+7	
55	2,13244E+7	
56	2,13219E+7	
57	2,13468E+7	
58	2,13572E+7	
59	2,13716E+7	
60	2,13662E+7	
61	2,13781E+7	
62	2,13801E+7	
63	2,13935E+7	
64	2,14095E+7	
65	2,14179E+7	
66	2,14224E+7	
67	2,14368E+7	
68	2,14602E+7	
69	2,14776E+7	
70	2,14667E+7	
71	2,14891E+7	
72	2,15005E+7	
73	2,15244E+7	
74	2,15438E+7	
75	2,15592E+7	
76	2,15791E+7	
77	2,15975E+7	
78	2,1602E+7	
79	2,15995E+7	
80	2,1607E+7	
81	2,16333E+7	
82	2,16517E+7	
83	2,16363E+7	
84	2,16507E+7	
85	2,16498E+7	
86	2,16701E+7	
87	2,16607E+7	
88	2,16687E+7	
89	2,16876E+7	
90	2,17214E+7	
91	2,17463E+7	
92	2,17602E+7	
93	2,17801E+7	
94	2,1799E+7	
95	2,18035E+7	
96	2,1804E+7	
97	2,1809E+7	
98	2,18219E+7	
99	2,18303E+7	
100	2,18279E+7	
101	2,18254E+7	
102	2,18234E+7	
103	2,18418E+7	
104	2,18602E+7	
105	2,18552E+7	
106	2,18662E+7	
107	2,18731E+7	
108	2,1891E+7	
109	2,1896E+7	
110	2,191E+7	
111	2,19279E+7	
112	2,19498E+7	
113	2,19617E+7	
114	2,19741E+7	
