f ESR (GHz)	Amplitude - ESR	I (uW)	PL
2.6	6.04129E+6	20	4,04E+05
2.6012	6.04129E+6	49	1,09E+06
2.6024	6.03628E+6	74	1,63E+06
2.6036	6.04158E+6	101	2,20E+06
2.6048	6.05025E+6	200	4,05E+06
2.606	6.04203E+6	302	5,62E+06
2.6072	6.04153E+6	402	6,90E+06
2.6084	6.04803E+6	504	7,94E+06
2.6096	6.04199E+6	602	8,73E+06
2.6108	6.04061E+6		
2.612	6.03368E+6		
2.6132	6.033E+6		
2.6144	6.03898E+6		
2.6156	6.03929E+6		
2.6168	6.03913E+6		
2.618	6.04028E+6		
2.6192	6.04544E+6		
2.6204	6.05026E+6		
2.6216	6.04225E+6		
2.6228	6.04436E+6		
2.624	6.04058E+6		
2.6252	6.03748E+6		
2.6264	6.04326E+6		
2.6276	6.03358E+6		
2.6288	6.04011E+6		
2.63	6.04481E+6		
2.6312	6.03927E+6		
2.6324	6.04602E+6		
2.6336	6.0375E+6		
2.6348	6.04663E+6		
2.636	6.04563E+6		
2.6372	6.03445E+6		
2.6384	6.03974E+6		
2.6396	6.04558E+6		
2.6408	6.04176E+6		
2.642	6.04266E+6		
2.6432	6.03705E+6		
2.6444	6.04377E+6		
2.6456	6.03955E+6		
2.6468	6.04157E+6		
2.648	6.03675E+6		
2.6492	6.03182E+6		
2.6504	6.03033E+6		
2.6516	6.02838E+6		
2.6528	6.03816E+6		
2.654	6.01749E+6		
2.6552	6.01685E+6		
2.6564	6.01395E+6		
2.6576	6.00726E+6		
2.6588	6.0065E+6		
2.66	6.00603E+6		
2.6612	6.00083E+6		
2.6624	6.00187E+6		
2.6636	6.01657E+6		
2.6648	6.00935E+6		
2.666	6.03268E+6		
2.6672	6.02439E+6		
2.6684	6.0337E+6		
2.6696	6.02972E+6		
2.6708	6.03675E+6		
2.672	6.0398E+6		
2.6732	6.03649E+6		
2.6744	6.03777E+6		
2.6756	6.04836E+6		
2.6768	6.04221E+6		
2.678	6.04213E+6		
2.6792	6.04599E+6		
2.6804	6.03818E+6		
2.6816	6.04025E+6		
2.6828	6.04509E+6		
2.684	6.03658E+6		
2.6852	6.03129E+6		
2.6864	6.03833E+6		
2.6876	6.03251E+6		
2.6888	6.02624E+6		
2.69	6.02574E+6		
2.6912	6.01757E+6		
2.6924	6.0087E+6		
2.6936	6.02577E+6		
2.6948	6.00149E+6		
2.696	6.00055E+6		
2.6972	5.98813E+6		
2.6984	5.98924E+6		
2.6996	5.98111E+6		
2.7008	5.98088E+6		
2.702	5.97605E+6		
2.7032	5.97965E+6		
2.7044	5.995E+6		
2.7056	5.99511E+6		
2.7068	5.99933E+6		
2.708	6.00683E+6		
2.7092	6.02107E+6		
2.7104	6.02272E+6		
2.7116	6.02252E+6		
2.7128	6.03162E+6		
2.714	6.03766E+6		
2.7152	6.02949E+6		
2.7164	6.03607E+6		
2.7176	6.03641E+6		
2.7188	6.03436E+6		
2.72	6.03922E+6		
2.7212	6.03366E+6		
2.7224	6.04707E+6		
2.7236	6.03752E+6		
2.7248	6.03729E+6		
2.726	6.03374E+6		
2.7272	6.04427E+6		
2.7284	6.03915E+6		
2.7296	6.03729E+6		
2.7308	6.04225E+6		
2.732	6.03448E+6		
