plage totale : 2.5V
Time - Filtered	Amplitude - Filtered	
0	2,93821E+7	
1	2,93861E+7	
2	2,93796E+7	
3	2,93746E+7	
4	2,93662E+7	
5	2,93701E+7	
6	2,93871E+7	
7	2,9406E+7	
8	2,94149E+7	
9	2,9406E+7	
10	2,94109E+7	
11	2,94085E+7	
12	2,93995E+7	
13	2,9396E+7	
14	2,93816E+7	
15	2,93826E+7	
16	2,93935E+7	
17	2,93662E+7	
18	2,93448E+7	
19	2,93348E+7	
20	2,93219E+7	
21	2,93085E+7	
22	2,9294E+7	
23	2,92662E+7	
24	2,92443E+7	
25	2,92169E+7	
26	2,92005E+7	
27	2,92095E+7	
28	2,91692E+7	
29	2,91527E+7	
30	2,91418E+7	
31	2,91104E+7	
32	2,90896E+7	
33	2,90711E+7	
34	2,90498E+7	
35	2,90259E+7	
36	2,90164E+7	
37	2,8997E+7	
38	2,89791E+7	
39	2,89786E+7	
40	2,89662E+7	
41	2,89647E+7	
42	2,89393E+7	
43	2,8905E+7	
44	2,88891E+7	
45	2,89E+7	
46	2,88965E+7	
47	2,89005E+7	
48	2,88716E+7	
49	2,88428E+7	
50	2,88328E+7	
51	2,88468E+7	
52	2,88448E+7	
53	2,88363E+7	
54	2,8809E+7	
55	2,87985E+7	
56	2,8792E+7	
57	2,87731E+7	
58	2,87512E+7	
59	2,87249E+7	
60	2,87234E+7	
61	2,87343E+7	
62	2,87383E+7	
63	2,87373E+7	
64	2,87199E+7	
65	2,87169E+7	
66	2,87284E+7	
67	2,87219E+7	
68	2,87358E+7	
69	2,87169E+7	
70	2,8705E+7	
71	2,8698E+7	
72	2,86851E+7	
73	2,86667E+7	
74	2,86602E+7	
75	2,86502E+7	
76	2,86323E+7	
77	2,86194E+7	
78	2,86035E+7	
79	2,86025E+7	
80	2,8596E+7	
81	2,86154E+7	
82	2,8607E+7	
83	2,85955E+7	
84	2,85905E+7	
85	2,85602E+7	
86	2,85502E+7	
87	2,85134E+7	
88	2,85005E+7	
89	2,8498E+7	
90	2,84672E+7	
91	2,84299E+7	
92	2,84164E+7	
93	2,8394E+7	
94	2,83811E+7	
95	2,83761E+7	
96	2,83786E+7	
97	2,83751E+7	
98	2,83647E+7	
99	2,83522E+7	
100	2,83537E+7	
101	2,83418E+7	
102	2,83299E+7	
103	2,83134E+7	
104	2,83184E+7	
105	2,8303E+7	
106	2,8295E+7	
107	2,82975E+7	
108	2,82925E+7	
109	2,83095E+7	
110	2,83075E+7	
111	2,83144E+7	
112	2,8295E+7	
113	2,82781E+7	
114	2,82766E+7	
115	2,82682E+7	
116	2,82567E+7	
117	2,82363E+7	
118	2,82368E+7	
119	2,82328E+7	
120	2,82109E+7	
121	2,81965E+7	
122	2,81761E+7	
123	2,81502E+7	
124	2,81318E+7	
125	2,81328E+7	
126	2,81308E+7	
127	2,81224E+7	
128	2,80836E+7	
129	2,81005E+7	
130	2,80776E+7	
131	2,80552E+7	
132	2,80398E+7	
133	2,80269E+7	
134	2,80358E+7	
135	2,80338E+7	
136	2,80149E+7	
137	2,80095E+7	
138	2,79741E+7	
139	2,79756E+7	
140	2,79736E+7	
141	2,79786E+7	
142	2,79736E+7	
143	2,79667E+7	
144	2,79557E+7	
145	2,79348E+7	
146	2,79368E+7	
147	2,79353E+7	
148	2,79299E+7	
149	2,79323E+7	
150	2,79209E+7	
151	2,7901E+7	
152	2,78915E+7	
153	2,78886E+7	
154	2,78597E+7	
155	2,78348E+7	
156	2,7804E+7	
157	2,7806E+7	
158	2,77811E+7	
159	2,77642E+7	
160	2,77398E+7	
161	2,77373E+7	
162	2,77139E+7	
163	2,7705E+7	
164	2,76871E+7	
165	2,76741E+7	
166	2,76667E+7	
167	2,76537E+7	
168	2,76562E+7	
169	2,76333E+7	
170	2,7604E+7	
171	2,75851E+7	
172	2,75687E+7	
173	2,75736E+7	
174	2,75592E+7	
175	2,75483E+7	
176	2,75517E+7	
177	2,75398E+7	
178	2,75244E+7	
179	2,75259E+7	
180	2,75403E+7	
181	2,75333E+7	
182	2,75169E+7	
183	2,75E+7	
184	2,7493E+7	
185	2,74692E+7	
186	2,74915E+7	
187	2,74801E+7	
188	2,74557E+7	
189	2,74418E+7	
190	2,74269E+7	
191	2,74239E+7	
192	2,74149E+7	
193	2,7392E+7	
194	2,73438E+7	
195	2,73134E+7	
196	2,7294E+7	
197	2,7301E+7	
198	2,73E+7	
199	2,73055E+7	
200	2,72896E+7	
201	2,72657E+7	
202	2,72522E+7	
203	2,72443E+7	
204	2,72149E+7	
205	2,71945E+7	
206	2,71701E+7	
207	2,71373E+7	
208	2,71075E+7	
209	2,70995E+7	
210	2,71025E+7	
211	2,71015E+7	
212	2,70925E+7	
213	2,70796E+7	
214	2,70617E+7	
215	2,70577E+7	
216	2,70701E+7	
217	2,70468E+7	
218	2,70388E+7	
219	2,70219E+7	
220	2,70139E+7	
221	2,70224E+7	
222	2,70154E+7	
223	2,70144E+7	
224	2,70254E+7	
225	2,70189E+7	
226	2,70199E+7	
227	2,70353E+7	
228	2,70119E+7	
229	2,70179E+7	
230	2,70114E+7	
231	2,69995E+7	
232	2,70159E+7	
233	2,70299E+7	
234	2,70353E+7	
235	2,70542E+7	
236	2,70692E+7	
237	2,70736E+7	
238	2,70577E+7	
239	2,70602E+7	
240	2,70468E+7	
241	2,70473E+7	
242	2,70378E+7	
243	2,70433E+7	
244	2,70637E+7	
245	2,70831E+7	
246	2,70871E+7	
247	2,70876E+7	
248	2,70741E+7	
249	2,70716E+7	
250	2,70662E+7	
251	2,70701E+7	
252	2,70652E+7	
253	2,70642E+7	
254	2,70532E+7	
255	2,70607E+7	
256	2,70731E+7	
257	2,70597E+7	
258	2,70532E+7	
259	2,70647E+7	
260	2,70781E+7	
261	2,70701E+7	
262	2,70557E+7	
263	2,70507E+7	
264	2,70433E+7	
265	2,70318E+7	
266	2,70348E+7	
267	2,70174E+7	
268	2,70154E+7	
269	2,69846E+7	
270	2,69881E+7	
271	2,69761E+7	
272	2,69612E+7	
273	2,69597E+7	
274	2,69577E+7	
275	2,69139E+7	
276	2,69095E+7	
277	2,6908E+7	
278	2,69144E+7	
279	2,69114E+7	
280	2,6909E+7	
281	2,6908E+7	
282	2,68861E+7	
283	2,68667E+7	
284	2,68771E+7	
285	2,68632E+7	
286	2,68677E+7	
287	2,68642E+7	
288	2,68781E+7	
289	2,68746E+7	
290	2,68542E+7	
291	2,68577E+7	
292	2,68771E+7	
293	2,68687E+7	
294	2,68791E+7	
295	2,68856E+7	
296	2,68751E+7	
297	2,68816E+7	
298	2,68697E+7	
299	2,68836E+7	
300	2,68915E+7	
301	2,6892E+7	
302	2,68886E+7	
303	2,68886E+7	
304	2,69035E+7	
305	2,6908E+7	
306	2,6903E+7	
307	2,689E+7	
308	2,68841E+7	
309	2,6898E+7	
310	2,68905E+7	
311	2,68881E+7	
312	2,68736E+7	
313	2,68796E+7	
314	2,68876E+7	
315	2,68861E+7	
316	2,68801E+7	
317	2,68821E+7	
318	2,68886E+7	
319	2,68816E+7	
320	2,68677E+7	
321	2,68831E+7	
322	2,68876E+7	
323	2,68751E+7	
324	2,68572E+7	
325	2,68537E+7	
326	2,68418E+7	
327	2,68542E+7	
328	2,68612E+7	
329	2,68771E+7	
330	2,68891E+7	
331	2,69E+7	
332	2,69005E+7	
333	2,68846E+7	
334	2,68751E+7	
335	2,68532E+7	
336	2,68587E+7	
337	2,68517E+7	
338	2,68567E+7	
339	2,68582E+7	
340	2,68507E+7	
341	2,68522E+7	
342	2,68443E+7	
343	2,68507E+7	
344	2,68348E+7	
345	2,68269E+7	
346	2,68279E+7	
347	2,68323E+7	
348	2,68224E+7	
349	2,68159E+7	
350	2,68005E+7	
351	2,6803E+7	
352	2,68005E+7	
353	2,67915E+7	
354	2,67846E+7	
355	2,68124E+7	
356	2,68119E+7	
357	2,68119E+7	
358	2,68139E+7	
359	2,68318E+7	
360	2,68368E+7	
361	2,68398E+7	
362	2,68378E+7	
363	2,68458E+7	
364	2,68328E+7	
365	2,68428E+7	
366	2,68393E+7	
367	2,68353E+7	
368	2,68403E+7	
369	2,68328E+7	
370	2,68423E+7	
371	2,68537E+7	
372	2,68368E+7	
373	2,68224E+7	
374	2,6806E+7	
375	2,6806E+7	
376	2,6803E+7	
377	2,67786E+7	
378	2,67831E+7	
379	2,67871E+7	
380	2,67622E+7	
381	2,67458E+7	
382	2,67289E+7	
383	2,67174E+7	
384	2,67229E+7	
385	2,67393E+7	
386	2,67413E+7	
387	2,67323E+7	
388	2,67358E+7	
389	2,67562E+7	
390	2,67761E+7	
391	2,67637E+7	
392	2,67532E+7	
393	2,67433E+7	
394	2,67483E+7	
395	2,67627E+7	
396	2,67532E+7	
397	2,67587E+7	
398	2,67547E+7	
399	2,67478E+7	
400	2,67532E+7	
401	2,67517E+7	
402	2,67473E+7	
403	2,67567E+7	
404	2,67622E+7	
405	2,67791E+7	
406	2,67622E+7	
407	2,67701E+7	
408	2,67647E+7	
409	2,67642E+7	
410	2,67612E+7	
411	2,67363E+7	
412	2,67328E+7	
413	2,67214E+7	
414	2,67269E+7	
415	2,67249E+7	
416	2,67259E+7	
417	2,67129E+7	
418	2,67264E+7	
419	2,67264E+7	
420	2,67418E+7	
421	2,67328E+7	
422	2,67179E+7	
423	2,67204E+7	
424	2,67259E+7	
425	2,67179E+7	
426	2,67373E+7	
427	2,67507E+7	
428	2,67353E+7	
429	2,67463E+7	
430	2,67597E+7	
431	2,67453E+7	
432	2,67587E+7	
433	2,67393E+7	
434	2,67249E+7	
435	2,67299E+7	
436	2,67229E+7	
437	2,67274E+7	
438	2,67274E+7	
439	2,67413E+7	
440	2,67652E+7	
441	2,67592E+7	
442	2,67602E+7	
443	2,67781E+7	
444	2,67801E+7	
445	2,67746E+7	
446	2,67632E+7	
447	2,67692E+7	
448	2,67632E+7	
449	2,67846E+7	
450	2,67891E+7	
451	2,67871E+7	
452	2,67796E+7	
453	2,67831E+7	
454	2,67706E+7	
455	2,67891E+7	
456	2,67896E+7	
457	2,67721E+7	
458	2,67617E+7	
459	2,67736E+7	
460	2,67935E+7	
461	2,6804E+7	
