Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.6	5.35168E+6	2.6	5.35168E+6	
2.60201	5.34806E+6	2.60201	5.34806E+6	
2.60401	5.34845E+6	2.60401	5.34845E+6	
2.60602	5.34939E+6	2.60602	5.34939E+6	
2.60803	5.34831E+6	2.60803	5.34831E+6	
2.61003	5.35181E+6	2.61003	5.35181E+6	
2.61204	5.34963E+6	2.61204	5.34963E+6	
2.61405	5.35198E+6	2.61405	5.35198E+6	
2.61605	5.35237E+6	2.61605	5.35237E+6	
2.61806	5.34976E+6	2.61806	5.34976E+6	
2.62007	5.35183E+6	2.62007	5.35183E+6	
2.62207	5.34873E+6	2.62207	5.34873E+6	
2.62408	5.35136E+6	2.62408	5.35136E+6	
2.62609	5.34951E+6	2.62609	5.34951E+6	
2.62809	5.3484E+6	2.62809	5.3484E+6	
2.6301	5.35038E+6	2.6301	5.35038E+6	
2.63211	5.3514E+6	2.63211	5.3514E+6	
2.63411	5.35181E+6	2.63411	5.35181E+6	
2.63612	5.35094E+6	2.63612	5.35094E+6	
2.63813	5.35452E+6	2.63813	5.35452E+6	
2.64013	5.35458E+6	2.64013	5.35458E+6	
2.64214	5.35103E+6	2.64214	5.35103E+6	
2.64415	5.34947E+6	2.64415	5.34947E+6	
2.64615	5.34638E+6	2.64615	5.34638E+6	
2.64816	5.34659E+6	2.64816	5.34659E+6	
2.65017	5.34725E+6	2.65017	5.34725E+6	
2.65217	5.34953E+6	2.65217	5.34953E+6	
2.65418	5.35095E+6	2.65418	5.35095E+6	
2.65619	5.35364E+6	2.65619	5.35364E+6	
2.65819	5.35131E+6	2.65819	5.35131E+6	
2.6602	5.34561E+6	2.6602	5.34561E+6	
2.66221	5.34445E+6	2.66221	5.34445E+6	
2.66421	5.33947E+6	2.66421	5.33947E+6	
2.66622	5.34146E+6	2.66622	5.34146E+6	
2.66823	5.3286E+6	2.66823	5.3286E+6	
2.67023	5.33412E+6	2.67023	5.33412E+6	
2.67224	5.33259E+6	2.67224	5.33259E+6	
2.67425	5.33717E+6	2.67425	5.33717E+6	
2.67625	5.33818E+6	2.67625	5.33818E+6	
2.67826	5.34612E+6	2.67826	5.34612E+6	
2.68027	5.34989E+6	2.68027	5.34989E+6	
2.68227	5.35115E+6	2.68227	5.35115E+6	
2.68428	5.34635E+6	2.68428	5.34635E+6	
2.68629	5.34712E+6	2.68629	5.34712E+6	
2.68829	5.34666E+6	2.68829	5.34666E+6	
2.6903	5.34952E+6	2.6903	5.34952E+6	
2.69231	5.34784E+6	2.69231	5.34784E+6	
2.69431	5.34982E+6	2.69431	5.34982E+6	
2.69632	5.35179E+6	2.69632	5.35179E+6	
2.69833	5.35164E+6	2.69833	5.35164E+6	
2.70033	5.35063E+6	2.70033	5.35063E+6	
2.70234	5.3457E+6	2.70234	5.3457E+6	
2.70435	5.34179E+6	2.70435	5.34179E+6	
2.70635	5.34178E+6	2.70635	5.34178E+6	
2.70836	5.34301E+6	2.70836	5.34301E+6	
2.71037	5.33454E+6	2.71037	5.33454E+6	
2.71237	5.32398E+6	2.71237	5.32398E+6	
2.71438	5.31708E+6	2.71438	5.31708E+6	
2.71639	5.30328E+6	2.71639	5.30328E+6	
2.71839	5.306E+6	2.71839	5.306E+6	
2.7204	5.32466E+6	2.7204	5.32466E+6	
2.72241	5.31801E+6	2.72241	5.31801E+6	
2.72441	5.3319E+6	2.72441	5.3319E+6	
2.72642	5.3363E+6	2.72642	5.3363E+6	
2.72843	5.34363E+6	2.72843	5.34363E+6	
2.73043	5.344E+6	2.73043	5.344E+6	
2.73244	5.3477E+6	2.73244	5.3477E+6	
2.73445	5.34966E+6	2.73445	5.34966E+6	
2.73645	5.34899E+6	2.73645	5.34899E+6	
2.73846	5.35405E+6	2.73846	5.35405E+6	
2.74047	5.35215E+6	2.74047	5.35215E+6	
2.74247	5.35059E+6	2.74247	5.35059E+6	
2.74448	5.34629E+6	2.74448	5.34629E+6	
2.74649	5.348E+6	2.74649	5.348E+6	
2.74849	5.34523E+6	2.74849	5.34523E+6	
2.7505	5.34814E+6	2.7505	5.34814E+6	
2.75251	5.34471E+6	2.75251	5.34471E+6	
2.75452	5.34149E+6	2.75452	5.34149E+6	
2.75652	5.33671E+6	2.75652	5.33671E+6	
2.75853	5.33171E+6	2.75853	5.33171E+6	
2.76054	5.31515E+6	2.76054	5.31515E+6	
2.76254	5.31908E+6	2.76254	5.31908E+6	
2.76455	5.32019E+6	2.76455	5.32019E+6	
2.76656	5.32502E+6	2.76656	5.32502E+6	
2.76856	5.33094E+6	2.76856	5.33094E+6	
2.77057	5.33702E+6	2.77057	5.33702E+6	
2.77258	5.34562E+6	2.77258	5.34562E+6	
2.77458	5.34782E+6	2.77458	5.34782E+6	
2.77659	5.34956E+6	2.77659	5.34956E+6	
2.7786	5.35026E+6	2.7786	5.35026E+6	
2.7806	5.35263E+6	2.7806	5.35263E+6	
2.78261	5.35257E+6	2.78261	5.35257E+6	
2.78462	5.34707E+6	2.78462	5.34707E+6	
2.78662	5.35007E+6	2.78662	5.35007E+6	
2.78863	5.34442E+6	2.78863	5.34442E+6	
2.79064	5.34459E+6	2.79064	5.34459E+6	
2.79264	5.3516E+6	2.79264	5.3516E+6	
2.79465	5.34915E+6	2.79465	5.34915E+6	
2.79666	5.35331E+6	2.79666	5.35331E+6	
2.79866	5.35197E+6	2.79866	5.35197E+6	
2.80067	5.35216E+6	2.80067	5.35216E+6	
2.80268	5.34711E+6	2.80268	5.34711E+6	
2.80468	5.34889E+6	2.80468	5.34889E+6	
2.80669	5.34845E+6	2.80669	5.34845E+6	
2.8087	5.35212E+6	2.8087	5.35212E+6	
2.8107	5.34898E+6	2.8107	5.34898E+6	
2.81271	5.34909E+6	2.81271	5.34909E+6	
2.81472	5.34973E+6	2.81472	5.34973E+6	
2.81672	5.3526E+6	2.81672	5.3526E+6	
2.81873	5.35172E+6	2.81873	5.35172E+6	
2.82074	5.35312E+6	2.82074	5.35312E+6	
2.82274	5.35036E+6	2.82274	5.35036E+6	
2.82475	5.35055E+6	2.82475	5.35055E+6	
2.82676	5.34967E+6	2.82676	5.34967E+6	
2.82876	5.34638E+6	2.82876	5.34638E+6	
2.83077	5.3474E+6	2.83077	5.3474E+6	
2.83278	5.35139E+6	2.83278	5.35139E+6	
2.83478	5.35259E+6	2.83478	5.35259E+6	
2.83679	5.35266E+6	2.83679	5.35266E+6	
2.8388	5.35478E+6	2.8388	5.35478E+6	
2.8408	5.35303E+6	2.8408	5.35303E+6	
2.84281	5.34904E+6	2.84281	5.34904E+6	
2.84482	5.35073E+6	2.84482	5.35073E+6	
2.84682	5.34588E+6	2.84682	5.34588E+6	
2.84883	5.35015E+6	2.84883	5.35015E+6	
2.85084	5.3552E+6	2.85084	5.3552E+6	
2.85284	5.34949E+6	2.85284	5.34949E+6	
2.85485	5.35206E+6	2.85485	5.35206E+6	
2.85686	5.35118E+6	2.85686	5.35118E+6	
2.85886	5.35206E+6	2.85886	5.35206E+6	
2.86087	5.34704E+6	2.86087	5.34704E+6	
2.86288	5.34886E+6	2.86288	5.34886E+6	
2.86488	5.35039E+6	2.86488	5.35039E+6	
2.86689	5.35044E+6	2.86689	5.35044E+6	
2.8689	5.34907E+6	2.8689	5.34907E+6	
2.8709	5.3502E+6	2.8709	5.3502E+6	
2.87291	5.34882E+6	2.87291	5.34882E+6	
2.87492	5.35193E+6	2.87492	5.35193E+6	
2.87692	5.35266E+6	2.87692	5.35266E+6	
2.87893	5.3533E+6	2.87893	5.3533E+6	
2.88094	5.35257E+6	2.88094	5.35257E+6	
2.88294	5.35506E+6	2.88294	5.35506E+6	
2.88495	5.34719E+6	2.88495	5.34719E+6	
2.88696	5.34538E+6	2.88696	5.34538E+6	
2.88896	5.34911E+6	2.88896	5.34911E+6	
2.89097	5.35115E+6	2.89097	5.35115E+6	
2.89298	5.35221E+6	2.89298	5.35221E+6	
2.89498	5.35361E+6	2.89498	5.35361E+6	
2.89699	5.35179E+6	2.89699	5.35179E+6	
2.899	5.35306E+6	2.899	5.35306E+6	
2.901	5.34929E+6	2.901	5.34929E+6	
2.90301	5.35027E+6	2.90301	5.35027E+6	
2.90502	5.3505E+6	2.90502	5.3505E+6	
2.90702	5.35268E+6	2.90702	5.35268E+6	
2.90903	5.34766E+6	2.90903	5.34766E+6	
2.91104	5.35157E+6	2.91104	5.35157E+6	
2.91304	5.35046E+6	2.91304	5.35046E+6	
2.91505	5.349E+6	2.91505	5.349E+6	
2.91706	5.35358E+6	2.91706	5.35358E+6	
2.91906	5.35156E+6	2.91906	5.35156E+6	
2.92107	5.35258E+6	2.92107	5.35258E+6	
2.92308	5.3487E+6	2.92308	5.3487E+6	
2.92508	5.35009E+6	2.92508	5.35009E+6	
2.92709	5.35059E+6	2.92709	5.35059E+6	
2.9291	5.34993E+6	2.9291	5.34993E+6	
2.9311	5.3489E+6	2.9311	5.3489E+6	
2.93311	5.35197E+6	2.93311	5.35197E+6	
