Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
20	9.41598E+6	20	9.41598E+6	
44.8996	9.4158E+6	44.8996	9.4158E+6	
69.7992	9.41604E+6	69.7992	9.41604E+6	
94.6988	9.41636E+6	94.6988	9.41636E+6	
119.598	9.41315E+6	119.598	9.41315E+6	
144.498	9.40989E+6	144.498	9.40989E+6	
169.398	9.41268E+6	169.398	9.41268E+6	
194.297	9.41024E+6	194.297	9.41024E+6	
219.197	9.40977E+6	219.197	9.40977E+6	
244.096	9.40403E+6	244.096	9.40403E+6	
268.996	9.40451E+6	268.996	9.40451E+6	
293.896	9.40532E+6	293.896	9.40532E+6	
318.795	9.40365E+6	318.795	9.40365E+6	
343.695	9.40262E+6	343.695	9.40262E+6	
368.594	9.40638E+6	368.594	9.40638E+6	
393.494	9.40523E+6	393.494	9.40523E+6	
418.394	9.40801E+6	418.394	9.40801E+6	
443.293	9.40868E+6	443.293	9.40868E+6	
468.193	9.40892E+6	468.193	9.40892E+6	
493.092	9.41597E+6	493.092	9.41597E+6	
517.992	9.41006E+6	517.992	9.41006E+6	
542.892	9.41132E+6	542.892	9.41132E+6	
567.791	9.41278E+6	567.791	9.41278E+6	
592.691	9.41069E+6	592.691	9.41069E+6	
617.59	9.41216E+6	617.59	9.41216E+6	
642.49	9.40859E+6	642.49	9.40859E+6	
667.39	9.41015E+6	667.39	9.41015E+6	
692.289	9.40336E+6	692.289	9.40336E+6	
717.189	9.4113E+6	717.189	9.4113E+6	
742.088	9.40792E+6	742.088	9.40792E+6	
766.988	9.4083E+6	766.988	9.4083E+6	
791.888	9.40506E+6	791.888	9.40506E+6	
816.787	9.40877E+6	816.787	9.40877E+6	
841.687	9.40717E+6	841.687	9.40717E+6	
866.586	9.40568E+6	866.586	9.40568E+6	
891.486	9.40504E+6	891.486	9.40504E+6	
916.386	9.41125E+6	916.386	9.41125E+6	
941.285	9.41048E+6	941.285	9.41048E+6	
966.185	9.4032E+6	966.185	9.4032E+6	
991.084	9.40785E+6	991.084	9.40785E+6	
1015.98	9.4079E+6	1015.98	9.4079E+6	
1040.88	9.40992E+6	1040.88	9.40992E+6	
1065.78	9.40988E+6	1065.78	9.40988E+6	
1090.68	9.40918E+6	1090.68	9.40918E+6	
1115.58	9.4073E+6	1115.58	9.4073E+6	
1140.48	9.40522E+6	1140.48	9.40522E+6	
1165.38	9.40861E+6	1165.38	9.40861E+6	
1190.28	9.40486E+6	1190.28	9.40486E+6	
1215.18	9.40424E+6	1215.18	9.40424E+6	
1240.08	9.40339E+6	1240.08	9.40339E+6	
1264.98	9.40637E+6	1264.98	9.40637E+6	
1289.88	9.39815E+6	1289.88	9.39815E+6	
1314.78	9.40406E+6	1314.78	9.40406E+6	
1339.68	9.40534E+6	1339.68	9.40534E+6	
1364.58	9.4039E+6	1364.58	9.4039E+6	
1389.48	9.40177E+6	1389.48	9.40177E+6	
1414.38	9.39907E+6	1414.38	9.39907E+6	
1439.28	9.40051E+6	1439.28	9.40051E+6	
1464.18	9.40029E+6	1464.18	9.40029E+6	
1489.08	9.40579E+6	1489.08	9.40579E+6	
1513.98	9.40152E+6	1513.98	9.40152E+6	
1538.88	9.40582E+6	1538.88	9.40582E+6	
1563.78	9.40298E+6	1563.78	9.40298E+6	
1588.67	9.40562E+6	1588.67	9.40562E+6	
1613.57	9.39995E+6	1613.57	9.39995E+6	
1638.47	9.40702E+6	1638.47	9.40702E+6	
1663.37	9.40623E+6	1663.37	9.40623E+6	
1688.27	9.40267E+6	1688.27	9.40267E+6	
1713.17	9.40215E+6	1713.17	9.40215E+6	
1738.07	9.40249E+6	1738.07	9.40249E+6	
1762.97	9.40495E+6	1762.97	9.40495E+6	
1787.87	9.40662E+6	1787.87	9.40662E+6	
1812.77	9.40305E+6	1812.77	9.40305E+6	
1837.67	9.40436E+6	1837.67	9.40436E+6	
1862.57	9.40201E+6	1862.57	9.40201E+6	
1887.47	9.40843E+6	1887.47	9.40843E+6	
1912.37	9.40328E+6	1912.37	9.40328E+6	
1937.27	9.40536E+6	1937.27	9.40536E+6	
1962.17	9.40633E+6	1962.17	9.40633E+6	
1987.07	9.39903E+6	1987.07	9.39903E+6	
2011.97	9.40363E+6	2011.97	9.40363E+6	
2036.87	9.4032E+6	2036.87	9.4032E+6	
2061.77	9.40192E+6	2061.77	9.40192E+6	
2086.67	9.40155E+6	2086.67	9.40155E+6	
2111.57	9.4045E+6	2111.57	9.4045E+6	
2136.47	9.40122E+6	2136.47	9.40122E+6	
2161.37	9.40151E+6	2161.37	9.40151E+6	
2186.27	9.3976E+6	2186.27	9.3976E+6	
2211.16	9.4074E+6	2211.16	9.4074E+6	
2236.06	9.40262E+6	2236.06	9.40262E+6	
2260.96	9.40421E+6	2260.96	9.40421E+6	
2285.86	9.39735E+6	2285.86	9.39735E+6	
2310.76	9.40211E+6	2310.76	9.40211E+6	
2335.66	9.40359E+6	2335.66	9.40359E+6	
2360.56	9.40394E+6	2360.56	9.40394E+6	
2385.46	9.40194E+6	2385.46	9.40194E+6	
2410.36	9.39961E+6	2410.36	9.39961E+6	
2435.26	9.39866E+6	2435.26	9.39866E+6	
2460.16	9.39791E+6	2460.16	9.39791E+6	
2485.06	9.4016E+6	2485.06	9.4016E+6	
2509.96	9.40195E+6	2509.96	9.40195E+6	
