Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.822	9.22636E+6	2.822	9.22636E+6	
2.82209	9.227E+6	2.82209	9.227E+6	
2.82219	9.22805E+6	2.82219	9.22805E+6	
2.82228	9.22827E+6	2.82228	9.22827E+6	
2.82237	9.22765E+6	2.82237	9.22765E+6	
2.82247	9.22747E+6	2.82247	9.22747E+6	
2.82256	9.22769E+6	2.82256	9.22769E+6	
2.82265	9.22706E+6	2.82265	9.22706E+6	
2.82275	9.22732E+6	2.82275	9.22732E+6	
2.82284	9.22762E+6	2.82284	9.22762E+6	
2.82293	9.2267E+6	2.82293	9.2267E+6	
2.82303	9.22722E+6	2.82303	9.22722E+6	
2.82312	9.22765E+6	2.82312	9.22765E+6	
2.82321	9.22705E+6	2.82321	9.22705E+6	
2.82331	9.22778E+6	2.82331	9.22778E+6	
2.8234	9.22638E+6	2.8234	9.22638E+6	
2.82349	9.22749E+6	2.82349	9.22749E+6	
2.82359	9.22716E+6	2.82359	9.22716E+6	
2.82368	9.22714E+6	2.82368	9.22714E+6	
2.82377	9.22633E+6	2.82377	9.22633E+6	
2.82387	9.22781E+6	2.82387	9.22781E+6	
2.82396	9.22661E+6	2.82396	9.22661E+6	
2.82405	9.22778E+6	2.82405	9.22778E+6	
2.82415	9.22687E+6	2.82415	9.22687E+6	
2.82424	9.22815E+6	2.82424	9.22815E+6	
2.82433	9.2271E+6	2.82433	9.2271E+6	
2.82443	9.22669E+6	2.82443	9.22669E+6	
2.82452	9.22773E+6	2.82452	9.22773E+6	
2.82461	9.22755E+6	2.82461	9.22755E+6	
2.82471	9.22817E+6	2.82471	9.22817E+6	
2.8248	9.22741E+6	2.8248	9.22741E+6	
2.82489	9.22647E+6	2.82489	9.22647E+6	
2.82499	9.22608E+6	2.82499	9.22608E+6	
2.82508	9.22555E+6	2.82508	9.22555E+6	
2.82517	9.22643E+6	2.82517	9.22643E+6	
2.82527	9.22605E+6	2.82527	9.22605E+6	
2.82536	9.22665E+6	2.82536	9.22665E+6	
2.82545	9.2262E+6	2.82545	9.2262E+6	
2.82555	9.22689E+6	2.82555	9.22689E+6	
2.82564	9.22649E+6	2.82564	9.22649E+6	
2.82573	9.22758E+6	2.82573	9.22758E+6	
2.82583	9.22464E+6	2.82583	9.22464E+6	
2.82592	9.22602E+6	2.82592	9.22602E+6	
2.82601	9.22599E+6	2.82601	9.22599E+6	
2.82611	9.22664E+6	2.82611	9.22664E+6	
2.8262	9.22879E+6	2.8262	9.22879E+6	
2.82629	9.2253E+6	2.82629	9.2253E+6	
2.82639	9.22637E+6	2.82639	9.22637E+6	
2.82648	9.22658E+6	2.82648	9.22658E+6	
2.82657	9.22556E+6	2.82657	9.22556E+6	
2.82667	9.22724E+6	2.82667	9.22724E+6	
2.82676	9.22644E+6	2.82676	9.22644E+6	
2.82685	9.22599E+6	2.82685	9.22599E+6	
2.82695	9.22712E+6	2.82695	9.22712E+6	
2.82704	9.22811E+6	2.82704	9.22811E+6	
2.82713	9.22791E+6	2.82713	9.22791E+6	
2.82723	9.22672E+6	2.82723	9.22672E+6	
2.82732	9.22536E+6	2.82732	9.22536E+6	
2.82741	9.22584E+6	2.82741	9.22584E+6	
2.82751	9.22573E+6	2.82751	9.22573E+6	
2.8276	9.22627E+6	2.8276	9.22627E+6	
2.82769	9.22772E+6	2.82769	9.22772E+6	
2.82779	9.22652E+6	2.82779	9.22652E+6	
2.82788	9.22597E+6	2.82788	9.22597E+6	
2.82797	9.22676E+6	2.82797	9.22676E+6	
2.82807	9.22594E+6	2.82807	9.22594E+6	
2.82816	9.2278E+6	2.82816	9.2278E+6	
2.82825	9.22777E+6	2.82825	9.22777E+6	
2.82835	9.22542E+6	2.82835	9.22542E+6	
2.82844	9.22605E+6	2.82844	9.22605E+6	
2.82853	9.22637E+6	2.82853	9.22637E+6	
2.82863	9.22662E+6	2.82863	9.22662E+6	
2.82872	9.22387E+6	2.82872	9.22387E+6	
2.82881	9.22884E+6	2.82881	9.22884E+6	
2.82891	9.22655E+6	2.82891	9.22655E+6	
2.829	9.22545E+6	2.829	9.22545E+6	
2.82909	9.22607E+6	2.82909	9.22607E+6	
2.82919	9.22506E+6	2.82919	9.22506E+6	
2.82928	9.22554E+6	2.82928	9.22554E+6	
2.82937	9.22504E+6	2.82937	9.22504E+6	
2.82947	9.22504E+6	2.82947	9.22504E+6	
2.82956	9.22567E+6	2.82956	9.22567E+6	
2.82965	9.22622E+6	2.82965	9.22622E+6	
2.82975	9.22668E+6	2.82975	9.22668E+6	
