Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.78	8.53462E+6	2.78	8.53462E+6	
2.78008	8.53909E+6	2.78008	8.53909E+6	
2.78015	8.53702E+6	2.78015	8.53702E+6	
2.78023	8.53316E+6	2.78023	8.53316E+6	
2.7803	8.53552E+6	2.7803	8.53552E+6	
2.78038	8.53764E+6	2.78038	8.53764E+6	
2.78045	8.53499E+6	2.78045	8.53499E+6	
2.78053	8.53949E+6	2.78053	8.53949E+6	
2.7806	8.53594E+6	2.7806	8.53594E+6	
2.78068	8.53684E+6	2.78068	8.53684E+6	
2.78075	8.53345E+6	2.78075	8.53345E+6	
2.78083	8.53713E+6	2.78083	8.53713E+6	
2.7809	8.53634E+6	2.7809	8.53634E+6	
2.78098	8.53515E+6	2.78098	8.53515E+6	
2.78105	8.5369E+6	2.78105	8.5369E+6	
2.78113	8.53524E+6	2.78113	8.53524E+6	
2.7812	8.53636E+6	2.7812	8.53636E+6	
2.78128	8.53524E+6	2.78128	8.53524E+6	
2.78135	8.5353E+6	2.78135	8.5353E+6	
2.78143	8.53478E+6	2.78143	8.53478E+6	
2.7815	8.53441E+6	2.7815	8.53441E+6	
2.78158	8.53513E+6	2.78158	8.53513E+6	
2.78165	8.53649E+6	2.78165	8.53649E+6	
2.78173	8.53447E+6	2.78173	8.53447E+6	
2.7818	8.53517E+6	2.7818	8.53517E+6	
2.78188	8.53752E+6	2.78188	8.53752E+6	
2.78195	8.53396E+6	2.78195	8.53396E+6	
2.78203	8.53492E+6	2.78203	8.53492E+6	
2.78211	8.53864E+6	2.78211	8.53864E+6	
2.78218	8.53505E+6	2.78218	8.53505E+6	
2.78226	8.53651E+6	2.78226	8.53651E+6	
2.78233	8.53132E+6	2.78233	8.53132E+6	
2.78241	8.53441E+6	2.78241	8.53441E+6	
2.78248	8.53541E+6	2.78248	8.53541E+6	
2.78256	8.53635E+6	2.78256	8.53635E+6	
2.78263	8.53698E+6	2.78263	8.53698E+6	
2.78271	8.53204E+6	2.78271	8.53204E+6	
2.78278	8.53486E+6	2.78278	8.53486E+6	
2.78286	8.53774E+6	2.78286	8.53774E+6	
2.78293	8.53497E+6	2.78293	8.53497E+6	
2.78301	8.53601E+6	2.78301	8.53601E+6	
2.78308	8.53218E+6	2.78308	8.53218E+6	
2.78316	8.53219E+6	2.78316	8.53219E+6	
2.78323	8.53606E+6	2.78323	8.53606E+6	
2.78331	8.53471E+6	2.78331	8.53471E+6	
2.78338	8.53765E+6	2.78338	8.53765E+6	
2.78346	8.53723E+6	2.78346	8.53723E+6	
2.78353	8.53405E+6	2.78353	8.53405E+6	
2.78361	8.53354E+6	2.78361	8.53354E+6	
2.78368	8.53759E+6	2.78368	8.53759E+6	
2.78376	8.53472E+6	2.78376	8.53472E+6	
2.78383	8.53607E+6	2.78383	8.53607E+6	
2.78391	8.5345E+6	2.78391	8.5345E+6	
2.78398	8.53538E+6	2.78398	8.53538E+6	
2.78406	8.53483E+6	2.78406	8.53483E+6	
2.78414	8.53734E+6	2.78414	8.53734E+6	
2.78421	8.53517E+6	2.78421	8.53517E+6	
2.78429	8.53529E+6	2.78429	8.53529E+6	
2.78436	8.53381E+6	2.78436	8.53381E+6	
2.78444	8.53307E+6	2.78444	8.53307E+6	
2.78451	8.53749E+6	2.78451	8.53749E+6	
2.78459	8.53233E+6	2.78459	8.53233E+6	
2.78466	8.5344E+6	2.78466	8.5344E+6	
2.78474	8.53673E+6	2.78474	8.53673E+6	
2.78481	8.53253E+6	2.78481	8.53253E+6	
2.78489	8.53637E+6	2.78489	8.53637E+6	
2.78496	8.53953E+6	2.78496	8.53953E+6	
2.78504	8.53558E+6	2.78504	8.53558E+6	
2.78511	8.53282E+6	2.78511	8.53282E+6	
2.78519	8.53638E+6	2.78519	8.53638E+6	
2.78526	8.53539E+6	2.78526	8.53539E+6	
2.78534	8.53398E+6	2.78534	8.53398E+6	
2.78541	8.53458E+6	2.78541	8.53458E+6	
2.78549	8.53463E+6	2.78549	8.53463E+6	
2.78556	8.53241E+6	2.78556	8.53241E+6	
2.78564	8.53483E+6	2.78564	8.53483E+6	
2.78571	8.53147E+6	2.78571	8.53147E+6	
2.78579	8.53706E+6	2.78579	8.53706E+6	
2.78586	8.53319E+6	2.78586	8.53319E+6	
2.78594	8.53171E+6	2.78594	8.53171E+6	
2.78602	8.53407E+6	2.78602	8.53407E+6	
2.78609	8.53436E+6	2.78609	8.53436E+6	
2.78617	8.53675E+6	2.78617	8.53675E+6	
2.78624	8.53513E+6	2.78624	8.53513E+6	
2.78632	8.53229E+6	2.78632	8.53229E+6	
2.78639	8.53448E+6	2.78639	8.53448E+6	
2.78647	8.53309E+6	2.78647	8.53309E+6	
2.78654	8.53434E+6	2.78654	8.53434E+6	
2.78662	8.53383E+6	2.78662	8.53383E+6	
2.78669	8.53013E+6	2.78669	8.53013E+6	
2.78677	8.53713E+6	2.78677	8.53713E+6	
2.78684	8.53517E+6	2.78684	8.53517E+6	
2.78692	8.53189E+6	2.78692	8.53189E+6	
2.78699	8.53657E+6	2.78699	8.53657E+6	
2.78707	8.53445E+6	2.78707	8.53445E+6	
2.78714	8.53374E+6	2.78714	8.53374E+6	
2.78722	8.53211E+6	2.78722	8.53211E+6	
2.78729	8.53475E+6	2.78729	8.53475E+6	
2.78737	8.53057E+6	2.78737	8.53057E+6	
2.78744	8.53499E+6	2.78744	8.53499E+6	
2.78752	8.53162E+6	2.78752	8.53162E+6	
2.78759	8.53373E+6	2.78759	8.53373E+6	
2.78767	8.53238E+6	2.78767	8.53238E+6	
2.78774	8.53548E+6	2.78774	8.53548E+6	
2.78782	8.53255E+6	2.78782	8.53255E+6	
2.78789	8.5333E+6	2.78789	8.5333E+6	
2.78797	8.53364E+6	2.78797	8.53364E+6	
2.78805	8.53414E+6	2.78805	8.53414E+6	
2.78812	8.53567E+6	2.78812	8.53567E+6	
2.7882	8.53405E+6	2.7882	8.53405E+6	
2.78827	8.53144E+6	2.78827	8.53144E+6	
2.78835	8.53382E+6	2.78835	8.53382E+6	
2.78842	8.53447E+6	2.78842	8.53447E+6	
2.7885	8.53282E+6	2.7885	8.53282E+6	
2.78857	8.53548E+6	2.78857	8.53548E+6	
2.78865	8.53567E+6	2.78865	8.53567E+6	
2.78872	8.53451E+6	2.78872	8.53451E+6	
2.7888	8.53338E+6	2.7888	8.53338E+6	
2.78887	8.53414E+6	2.78887	8.53414E+6	
2.78895	8.53421E+6	2.78895	8.53421E+6	
2.78902	8.53324E+6	2.78902	8.53324E+6	
2.7891	8.53439E+6	2.7891	8.53439E+6	
2.78917	8.53288E+6	2.78917	8.53288E+6	
2.78925	8.53589E+6	2.78925	8.53589E+6	
2.78932	8.53094E+6	2.78932	8.53094E+6	
2.7894	8.53491E+6	2.7894	8.53491E+6	
2.78947	8.53422E+6	2.78947	8.53422E+6	
2.78955	8.53102E+6	2.78955	8.53102E+6	
2.78962	8.53112E+6	2.78962	8.53112E+6	
2.7897	8.53523E+6	2.7897	8.53523E+6	
2.78977	8.53354E+6	2.78977	8.53354E+6	
2.78985	8.53245E+6	2.78985	8.53245E+6	
2.78992	8.53195E+6	2.78992	8.53195E+6	
2.79	8.53273E+6	2.79	8.53273E+6	
2.79008	8.53557E+6	2.79008	8.53557E+6	
2.79015	8.53349E+6	2.79015	8.53349E+6	
2.79023	8.53364E+6	2.79023	8.53364E+6	
2.7903	8.53569E+6	2.7903	8.53569E+6	
2.79038	8.53151E+6	2.79038	8.53151E+6	
2.79045	8.53452E+6	2.79045	8.53452E+6	
2.79053	8.53285E+6	2.79053	8.53285E+6	
2.7906	8.52881E+6	2.7906	8.52881E+6	
2.79068	8.53018E+6	2.79068	8.53018E+6	
2.79075	8.53193E+6	2.79075	8.53193E+6	
2.79083	8.52869E+6	2.79083	8.52869E+6	
2.7909	8.53379E+6	2.7909	8.53379E+6	
2.79098	8.5332E+6	2.79098	8.5332E+6	
2.79105	8.52872E+6	2.79105	8.52872E+6	
2.79113	8.52868E+6	2.79113	8.52868E+6	
2.7912	8.52784E+6	2.7912	8.52784E+6	
2.79128	8.52977E+6	2.79128	8.52977E+6	
2.79135	8.52807E+6	2.79135	8.52807E+6	
2.79143	8.52785E+6	2.79143	8.52785E+6	
2.7915	8.52742E+6	2.7915	8.52742E+6	
2.79158	8.52724E+6	2.79158	8.52724E+6	
2.79165	8.52799E+6	2.79165	8.52799E+6	
2.79173	8.52734E+6	2.79173	8.52734E+6	
2.7918	8.52389E+6	2.7918	8.52389E+6	
2.79188	8.52602E+6	2.79188	8.52602E+6	
2.79195	8.52195E+6	2.79195	8.52195E+6	
2.79203	8.51894E+6	2.79203	8.51894E+6	
2.79211	8.52132E+6	2.79211	8.52132E+6	
2.79218	8.51771E+6	2.79218	8.51771E+6	
2.79226	8.52037E+6	2.79226	8.52037E+6	
2.79233	8.51833E+6	2.79233	8.51833E+6	
2.79241	8.52089E+6	2.79241	8.52089E+6	
2.79248	8.52007E+6	2.79248	8.52007E+6	
2.79256	8.52017E+6	2.79256	8.52017E+6	
2.79263	8.5156E+6	2.79263	8.5156E+6	
2.79271	8.52131E+6	2.79271	8.52131E+6	
2.79278	8.52103E+6	2.79278	8.52103E+6	
2.79286	8.51772E+6	2.79286	8.51772E+6	
2.79293	8.51945E+6	2.79293	8.51945E+6	
2.79301	8.52026E+6	2.79301	8.52026E+6	
2.79308	8.52027E+6	2.79308	8.52027E+6	
2.79316	8.52299E+6	2.79316	8.52299E+6	
2.79323	8.52164E+6	2.79323	8.52164E+6	
2.79331	8.52283E+6	2.79331	8.52283E+6	
2.79338	8.52376E+6	2.79338	8.52376E+6	
2.79346	8.52403E+6	2.79346	8.52403E+6	
2.79353	8.52384E+6	2.79353	8.52384E+6	
2.79361	8.52289E+6	2.79361	8.52289E+6	
2.79368	8.52442E+6	2.79368	8.52442E+6	
2.79376	8.52365E+6	2.79376	8.52365E+6	
2.79383	8.52406E+6	2.79383	8.52406E+6	
2.79391	8.52258E+6	2.79391	8.52258E+6	
2.79398	8.52771E+6	2.79398	8.52771E+6	
2.79406	8.52412E+6	2.79406	8.52412E+6	
2.79414	8.52196E+6	2.79414	8.52196E+6	
2.79421	8.52428E+6	2.79421	8.52428E+6	
2.79429	8.52316E+6	2.79429	8.52316E+6	
2.79436	8.5174E+6	2.79436	8.5174E+6	
2.79444	8.52176E+6	2.79444	8.52176E+6	
2.79451	8.52236E+6	2.79451	8.52236E+6	
2.79459	8.52087E+6	2.79459	8.52087E+6	
2.79466	8.51837E+6	2.79466	8.51837E+6	
2.79474	8.52106E+6	2.79474	8.52106E+6	
2.79481	8.52041E+6	2.79481	8.52041E+6	
2.79489	8.52092E+6	2.79489	8.52092E+6	
2.79496	8.52109E+6	2.79496	8.52109E+6	
2.79504	8.51939E+6	2.79504	8.51939E+6	
2.79511	8.51864E+6	2.79511	8.51864E+6	
2.79519	8.52067E+6	2.79519	8.52067E+6	
2.79526	8.52512E+6	2.79526	8.52512E+6	
2.79534	8.52498E+6	2.79534	8.52498E+6	
