Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0.02	8.77137E+6	0.02	8.77137E+6	
0.0500251	8.78402E+6	0.0500251	8.78402E+6	
0.0800501	8.76866E+6	0.0800501	8.76866E+6	
0.110075	8.75098E+6	0.110075	8.75098E+6	
0.1401	8.74406E+6	0.1401	8.74406E+6	
0.170125	8.73499E+6	0.170125	8.73499E+6	
0.20015	8.7401E+6	0.20015	8.7401E+6	
0.230175	8.72949E+6	0.230175	8.72949E+6	
0.260201	8.72001E+6	0.260201	8.72001E+6	
0.290226	8.71933E+6	0.290226	8.71933E+6	
0.320251	8.72258E+6	0.320251	8.72258E+6	
0.350276	8.72903E+6	0.350276	8.72903E+6	
0.380301	8.72017E+6	0.380301	8.72017E+6	
0.410326	8.72231E+6	0.410326	8.72231E+6	
0.440351	8.72758E+6	0.440351	8.72758E+6	
0.470376	8.73122E+6	0.470376	8.73122E+6	
0.500401	8.7366E+6	0.500401	8.7366E+6	
0.530426	8.72725E+6	0.530426	8.72725E+6	
0.560451	8.72605E+6	0.560451	8.72605E+6	
0.590476	8.72162E+6	0.590476	8.72162E+6	
0.620501	8.71843E+6	0.620501	8.71843E+6	
0.650526	8.73871E+6	0.650526	8.73871E+6	
0.680551	8.7357E+6	0.680551	8.7357E+6	
0.710576	8.7293E+6	0.710576	8.7293E+6	
0.740602	8.73277E+6	0.740602	8.73277E+6	
0.770627	8.7258E+6	0.770627	8.7258E+6	
0.800652	8.72785E+6	0.800652	8.72785E+6	
0.830677	8.72706E+6	0.830677	8.72706E+6	
0.860702	8.73275E+6	0.860702	8.73275E+6	
0.890727	8.73346E+6	0.890727	8.73346E+6	
0.920752	8.73272E+6	0.920752	8.73272E+6	
0.950777	8.72269E+6	0.950777	8.72269E+6	
0.980802	8.73906E+6	0.980802	8.73906E+6	
1.01083	8.74409E+6	1.01083	8.74409E+6	
1.04085	8.72217E+6	1.04085	8.72217E+6	
1.07088	8.73398E+6	1.07088	8.73398E+6	
1.1009	8.72171E+6	1.1009	8.72171E+6	
1.13093	8.71676E+6	1.13093	8.71676E+6	
1.16095	8.72034E+6	1.16095	8.72034E+6	
1.19098	8.73228E+6	1.19098	8.73228E+6	
1.221	8.72963E+6	1.221	8.72963E+6	
1.25103	8.72747E+6	1.25103	8.72747E+6	
1.28105	8.72993E+6	1.28105	8.72993E+6	
1.31108	8.73179E+6	1.31108	8.73179E+6	
1.3411	8.72559E+6	1.3411	8.72559E+6	
1.37113	8.72386E+6	1.37113	8.72386E+6	
1.40115	8.72217E+6	1.40115	8.72217E+6	
1.43118	8.72734E+6	1.43118	8.72734E+6	
1.4612	8.717E+6	1.4612	8.717E+6	
