Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0.02	8.77535E+6	0.02	8.77535E+6	
0.0500251	8.77768E+6	0.0500251	8.77768E+6	
0.0800501	8.76781E+6	0.0800501	8.76781E+6	
0.110075	8.75965E+6	0.110075	8.75965E+6	
0.1401	8.74876E+6	0.1401	8.74876E+6	
0.170125	8.7258E+6	0.170125	8.7258E+6	
0.20015	8.74965E+6	0.20015	8.74965E+6	
0.230175	8.73999E+6	0.230175	8.73999E+6	
0.260201	8.73176E+6	0.260201	8.73176E+6	
0.290226	8.72909E+6	0.290226	8.72909E+6	
0.320251	8.72032E+6	0.320251	8.72032E+6	
0.350276	8.74937E+6	0.350276	8.74937E+6	
0.380301	8.72128E+6	0.380301	8.72128E+6	
0.410326	8.73615E+6	0.410326	8.73615E+6	
0.440351	8.72676E+6	0.440351	8.72676E+6	
0.470376	8.73601E+6	0.470376	8.73601E+6	
0.500401	8.72443E+6	0.500401	8.72443E+6	
0.530426	8.73711E+6	0.530426	8.73711E+6	
0.560451	8.71545E+6	0.560451	8.71545E+6	
0.590476	8.72381E+6	0.590476	8.72381E+6	
0.620501	8.72279E+6	0.620501	8.72279E+6	
0.650526	8.73622E+6	0.650526	8.73622E+6	
0.680551	8.73094E+6	0.680551	8.73094E+6	
0.710576	8.73615E+6	0.710576	8.73615E+6	
0.740602	8.72799E+6	0.740602	8.72799E+6	
0.770627	8.73738E+6	0.770627	8.73738E+6	
0.800652	8.74266E+6	0.800652	8.74266E+6	
0.830677	8.71682E+6	0.830677	8.71682E+6	
0.860702	8.73361E+6	0.860702	8.73361E+6	
0.890727	8.72676E+6	0.890727	8.72676E+6	
0.920752	8.74437E+6	0.920752	8.74437E+6	
0.950777	8.72875E+6	0.950777	8.72875E+6	
0.980802	8.73183E+6	0.980802	8.73183E+6	
1.01083	8.72011E+6	1.01083	8.72011E+6	
1.04085	8.74095E+6	1.04085	8.74095E+6	
1.07088	8.72656E+6	1.07088	8.72656E+6	
1.1009	8.7256E+6	1.1009	8.7256E+6	
