Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0.02	8.73508E+6	0.02	8.73508E+6	
0.0500251	8.73813E+6	0.0500251	8.73813E+6	
0.0800501	8.72353E+6	0.0800501	8.72353E+6	
0.110075	8.7114E+6	0.110075	8.7114E+6	
0.1401	8.70471E+6	0.1401	8.70471E+6	
0.170125	8.70039E+6	0.170125	8.70039E+6	
0.20015	8.69973E+6	0.20015	8.69973E+6	
0.230175	8.69088E+6	0.230175	8.69088E+6	
0.260201	8.67881E+6	0.260201	8.67881E+6	
0.290226	8.67256E+6	0.290226	8.67256E+6	
0.320251	8.68307E+6	0.320251	8.68307E+6	
0.350276	8.67827E+6	0.350276	8.67827E+6	
0.380301	8.68206E+6	0.380301	8.68206E+6	
0.410326	8.68132E+6	0.410326	8.68132E+6	
0.440351	8.67996E+6	0.440351	8.67996E+6	
0.470376	8.67425E+6	0.470376	8.67425E+6	
0.500401	8.67679E+6	0.500401	8.67679E+6	
0.530426	8.66226E+6	0.530426	8.66226E+6	
0.560451	8.6778E+6	0.560451	8.6778E+6	
0.590476	8.67632E+6	0.590476	8.67632E+6	
0.620501	8.67194E+6	0.620501	8.67194E+6	
0.650526	8.66122E+6	0.650526	8.66122E+6	
0.680551	8.67067E+6	0.680551	8.67067E+6	
0.710576	8.67105E+6	0.710576	8.67105E+6	
0.740602	8.68265E+6	0.740602	8.68265E+6	
0.770627	8.66318E+6	0.770627	8.66318E+6	
0.800652	8.66297E+6	0.800652	8.66297E+6	
0.830677	8.67221E+6	0.830677	8.67221E+6	
0.860702	8.67315E+6	0.860702	8.67315E+6	
0.890727	8.66226E+6	0.890727	8.66226E+6	
0.920752	8.6659E+6	0.920752	8.6659E+6	
0.950777	8.66658E+6	0.950777	8.66658E+6	
0.980802	8.66629E+6	0.980802	8.66629E+6	
1.01083	8.6598E+6	1.01083	8.6598E+6	
1.04085	8.65228E+6	1.04085	8.65228E+6	
1.07088	8.65199E+6	1.07088	8.65199E+6	
1.1009	8.66732E+6	1.1009	8.66732E+6	
1.13093	8.66922E+6	1.13093	8.66922E+6	
1.16095	8.66842E+6	1.16095	8.66842E+6	
1.19098	8.6479E+6	1.19098	8.6479E+6	
1.221	8.645E+6	1.221	8.645E+6	
1.25103	8.65063E+6	1.25103	8.65063E+6	
1.28105	8.6559E+6	1.28105	8.6559E+6	
1.31108	8.65149E+6	1.31108	8.65149E+6	
1.3411	8.65027E+6	1.3411	8.65027E+6	
1.37113	8.64915E+6	1.37113	8.64915E+6	
1.40115	8.65915E+6	1.40115	8.65915E+6	
1.43118	8.65006E+6	1.43118	8.65006E+6	
1.4612	8.65678E+6	1.4612	8.65678E+6	
1.49123	8.65004E+6	1.49123	8.65004E+6	
1.52125	8.64293E+6	1.52125	8.64293E+6	
1.55128	8.64068E+6	1.55128	8.64068E+6	
1.5813	8.63985E+6	1.5813	8.63985E+6	
1.61133	8.63719E+6	1.61133	8.63719E+6	
1.64135	8.65374E+6	1.64135	8.65374E+6	
1.67138	8.6543E+6	1.67138	8.6543E+6	
1.7014	8.64039E+6	1.7014	8.64039E+6	
1.73143	8.645E+6	1.73143	8.645E+6	
1.76145	8.64702E+6	1.76145	8.64702E+6	
1.79148	8.64308E+6	1.79148	8.64308E+6	
1.8215	8.63748E+6	1.8215	8.63748E+6	
1.85153	8.63716E+6	1.85153	8.63716E+6	
1.88155	8.6326E+6	1.88155	8.6326E+6	
1.91158	8.64861E+6	1.91158	8.64861E+6	
1.9416	8.64406E+6	1.9416	8.64406E+6	
1.97163	8.63378E+6	1.97163	8.63378E+6	
2.00165	8.64515E+6	2.00165	8.64515E+6	
2.03168	8.63349E+6	2.03168	8.63349E+6	
2.0617	8.63325E+6	2.0617	8.63325E+6	
2.09173	8.64E+6	2.09173	8.64E+6	
2.12175	8.64269E+6	2.12175	8.64269E+6	
2.15178	8.63275E+6	2.15178	8.63275E+6	
2.1818	8.63263E+6	2.1818	8.63263E+6	
2.21183	8.6337E+6	2.21183	8.6337E+6	
2.24185	8.62535E+6	2.24185	8.62535E+6	
2.27188	8.6175E+6	2.27188	8.6175E+6	
2.3019	8.63867E+6	2.3019	8.63867E+6	
2.33193	8.63165E+6	2.33193	8.63165E+6	
2.36195	8.62144E+6	2.36195	8.62144E+6	
2.39198	8.61931E+6	2.39198	8.61931E+6	
2.42201	8.61457E+6	2.42201	8.61457E+6	
2.45203	8.62289E+6	2.45203	8.62289E+6	
2.48206	8.61617E+6	2.48206	8.61617E+6	
2.51208	8.62991E+6	2.51208	8.62991E+6	
2.54211	8.62322E+6	2.54211	8.62322E+6	
2.57213	8.62218E+6	2.57213	8.62218E+6	
2.60216	8.62949E+6	2.60216	8.62949E+6	
2.63218	8.62132E+6	2.63218	8.62132E+6	
2.66221	8.61303E+6	2.66221	8.61303E+6	
2.69223	8.61691E+6	2.69223	8.61691E+6	
2.72226	8.61552E+6	2.72226	8.61552E+6	
2.75228	8.62558E+6	2.75228	8.62558E+6	
2.78231	8.62431E+6	2.78231	8.62431E+6	
2.81233	8.6199E+6	2.81233	8.6199E+6	
2.84236	8.61434E+6	2.84236	8.61434E+6	
2.87238	8.61987E+6	2.87238	8.61987E+6	
2.90241	8.61759E+6	2.90241	8.61759E+6	
2.93243	8.62739E+6	2.93243	8.62739E+6	
2.96246	8.62049E+6	2.96246	8.62049E+6	
2.99248	8.62428E+6	2.99248	8.62428E+6	
3.02251	8.62579E+6	3.02251	8.62579E+6	
3.05253	8.6173E+6	3.05253	8.6173E+6	
3.08256	8.62076E+6	3.08256	8.62076E+6	
3.11258	8.62032E+6	3.11258	8.62032E+6	
3.14261	8.62405E+6	3.14261	8.62405E+6	
3.17263	8.61573E+6	3.17263	8.61573E+6	
3.20266	8.62334E+6	3.20266	8.62334E+6	
3.23268	8.61336E+6	3.23268	8.61336E+6	
3.26271	8.617E+6	3.26271	8.617E+6	
3.29273	8.62656E+6	3.29273	8.62656E+6	
3.32276	8.6162E+6	3.32276	8.6162E+6	
3.35278	8.60836E+6	3.35278	8.60836E+6	
3.38281	8.61588E+6	3.38281	8.61588E+6	
3.41283	8.61801E+6	3.41283	8.61801E+6	
3.44286	8.61517E+6	3.44286	8.61517E+6	
3.47288	8.61138E+6	3.47288	8.61138E+6	
