Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0.02	7.51103E+6	0.02	7.51103E+6	
0.14101	7.49853E+6	0.14101	7.49853E+6	
0.26202	7.47193E+6	0.26202	7.47193E+6	
0.38303	7.45024E+6	0.38303	7.45024E+6	
0.50404	7.43206E+6	0.50404	7.43206E+6	
0.625051	7.41989E+6	0.625051	7.41989E+6	
0.746061	7.40577E+6	0.746061	7.40577E+6	
0.867071	7.40006E+6	0.867071	7.40006E+6	
0.988081	7.39093E+6	0.988081	7.39093E+6	
1.10909	7.38636E+6	1.10909	7.38636E+6	
1.2301	7.38087E+6	1.2301	7.38087E+6	
1.35111	7.37442E+6	1.35111	7.37442E+6	
1.47212	7.37481E+6	1.47212	7.37481E+6	
1.59313	7.36416E+6	1.59313	7.36416E+6	
1.71414	7.3659E+6	1.71414	7.3659E+6	
1.83515	7.36178E+6	1.83515	7.36178E+6	
1.95616	7.35532E+6	1.95616	7.35532E+6	
2.07717	7.35533E+6	2.07717	7.35533E+6	
2.19818	7.35265E+6	2.19818	7.35265E+6	
2.31919	7.35131E+6	2.31919	7.35131E+6	
2.4402	7.34433E+6	2.4402	7.34433E+6	
2.56121	7.34843E+6	2.56121	7.34843E+6	
2.68222	7.34555E+6	2.68222	7.34555E+6	
2.80323	7.33808E+6	2.80323	7.33808E+6	
2.92424	7.33935E+6	2.92424	7.33935E+6	
3.04525	7.3331E+6	3.04525	7.3331E+6	
3.16626	7.3378E+6	3.16626	7.3378E+6	
3.28727	7.34008E+6	3.28727	7.34008E+6	
3.40828	7.33254E+6	3.40828	7.33254E+6	
3.52929	7.32872E+6	3.52929	7.32872E+6	
3.6503	7.33165E+6	3.6503	7.33165E+6	
3.77131	7.33004E+6	3.77131	7.33004E+6	
3.89232	7.32529E+6	3.89232	7.32529E+6	
4.01333	7.32697E+6	4.01333	7.32697E+6	
4.13434	7.32472E+6	4.13434	7.32472E+6	
4.25535	7.32421E+6	4.25535	7.32421E+6	
4.37636	7.32359E+6	4.37636	7.32359E+6	
4.49737	7.32651E+6	4.49737	7.32651E+6	
4.61838	7.32057E+6	4.61838	7.32057E+6	
4.73939	7.31774E+6	4.73939	7.31774E+6	
4.8604	7.32098E+6	4.8604	7.32098E+6	
4.98141	7.31372E+6	4.98141	7.31372E+6	
5.10242	7.32586E+6	5.10242	7.32586E+6	
5.22343	7.31998E+6	5.22343	7.31998E+6	
5.34444	7.32343E+6	5.34444	7.32343E+6	
5.46545	7.31736E+6	5.46545	7.31736E+6	
5.58646	7.31745E+6	5.58646	7.31745E+6	
5.70747	7.31856E+6	5.70747	7.31856E+6	
5.82848	7.31632E+6	5.82848	7.31632E+6	
5.94949	7.31761E+6	5.94949	7.31761E+6	
6.07051	7.31454E+6	6.07051	7.31454E+6	
6.19152	7.31747E+6	6.19152	7.31747E+6	
6.31253	7.31799E+6	6.31253	7.31799E+6	
6.43354	7.31449E+6	6.43354	7.31449E+6	
6.55455	7.31924E+6	6.55455	7.31924E+6	
6.67556	7.3202E+6	6.67556	7.3202E+6	
6.79657	7.32235E+6	6.79657	7.32235E+6	
6.91758	7.31715E+6	6.91758	7.31715E+6	
7.03859	7.3153E+6	7.03859	7.3153E+6	
7.1596	7.3217E+6	7.1596	7.3217E+6	
7.28061	7.32177E+6	7.28061	7.32177E+6	
7.40162	7.32202E+6	7.40162	7.32202E+6	
7.52263	7.3153E+6	7.52263	7.3153E+6	
7.64364	7.32075E+6	7.64364	7.32075E+6	
7.76465	7.31696E+6	7.76465	7.31696E+6	
7.88566	7.32326E+6	7.88566	7.32326E+6	
8.00667	7.32125E+6	8.00667	7.32125E+6	
8.12768	7.32096E+6	8.12768	7.32096E+6	
8.24869	7.32076E+6	8.24869	7.32076E+6	
8.3697	7.32033E+6	8.3697	7.32033E+6	
8.49071	7.32159E+6	8.49071	7.32159E+6	
8.61172	7.31923E+6	8.61172	7.31923E+6	
8.73273	7.32565E+6	8.73273	7.32565E+6	
8.85374	7.3232E+6	8.85374	7.3232E+6	
8.97475	7.31741E+6	8.97475	7.31741E+6	
9.09576	7.32384E+6	9.09576	7.32384E+6	
9.21677	7.31759E+6	9.21677	7.31759E+6	
9.33778	7.32333E+6	9.33778	7.32333E+6	
9.45879	7.32525E+6	9.45879	7.32525E+6	
9.5798	7.32156E+6	9.5798	7.32156E+6	
9.70081	7.32378E+6	9.70081	7.32378E+6	
9.82182	7.3203E+6	9.82182	7.3203E+6	
9.94283	7.32161E+6	9.94283	7.32161E+6	
10.0638	7.32243E+6	10.0638	7.32243E+6	
10.1848	7.32325E+6	10.1848	7.32325E+6	
10.3059	7.32417E+6	10.3059	7.32417E+6	
10.4269	7.32416E+6	10.4269	7.32416E+6	
10.5479	7.32696E+6	10.5479	7.32696E+6	
10.6689	7.32216E+6	10.6689	7.32216E+6	
10.7899	7.32239E+6	10.7899	7.32239E+6	
10.9109	7.32193E+6	10.9109	7.32193E+6	
11.0319	7.3226E+6	11.0319	7.3226E+6	
11.1529	7.3303E+6	11.1529	7.3303E+6	
11.2739	7.32585E+6	11.2739	7.32585E+6	
11.3949	7.32263E+6	11.3949	7.32263E+6	
11.516	7.32158E+6	11.516	7.32158E+6	
11.637	7.32301E+6	11.637	7.32301E+6	
11.758	7.33016E+6	11.758	7.33016E+6	
11.879	7.32622E+6	11.879	7.32622E+6	
12	7.32784E+6	12	7.32784E+6	
