Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
20	8.52549E+6	20	8.52549E+6	
44.8996	8.53115E+6	44.8996	8.53115E+6	
69.7992	8.53058E+6	69.7992	8.53058E+6	
94.6988	8.53577E+6	94.6988	8.53577E+6	
119.598	8.53941E+6	119.598	8.53941E+6	
144.498	8.53199E+6	144.498	8.53199E+6	
169.398	8.53344E+6	169.398	8.53344E+6	
194.297	8.52883E+6	194.297	8.52883E+6	
219.197	8.52414E+6	219.197	8.52414E+6	
244.096	8.52027E+6	244.096	8.52027E+6	
268.996	8.52181E+6	268.996	8.52181E+6	
293.896	8.52114E+6	293.896	8.52114E+6	
318.795	8.52925E+6	318.795	8.52925E+6	
343.695	8.52064E+6	343.695	8.52064E+6	
368.594	8.52321E+6	368.594	8.52321E+6	
393.494	8.52651E+6	393.494	8.52651E+6	
418.394	8.52015E+6	418.394	8.52015E+6	
443.293	8.51905E+6	443.293	8.51905E+6	
468.193	8.52509E+6	468.193	8.52509E+6	
493.092	8.51526E+6	493.092	8.51526E+6	
517.992	8.51983E+6	517.992	8.51983E+6	
542.892	8.52112E+6	542.892	8.52112E+6	
567.791	8.51855E+6	567.791	8.51855E+6	
592.691	8.52139E+6	592.691	8.52139E+6	
617.59	8.5165E+6	617.59	8.5165E+6	
642.49	8.52193E+6	642.49	8.52193E+6	
667.39	8.51447E+6	667.39	8.51447E+6	
692.289	8.51431E+6	692.289	8.51431E+6	
717.189	8.51795E+6	717.189	8.51795E+6	
742.088	8.52068E+6	742.088	8.52068E+6	
766.988	8.51291E+6	766.988	8.51291E+6	
791.888	8.51538E+6	791.888	8.51538E+6	
816.787	8.51752E+6	816.787	8.51752E+6	
841.687	8.51964E+6	841.687	8.51964E+6	
866.586	8.5153E+6	866.586	8.5153E+6	
891.486	8.5139E+6	891.486	8.5139E+6	
916.386	8.51814E+6	916.386	8.51814E+6	
941.285	8.5167E+6	941.285	8.5167E+6	
966.185	8.51392E+6	966.185	8.51392E+6	
991.084	8.5132E+6	991.084	8.5132E+6	
1015.98	8.51305E+6	1015.98	8.51305E+6	
1040.88	8.51296E+6	1040.88	8.51296E+6	
1065.78	8.51144E+6	1065.78	8.51144E+6	
1090.68	8.51168E+6	1090.68	8.51168E+6	
1115.58	8.51115E+6	1115.58	8.51115E+6	
1140.48	8.50935E+6	1140.48	8.50935E+6	
1165.38	8.5079E+6	1165.38	8.5079E+6	
1190.28	8.50738E+6	1190.28	8.50738E+6	
1215.18	8.51082E+6	1215.18	8.51082E+6	
1240.08	8.50725E+6	1240.08	8.50725E+6	
1264.98	8.50432E+6	1264.98	8.50432E+6	
1289.88	8.50951E+6	1289.88	8.50951E+6	
1314.78	8.50688E+6	1314.78	8.50688E+6	
1339.68	8.50232E+6	1339.68	8.50232E+6	
1364.58	8.50848E+6	1364.58	8.50848E+6	
1389.48	8.5081E+6	1389.48	8.5081E+6	
1414.38	8.50341E+6	1414.38	8.50341E+6	
1439.28	8.50293E+6	1439.28	8.50293E+6	
1464.18	8.50418E+6	1464.18	8.50418E+6	
1489.08	8.50744E+6	1489.08	8.50744E+6	
1513.98	8.50551E+6	1513.98	8.50551E+6	
1538.88	8.50498E+6	1538.88	8.50498E+6	
1563.78	8.50655E+6	1563.78	8.50655E+6	
1588.67	8.50551E+6	1588.67	8.50551E+6	
1613.57	8.50413E+6	1613.57	8.50413E+6	
1638.47	8.50599E+6	1638.47	8.50599E+6	
1663.37	8.50124E+6	1663.37	8.50124E+6	
1688.27	8.50083E+6	1688.27	8.50083E+6	
1713.17	8.50046E+6	1713.17	8.50046E+6	
1738.07	8.50316E+6	1738.07	8.50316E+6	
1762.97	8.50357E+6	1762.97	8.50357E+6	
1787.87	8.50111E+6	1787.87	8.50111E+6	
1812.77	8.50475E+6	1812.77	8.50475E+6	
1837.67	8.50503E+6	1837.67	8.50503E+6	
1862.57	8.50732E+6	1862.57	8.50732E+6	
1887.47	8.49902E+6	1887.47	8.49902E+6	
1912.37	8.49942E+6	1912.37	8.49942E+6	
1937.27	8.49813E+6	1937.27	8.49813E+6	
1962.17	8.50042E+6	1962.17	8.50042E+6	
1987.07	8.5018E+6	1987.07	8.5018E+6	
2011.97	8.49777E+6	2011.97	8.49777E+6	
2036.87	8.49522E+6	2036.87	8.49522E+6	
2061.77	8.50231E+6	2061.77	8.50231E+6	
2086.67	8.5044E+6	2086.67	8.5044E+6	
2111.57	8.50325E+6	2111.57	8.50325E+6	
2136.47	8.49763E+6	2136.47	8.49763E+6	
2161.37	8.5014E+6	2161.37	8.5014E+6	
2186.27	8.49834E+6	2186.27	8.49834E+6	
2211.16	8.49758E+6	2211.16	8.49758E+6	
2236.06	8.50223E+6	2236.06	8.50223E+6	
2260.96	8.4966E+6	2260.96	8.4966E+6	
2285.86	8.49384E+6	2285.86	8.49384E+6	
2310.76	8.49669E+6	2310.76	8.49669E+6	
2335.66	8.49772E+6	2335.66	8.49772E+6	
2360.56	8.49482E+6	2360.56	8.49482E+6	
2385.46	8.49115E+6	2385.46	8.49115E+6	
2410.36	8.48835E+6	2410.36	8.48835E+6	
2435.26	8.48725E+6	2435.26	8.48725E+6	
2460.16	8.49364E+6	2460.16	8.49364E+6	
2485.06	8.49394E+6	2485.06	8.49394E+6	
2509.96	8.49805E+6	2509.96	8.49805E+6	
2534.86	8.49239E+6	2534.86	8.49239E+6	
2559.76	8.49229E+6	2559.76	8.49229E+6	
2584.66	8.49069E+6	2584.66	8.49069E+6	
2609.56	8.49267E+6	2609.56	8.49267E+6	
2634.46	8.49539E+6	2634.46	8.49539E+6	
2659.36	8.49213E+6	2659.36	8.49213E+6	
2684.26	8.48877E+6	2684.26	8.48877E+6	
2709.16	8.4904E+6	2709.16	8.4904E+6	
2734.06	8.49097E+6	2734.06	8.49097E+6	
2758.96	8.49096E+6	2758.96	8.49096E+6	
2783.86	8.49024E+6	2783.86	8.49024E+6	
2808.76	8.49327E+6	2808.76	8.49327E+6	
2833.65	8.49449E+6	2833.65	8.49449E+6	
2858.55	8.48886E+6	2858.55	8.48886E+6	
2883.45	8.49003E+6	2883.45	8.49003E+6	
2908.35	8.48643E+6	2908.35	8.48643E+6	
2933.25	8.48804E+6	2933.25	8.48804E+6	
2958.15	8.49206E+6	2958.15	8.49206E+6	
2983.05	8.49047E+6	2983.05	8.49047E+6	
3007.95	8.49332E+6	3007.95	8.49332E+6	
3032.85	8.49093E+6	3032.85	8.49093E+6	
3057.75	8.48825E+6	3057.75	8.48825E+6	
3082.65	8.49341E+6	3082.65	8.49341E+6	
3107.55	8.49128E+6	3107.55	8.49128E+6	
3132.45	8.48898E+6	3132.45	8.48898E+6	
3157.35	8.49096E+6	3157.35	8.49096E+6	
3182.25	8.49304E+6	3182.25	8.49304E+6	
3207.15	8.48956E+6	3207.15	8.48956E+6	
3232.05	8.49323E+6	3232.05	8.49323E+6	
3256.95	8.49421E+6	3256.95	8.49421E+6	
3281.85	8.49166E+6	3281.85	8.49166E+6	
3306.75	8.49179E+6	3306.75	8.49179E+6	
3331.65	8.48793E+6	3331.65	8.48793E+6	
3356.55	8.49166E+6	3356.55	8.49166E+6	
3381.45	8.48736E+6	3381.45	8.48736E+6	
3406.35	8.49035E+6	3406.35	8.49035E+6	
3431.24	8.48567E+6	3431.24	8.48567E+6	
3456.14	8.48954E+6	3456.14	8.48954E+6	
3481.04	8.49019E+6	3481.04	8.49019E+6	
3505.94	8.48644E+6	3505.94	8.48644E+6	
3530.84	8.48636E+6	3530.84	8.48636E+6	
3555.74	8.4858E+6	3555.74	8.4858E+6	
3580.64	8.48772E+6	3580.64	8.48772E+6	
3605.54	8.48464E+6	3605.54	8.48464E+6	
3630.44	8.48469E+6	3630.44	8.48469E+6	
3655.34	8.48779E+6	3655.34	8.48779E+6	
3680.24	8.48392E+6	3680.24	8.48392E+6	
3705.14	8.48694E+6	3705.14	8.48694E+6	
3730.04	8.49035E+6	3730.04	8.49035E+6	
3754.94	8.48846E+6	3754.94	8.48846E+6	
3779.84	8.48663E+6	3779.84	8.48663E+6	
3804.74	8.48334E+6	3804.74	8.48334E+6	
3829.64	8.48821E+6	3829.64	8.48821E+6	
3854.54	8.49129E+6	3854.54	8.49129E+6	
3879.44	8.48857E+6	3879.44	8.48857E+6	
3904.34	8.48162E+6	3904.34	8.48162E+6	
3929.24	8.48592E+6	3929.24	8.48592E+6	
3954.14	8.48583E+6	3954.14	8.48583E+6	
3979.04	8.48677E+6	3979.04	8.48677E+6	
4003.94	8.48476E+6	4003.94	8.48476E+6	
4028.84	8.48703E+6	4028.84	8.48703E+6	
4053.73	8.48675E+6	4053.73	8.48675E+6	
4078.63	8.49252E+6	4078.63	8.49252E+6	
4103.53	8.4917E+6	4103.53	8.4917E+6	
4128.43	8.48752E+6	4128.43	8.48752E+6	
4153.33	8.48383E+6	4153.33	8.48383E+6	
4178.23	8.48091E+6	4178.23	8.48091E+6	
4203.13	8.4815E+6	4203.13	8.4815E+6	
4228.03	8.48445E+6	4228.03	8.48445E+6	
4252.93	8.4795E+6	4252.93	8.4795E+6	
4277.83	8.48581E+6	4277.83	8.48581E+6	
4302.73	8.4867E+6	4302.73	8.4867E+6	
4327.63	8.48787E+6	4327.63	8.48787E+6	
4352.53	8.49061E+6	4352.53	8.49061E+6	
4377.43	8.48699E+6	4377.43	8.48699E+6	
4402.33	8.48521E+6	4402.33	8.48521E+6	
4427.23	8.48901E+6	4427.23	8.48901E+6	
4452.13	8.48666E+6	4452.13	8.48666E+6	
4477.03	8.48865E+6	4477.03	8.48865E+6	
4501.93	8.48384E+6	4501.93	8.48384E+6	
4526.83	8.48546E+6	4526.83	8.48546E+6	
4551.73	8.4828E+6	4551.73	8.4828E+6	
4576.63	8.49113E+6	4576.63	8.49113E+6	
4601.53	8.48545E+6	4601.53	8.48545E+6	
4626.43	8.48348E+6	4626.43	8.48348E+6	
4651.33	8.47697E+6	4651.33	8.47697E+6	
