Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0.02	8.43873E+6	0.02	8.43873E+6	
0.021203	8.4499E+6	0.021203	8.4499E+6	
0.022406	8.44913E+6	0.022406	8.44913E+6	
0.023609	8.44999E+6	0.023609	8.44999E+6	
0.024812	8.44017E+6	0.024812	8.44017E+6	
0.026015	8.4425E+6	0.026015	8.4425E+6	
0.027218	8.43992E+6	0.027218	8.43992E+6	
0.0284211	8.44003E+6	0.0284211	8.44003E+6	
0.0296241	8.44006E+6	0.0296241	8.44006E+6	
0.0308271	8.43671E+6	0.0308271	8.43671E+6	
0.0320301	8.42712E+6	0.0320301	8.42712E+6	
0.0332331	8.41612E+6	0.0332331	8.41612E+6	
0.0344361	8.44655E+6	0.0344361	8.44655E+6	
0.0356391	8.42605E+6	0.0356391	8.42605E+6	
0.0368421	8.43836E+6	0.0368421	8.43836E+6	
0.0380451	8.42733E+6	0.0380451	8.42733E+6	
0.0392481	8.41958E+6	0.0392481	8.41958E+6	
0.0404511	8.41765E+6	0.0404511	8.41765E+6	
0.0416541	8.42838E+6	0.0416541	8.42838E+6	
0.0428571	8.41325E+6	0.0428571	8.41325E+6	
0.0440602	8.42279E+6	0.0440602	8.42279E+6	
0.0452632	8.40685E+6	0.0452632	8.40685E+6	
0.0464662	8.40792E+6	0.0464662	8.40792E+6	
0.0476692	8.40455E+6	0.0476692	8.40455E+6	
0.0488722	8.41174E+6	0.0488722	8.41174E+6	
0.0500752	8.40637E+6	0.0500752	8.40637E+6	
0.0512782	8.39617E+6	0.0512782	8.39617E+6	
0.0524812	8.40346E+6	0.0524812	8.40346E+6	
0.0536842	8.38987E+6	0.0536842	8.38987E+6	
0.0548872	8.3948E+6	0.0548872	8.3948E+6	
0.0560902	8.3881E+6	0.0560902	8.3881E+6	
0.0572932	8.3968E+6	0.0572932	8.3968E+6	
0.0584962	8.38994E+6	0.0584962	8.38994E+6	
0.0596992	8.38154E+6	0.0596992	8.38154E+6	
0.0609023	8.3885E+6	0.0609023	8.3885E+6	
0.0621053	8.38424E+6	0.0621053	8.38424E+6	
0.0633083	8.37884E+6	0.0633083	8.37884E+6	
0.0645113	8.38985E+6	0.0645113	8.38985E+6	
0.0657143	8.37712E+6	0.0657143	8.37712E+6	
0.0669173	8.37791E+6	0.0669173	8.37791E+6	
0.0681203	8.37621E+6	0.0681203	8.37621E+6	
0.0693233	8.37223E+6	0.0693233	8.37223E+6	
0.0705263	8.37872E+6	0.0705263	8.37872E+6	
0.0717293	8.37074E+6	0.0717293	8.37074E+6	
0.0729323	8.36963E+6	0.0729323	8.36963E+6	
0.0741353	8.367E+6	0.0741353	8.367E+6	
0.0753383	8.36495E+6	0.0753383	8.36495E+6	
0.0765414	8.38368E+6	0.0765414	8.38368E+6	
0.0777444	8.37444E+6	0.0777444	8.37444E+6	
0.0789474	8.36304E+6	0.0789474	8.36304E+6	
0.0801504	8.36446E+6	0.0801504	8.36446E+6	
0.0813534	8.36746E+6	0.0813534	8.36746E+6	
0.0825564	8.36686E+6	0.0825564	8.36686E+6	
0.0837594	8.37009E+6	0.0837594	8.37009E+6	
0.0849624	8.36088E+6	0.0849624	8.36088E+6	
0.0861654	8.35343E+6	0.0861654	8.35343E+6	
0.0873684	8.37267E+6	0.0873684	8.37267E+6	
0.0885714	8.35725E+6	0.0885714	8.35725E+6	
0.0897744	8.3646E+6	0.0897744	8.3646E+6	
0.0909774	8.36158E+6	0.0909774	8.36158E+6	
0.0921805	8.36853E+6	0.0921805	8.36853E+6	
0.0933835	8.34969E+6	0.0933835	8.34969E+6	
0.0945865	8.34506E+6	0.0945865	8.34506E+6	
0.0957895	8.36327E+6	0.0957895	8.36327E+6	
0.0969925	8.35527E+6	0.0969925	8.35527E+6	
0.0981955	8.3586E+6	0.0981955	8.3586E+6	
0.0993985	8.35397E+6	0.0993985	8.35397E+6	
0.100602	8.34603E+6	0.100602	8.34603E+6	
0.101805	8.35755E+6	0.101805	8.35755E+6	
0.103008	8.35357E+6	0.103008	8.35357E+6	
0.104211	8.34964E+6	0.104211	8.34964E+6	
0.105414	8.36451E+6	0.105414	8.36451E+6	
0.106617	8.35706E+6	0.106617	8.35706E+6	
0.10782	8.34554E+6	0.10782	8.34554E+6	
0.109023	8.34734E+6	0.109023	8.34734E+6	
0.110226	8.35176E+6	0.110226	8.35176E+6	
0.111429	8.35294E+6	0.111429	8.35294E+6	
0.112632	8.35771E+6	0.112632	8.35771E+6	
0.113835	8.35643E+6	0.113835	8.35643E+6	
0.115038	8.35795E+6	0.115038	8.35795E+6	
0.116241	8.34994E+6	0.116241	8.34994E+6	
0.117444	8.35397E+6	0.117444	8.35397E+6	
0.118647	8.35613E+6	0.118647	8.35613E+6	
0.11985	8.35811E+6	0.11985	8.35811E+6	
0.121053	8.35697E+6	0.121053	8.35697E+6	
0.122256	8.36099E+6	0.122256	8.36099E+6	
0.123459	8.35427E+6	0.123459	8.35427E+6	
0.124662	8.36134E+6	0.124662	8.36134E+6	
0.125865	8.36644E+6	0.125865	8.36644E+6	
0.127068	8.35262E+6	0.127068	8.35262E+6	
0.128271	8.35704E+6	0.128271	8.35704E+6	
0.129474	8.35834E+6	0.129474	8.35834E+6	
0.130677	8.36558E+6	0.130677	8.36558E+6	
0.13188	8.36746E+6	0.13188	8.36746E+6	
0.133083	8.35927E+6	0.133083	8.35927E+6	
0.134286	8.36444E+6	0.134286	8.36444E+6	
0.135489	8.35636E+6	0.135489	8.35636E+6	
0.136692	8.35834E+6	0.136692	8.35834E+6	
0.137895	8.36576E+6	0.137895	8.36576E+6	
0.139098	8.36262E+6	0.139098	8.36262E+6	
0.140301	8.37049E+6	0.140301	8.37049E+6	
0.141504	8.35297E+6	0.141504	8.35297E+6	
0.142707	8.36981E+6	0.142707	8.36981E+6	
0.14391	8.36472E+6	0.14391	8.36472E+6	
0.145113	8.36453E+6	0.145113	8.36453E+6	
0.146316	8.37165E+6	0.146316	8.37165E+6	
0.147519	8.36125E+6	0.147519	8.36125E+6	
0.148722	8.36979E+6	0.148722	8.36979E+6	
0.149925	8.3683E+6	0.149925	8.3683E+6	
0.151128	8.36244E+6	0.151128	8.36244E+6	
0.152331	8.38547E+6	0.152331	8.38547E+6	
0.153534	8.36604E+6	0.153534	8.36604E+6	
0.154737	8.36914E+6	0.154737	8.36914E+6	
0.15594	8.36137E+6	0.15594	8.36137E+6	
0.157143	8.36835E+6	0.157143	8.36835E+6	
0.158346	8.36967E+6	0.158346	8.36967E+6	
0.159549	8.38405E+6	0.159549	8.38405E+6	
0.160752	8.36711E+6	0.160752	8.36711E+6	
0.161955	8.36476E+6	0.161955	8.36476E+6	
0.163158	8.36518E+6	0.163158	8.36518E+6	
0.164361	8.37216E+6	0.164361	8.37216E+6	
0.165564	8.38629E+6	0.165564	8.38629E+6	
0.166767	8.3764E+6	0.166767	8.3764E+6	
0.16797	8.37242E+6	0.16797	8.37242E+6	
0.169173	8.37949E+6	0.169173	8.37949E+6	
0.170376	8.37405E+6	0.170376	8.37405E+6	
0.171579	8.37493E+6	0.171579	8.37493E+6	
0.172782	8.36358E+6	0.172782	8.36358E+6	
0.173985	8.37407E+6	0.173985	8.37407E+6	
0.175188	8.37502E+6	0.175188	8.37502E+6	
0.176391	8.38224E+6	0.176391	8.38224E+6	
0.177594	8.37919E+6	0.177594	8.37919E+6	
0.178797	8.36509E+6	0.178797	8.36509E+6	
0.18	8.38303E+6	0.18	8.38303E+6	
0.181203	8.39068E+6	0.181203	8.39068E+6	
0.182406	8.37528E+6	0.182406	8.37528E+6	
0.183609	8.37849E+6	0.183609	8.37849E+6	
0.184812	8.38028E+6	0.184812	8.38028E+6	
0.186015	8.38086E+6	0.186015	8.38086E+6	
0.187218	8.38247E+6	0.187218	8.38247E+6	
0.188421	8.38249E+6	0.188421	8.38249E+6	
0.189624	8.38594E+6	0.189624	8.38594E+6	
0.190827	8.38242E+6	0.190827	8.38242E+6	
0.19203	8.38154E+6	0.19203	8.38154E+6	
0.193233	8.38452E+6	0.193233	8.38452E+6	
0.194436	8.38577E+6	0.194436	8.38577E+6	
0.195639	8.3787E+6	0.195639	8.3787E+6	
0.196842	8.39224E+6	0.196842	8.39224E+6	
0.198045	8.37751E+6	0.198045	8.37751E+6	
0.199248	8.38524E+6	0.199248	8.38524E+6	
0.200451	8.37677E+6	0.200451	8.37677E+6	
0.201654	8.38887E+6	0.201654	8.38887E+6	
0.202857	8.38084E+6	0.202857	8.38084E+6	
0.20406	8.38554E+6	0.20406	8.38554E+6	
0.205263	8.39066E+6	0.205263	8.39066E+6	
0.206466	8.3693E+6	0.206466	8.3693E+6	
0.207669	8.38319E+6	0.207669	8.38319E+6	
0.208872	8.37507E+6	0.208872	8.37507E+6	
0.210075	8.38117E+6	0.210075	8.38117E+6	
0.211278	8.37817E+6	0.211278	8.37817E+6	
0.212481	8.39515E+6	0.212481	8.39515E+6	
0.213684	8.38173E+6	0.213684	8.38173E+6	
0.214887	8.38161E+6	0.214887	8.38161E+6	
0.21609	8.38073E+6	0.21609	8.38073E+6	
0.217293	8.379E+6	0.217293	8.379E+6	
0.218496	8.39106E+6	0.218496	8.39106E+6	
0.219699	8.38212E+6	0.219699	8.38212E+6	
0.220902	8.38189E+6	0.220902	8.38189E+6	
0.222105	8.37991E+6	0.222105	8.37991E+6	
0.223308	8.38689E+6	0.223308	8.38689E+6	
0.224511	8.37195E+6	0.224511	8.37195E+6	
0.225714	8.38919E+6	0.225714	8.38919E+6	
0.226917	8.37726E+6	0.226917	8.37726E+6	
0.22812	8.38731E+6	0.22812	8.38731E+6	
0.229323	8.38782E+6	0.229323	8.38782E+6	
0.230526	8.38992E+6	0.230526	8.38992E+6	
0.231729	8.38508E+6	0.231729	8.38508E+6	
0.232932	8.39099E+6	0.232932	8.39099E+6	
0.234135	8.38577E+6	0.234135	8.38577E+6	
0.235338	8.38024E+6	0.235338	8.38024E+6	
0.236541	8.37493E+6	0.236541	8.37493E+6	
0.237744	8.3821E+6	0.237744	8.3821E+6	
0.238947	8.38124E+6	0.238947	8.38124E+6	
0.24015	8.38205E+6	0.24015	8.38205E+6	
0.241353	8.38014E+6	0.241353	8.38014E+6	
0.242556	8.38038E+6	0.242556	8.38038E+6	
0.243759	8.38966E+6	0.243759	8.38966E+6	
0.244962	8.38501E+6	0.244962	8.38501E+6	
0.246165	8.37579E+6	0.246165	8.37579E+6	
0.247368	8.3824E+6	0.247368	8.3824E+6	
0.248571	8.38903E+6	0.248571	8.38903E+6	
0.249774	8.37109E+6	0.249774	8.37109E+6	
0.250977	8.38131E+6	0.250977	8.38131E+6	
0.25218	8.37514E+6	0.25218	8.37514E+6	
0.253383	8.37831E+6	0.253383	8.37831E+6	
0.254586	8.37917E+6	0.254586	8.37917E+6	
0.255789	8.37305E+6	0.255789	8.37305E+6	
0.256992	8.37307E+6	0.256992	8.37307E+6	
0.258195	8.38961E+6	0.258195	8.38961E+6	
0.259398	8.38652E+6	0.259398	8.38652E+6	
0.260602	8.37961E+6	0.260602	8.37961E+6	
0.261805	8.38477E+6	0.261805	8.38477E+6	
0.263008	8.38147E+6	0.263008	8.38147E+6	
0.264211	8.38952E+6	0.264211	8.38952E+6	
0.265414	8.38287E+6	0.265414	8.38287E+6	
0.266617	8.37863E+6	0.266617	8.37863E+6	
0.26782	8.37896E+6	0.26782	8.37896E+6	
0.269023	8.37868E+6	0.269023	8.37868E+6	
0.270226	8.37654E+6	0.270226	8.37654E+6	
0.271429	8.38093E+6	0.271429	8.38093E+6	
0.272632	8.38308E+6	0.272632	8.38308E+6	
0.273835	8.37679E+6	0.273835	8.37679E+6	
0.275038	8.37677E+6	0.275038	8.37677E+6	
0.276241	8.38415E+6	0.276241	8.38415E+6	
0.277444	8.39003E+6	0.277444	8.39003E+6	
0.278647	8.39866E+6	0.278647	8.39866E+6	
0.27985	8.37993E+6	0.27985	8.37993E+6	
0.281053	8.38496E+6	0.281053	8.38496E+6	
0.282256	8.37437E+6	0.282256	8.37437E+6	
0.283459	8.38308E+6	0.283459	8.38308E+6	
0.284662	8.37454E+6	0.284662	8.37454E+6	
0.285865	8.37893E+6	0.285865	8.37893E+6	
0.287068	8.376E+6	0.287068	8.376E+6	
0.288271	8.37223E+6	0.288271	8.37223E+6	
0.289474	8.37533E+6	0.289474	8.37533E+6	
0.290677	8.38375E+6	0.290677	8.38375E+6	
0.29188	8.37386E+6	0.29188	8.37386E+6	
0.293083	8.37295E+6	0.293083	8.37295E+6	
0.294286	8.36718E+6	0.294286	8.36718E+6	
0.295489	8.37686E+6	0.295489	8.37686E+6	
0.296692	8.38487E+6	0.296692	8.38487E+6	
0.297895	8.38643E+6	0.297895	8.38643E+6	
0.299098	8.3814E+6	0.299098	8.3814E+6	
0.300301	8.36828E+6	0.300301	8.36828E+6	
0.301504	8.38189E+6	0.301504	8.38189E+6	
0.302707	8.37726E+6	0.302707	8.37726E+6	
0.30391	8.36844E+6	0.30391	8.36844E+6	
0.305113	8.38075E+6	0.305113	8.38075E+6	
0.306316	8.37414E+6	0.306316	8.37414E+6	
0.307519	8.37849E+6	0.307519	8.37849E+6	
0.308722	8.37577E+6	0.308722	8.37577E+6	
0.309925	8.37875E+6	0.309925	8.37875E+6	
0.311128	8.37228E+6	0.311128	8.37228E+6	
0.312331	8.37942E+6	0.312331	8.37942E+6	
0.313534	8.38112E+6	0.313534	8.38112E+6	
0.314737	8.382E+6	0.314737	8.382E+6	
0.31594	8.38887E+6	0.31594	8.38887E+6	
0.317143	8.37565E+6	0.317143	8.37565E+6	
0.318346	8.381E+6	0.318346	8.381E+6	
0.319549	8.37938E+6	0.319549	8.37938E+6	
0.320752	8.37924E+6	0.320752	8.37924E+6	
0.321955	8.39134E+6	0.321955	8.39134E+6	
0.323158	8.37535E+6	0.323158	8.37535E+6	
0.324361	8.37603E+6	0.324361	8.37603E+6	
0.325564	8.37991E+6	0.325564	8.37991E+6	
0.326767	8.36949E+6	0.326767	8.36949E+6	
0.32797	8.36891E+6	0.32797	8.36891E+6	
0.329173	8.37472E+6	0.329173	8.37472E+6	
0.330376	8.36795E+6	0.330376	8.36795E+6	
0.331579	8.36462E+6	0.331579	8.36462E+6	
0.332782	8.38003E+6	0.332782	8.38003E+6	
0.333985	8.38645E+6	0.333985	8.38645E+6	
0.335188	8.37863E+6	0.335188	8.37863E+6	
0.336391	8.37942E+6	0.336391	8.37942E+6	
0.337594	8.37288E+6	0.337594	8.37288E+6	
0.338797	8.3801E+6	0.338797	8.3801E+6	
0.34	8.37644E+6	0.34	8.37644E+6	
0.341203	8.37512E+6	0.341203	8.37512E+6	
0.342406	8.38608E+6	0.342406	8.38608E+6	
0.343609	8.38582E+6	0.343609	8.38582E+6	
0.344812	8.37691E+6	0.344812	8.37691E+6	
0.346015	8.38452E+6	0.346015	8.38452E+6	
0.347218	8.37898E+6	0.347218	8.37898E+6	
0.348421	8.37721E+6	0.348421	8.37721E+6	
0.349624	8.37032E+6	0.349624	8.37032E+6	
