Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.8	9.81371E+6	2.8	9.81371E+6	
2.8001	9.81227E+6	2.8001	9.81227E+6	
2.8002	9.81777E+6	2.8002	9.81777E+6	
2.8003	9.8147E+6	2.8003	9.8147E+6	
2.8004	9.81188E+6	2.8004	9.81188E+6	
2.8005	9.81416E+6	2.8005	9.81416E+6	
2.8006	9.81303E+6	2.8006	9.81303E+6	
2.8007	9.81387E+6	2.8007	9.81387E+6	
2.8008	9.81472E+6	2.8008	9.81472E+6	
2.8009	9.81245E+6	2.8009	9.81245E+6	
2.801	9.81454E+6	2.801	9.81454E+6	
2.8011	9.81175E+6	2.8011	9.81175E+6	
2.8012	9.81522E+6	2.8012	9.81522E+6	
2.8013	9.81382E+6	2.8013	9.81382E+6	
2.8014	9.8103E+6	2.8014	9.8103E+6	
2.8015	9.81007E+6	2.8015	9.81007E+6	
2.8016	9.8129E+6	2.8016	9.8129E+6	
2.8017	9.81068E+6	2.8017	9.81068E+6	
2.8018	9.81192E+6	2.8018	9.81192E+6	
2.8019	9.81164E+6	2.8019	9.81164E+6	
2.80201	9.81442E+6	2.80201	9.81442E+6	
2.80211	9.81394E+6	2.80211	9.81394E+6	
2.80221	9.80868E+6	2.80221	9.80868E+6	
2.80231	9.81221E+6	2.80231	9.81221E+6	
2.80241	9.81551E+6	2.80241	9.81551E+6	
2.80251	9.81421E+6	2.80251	9.81421E+6	
2.80261	9.81E+6	2.80261	9.81E+6	
2.80271	9.81267E+6	2.80271	9.81267E+6	
2.80281	9.81573E+6	2.80281	9.81573E+6	
2.80291	9.81035E+6	2.80291	9.81035E+6	
2.80301	9.8142E+6	2.80301	9.8142E+6	
2.80311	9.81622E+6	2.80311	9.81622E+6	
2.80321	9.8103E+6	2.80321	9.8103E+6	
2.80331	9.81301E+6	2.80331	9.81301E+6	
2.80341	9.81282E+6	2.80341	9.81282E+6	
2.80351	9.81587E+6	2.80351	9.81587E+6	
2.80361	9.81171E+6	2.80361	9.81171E+6	
2.80371	9.81215E+6	2.80371	9.81215E+6	
2.80381	9.8108E+6	2.80381	9.8108E+6	
2.80391	9.81583E+6	2.80391	9.81583E+6	
2.80401	9.81382E+6	2.80401	9.81382E+6	
2.80411	9.8141E+6	2.80411	9.8141E+6	
2.80421	9.81387E+6	2.80421	9.81387E+6	
2.80431	9.81029E+6	2.80431	9.81029E+6	
2.80441	9.81581E+6	2.80441	9.81581E+6	
2.80451	9.81585E+6	2.80451	9.81585E+6	
2.80461	9.81297E+6	2.80461	9.81297E+6	
2.80471	9.81045E+6	2.80471	9.81045E+6	
2.80481	9.81207E+6	2.80481	9.81207E+6	
2.80491	9.81511E+6	2.80491	9.81511E+6	
2.80501	9.81315E+6	2.80501	9.81315E+6	
2.80511	9.80904E+6	2.80511	9.80904E+6	
2.80521	9.81173E+6	2.80521	9.81173E+6	
2.80531	9.81352E+6	2.80531	9.81352E+6	
2.80541	9.81471E+6	2.80541	9.81471E+6	
2.80551	9.81143E+6	2.80551	9.81143E+6	
2.80561	9.81354E+6	2.80561	9.81354E+6	
2.80571	9.81E+6	2.80571	9.81E+6	
2.80581	9.81017E+6	2.80581	9.81017E+6	
2.80591	9.81058E+6	2.80591	9.81058E+6	
2.80602	9.81232E+6	2.80602	9.81232E+6	
2.80612	9.8144E+6	2.80612	9.8144E+6	
2.80622	9.80946E+6	2.80622	9.80946E+6	
2.80632	9.81344E+6	2.80632	9.81344E+6	
2.80642	9.81069E+6	2.80642	9.81069E+6	
2.80652	9.81082E+6	2.80652	9.81082E+6	
2.80662	9.80924E+6	2.80662	9.80924E+6	
2.80672	9.81214E+6	2.80672	9.81214E+6	
2.80682	9.80649E+6	2.80682	9.80649E+6	
2.80692	9.8086E+6	2.80692	9.8086E+6	
2.80702	9.80887E+6	2.80702	9.80887E+6	
