Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.82	6.05438E+6	2.82	6.05438E+6	
2.82013	6.05784E+6	2.82013	6.05784E+6	
2.82027	6.0734E+6	2.82027	6.0734E+6	
2.8204	6.07504E+6	2.8204	6.07504E+6	
2.82053	6.06864E+6	2.82053	6.06864E+6	
2.82067	6.06694E+6	2.82067	6.06694E+6	
2.8208	6.07088E+6	2.8208	6.07088E+6	
2.82093	6.07012E+6	2.82093	6.07012E+6	
2.82107	6.0696E+6	2.82107	6.0696E+6	
2.8212	6.06116E+6	2.8212	6.06116E+6	
2.82134	6.0669E+6	2.82134	6.0669E+6	
2.82147	6.06044E+6	2.82147	6.06044E+6	
2.8216	6.06564E+6	2.8216	6.06564E+6	
2.82174	6.07178E+6	2.82174	6.07178E+6	
2.82187	6.06926E+6	2.82187	6.06926E+6	
2.822	6.06092E+6	2.822	6.06092E+6	
2.82214	6.06282E+6	2.82214	6.06282E+6	
2.82227	6.07032E+6	2.82227	6.07032E+6	
2.8224	6.07172E+6	2.8224	6.07172E+6	
2.82254	6.0699E+6	2.82254	6.0699E+6	
2.82267	6.06096E+6	2.82267	6.06096E+6	
2.8228	6.07746E+6	2.8228	6.07746E+6	
2.82294	6.07408E+6	2.82294	6.07408E+6	
2.82307	6.0725E+6	2.82307	6.0725E+6	
2.82321	6.07202E+6	2.82321	6.07202E+6	
2.82334	6.06666E+6	2.82334	6.06666E+6	
2.82347	6.07454E+6	2.82347	6.07454E+6	
2.82361	6.06386E+6	2.82361	6.06386E+6	
2.82374	6.06726E+6	2.82374	6.06726E+6	
2.82387	6.07634E+6	2.82387	6.07634E+6	
2.82401	6.0666E+6	2.82401	6.0666E+6	
2.82414	6.0744E+6	2.82414	6.0744E+6	
2.82427	6.07118E+6	2.82427	6.07118E+6	
2.82441	6.0757E+6	2.82441	6.0757E+6	
2.82454	6.0702E+6	2.82454	6.0702E+6	
2.82467	6.05742E+6	2.82467	6.05742E+6	
2.82481	6.06298E+6	2.82481	6.06298E+6	
2.82494	6.06454E+6	2.82494	6.06454E+6	
2.82508	6.0741E+6	2.82508	6.0741E+6	
2.82521	6.07022E+6	2.82521	6.07022E+6	
2.82534	6.07526E+6	2.82534	6.07526E+6	
2.82548	6.0613E+6	2.82548	6.0613E+6	
2.82561	6.07134E+6	2.82561	6.07134E+6	
2.82574	6.07268E+6	2.82574	6.07268E+6	
2.82588	6.06798E+6	2.82588	6.06798E+6	
2.82601	6.07326E+6	2.82601	6.07326E+6	
2.82614	6.07124E+6	2.82614	6.07124E+6	
2.82628	6.06844E+6	2.82628	6.06844E+6	
2.82641	6.06592E+6	2.82641	6.06592E+6	
2.82654	6.08242E+6	2.82654	6.08242E+6	
2.82668	6.0642E+6	2.82668	6.0642E+6	
2.82681	6.07134E+6	2.82681	6.07134E+6	
2.82694	6.0669E+6	2.82694	6.0669E+6	
2.82708	6.07444E+6	2.82708	6.07444E+6	
2.82721	6.06868E+6	2.82721	6.06868E+6	
2.82735	6.06816E+6	2.82735	6.06816E+6	
2.82748	6.07454E+6	2.82748	6.07454E+6	
2.82761	6.071E+6	2.82761	6.071E+6	
2.82775	6.06652E+6	2.82775	6.06652E+6	
2.82788	6.06652E+6	2.82788	6.06652E+6	
2.82801	6.06964E+6	2.82801	6.06964E+6	
2.82815	6.06376E+6	2.82815	6.06376E+6	
2.82828	6.07588E+6	2.82828	6.07588E+6	
2.82841	6.0622E+6	2.82841	6.0622E+6	
2.82855	6.07472E+6	2.82855	6.07472E+6	
2.82868	6.0676E+6	2.82868	6.0676E+6	
2.82881	6.07348E+6	2.82881	6.07348E+6	
2.82895	6.07106E+6	2.82895	6.07106E+6	
2.82908	6.07468E+6	2.82908	6.07468E+6	
2.82922	6.07574E+6	2.82922	6.07574E+6	
2.82935	6.07798E+6	2.82935	6.07798E+6	
2.82948	6.07356E+6	2.82948	6.07356E+6	
2.82962	6.0716E+6	2.82962	6.0716E+6	
2.82975	6.0661E+6	2.82975	6.0661E+6	
2.82988	6.05898E+6	2.82988	6.05898E+6	
2.83002	6.0653E+6	2.83002	6.0653E+6	
2.83015	6.06942E+6	2.83015	6.06942E+6	
2.83028	6.07746E+6	2.83028	6.07746E+6	
2.83042	6.07372E+6	2.83042	6.07372E+6	
2.83055	6.06446E+6	2.83055	6.06446E+6	
2.83068	6.06864E+6	2.83068	6.06864E+6	
2.83082	6.06922E+6	2.83082	6.06922E+6	
2.83095	6.05934E+6	2.83095	6.05934E+6	
2.83109	6.07406E+6	2.83109	6.07406E+6	
2.83122	6.06914E+6	2.83122	6.06914E+6	
2.83135	6.07346E+6	2.83135	6.07346E+6	
2.83149	6.06672E+6	2.83149	6.06672E+6	
2.83162	6.06356E+6	2.83162	6.06356E+6	
2.83175	6.06916E+6	2.83175	6.06916E+6	
2.83189	6.07654E+6	2.83189	6.07654E+6	
2.83202	6.07588E+6	2.83202	6.07588E+6	
2.83215	6.06804E+6	2.83215	6.06804E+6	
2.83229	6.07016E+6	2.83229	6.07016E+6	
2.83242	6.05688E+6	2.83242	6.05688E+6	
2.83255	6.06128E+6	2.83255	6.06128E+6	
2.83269	6.07754E+6	2.83269	6.07754E+6	
2.83282	6.06538E+6	2.83282	6.06538E+6	
2.83295	6.0704E+6	2.83295	6.0704E+6	
2.83309	6.07922E+6	2.83309	6.07922E+6	
2.83322	6.07562E+6	2.83322	6.07562E+6	
2.83336	6.06116E+6	2.83336	6.06116E+6	
2.83349	6.06782E+6	2.83349	6.06782E+6	
2.83362	6.06402E+6	2.83362	6.06402E+6	
2.83376	6.06516E+6	2.83376	6.06516E+6	
2.83389	6.07158E+6	2.83389	6.07158E+6	
2.83402	6.07204E+6	2.83402	6.07204E+6	
2.83416	6.05696E+6	2.83416	6.05696E+6	
2.83429	6.06716E+6	2.83429	6.06716E+6	
2.83442	6.06726E+6	2.83442	6.06726E+6	
2.83456	6.07248E+6	2.83456	6.07248E+6	
2.83469	6.07716E+6	2.83469	6.07716E+6	
2.83482	6.06252E+6	2.83482	6.06252E+6	
2.83496	6.07586E+6	2.83496	6.07586E+6	
2.83509	6.07792E+6	2.83509	6.07792E+6	
2.83523	6.0688E+6	2.83523	6.0688E+6	
2.83536	6.07398E+6	2.83536	6.07398E+6	
2.83549	6.06544E+6	2.83549	6.06544E+6	
2.83563	6.05904E+6	2.83563	6.05904E+6	
2.83576	6.06092E+6	2.83576	6.06092E+6	
2.83589	6.06666E+6	2.83589	6.06666E+6	
2.83603	6.06792E+6	2.83603	6.06792E+6	
2.83616	6.07554E+6	2.83616	6.07554E+6	
2.83629	6.07324E+6	2.83629	6.07324E+6	
2.83643	6.07314E+6	2.83643	6.07314E+6	
2.83656	6.0715E+6	2.83656	6.0715E+6	
2.83669	6.06366E+6	2.83669	6.06366E+6	
2.83683	6.0717E+6	2.83683	6.0717E+6	
2.83696	6.06186E+6	2.83696	6.06186E+6	
2.8371	6.0659E+6	2.8371	6.0659E+6	
