Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0.02	7.81612E+6	0.02	7.81612E+6	
0.0500251	7.83813E+6	0.0500251	7.83813E+6	
0.0800501	7.83334E+6	0.0800501	7.83334E+6	
0.110075	7.86814E+6	0.110075	7.86814E+6	
0.1401	7.83323E+6	0.1401	7.83323E+6	
0.170125	7.83729E+6	0.170125	7.83729E+6	
0.20015	7.83818E+6	0.20015	7.83818E+6	
0.230175	7.82807E+6	0.230175	7.82807E+6	
0.260201	7.82375E+6	0.260201	7.82375E+6	
0.290226	7.83371E+6	0.290226	7.83371E+6	
0.320251	7.82918E+6	0.320251	7.82918E+6	
0.350276	7.83613E+6	0.350276	7.83613E+6	
0.380301	7.82828E+6	0.380301	7.82828E+6	
0.410326	7.82897E+6	0.410326	7.82897E+6	
0.440351	7.81549E+6	0.440351	7.81549E+6	
0.470376	7.83218E+6	0.470376	7.83218E+6	
0.500401	7.83913E+6	0.500401	7.83913E+6	
0.530426	7.82797E+6	0.530426	7.82797E+6	
0.560451	7.8533E+6	0.560451	7.8533E+6	
0.590476	7.82028E+6	0.590476	7.82028E+6	
0.620501	7.84097E+6	0.620501	7.84097E+6	
0.650526	7.83376E+6	0.650526	7.83376E+6	
0.680551	7.84092E+6	0.680551	7.84092E+6	
0.710576	7.84561E+6	0.710576	7.84561E+6	
0.740602	7.84687E+6	0.740602	7.84687E+6	
0.770627	7.83955E+6	0.770627	7.83955E+6	
0.800652	7.85566E+6	0.800652	7.85566E+6	
0.830677	7.84276E+6	0.830677	7.84276E+6	
0.860702	7.8434E+6	0.860702	7.8434E+6	
0.890727	7.84666E+6	0.890727	7.84666E+6	
0.920752	7.86267E+6	0.920752	7.86267E+6	
0.950777	7.85993E+6	0.950777	7.85993E+6	
0.980802	7.83755E+6	0.980802	7.83755E+6	
1.01083	7.86177E+6	1.01083	7.86177E+6	
1.04085	7.85772E+6	1.04085	7.85772E+6	
1.07088	7.83971E+6	1.07088	7.83971E+6	
1.1009	7.85714E+6	1.1009	7.85714E+6	
1.13093	7.84245E+6	1.13093	7.84245E+6	
1.16095	7.84303E+6	1.16095	7.84303E+6	
1.19098	7.86183E+6	1.19098	7.86183E+6	
1.221	7.84666E+6	1.221	7.84666E+6	
1.25103	7.85851E+6	1.25103	7.85851E+6	
1.28105	7.85819E+6	1.28105	7.85819E+6	
1.31108	7.8464E+6	1.31108	7.8464E+6	
1.3411	7.84935E+6	1.3411	7.84935E+6	
1.37113	7.8444E+6	1.37113	7.8444E+6	
1.40115	7.84503E+6	1.40115	7.84503E+6	
1.43118	7.85487E+6	1.43118	7.85487E+6	
1.4612	7.84292E+6	1.4612	7.84292E+6	
1.49123	7.86577E+6	1.49123	7.86577E+6	
1.52125	7.86825E+6	1.52125	7.86825E+6	
1.55128	7.85656E+6	1.55128	7.85656E+6	
1.5813	7.83866E+6	1.5813	7.83866E+6	
1.61133	7.84982E+6	1.61133	7.84982E+6	
1.64135	7.84524E+6	1.64135	7.84524E+6	
1.67138	7.86899E+6	1.67138	7.86899E+6	
1.7014	7.85272E+6	1.7014	7.85272E+6	
1.73143	7.85477E+6	1.73143	7.85477E+6	
1.76145	7.85703E+6	1.76145	7.85703E+6	
1.79148	7.85093E+6	1.79148	7.85093E+6	
1.8215	7.83687E+6	1.8215	7.83687E+6	
1.85153	7.86225E+6	1.85153	7.86225E+6	
1.88155	7.86225E+6	1.88155	7.86225E+6	
1.91158	7.8604E+6	1.91158	7.8604E+6	
1.9416	7.85266E+6	1.9416	7.85266E+6	
1.97163	7.86904E+6	1.97163	7.86904E+6	
2.00165	7.84613E+6	2.00165	7.84613E+6	
2.03168	7.84803E+6	2.03168	7.84803E+6	
2.0617	7.86799E+6	2.0617	7.86799E+6	
2.09173	7.86435E+6	2.09173	7.86435E+6	
2.12175	7.85493E+6	2.12175	7.85493E+6	
2.15178	7.84413E+6	2.15178	7.84413E+6	
2.1818	7.8544E+6	2.1818	7.8544E+6	
2.21183	7.85103E+6	2.21183	7.85103E+6	
2.24185	7.87151E+6	2.24185	7.87151E+6	
2.27188	7.85882E+6	2.27188	7.85882E+6	
2.3019	7.83518E+6	2.3019	7.83518E+6	
2.33193	7.8465E+6	2.33193	7.8465E+6	
2.36195	7.86635E+6	2.36195	7.86635E+6	
2.39198	7.84729E+6	2.39198	7.84729E+6	
2.42201	7.8484E+6	2.42201	7.8484E+6	
2.45203	7.83702E+6	2.45203	7.83702E+6	
2.48206	7.84545E+6	2.48206	7.84545E+6	
2.51208	7.84371E+6	2.51208	7.84371E+6	
2.54211	7.86298E+6	2.54211	7.86298E+6	
2.57213	7.83929E+6	2.57213	7.83929E+6	
2.60216	7.8603E+6	2.60216	7.8603E+6	
2.63218	7.84192E+6	2.63218	7.84192E+6	
2.66221	7.85714E+6	2.66221	7.85714E+6	
2.69223	7.84655E+6	2.69223	7.84655E+6	
2.72226	7.85187E+6	2.72226	7.85187E+6	
2.75228	7.83644E+6	2.75228	7.83644E+6	
2.78231	7.84324E+6	2.78231	7.84324E+6	
2.81233	7.84108E+6	2.81233	7.84108E+6	
2.84236	7.85324E+6	2.84236	7.85324E+6	
2.87238	7.8386E+6	2.87238	7.8386E+6	
2.90241	7.84666E+6	2.90241	7.84666E+6	
2.93243	7.86177E+6	2.93243	7.86177E+6	
2.96246	7.85071E+6	2.96246	7.85071E+6	
2.99248	7.82881E+6	2.99248	7.82881E+6	
3.02251	7.85177E+6	3.02251	7.85177E+6	
3.05253	7.84434E+6	3.05253	7.84434E+6	
3.08256	7.81617E+6	3.08256	7.81617E+6	
3.11258	7.84792E+6	3.11258	7.84792E+6	
3.14261	7.84313E+6	3.14261	7.84313E+6	
3.17263	7.84371E+6	3.17263	7.84371E+6	
3.20266	7.85261E+6	3.20266	7.85261E+6	
3.23268	7.8395E+6	3.23268	7.8395E+6	
3.26271	7.8297E+6	3.26271	7.8297E+6	
3.29273	7.84898E+6	3.29273	7.84898E+6	
3.32276	7.85972E+6	3.32276	7.85972E+6	
3.35278	7.84413E+6	3.35278	7.84413E+6	
3.38281	7.84313E+6	3.38281	7.84313E+6	
3.41283	7.8287E+6	3.41283	7.8287E+6	
3.44286	7.84103E+6	3.44286	7.84103E+6	
3.47288	7.83397E+6	3.47288	7.83397E+6	
3.50291	7.84382E+6	3.50291	7.84382E+6	
3.53293	7.8514E+6	3.53293	7.8514E+6	
3.56296	7.83371E+6	3.56296	7.83371E+6	
3.59298	7.83049E+6	3.59298	7.83049E+6	
3.62301	7.8207E+6	3.62301	7.8207E+6	
3.65303	7.83476E+6	3.65303	7.83476E+6	
3.68306	7.84766E+6	3.68306	7.84766E+6	
3.71308	7.84192E+6	3.71308	7.84192E+6	
3.74311	7.82497E+6	3.74311	7.82497E+6	
3.77313	7.8505E+6	3.77313	7.8505E+6	
3.80316	7.83513E+6	3.80316	7.83513E+6	
3.83318	7.83902E+6	3.83318	7.83902E+6	
3.86321	7.8177E+6	3.86321	7.8177E+6	
3.89323	7.82586E+6	3.89323	7.82586E+6	
3.92326	7.85129E+6	3.92326	7.85129E+6	
3.95328	7.81364E+6	3.95328	7.81364E+6	
3.98331	7.84661E+6	3.98331	7.84661E+6	
4.01333	7.84282E+6	4.01333	7.84282E+6	
4.04336	7.84018E+6	4.04336	7.84018E+6	
4.07338	7.84866E+6	4.07338	7.84866E+6	
4.10341	7.82765E+6	4.10341	7.82765E+6	
4.13343	7.84582E+6	4.13343	7.84582E+6	
