Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
20	9.98871E+6	20	9.98871E+6	
44.8996	9.99656E+6	44.8996	9.99656E+6	
69.7992	9.99593E+6	69.7992	9.99593E+6	
94.6988	9.99663E+6	94.6988	9.99663E+6	
119.598	9.9955E+6	119.598	9.9955E+6	
144.498	9.99273E+6	144.498	9.99273E+6	
169.398	9.99449E+6	169.398	9.99449E+6	
194.297	9.99185E+6	194.297	9.99185E+6	
219.197	9.99268E+6	219.197	9.99268E+6	
244.096	9.98897E+6	244.096	9.98897E+6	
268.996	9.98758E+6	268.996	9.98758E+6	
293.896	9.98964E+6	293.896	9.98964E+6	
318.795	9.98886E+6	318.795	9.98886E+6	
343.695	9.98821E+6	343.695	9.98821E+6	
368.594	9.99669E+6	368.594	9.99669E+6	
393.494	9.99061E+6	393.494	9.99061E+6	
418.394	9.98936E+6	418.394	9.98936E+6	
443.293	9.99356E+6	443.293	9.99356E+6	
468.193	9.98909E+6	468.193	9.98909E+6	
493.092	9.99221E+6	493.092	9.99221E+6	
517.992	9.98886E+6	517.992	9.98886E+6	
542.892	9.99019E+6	542.892	9.99019E+6	
567.791	9.9899E+6	567.791	9.9899E+6	
592.691	9.98736E+6	592.691	9.98736E+6	
617.59	9.98996E+6	617.59	9.98996E+6	
642.49	9.98253E+6	642.49	9.98253E+6	
667.39	9.98941E+6	667.39	9.98941E+6	
692.289	9.98755E+6	692.289	9.98755E+6	
717.189	9.98898E+6	717.189	9.98898E+6	
742.088	9.99277E+6	742.088	9.99277E+6	
766.988	9.98545E+6	766.988	9.98545E+6	
791.888	9.98827E+6	791.888	9.98827E+6	
816.787	9.97941E+6	816.787	9.97941E+6	
841.687	9.98098E+6	841.687	9.98098E+6	
866.586	9.98883E+6	866.586	9.98883E+6	
891.486	9.98627E+6	891.486	9.98627E+6	
916.386	9.98202E+6	916.386	9.98202E+6	
941.285	9.98484E+6	941.285	9.98484E+6	
966.185	9.98495E+6	966.185	9.98495E+6	
991.084	9.9834E+6	991.084	9.9834E+6	
1015.98	9.98312E+6	1015.98	9.98312E+6	
1040.88	9.98316E+6	1040.88	9.98316E+6	
1065.78	9.98447E+6	1065.78	9.98447E+6	
1090.68	9.98858E+6	1090.68	9.98858E+6	
1115.58	9.98593E+6	1115.58	9.98593E+6	
1140.48	9.98536E+6	1140.48	9.98536E+6	
1165.38	9.98473E+6	1165.38	9.98473E+6	
1190.28	9.98553E+6	1190.28	9.98553E+6	
1215.18	9.983E+6	1215.18	9.983E+6	
1240.08	9.98042E+6	1240.08	9.98042E+6	
1264.98	9.97825E+6	1264.98	9.97825E+6	
1289.88	9.98321E+6	1289.88	9.98321E+6	
1314.78	9.98578E+6	1314.78	9.98578E+6	
1339.68	9.98056E+6	1339.68	9.98056E+6	
1364.58	9.97884E+6	1364.58	9.97884E+6	
1389.48	9.9826E+6	1389.48	9.9826E+6	
1414.38	9.98135E+6	1414.38	9.98135E+6	
1439.28	9.97698E+6	1439.28	9.97698E+6	
1464.18	9.97831E+6	1464.18	9.97831E+6	
1489.08	9.98011E+6	1489.08	9.98011E+6	
1513.98	9.98167E+6	1513.98	9.98167E+6	
1538.88	9.98006E+6	1538.88	9.98006E+6	
1563.78	9.9788E+6	1563.78	9.9788E+6	
1588.67	9.97794E+6	1588.67	9.97794E+6	
1613.57	9.97449E+6	1613.57	9.97449E+6	
1638.47	9.98172E+6	1638.47	9.98172E+6	
1663.37	9.97491E+6	1663.37	9.97491E+6	
1688.27	9.97932E+6	1688.27	9.97932E+6	
1713.17	9.97912E+6	1713.17	9.97912E+6	
1738.07	9.97614E+6	1738.07	9.97614E+6	
1762.97	9.98064E+6	1762.97	9.98064E+6	
1787.87	9.97605E+6	1787.87	9.97605E+6	
1812.77	9.97608E+6	1812.77	9.97608E+6	
