Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.845	1.37003E+6	2.845	1.37003E+6	
2.84513	1.36936E+6	2.84513	1.36936E+6	
2.84525	1.36807E+6	2.84525	1.36807E+6	
2.84538	1.36633E+6	2.84538	1.36633E+6	
2.8455	1.36967E+6	2.8455	1.36967E+6	
2.84563	1.37104E+6	2.84563	1.37104E+6	
2.84575	1.36878E+6	2.84575	1.36878E+6	
2.84588	1.37122E+6	2.84588	1.37122E+6	
2.846	1.36941E+6	2.846	1.36941E+6	
2.84613	1.3732E+6	2.84613	1.3732E+6	
2.84625	1.37121E+6	2.84625	1.37121E+6	
2.84638	1.36327E+6	2.84638	1.36327E+6	
2.8465	1.36986E+6	2.8465	1.36986E+6	
2.84663	1.36614E+6	2.84663	1.36614E+6	
2.84675	1.36681E+6	2.84675	1.36681E+6	
2.84688	1.36969E+6	2.84688	1.36969E+6	
2.84701	1.36706E+6	2.84701	1.36706E+6	
2.84713	1.36925E+6	2.84713	1.36925E+6	
2.84726	1.36679E+6	2.84726	1.36679E+6	
2.84738	1.37089E+6	2.84738	1.37089E+6	
2.84751	1.37008E+6	2.84751	1.37008E+6	
2.84763	1.37066E+6	2.84763	1.37066E+6	
2.84776	1.36823E+6	2.84776	1.36823E+6	
2.84788	1.36852E+6	2.84788	1.36852E+6	
2.84801	1.36947E+6	2.84801	1.36947E+6	
2.84813	1.369E+6	2.84813	1.369E+6	
2.84826	1.36922E+6	2.84826	1.36922E+6	
2.84838	1.36925E+6	2.84838	1.36925E+6	
2.84851	1.36479E+6	2.84851	1.36479E+6	
2.84863	1.37425E+6	2.84863	1.37425E+6	
2.84876	1.37148E+6	2.84876	1.37148E+6	
2.84888	1.37001E+6	2.84888	1.37001E+6	
2.84901	1.37107E+6	2.84901	1.37107E+6	
2.84914	1.36678E+6	2.84914	1.36678E+6	
2.84926	1.36775E+6	2.84926	1.36775E+6	
2.84939	1.36902E+6	2.84939	1.36902E+6	
2.84951	1.36898E+6	2.84951	1.36898E+6	
2.84964	1.36907E+6	2.84964	1.36907E+6	
2.84976	1.37079E+6	2.84976	1.37079E+6	
2.84989	1.36943E+6	2.84989	1.36943E+6	
2.85001	1.37004E+6	2.85001	1.37004E+6	
2.85014	1.36816E+6	2.85014	1.36816E+6	
2.85026	1.37123E+6	2.85026	1.37123E+6	
2.85039	1.36968E+6	2.85039	1.36968E+6	
2.85051	1.36935E+6	2.85051	1.36935E+6	
2.85064	1.36978E+6	2.85064	1.36978E+6	
2.85076	1.36862E+6	2.85076	1.36862E+6	
2.85089	1.36633E+6	2.85089	1.36633E+6	
2.85102	1.37031E+6	2.85102	1.37031E+6	
2.85114	1.3696E+6	2.85114	1.3696E+6	
2.85127	1.36592E+6	2.85127	1.36592E+6	
2.85139	1.36526E+6	2.85139	1.36526E+6	
2.85152	1.36464E+6	2.85152	1.36464E+6	
2.85164	1.3712E+6	2.85164	1.3712E+6	
2.85177	1.37075E+6	2.85177	1.37075E+6	
2.85189	1.37139E+6	2.85189	1.37139E+6	
2.85202	1.37081E+6	2.85202	1.37081E+6	
2.85214	1.37063E+6	2.85214	1.37063E+6	
2.85227	1.36942E+6	2.85227	1.36942E+6	
2.85239	1.3675E+6	2.85239	1.3675E+6	
2.85252	1.36633E+6	2.85252	1.36633E+6	
2.85264	1.37141E+6	2.85264	1.37141E+6	
2.85277	1.37163E+6	2.85277	1.37163E+6	
2.85289	1.36968E+6	2.85289	1.36968E+6	
2.85302	1.36455E+6	2.85302	1.36455E+6	
2.85315	1.37103E+6	2.85315	1.37103E+6	
2.85327	1.37008E+6	2.85327	1.37008E+6	
2.8534	1.36839E+6	2.8534	1.36839E+6	
2.85352	1.37123E+6	2.85352	1.37123E+6	
2.85365	1.36616E+6	2.85365	1.36616E+6	
2.85377	1.37188E+6	2.85377	1.37188E+6	
2.8539	1.36679E+6	2.8539	1.36679E+6	
2.85402	1.36904E+6	2.85402	1.36904E+6	
2.85415	1.36616E+6	2.85415	1.36616E+6	
2.85427	1.36411E+6	2.85427	1.36411E+6	
2.8544	1.37036E+6	2.8544	1.37036E+6	
2.85452	1.36847E+6	2.85452	1.36847E+6	
2.85465	1.36888E+6	2.85465	1.36888E+6	
2.85477	1.36691E+6	2.85477	1.36691E+6	
2.8549	1.36753E+6	2.8549	1.36753E+6	
2.85503	1.36891E+6	2.85503	1.36891E+6	
2.85515	1.36793E+6	2.85515	1.36793E+6	
2.85528	1.36806E+6	2.85528	1.36806E+6	
2.8554	1.36826E+6	2.8554	1.36826E+6	
2.85553	1.3687E+6	2.85553	1.3687E+6	
2.85565	1.37056E+6	2.85565	1.37056E+6	
2.85578	1.36626E+6	2.85578	1.36626E+6	
2.8559	1.36739E+6	2.8559	1.36739E+6	
2.85603	1.36876E+6	2.85603	1.36876E+6	
2.85615	1.36876E+6	2.85615	1.36876E+6	
2.85628	1.36674E+6	2.85628	1.36674E+6	
2.8564	1.36981E+6	2.8564	1.36981E+6	
2.85653	1.3669E+6	2.85653	1.3669E+6	
2.85665	1.36474E+6	2.85665	1.36474E+6	
2.85678	1.36684E+6	2.85678	1.36684E+6	
2.8569	1.36774E+6	2.8569	1.36774E+6	
2.85703	1.36415E+6	2.85703	1.36415E+6	
2.85716	1.37412E+6	2.85716	1.37412E+6	
2.85728	1.37104E+6	2.85728	1.37104E+6	
2.85741	1.36739E+6	2.85741	1.36739E+6	
2.85753	1.37078E+6	2.85753	1.37078E+6	
2.85766	1.36729E+6	2.85766	1.36729E+6	
2.85778	1.36972E+6	2.85778	1.36972E+6	
2.85791	1.36741E+6	2.85791	1.36741E+6	
2.85803	1.36858E+6	2.85803	1.36858E+6	
2.85816	1.36495E+6	2.85816	1.36495E+6	
2.85828	1.36862E+6	2.85828	1.36862E+6	
2.85841	1.36908E+6	2.85841	1.36908E+6	
2.85853	1.36989E+6	2.85853	1.36989E+6	
2.85866	1.37136E+6	2.85866	1.37136E+6	
2.85878	1.36445E+6	2.85878	1.36445E+6	
2.85891	1.36681E+6	2.85891	1.36681E+6	
2.85904	1.36987E+6	2.85904	1.36987E+6	
2.85916	1.36883E+6	2.85916	1.36883E+6	
2.85929	1.36681E+6	2.85929	1.36681E+6	
2.85941	1.36705E+6	2.85941	1.36705E+6	
2.85954	1.37157E+6	2.85954	1.37157E+6	
2.85966	1.36923E+6	2.85966	1.36923E+6	
2.85979	1.36777E+6	2.85979	1.36777E+6	
2.85991	1.36938E+6	2.85991	1.36938E+6	
2.86004	1.3682E+6	2.86004	1.3682E+6	
2.86016	1.36673E+6	2.86016	1.36673E+6	
2.86029	1.36694E+6	2.86029	1.36694E+6	
2.86041	1.36138E+6	2.86041	1.36138E+6	
2.86054	1.36618E+6	2.86054	1.36618E+6	
2.86066	1.3666E+6	2.86066	1.3666E+6	
2.86079	1.36303E+6	2.86079	1.36303E+6	
2.86091	1.36734E+6	2.86091	1.36734E+6	
2.86104	1.36426E+6	2.86104	1.36426E+6	
2.86117	1.36379E+6	2.86117	1.36379E+6	
2.86129	1.36362E+6	2.86129	1.36362E+6	
2.86142	1.36804E+6	2.86142	1.36804E+6	
2.86154	1.36583E+6	2.86154	1.36583E+6	
2.86167	1.36391E+6	2.86167	1.36391E+6	
2.86179	1.36555E+6	2.86179	1.36555E+6	
2.86192	1.36252E+6	2.86192	1.36252E+6	
2.86204	1.36352E+6	2.86204	1.36352E+6	
2.86217	1.36527E+6	2.86217	1.36527E+6	
2.86229	1.36032E+6	2.86229	1.36032E+6	
2.86242	1.36534E+6	2.86242	1.36534E+6	
2.86254	1.36347E+6	2.86254	1.36347E+6	
2.86267	1.36572E+6	2.86267	1.36572E+6	
2.86279	1.36404E+6	2.86279	1.36404E+6	
2.86292	1.36214E+6	2.86292	1.36214E+6	
2.86305	1.36539E+6	2.86305	1.36539E+6	
2.86317	1.36665E+6	2.86317	1.36665E+6	
2.8633	1.36138E+6	2.8633	1.36138E+6	
2.86342	1.35883E+6	2.86342	1.35883E+6	
2.86355	1.36128E+6	2.86355	1.36128E+6	
2.86367	1.35982E+6	2.86367	1.35982E+6	
2.8638	1.3607E+6	2.8638	1.3607E+6	
2.86392	1.36069E+6	2.86392	1.36069E+6	
2.86405	1.36209E+6	2.86405	1.36209E+6	
2.86417	1.35779E+6	2.86417	1.35779E+6	
2.8643	1.35845E+6	2.8643	1.35845E+6	
2.86442	1.35877E+6	2.86442	1.35877E+6	
2.86455	1.35699E+6	2.86455	1.35699E+6	
2.86467	1.35943E+6	2.86467	1.35943E+6	
2.8648	1.35906E+6	2.8648	1.35906E+6	
2.86492	1.36167E+6	2.86492	1.36167E+6	
2.86505	1.35994E+6	2.86505	1.35994E+6	
2.86518	1.35799E+6	2.86518	1.35799E+6	
2.8653	1.35456E+6	2.8653	1.35456E+6	
2.86543	1.35696E+6	2.86543	1.35696E+6	
2.86555	1.35805E+6	2.86555	1.35805E+6	
2.86568	1.35643E+6	2.86568	1.35643E+6	
2.8658	1.35576E+6	2.8658	1.35576E+6	
2.86593	1.35247E+6	2.86593	1.35247E+6	
2.86605	1.35252E+6	2.86605	1.35252E+6	
2.86618	1.35378E+6	2.86618	1.35378E+6	
2.8663	1.35386E+6	2.8663	1.35386E+6	
2.86643	1.34893E+6	2.86643	1.34893E+6	
2.86655	1.34617E+6	2.86655	1.34617E+6	
2.86668	1.35234E+6	2.86668	1.35234E+6	
2.8668	1.35116E+6	2.8668	1.35116E+6	
2.86693	1.34796E+6	2.86693	1.34796E+6	
2.86706	1.34588E+6	2.86706	1.34588E+6	
2.86718	1.34965E+6	2.86718	1.34965E+6	
2.86731	1.34692E+6	2.86731	1.34692E+6	
2.86743	1.34484E+6	2.86743	1.34484E+6	
2.86756	1.3489E+6	2.86756	1.3489E+6	
2.86768	1.34805E+6	2.86768	1.34805E+6	
2.86781	1.34732E+6	2.86781	1.34732E+6	
2.86793	1.34473E+6	2.86793	1.34473E+6	
2.86806	1.34912E+6	2.86806	1.34912E+6	
2.86818	1.34752E+6	2.86818	1.34752E+6	
2.86831	1.3461E+6	2.86831	1.3461E+6	
2.86843	1.3487E+6	2.86843	1.3487E+6	
2.86856	1.35083E+6	2.86856	1.35083E+6	
2.86868	1.34711E+6	2.86868	1.34711E+6	
2.86881	1.34973E+6	2.86881	1.34973E+6	
2.86893	1.35254E+6	2.86893	1.35254E+6	
2.86906	1.35352E+6	2.86906	1.35352E+6	
2.86919	1.35186E+6	2.86919	1.35186E+6	
2.86931	1.35389E+6	2.86931	1.35389E+6	
2.86944	1.3546E+6	2.86944	1.3546E+6	
2.86956	1.35505E+6	2.86956	1.35505E+6	
2.86969	1.36105E+6	2.86969	1.36105E+6	
2.86981	1.35839E+6	2.86981	1.35839E+6	
2.86994	1.35943E+6	2.86994	1.35943E+6	
2.87006	1.36377E+6	2.87006	1.36377E+6	
2.87019	1.35937E+6	2.87019	1.35937E+6	
2.87031	1.36725E+6	2.87031	1.36725E+6	
2.87044	1.3654E+6	2.87044	1.3654E+6	
2.87056	1.36644E+6	2.87056	1.36644E+6	
2.87069	1.35962E+6	2.87069	1.35962E+6	
2.87081	1.36274E+6	2.87081	1.36274E+6	
2.87094	1.36491E+6	2.87094	1.36491E+6	
2.87107	1.36249E+6	2.87107	1.36249E+6	
2.87119	1.36768E+6	2.87119	1.36768E+6	
2.87132	1.36137E+6	2.87132	1.36137E+6	
2.87144	1.36229E+6	2.87144	1.36229E+6	
2.87157	1.36074E+6	2.87157	1.36074E+6	
2.87169	1.36332E+6	2.87169	1.36332E+6	
2.87182	1.35521E+6	2.87182	1.35521E+6	
2.87194	1.35409E+6	2.87194	1.35409E+6	
2.87207	1.35533E+6	2.87207	1.35533E+6	
2.87219	1.3513E+6	2.87219	1.3513E+6	
2.87232	1.3516E+6	2.87232	1.3516E+6	
2.87244	1.35412E+6	2.87244	1.35412E+6	
2.87257	1.34941E+6	2.87257	1.34941E+6	
2.87269	1.34947E+6	2.87269	1.34947E+6	
2.87282	1.35198E+6	2.87282	1.35198E+6	
2.87294	1.34754E+6	2.87294	1.34754E+6	
2.87307	1.34621E+6	2.87307	1.34621E+6	
2.8732	1.3455E+6	2.8732	1.3455E+6	
2.87332	1.34683E+6	2.87332	1.34683E+6	
2.87345	1.3467E+6	2.87345	1.3467E+6	
2.87357	1.35191E+6	2.87357	1.35191E+6	
2.8737	1.34598E+6	2.8737	1.34598E+6	
2.87382	1.3476E+6	2.87382	1.3476E+6	
2.87395	1.34566E+6	2.87395	1.34566E+6	
2.87407	1.34621E+6	2.87407	1.34621E+6	
2.8742	1.34626E+6	2.8742	1.34626E+6	
2.87432	1.34832E+6	2.87432	1.34832E+6	
2.87445	1.34907E+6	2.87445	1.34907E+6	
2.87457	1.34567E+6	2.87457	1.34567E+6	
2.8747	1.34969E+6	2.8747	1.34969E+6	
2.87482	1.35125E+6	2.87482	1.35125E+6	
2.87495	1.35019E+6	2.87495	1.35019E+6	
2.87508	1.35222E+6	2.87508	1.35222E+6	
2.8752	1.35465E+6	2.8752	1.35465E+6	
2.87533	1.35227E+6	2.87533	1.35227E+6	
