Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.8	6.01084E+6	2.8	6.01084E+6	
2.80003	6.01375E+6	2.80003	6.01375E+6	
2.80005	6.00998E+6	2.80005	6.00998E+6	
2.80008	6.01226E+6	2.80008	6.01226E+6	
2.80011	6.01067E+6	2.80011	6.01067E+6	
2.80013	6.0128E+6	2.80013	6.0128E+6	
2.80016	6.01644E+6	2.80016	6.01644E+6	
2.80019	6.01391E+6	2.80019	6.01391E+6	
2.80021	6.0134E+6	2.80021	6.0134E+6	
2.80024	6.0161E+6	2.80024	6.0161E+6	
2.80027	6.01753E+6	2.80027	6.01753E+6	
2.80029	6.01733E+6	2.80029	6.01733E+6	
2.80032	6.01426E+6	2.80032	6.01426E+6	
2.80035	6.01487E+6	2.80035	6.01487E+6	
2.80037	6.01246E+6	2.80037	6.01246E+6	
2.8004	6.01312E+6	2.8004	6.01312E+6	
2.80043	6.01718E+6	2.80043	6.01718E+6	
2.80045	6.01592E+6	2.80045	6.01592E+6	
2.80048	6.01038E+6	2.80048	6.01038E+6	
2.80051	6.01326E+6	2.80051	6.01326E+6	
2.80053	6.01039E+6	2.80053	6.01039E+6	
2.80056	6.01444E+6	2.80056	6.01444E+6	
2.80059	6.01147E+6	2.80059	6.01147E+6	
2.80061	6.01288E+6	2.80061	6.01288E+6	
2.80064	6.01418E+6	2.80064	6.01418E+6	
2.80067	6.01461E+6	2.80067	6.01461E+6	
2.80069	6.01172E+6	2.80069	6.01172E+6	
2.80072	6.01641E+6	2.80072	6.01641E+6	
2.80075	6.01362E+6	2.80075	6.01362E+6	
2.80077	6.0167E+6	2.80077	6.0167E+6	
2.8008	6.01221E+6	2.8008	6.01221E+6	
2.80083	6.01E+6	2.80083	6.01E+6	
2.80085	6.01427E+6	2.80085	6.01427E+6	
2.80088	6.01238E+6	2.80088	6.01238E+6	
2.80091	6.01206E+6	2.80091	6.01206E+6	
2.80093	6.0149E+6	2.80093	6.0149E+6	
2.80096	6.0182E+6	2.80096	6.0182E+6	
2.80099	6.015E+6	2.80099	6.015E+6	
2.80102	6.01263E+6	2.80102	6.01263E+6	
2.80104	6.01388E+6	2.80104	6.01388E+6	
2.80107	6.01381E+6	2.80107	6.01381E+6	
2.8011	6.01317E+6	2.8011	6.01317E+6	
2.80112	6.01371E+6	2.80112	6.01371E+6	
2.80115	6.0133E+6	2.80115	6.0133E+6	
2.80118	6.01255E+6	2.80118	6.01255E+6	
2.8012	6.01234E+6	2.8012	6.01234E+6	
2.80123	6.01452E+6	2.80123	6.01452E+6	
2.80126	6.01651E+6	2.80126	6.01651E+6	
2.80128	6.01026E+6	2.80128	6.01026E+6	
2.80131	6.01183E+6	2.80131	6.01183E+6	
2.80134	6.01051E+6	2.80134	6.01051E+6	
2.80136	6.00992E+6	2.80136	6.00992E+6	
2.80139	6.01675E+6	2.80139	6.01675E+6	
2.80142	6.01176E+6	2.80142	6.01176E+6	
2.80144	6.01392E+6	2.80144	6.01392E+6	
2.80147	6.012E+6	2.80147	6.012E+6	
2.8015	6.01474E+6	2.8015	6.01474E+6	
2.80152	6.01387E+6	2.80152	6.01387E+6	
2.80155	6.01265E+6	2.80155	6.01265E+6	
2.80158	6.01246E+6	2.80158	6.01246E+6	
2.8016	6.01349E+6	2.8016	6.01349E+6	
2.80163	6.0118E+6	2.80163	6.0118E+6	
2.80166	6.00823E+6	2.80166	6.00823E+6	
2.80168	6.01213E+6	2.80168	6.01213E+6	
2.80171	6.01734E+6	2.80171	6.01734E+6	
2.80174	6.01499E+6	2.80174	6.01499E+6	
2.80176	6.01368E+6	2.80176	6.01368E+6	
2.80179	6.01302E+6	2.80179	6.01302E+6	
2.80182	6.01076E+6	2.80182	6.01076E+6	
2.80184	6.00975E+6	2.80184	6.00975E+6	
2.80187	6.01109E+6	2.80187	6.01109E+6	
2.8019	6.01575E+6	2.8019	6.01575E+6	
2.80192	6.01262E+6	2.80192	6.01262E+6	
2.80195	6.01224E+6	2.80195	6.01224E+6	
2.80198	6.01545E+6	2.80198	6.01545E+6	
2.802	6.01459E+6	2.802	6.01459E+6	
2.80203	6.01006E+6	2.80203	6.01006E+6	
2.80206	6.01298E+6	2.80206	6.01298E+6	
2.80208	6.01401E+6	2.80208	6.01401E+6	
2.80211	6.01149E+6	2.80211	6.01149E+6	
2.80214	6.01329E+6	2.80214	6.01329E+6	
2.80216	6.01553E+6	2.80216	6.01553E+6	
2.80219	6.01164E+6	2.80219	6.01164E+6	
2.80222	6.01162E+6	2.80222	6.01162E+6	
2.80224	6.01593E+6	2.80224	6.01593E+6	
2.80227	6.01192E+6	2.80227	6.01192E+6	
2.8023	6.01409E+6	2.8023	6.01409E+6	
2.80232	6.01033E+6	2.80232	6.01033E+6	
2.80235	6.01091E+6	2.80235	6.01091E+6	
2.80238	6.00897E+6	2.80238	6.00897E+6	
2.8024	6.01567E+6	2.8024	6.01567E+6	
2.80243	6.00943E+6	2.80243	6.00943E+6	
2.80246	6.01317E+6	2.80246	6.01317E+6	
2.80248	6.01066E+6	2.80248	6.01066E+6	
2.80251	6.00956E+6	2.80251	6.00956E+6	
2.80254	6.01117E+6	2.80254	6.01117E+6	
2.80256	6.01147E+6	2.80256	6.01147E+6	
2.80259	6.01358E+6	2.80259	6.01358E+6	
2.80262	6.0066E+6	2.80262	6.0066E+6	
2.80264	6.01089E+6	2.80264	6.01089E+6	
2.80267	6.01755E+6	2.80267	6.01755E+6	
2.8027	6.00676E+6	2.8027	6.00676E+6	
2.80272	6.00799E+6	2.80272	6.00799E+6	
2.80275	6.00729E+6	2.80275	6.00729E+6	
2.80278	6.00909E+6	2.80278	6.00909E+6	
2.8028	6.01324E+6	2.8028	6.01324E+6	
2.80283	6.01267E+6	2.80283	6.01267E+6	
2.80286	6.00914E+6	2.80286	6.00914E+6	
2.80288	6.0138E+6	2.80288	6.0138E+6	
2.80291	6.01411E+6	2.80291	6.01411E+6	
2.80294	6.01282E+6	2.80294	6.01282E+6	
2.80296	6.01104E+6	2.80296	6.01104E+6	
2.80299	6.0099E+6	2.80299	6.0099E+6	
2.80302	6.01366E+6	2.80302	6.01366E+6	
2.80305	6.0091E+6	2.80305	6.0091E+6	
2.80307	6.00848E+6	2.80307	6.00848E+6	
2.8031	6.01074E+6	2.8031	6.01074E+6	
2.80313	6.00889E+6	2.80313	6.00889E+6	
2.80315	6.01011E+6	2.80315	6.01011E+6	
2.80318	6.01332E+6	2.80318	6.01332E+6	
2.80321	6.00929E+6	2.80321	6.00929E+6	
2.80323	6.00925E+6	2.80323	6.00925E+6	
2.80326	6.008E+6	2.80326	6.008E+6	
2.80329	6.00927E+6	2.80329	6.00927E+6	
2.80331	6.00956E+6	2.80331	6.00956E+6	
2.80334	6.01739E+6	2.80334	6.01739E+6	
2.80337	6.00904E+6	2.80337	6.00904E+6	
2.80339	6.00851E+6	2.80339	6.00851E+6	
2.80342	6.01053E+6	2.80342	6.01053E+6	
2.80345	6.00917E+6	2.80345	6.00917E+6	
2.80347	6.01082E+6	2.80347	6.01082E+6	
2.8035	6.01071E+6	2.8035	6.01071E+6	
2.80353	6.01257E+6	2.80353	6.01257E+6	
2.80355	6.00969E+6	2.80355	6.00969E+6	
2.80358	6.00622E+6	2.80358	6.00622E+6	
2.80361	6.0096E+6	2.80361	6.0096E+6	
2.80363	6.00819E+6	2.80363	6.00819E+6	
2.80366	6.00816E+6	2.80366	6.00816E+6	
2.80369	6.00679E+6	2.80369	6.00679E+6	
2.80371	6.00863E+6	2.80371	6.00863E+6	
2.80374	6.00779E+6	2.80374	6.00779E+6	
2.80377	6.00585E+6	2.80377	6.00585E+6	
2.80379	6.00879E+6	2.80379	6.00879E+6	
2.80382	6.00774E+6	2.80382	6.00774E+6	
2.80385	6.00816E+6	2.80385	6.00816E+6	
2.80387	6.00918E+6	2.80387	6.00918E+6	
2.8039	6.00682E+6	2.8039	6.00682E+6	
2.80393	6.00418E+6	2.80393	6.00418E+6	
2.80395	6.008E+6	2.80395	6.008E+6	
2.80398	6.00824E+6	2.80398	6.00824E+6	
2.80401	6.00595E+6	2.80401	6.00595E+6	
2.80403	6.00882E+6	2.80403	6.00882E+6	
2.80406	6.00793E+6	2.80406	6.00793E+6	
2.80409	6.00491E+6	2.80409	6.00491E+6	
2.80411	6.00843E+6	2.80411	6.00843E+6	
2.80414	6.00912E+6	2.80414	6.00912E+6	
2.80417	6.00628E+6	2.80417	6.00628E+6	
2.80419	6.00777E+6	2.80419	6.00777E+6	
2.80422	6.00954E+6	2.80422	6.00954E+6	
2.80425	6.00505E+6	2.80425	6.00505E+6	
2.80427	6.00633E+6	2.80427	6.00633E+6	
2.8043	6.00693E+6	2.8043	6.00693E+6	
2.80433	6.00544E+6	2.80433	6.00544E+6	
2.80435	6.00781E+6	2.80435	6.00781E+6	
2.80438	6.00444E+6	2.80438	6.00444E+6	
2.80441	6.00578E+6	2.80441	6.00578E+6	
2.80443	6.00741E+6	2.80443	6.00741E+6	
2.80446	6.00529E+6	2.80446	6.00529E+6	
2.80449	6.00308E+6	2.80449	6.00308E+6	
2.80451	6.00584E+6	2.80451	6.00584E+6	
2.80454	6.00669E+6	2.80454	6.00669E+6	
2.80457	6.00687E+6	2.80457	6.00687E+6	
2.80459	6.00316E+6	2.80459	6.00316E+6	
2.80462	6.00895E+6	2.80462	6.00895E+6	
2.80465	6.00414E+6	2.80465	6.00414E+6	
2.80467	6.00125E+6	2.80467	6.00125E+6	
2.8047	6.00848E+6	2.8047	6.00848E+6	
2.80473	6.00091E+6	2.80473	6.00091E+6	
2.80475	5.99986E+6	2.80475	5.99986E+6	
2.80478	6.00614E+6	2.80478	6.00614E+6	
2.80481	5.99935E+6	2.80481	5.99935E+6	
2.80483	6.00351E+6	2.80483	6.00351E+6	
2.80486	6.00164E+6	2.80486	6.00164E+6	
2.80489	6.00301E+6	2.80489	6.00301E+6	
2.80491	5.9985E+6	2.80491	5.9985E+6	
2.80494	6.00113E+6	2.80494	6.00113E+6	
2.80497	6.00133E+6	2.80497	6.00133E+6	
2.80499	6.00313E+6	2.80499	6.00313E+6	
2.80502	5.99927E+6	2.80502	5.99927E+6	
2.80505	5.99844E+6	2.80505	5.99844E+6	
2.80508	5.9986E+6	2.80508	5.9986E+6	
2.8051	6.00222E+6	2.8051	6.00222E+6	
2.80513	5.99874E+6	2.80513	5.99874E+6	
2.80516	5.99796E+6	2.80516	5.99796E+6	
2.80518	6.00118E+6	2.80518	6.00118E+6	
2.80521	6.00328E+6	2.80521	6.00328E+6	
2.80524	6.00072E+6	2.80524	6.00072E+6	
2.80526	6.00161E+6	2.80526	6.00161E+6	
2.80529	6.00157E+6	2.80529	6.00157E+6	
2.80532	5.9976E+6	2.80532	5.9976E+6	
2.80534	6.00385E+6	2.80534	6.00385E+6	
2.80537	5.99848E+6	2.80537	5.99848E+6	
2.8054	6.00525E+6	2.8054	6.00525E+6	
2.80542	5.99828E+6	2.80542	5.99828E+6	
2.80545	6.00117E+6	2.80545	6.00117E+6	
2.80548	5.9999E+6	2.80548	5.9999E+6	
2.8055	5.99899E+6	2.8055	5.99899E+6	
2.80553	6.00123E+6	2.80553	6.00123E+6	
2.80556	6.00082E+6	2.80556	6.00082E+6	
2.80558	5.99978E+6	2.80558	5.99978E+6	
2.80561	5.9974E+6	2.80561	5.9974E+6	
2.80564	6.00016E+6	2.80564	6.00016E+6	
2.80566	6.00098E+6	2.80566	6.00098E+6	
2.80569	6.00188E+6	2.80569	6.00188E+6	
2.80572	5.99863E+6	2.80572	5.99863E+6	
2.80574	5.99931E+6	2.80574	5.99931E+6	
2.80577	6.00199E+6	2.80577	6.00199E+6	
2.8058	6.00277E+6	2.8058	6.00277E+6	
2.80582	6.00258E+6	2.80582	6.00258E+6	
2.80585	6.00022E+6	2.80585	6.00022E+6	
2.80588	6.00343E+6	2.80588	6.00343E+6	
2.8059	5.99989E+6	2.8059	5.99989E+6	
2.80593	6.00046E+6	2.80593	6.00046E+6	
2.80596	6.00257E+6	2.80596	6.00257E+6	
2.80598	6.00359E+6	2.80598	6.00359E+6	
2.80601	5.9985E+6	2.80601	5.9985E+6	
2.80604	6.00144E+6	2.80604	6.00144E+6	
2.80606	5.99664E+6	2.80606	5.99664E+6	
2.80609	6.00376E+6	2.80609	6.00376E+6	
2.80612	5.99902E+6	2.80612	5.99902E+6	
2.80614	6.00195E+6	2.80614	6.00195E+6	
2.80617	5.99919E+6	2.80617	5.99919E+6	
2.8062	6.00061E+6	2.8062	6.00061E+6	
2.80622	6.00103E+6	2.80622	6.00103E+6	
2.80625	6.0012E+6	2.80625	6.0012E+6	
2.80628	5.99744E+6	2.80628	5.99744E+6	
2.8063	6.00153E+6	2.8063	6.00153E+6	
2.80633	5.99763E+6	2.80633	5.99763E+6	
2.80636	6.00032E+6	2.80636	6.00032E+6	
2.80638	5.99907E+6	2.80638	5.99907E+6	
2.80641	5.99832E+6	2.80641	5.99832E+6	
2.80644	5.99976E+6	2.80644	5.99976E+6	
2.80646	5.99748E+6	2.80646	5.99748E+6	
2.80649	6.00086E+6	2.80649	6.00086E+6	
2.80652	6.0022E+6	2.80652	6.0022E+6	
2.80654	6.00156E+6	2.80654	6.00156E+6	
2.80657	5.99926E+6	2.80657	5.99926E+6	
2.8066	6.00275E+6	2.8066	6.00275E+6	
2.80662	6.00372E+6	2.80662	6.00372E+6	
2.80665	6.00214E+6	2.80665	6.00214E+6	
2.80668	6.0024E+6	2.80668	6.0024E+6	
2.8067	5.99751E+6	2.8067	5.99751E+6	
2.80673	5.99762E+6	2.80673	5.99762E+6	
2.80676	5.99773E+6	2.80676	5.99773E+6	
2.80678	6.00252E+6	2.80678	6.00252E+6	
2.80681	6.00031E+6	2.80681	6.00031E+6	
2.80684	5.99835E+6	2.80684	5.99835E+6	
2.80686	6.00147E+6	2.80686	6.00147E+6	
2.80689	5.99853E+6	2.80689	5.99853E+6	
2.80692	6.00317E+6	2.80692	6.00317E+6	
2.80694	5.99823E+6	2.80694	5.99823E+6	
2.80697	6.00064E+6	2.80697	6.00064E+6	
2.807	5.99865E+6	2.807	5.99865E+6	
2.80703	5.99744E+6	2.80703	5.99744E+6	
2.80705	6.0014E+6	2.80705	6.0014E+6	
2.80708	5.99508E+6	2.80708	5.99508E+6	
2.80711	6.00097E+6	2.80711	6.00097E+6	
2.80713	5.99792E+6	2.80713	5.99792E+6	
2.80716	5.99908E+6	2.80716	5.99908E+6	
2.80719	5.99923E+6	2.80719	5.99923E+6	
2.80721	5.99884E+6	2.80721	5.99884E+6	
2.80724	5.999E+6	2.80724	5.999E+6	
2.80727	5.99997E+6	2.80727	5.99997E+6	
2.80729	5.9994E+6	2.80729	5.9994E+6	
2.80732	5.99959E+6	2.80732	5.99959E+6	
2.80735	6.00071E+6	2.80735	6.00071E+6	
2.80737	6.00009E+6	2.80737	6.00009E+6	
2.8074	5.99762E+6	2.8074	5.99762E+6	
2.80743	5.99586E+6	2.80743	5.99586E+6	
2.80745	6.00315E+6	2.80745	6.00315E+6	
2.80748	6.00097E+6	2.80748	6.00097E+6	
2.80751	6.00022E+6	2.80751	6.00022E+6	
2.80753	6.00311E+6	2.80753	6.00311E+6	
2.80756	6.00055E+6	2.80756	6.00055E+6	
2.80759	5.996E+6	2.80759	5.996E+6	
2.80761	5.99488E+6	2.80761	5.99488E+6	
2.80764	6.00155E+6	2.80764	6.00155E+6	
2.80767	6.00035E+6	2.80767	6.00035E+6	
2.80769	5.99807E+6	2.80769	5.99807E+6	
2.80772	6.00435E+6	2.80772	6.00435E+6	
2.80775	5.9942E+6	2.80775	5.9942E+6	
2.80777	5.9983E+6	2.80777	5.9983E+6	
2.8078	5.99856E+6	2.8078	5.99856E+6	
2.80783	5.99679E+6	2.80783	5.99679E+6	
2.80785	6.00028E+6	2.80785	6.00028E+6	
2.80788	5.99785E+6	2.80788	5.99785E+6	
2.80791	6.00218E+6	2.80791	6.00218E+6	
2.80793	6.00004E+6	2.80793	6.00004E+6	
2.80796	5.99869E+6	2.80796	5.99869E+6	
2.80799	5.99728E+6	2.80799	5.99728E+6	
2.80801	6.00105E+6	2.80801	6.00105E+6	
2.80804	5.99917E+6	2.80804	5.99917E+6	
2.80807	6.00044E+6	2.80807	6.00044E+6	
2.80809	6.00128E+6	2.80809	6.00128E+6	
2.80812	5.99997E+6	2.80812	5.99997E+6	
2.80815	6.0034E+6	2.80815	6.0034E+6	
2.80817	5.99956E+6	2.80817	5.99956E+6	
2.8082	5.99703E+6	2.8082	5.99703E+6	
2.80823	6.00298E+6	2.80823	6.00298E+6	
2.80825	6.00313E+6	2.80825	6.00313E+6	
2.80828	6.00204E+6	2.80828	6.00204E+6	
2.80831	6.00059E+6	2.80831	6.00059E+6	
2.80833	6.00104E+6	2.80833	6.00104E+6	
2.80836	5.99762E+6	2.80836	5.99762E+6	
2.80839	5.99864E+6	2.80839	5.99864E+6	
2.80841	6.00078E+6	2.80841	6.00078E+6	
2.80844	6.00117E+6	2.80844	6.00117E+6	
2.80847	6.00004E+6	2.80847	6.00004E+6	
2.80849	5.99875E+6	2.80849	5.99875E+6	
2.80852	6.00036E+6	2.80852	6.00036E+6	
2.80855	6.00171E+6	2.80855	6.00171E+6	
2.80857	6.002E+6	2.80857	6.002E+6	
2.8086	5.99955E+6	2.8086	5.99955E+6	
2.80863	5.9971E+6	2.80863	5.9971E+6	
2.80865	5.99899E+6	2.80865	5.99899E+6	
2.80868	5.99961E+6	2.80868	5.99961E+6	
2.80871	6.00006E+6	2.80871	6.00006E+6	
2.80873	6.00191E+6	2.80873	6.00191E+6	
2.80876	6.00598E+6	2.80876	6.00598E+6	
2.80879	5.99881E+6	2.80879	5.99881E+6	
2.80881	5.99888E+6	2.80881	5.99888E+6	
2.80884	6.00432E+6	2.80884	6.00432E+6	
2.80887	6.00272E+6	2.80887	6.00272E+6	
2.80889	5.99816E+6	2.80889	5.99816E+6	
2.80892	5.9992E+6	2.80892	5.9992E+6	
2.80895	5.99945E+6	2.80895	5.99945E+6	
2.80897	6.00245E+6	2.80897	6.00245E+6	
2.809	5.99903E+6	2.809	5.99903E+6	
2.80903	6.00205E+6	2.80903	6.00205E+6	
2.80906	5.99722E+6	2.80906	5.99722E+6	
2.80908	5.99915E+6	2.80908	5.99915E+6	
2.80911	6.00094E+6	2.80911	6.00094E+6	
2.80914	6.00377E+6	2.80914	6.00377E+6	
2.80916	5.99876E+6	2.80916	5.99876E+6	
2.80919	5.99805E+6	2.80919	5.99805E+6	
2.80922	5.99987E+6	2.80922	5.99987E+6	
2.80924	5.99735E+6	2.80924	5.99735E+6	
