Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.65	6.08333E+6	2.65	6.08333E+6	
2.65038	6.0878E+6	2.65038	6.0878E+6	
2.65075	6.08924E+6	2.65075	6.08924E+6	
2.65113	6.08709E+6	2.65113	6.08709E+6	
2.6515	6.08982E+6	2.6515	6.08982E+6	
2.65188	6.08966E+6	2.65188	6.08966E+6	
2.65226	6.09013E+6	2.65226	6.09013E+6	
2.65263	6.08894E+6	2.65263	6.08894E+6	
2.65301	6.09059E+6	2.65301	6.09059E+6	
2.65338	6.09359E+6	2.65338	6.09359E+6	
2.65376	6.08928E+6	2.65376	6.08928E+6	
2.65414	6.08837E+6	2.65414	6.08837E+6	
2.65451	6.08999E+6	2.65451	6.08999E+6	
2.65489	6.09029E+6	2.65489	6.09029E+6	
2.65526	6.08979E+6	2.65526	6.08979E+6	
2.65564	6.09027E+6	2.65564	6.09027E+6	
2.65602	6.08685E+6	2.65602	6.08685E+6	
2.65639	6.0862E+6	2.65639	6.0862E+6	
2.65677	6.09018E+6	2.65677	6.09018E+6	
2.65714	6.09168E+6	2.65714	6.09168E+6	
2.65752	6.09023E+6	2.65752	6.09023E+6	
2.65789	6.08958E+6	2.65789	6.08958E+6	
2.65827	6.09249E+6	2.65827	6.09249E+6	
2.65865	6.08991E+6	2.65865	6.08991E+6	
2.65902	6.09033E+6	2.65902	6.09033E+6	
2.6594	6.08867E+6	2.6594	6.08867E+6	
2.65977	6.09281E+6	2.65977	6.09281E+6	
2.66015	6.09114E+6	2.66015	6.09114E+6	
2.66053	6.08946E+6	2.66053	6.08946E+6	
2.6609	6.08856E+6	2.6609	6.08856E+6	
2.66128	6.08936E+6	2.66128	6.08936E+6	
2.66165	6.0907E+6	2.66165	6.0907E+6	
2.66203	6.08771E+6	2.66203	6.08771E+6	
2.66241	6.08869E+6	2.66241	6.08869E+6	
2.66278	6.08887E+6	2.66278	6.08887E+6	
2.66316	6.08731E+6	2.66316	6.08731E+6	
2.66353	6.08783E+6	2.66353	6.08783E+6	
2.66391	6.08608E+6	2.66391	6.08608E+6	
2.66429	6.09185E+6	2.66429	6.09185E+6	
2.66466	6.09475E+6	2.66466	6.09475E+6	
2.66504	6.08437E+6	2.66504	6.08437E+6	
2.66541	6.0914E+6	2.66541	6.0914E+6	
2.66579	6.08638E+6	2.66579	6.08638E+6	
2.66617	6.08901E+6	2.66617	6.08901E+6	
2.66654	6.09017E+6	2.66654	6.09017E+6	
2.66692	6.08692E+6	2.66692	6.08692E+6	
2.66729	6.08795E+6	2.66729	6.08795E+6	
2.66767	6.08983E+6	2.66767	6.08983E+6	
2.66805	6.09123E+6	2.66805	6.09123E+6	
2.66842	6.08643E+6	2.66842	6.08643E+6	
2.6688	6.08599E+6	2.6688	6.08599E+6	
2.66917	6.09032E+6	2.66917	6.09032E+6	
2.66955	6.08961E+6	2.66955	6.08961E+6	
