Temps - Tracé 0	Amplitude - Tracé 0	
0	761080	
1E-6	752310	
2E-6	759798	
3E-6	758177	
4E-6	757294	
5E-6	760838	
6E-6	766209	
7E-6	765326	
8E-6	764213	
9E-6	758274	
1E-5	756895	
1.1E-5	762967	
1.2E-5	763257	
1.3E-5	759060	
1.4E-5	755697	
1.5E-5	758274	
1.6E-5	754234	
1.7E-5	756955	
1.8E-5	755939	
1.9E-5	752383	
2E-5	754850	
2.1E-5	754705	
2.2E-5	750508	
2.3E-5	749371	
2.4E-5	759471	
2.5E-5	744109	
2.6E-5	750859	
2.7E-5	751016	
2.8E-5	749335	
2.9E-5	750448	
3E-5	748258	
3.1E-5	748355	
3.2E-5	744678	
3.3E-5	740021	
3.4E-5	749589	
3.5E-5	748391	
3.6E-5	742101	
3.7E-5	742718	
3.8E-5	746589	
3.9E-5	739174	
4E-5	739815	
4.1E-5	740880	
4.2E-5	737880	
4.3E-5	737892	
4.4E-5	736489	
4.5E-5	738219	
4.6E-5	740444	
4.7E-5	732908	
4.8E-5	739791	
4.9E-5	734324	
5E-5	734287	
5.1E-5	734251	
5.2E-5	737650	
5.3E-5	736259	
5.4E-5	740178	
5.5E-5	730949	
5.6E-5	733211	
5.7E-5	733622	
5.8E-5	739597	
5.9E-5	735473	
6E-5	734082	
6.1E-5	732110	
6.2E-5	733126	
6.3E-5	737590	
6.4E-5	735376	
6.5E-5	742005	
6.6E-5	738908	
6.7E-5	738485	
6.8E-5	737892	
6.9E-5	736440	
7E-5	738606	
7.1E-5	733912	
7.2E-5	740493	
7.3E-5	738799	
7.4E-5	736259	
7.5E-5	744436	
7.6E-5	739404	
7.7E-5	735122	
7.8E-5	742416	
7.9E-5	735158	
8E-5	739356	
8.1E-5	737698	
8.2E-5	744194	
8.3E-5	738460	
8.4E-5	745137	
8.5E-5	744980	
8.6E-5	747266	
8.7E-5	733332	
8.8E-5	742609	
8.9E-5	745621	
9E-5	745113	
9.1E-5	742065	
9.2E-5	741013	
9.3E-5	743674	
9.4E-5	743142	
9.5E-5	737553	
9.6E-5	737505	
9.7E-5	736344	
9.8E-5	735037	
9.9E-5	739089	
0.0001	736465	
0.000101	735920	
0.000102	736791	
0.000103	734759	
0.000104	732437	
0.000105	732957	
0.000106	731916	
0.000107	733924	
0.000108	734747	
0.000109	724840	
0.00011	726691	
0.000111	728578	
0.000112	726643	
0.000113	730465	
0.000114	728082	
0.000115	726897	
0.000116	721877	
0.000117	727901	
0.000118	723836	
0.000119	723945	
0.00012	724453	
0.000121	720026	
0.000122	721042	
0.000123	723413	
0.000124	720244	
0.000125	722566	
0.000126	722191	
0.000127	724187	
0.000128	720873	
0.000129	722397	
0.00013	720837	
0.000131	716119	
0.000132	720038	
0.000133	718950	
0.000134	714958	
0.000135	714970	
0.000136	716458	
0.000137	720292	
0.000138	726425	
0.000139	721320	
0.00014	716700	
0.000141	717849	
0.000142	726473	
0.000143	713845	
0.000144	717692	
0.000145	726123	
0.000146	720280	
0.000147	721369	
0.000148	727151	
0.000149	719941	
0.00015	719034	
0.000151	721562	
0.000152	723764	
0.000153	723667	
0.000154	728784	
0.000155	720498	
0.000156	724913	
0.000157	726219	
0.000158	726812	
0.000159	728070	
0.00016	728542	
0.000161	723788	
0.000162	731808	
0.000163	726219	
0.000164	726389	
0.000165	733610	
0.000166	727453	
0.000167	721429	
0.000168	729062	
0.000169	736368	
0.00017	724018	
0.000171	728070	
0.000172	732171	
0.000173	728058	
0.000174	731808	
0.000175	725542	
0.000176	729026	
0.000177	729110	
0.000178	726897	
0.000179	725602	
0.00018	730852	
0.000181	726679	
0.000182	726340	
0.000183	728336	
0.000184	728034	
0.000185	724441	
0.000186	729570	
0.000187	723111	
0.000188	726243	
0.000189	726872	
0.00019	728191	
0.000191	724139	
0.000192	728046	
0.000193	723667	
0.000194	725022	
0.000195	723074	
0.000196	723280	
0.000197	721925	
0.000198	719131	
0.000199	718889	
0.0002	716010	
0.000201	721998	
0.000202	717861	
0.000203	723377	
0.000204	719724	
0.000205	720111	
0.000206	718962	
0.000207	714595	
0.000208	719675	
0.000209	720389	
0.00021	713458	
0.000211	715841	
0.000212	714377	
0.000213	716917	
0.000214	714063	
0.000215	714982	
0.000216	718030	
0.000217	715430	
0.000218	715647	
0.000219	714922	
0.00022	712188	
0.000221	715393	
0.000222	714281	
0.000223	710494	
0.000224	719204	
0.000225	711789	
0.000226	716796	
0.000227	721744	
0.000228	715405	
0.000229	715672	
0.00023	713942	
0.000231	715212	
0.000232	718103	
0.000233	716349	
0.000234	716264	
0.000235	717002	
0.000236	718103	
0.000237	717244	
0.000238	718647	
0.000239	715418	
0.00024	718683	
0.000241	716288	
0.000242	724248	
0.000243	718563	
0.000244	716966	
0.000245	718224	
0.000246	719675	
0.000247	722590	
0.000248	723522	
0.000249	722312	
0.00025	724647	
0.000251	722022	
0.000252	722240	
0.000253	727514	
0.000254	723353	
0.000255	719349	
0.000256	722978	
0.000257	723510	
0.000258	719615	
0.000259	722336	
0.00026	715043	
0.000261	717607	
0.000262	719300	
0.000263	722373	
0.000264	725844	
0.000265	715212	
0.000266	722082	
0.000267	718175	
0.000268	722590	
0.000269	722869	
0.00027	716240	
0.000271	724707	
0.000272	712006	
0.000273	715756	
0.000274	716470	
0.000275	720619	
0.000276	713398	
0.000277	718671	
0.000278	714970	
0.000279	713664	
0.00028	719579	
0.000281	715418	
0.000282	714849	
0.000283	713833	
0.000284	713059	
0.000285	714643	
0.000286	712563	
0.000287	718079	
0.000288	712091	
0.000289	715623	
0.00029	716917	
0.000291	715345	
0.000292	712817	
0.000293	714498	
0.000294	714160	
0.000295	717329	
0.000296	712430	
0.000297	716252	
0.000298	717377	
0.000299	717063	
0.0003	711003	
0.000301	720292	
0.000302	709636	
0.000303	710918	
0.000304	712502	
0.000305	711051	
0.000306	711220	
0.000307	717861	
0.000308	714111	
0.000309	718768	
0.00031	717063	
0.000311	721441	
0.000312	716216	
0.000313	709200	
0.000314	717135	
0.000315	718224	
0.000316	716579	
0.000317	716252	
0.000318	714631	
0.000319	718429	
0.00032	721115	
0.000321	720982	
0.000322	716349	
0.000323	719083	
0.000324	720316	
0.000325	720909	
0.000326	718030	
0.000327	718986	
0.000328	721599	
0.000329	717087	
0.00033	726231	
0.000331	721756	
0.000332	725046	
0.000333	724272	
0.000334	717740	
0.000335	719264	
0.000336	725941	
0.000337	718405	
0.000338	723982	
0.000339	722978	
0.00034	721937	
0.000341	718901	
0.000342	719784	
0.000343	719627	
0.000344	721042	
0.000345	720256	
0.000346	719361	
0.000347	714789	
0.000348	723425	
0.000349	721357	
0.00035	719071	
0.000351	721744	
0.000352	718925	
0.000353	724054	
0.000354	719990	
0.000355	721647	
0.000356	719071	
0.000357	720280	
0.000358	718550	
0.000359	718333	
0.00036	714135	
0.000361	718284	
0.000362	721018	
0.000363	719881	
0.000364	720921	
0.000365	720413	
0.000366	711099	
0.000367	713676	
0.000368	715805	
0.000369	713385	
0.00037	711220	
0.000371	717208	
0.000372	720171	
0.000373	714268	
0.000374	711353	
0.000375	715490	
0.000376	712660	
0.000377	710918	
0.000378	717704	
0.000379	709902	
0.00038	717970	
0.000381	718913	
0.000382	715176	
0.000383	714716	
0.000384	711547	
0.000385	715913	
0.000386	710978	
0.000387	713760	
0.000388	718853	
0.000389	715139	
0.00039	716022	
0.000391	717365	
0.000392	719566	
0.000393	715986	
0.000394	711910	
0.000395	721853	
0.000396	718974	
0.000397	719300	
0.000398	716905	
0.000399	719421	
0.0004	717643	
0.000401	714922	
0.000402	716809	
0.000403	718502	
0.000404	716409	
0.000405	722844	
0.000406	713724	
0.000407	714184	
0.000408	717135	
0.000409	720280	
0.00041	718780	
0.000411	716434	
0.000412	720123	
0.000413	714184	
