Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.6	3.97681E+6	2.6	3.97681E+6	
2.602	3.97934E+6	2.602	3.97934E+6	
2.604	3.97831E+6	2.604	3.97831E+6	
2.606	3.98066E+6	2.606	3.98066E+6	
2.608	3.97748E+6	2.608	3.97748E+6	
2.61	3.9777E+6	2.61	3.9777E+6	
2.612	3.97846E+6	2.612	3.97846E+6	
2.614	3.97929E+6	2.614	3.97929E+6	
2.616	3.97858E+6	2.616	3.97858E+6	
2.618	3.97687E+6	2.618	3.97687E+6	
2.62	3.97757E+6	2.62	3.97757E+6	
2.622	3.97906E+6	2.622	3.97906E+6	
2.624	3.98077E+6	2.624	3.98077E+6	
2.626	3.98014E+6	2.626	3.98014E+6	
2.628	3.97725E+6	2.628	3.97725E+6	
2.63	3.97962E+6	2.63	3.97962E+6	
2.632	3.97932E+6	2.632	3.97932E+6	
2.634	3.97828E+6	2.634	3.97828E+6	
2.636	3.97568E+6	2.636	3.97568E+6	
2.638	3.97696E+6	2.638	3.97696E+6	
2.64	3.97808E+6	2.64	3.97808E+6	
2.642	3.97628E+6	2.642	3.97628E+6	
2.644	3.97832E+6	2.644	3.97832E+6	
2.646	3.98007E+6	2.646	3.98007E+6	
2.648	3.97806E+6	2.648	3.97806E+6	
2.65	3.97913E+6	2.65	3.97913E+6	
2.652	3.97923E+6	2.652	3.97923E+6	
2.654	3.97843E+6	2.654	3.97843E+6	
2.656	3.97899E+6	2.656	3.97899E+6	
2.658	3.98003E+6	2.658	3.98003E+6	
2.66	3.98177E+6	2.66	3.98177E+6	
2.662	3.98002E+6	2.662	3.98002E+6	
2.664	3.98059E+6	2.664	3.98059E+6	
2.666	3.9794E+6	2.666	3.9794E+6	
2.668	3.97764E+6	2.668	3.97764E+6	
2.67	3.97981E+6	2.67	3.97981E+6	
2.672	3.97592E+6	2.672	3.97592E+6	
2.674	3.97894E+6	2.674	3.97894E+6	
2.676	3.97856E+6	2.676	3.97856E+6	
2.678	3.9807E+6	2.678	3.9807E+6	
2.68	3.97922E+6	2.68	3.97922E+6	
2.682	3.97567E+6	2.682	3.97567E+6	
2.684	3.97776E+6	2.684	3.97776E+6	
2.686	3.97886E+6	2.686	3.97886E+6	
2.688	3.97811E+6	2.688	3.97811E+6	
2.69	3.97967E+6	2.69	3.97967E+6	
2.692	3.97806E+6	2.692	3.97806E+6	
2.694	3.97982E+6	2.694	3.97982E+6	
2.696	3.9774E+6	2.696	3.9774E+6	
2.698	3.97821E+6	2.698	3.97821E+6	
2.7	3.97599E+6	2.7	3.97599E+6	
2.702	3.98013E+6	2.702	3.98013E+6	
2.704	3.97745E+6	2.704	3.97745E+6	
2.706	3.98076E+6	2.706	3.98076E+6	
2.708	3.97509E+6	2.708	3.97509E+6	
2.71	3.97995E+6	2.71	3.97995E+6	
2.712	3.97465E+6	2.712	3.97465E+6	
2.714	3.98097E+6	2.714	3.98097E+6	
2.716	3.97867E+6	2.716	3.97867E+6	
2.718	3.97795E+6	2.718	3.97795E+6	
2.72	3.97744E+6	2.72	3.97744E+6	
2.722	3.97863E+6	2.722	3.97863E+6	
2.724	3.97898E+6	2.724	3.97898E+6	
2.726	3.98094E+6	2.726	3.98094E+6	
2.728	3.9765E+6	2.728	3.9765E+6	
2.73	3.97945E+6	2.73	3.97945E+6	
2.732	3.97742E+6	2.732	3.97742E+6	
2.734	3.97854E+6	2.734	3.97854E+6	
2.736	3.97528E+6	2.736	3.97528E+6	
2.738	3.97627E+6	2.738	3.97627E+6	
2.74	3.97857E+6	2.74	3.97857E+6	
2.742	3.97804E+6	2.742	3.97804E+6	
2.744	3.97802E+6	2.744	3.97802E+6	
2.746	3.98025E+6	2.746	3.98025E+6	
2.748	3.97907E+6	2.748	3.97907E+6	
2.75	3.97898E+6	2.75	3.97898E+6	
2.752	3.97487E+6	2.752	3.97487E+6	
2.754	3.97938E+6	2.754	3.97938E+6	
2.756	3.97855E+6	2.756	3.97855E+6	
2.758	3.97844E+6	2.758	3.97844E+6	
2.76	3.97675E+6	2.76	3.97675E+6	
2.762	3.97895E+6	2.762	3.97895E+6	
2.764	3.97682E+6	2.764	3.97682E+6	
2.766	3.97715E+6	2.766	3.97715E+6	
2.768	3.97409E+6	2.768	3.97409E+6	
2.77	3.96883E+6	2.77	3.96883E+6	
2.772	3.96977E+6	2.772	3.96977E+6	
2.774	3.96842E+6	2.774	3.96842E+6	
2.776	3.97206E+6	2.776	3.97206E+6	
2.778	3.9747E+6	2.778	3.9747E+6	
2.78	3.97289E+6	2.78	3.97289E+6	
2.782	3.97563E+6	2.782	3.97563E+6	
2.784	3.96515E+6	2.784	3.96515E+6	
2.786	3.95914E+6	2.786	3.95914E+6	
2.788	3.96251E+6	2.788	3.96251E+6	
2.79	3.9685E+6	2.79	3.9685E+6	
2.792	3.97308E+6	2.792	3.97308E+6	
2.794	3.97523E+6	2.794	3.97523E+6	
2.796	3.97597E+6	2.796	3.97597E+6	
2.798	3.97797E+6	2.798	3.97797E+6	
2.8	3.97895E+6	2.8	3.97895E+6	
2.802	3.97642E+6	2.802	3.97642E+6	
2.804	3.97917E+6	2.804	3.97917E+6	
2.806	3.97725E+6	2.806	3.97725E+6	
2.808	3.97931E+6	2.808	3.97931E+6	
2.81	3.97757E+6	2.81	3.97757E+6	
2.812	3.97785E+6	2.812	3.97785E+6	
2.814	3.97922E+6	2.814	3.97922E+6	
2.816	3.98212E+6	2.816	3.98212E+6	
2.818	3.97965E+6	2.818	3.97965E+6	
2.82	3.97846E+6	2.82	3.97846E+6	
2.822	3.97656E+6	2.822	3.97656E+6	
2.824	3.97687E+6	2.824	3.97687E+6	
2.826	3.97862E+6	2.826	3.97862E+6	
2.828	3.98145E+6	2.828	3.98145E+6	
2.83	3.97679E+6	2.83	3.97679E+6	
2.832	3.97614E+6	2.832	3.97614E+6	
2.834	3.97561E+6	2.834	3.97561E+6	
2.836	3.96772E+6	2.836	3.96772E+6	
2.838	3.96301E+6	2.838	3.96301E+6	
2.84	3.95993E+6	2.84	3.95993E+6	
2.842	3.96659E+6	2.842	3.96659E+6	
2.844	3.97175E+6	2.844	3.97175E+6	
2.846	3.97239E+6	2.846	3.97239E+6	
2.848	3.97225E+6	2.848	3.97225E+6	
2.85	3.96858E+6	2.85	3.96858E+6	
2.852	3.96574E+6	2.852	3.96574E+6	
2.854	3.96745E+6	2.854	3.96745E+6	
2.856	3.9672E+6	2.856	3.9672E+6	
2.858	3.97183E+6	2.858	3.97183E+6	
2.86	3.97567E+6	2.86	3.97567E+6	
2.862	3.97836E+6	2.862	3.97836E+6	
2.864	3.97527E+6	2.864	3.97527E+6	
2.866	3.98028E+6	2.866	3.98028E+6	
2.868	3.97688E+6	2.868	3.97688E+6	
2.87	3.9793E+6	2.87	3.9793E+6	
