Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.6	1.79059E+6	2.6	1.79059E+6	
2.602	1.78848E+6	2.602	1.78848E+6	
2.604	1.79083E+6	2.604	1.79083E+6	
2.606	1.79128E+6	2.606	1.79128E+6	
2.608	1.79235E+6	2.608	1.79235E+6	
2.61	1.79217E+6	2.61	1.79217E+6	
2.612	1.79307E+6	2.612	1.79307E+6	
2.614	1.78961E+6	2.614	1.78961E+6	
2.616	1.78985E+6	2.616	1.78985E+6	
2.618	1.79327E+6	2.618	1.79327E+6	
2.62	1.79122E+6	2.62	1.79122E+6	
2.622	1.79003E+6	2.622	1.79003E+6	
2.624	1.79314E+6	2.624	1.79314E+6	
2.626	1.79278E+6	2.626	1.79278E+6	
2.628	1.79237E+6	2.628	1.79237E+6	
2.63	1.78961E+6	2.63	1.78961E+6	
2.632	1.79112E+6	2.632	1.79112E+6	
2.634	1.79365E+6	2.634	1.79365E+6	
2.636	1.793E+6	2.636	1.793E+6	
2.638	1.78909E+6	2.638	1.78909E+6	
2.64	1.79011E+6	2.64	1.79011E+6	
2.642	1.79022E+6	2.642	1.79022E+6	
2.644	1.79353E+6	2.644	1.79353E+6	
2.646	1.79021E+6	2.646	1.79021E+6	
2.648	1.79243E+6	2.648	1.79243E+6	
2.65	1.79069E+6	2.65	1.79069E+6	
2.652	1.78936E+6	2.652	1.78936E+6	
2.654	1.79086E+6	2.654	1.79086E+6	
2.656	1.79409E+6	2.656	1.79409E+6	
2.658	1.78963E+6	2.658	1.78963E+6	
2.66	1.79116E+6	2.66	1.79116E+6	
2.662	1.79076E+6	2.662	1.79076E+6	
2.664	1.79332E+6	2.664	1.79332E+6	
2.666	1.79387E+6	2.666	1.79387E+6	
2.668	1.79337E+6	2.668	1.79337E+6	
2.67	1.79148E+6	2.67	1.79148E+6	
2.672	1.79419E+6	2.672	1.79419E+6	
2.674	1.79246E+6	2.674	1.79246E+6	
2.676	1.79318E+6	2.676	1.79318E+6	
2.678	1.79235E+6	2.678	1.79235E+6	
2.68	1.79207E+6	2.68	1.79207E+6	
2.682	1.7901E+6	2.682	1.7901E+6	
2.684	1.79355E+6	2.684	1.79355E+6	
2.686	1.79044E+6	2.686	1.79044E+6	
2.688	1.79326E+6	2.688	1.79326E+6	
2.69	1.79337E+6	2.69	1.79337E+6	
2.692	1.79253E+6	2.692	1.79253E+6	
2.694	1.7942E+6	2.694	1.7942E+6	
2.696	1.79E+6	2.696	1.79E+6	
2.698	1.7877E+6	2.698	1.7877E+6	
2.7	1.7804E+6	2.7	1.7804E+6	
2.702	1.77958E+6	2.702	1.77958E+6	
2.704	1.77723E+6	2.704	1.77723E+6	
2.706	1.77716E+6	2.706	1.77716E+6	
2.708	1.77948E+6	2.708	1.77948E+6	
2.71	1.78329E+6	2.71	1.78329E+6	
2.712	1.78579E+6	2.712	1.78579E+6	
2.714	1.79115E+6	2.714	1.79115E+6	
2.716	1.78981E+6	2.716	1.78981E+6	
2.718	1.79403E+6	2.718	1.79403E+6	
2.72	1.79164E+6	2.72	1.79164E+6	
2.722	1.78949E+6	2.722	1.78949E+6	
2.724	1.78955E+6	2.724	1.78955E+6	
2.726	1.79106E+6	2.726	1.79106E+6	
2.728	1.7903E+6	2.728	1.7903E+6	
2.73	1.79117E+6	2.73	1.79117E+6	
2.732	1.79054E+6	2.732	1.79054E+6	
2.734	1.78893E+6	2.734	1.78893E+6	
2.736	1.79154E+6	2.736	1.79154E+6	
2.738	1.79192E+6	2.738	1.79192E+6	
2.74	1.79117E+6	2.74	1.79117E+6	
2.742	1.79266E+6	2.742	1.79266E+6	
2.744	1.79466E+6	2.744	1.79466E+6	
2.746	1.79201E+6	2.746	1.79201E+6	
2.748	1.79168E+6	2.748	1.79168E+6	
2.75	1.79219E+6	2.75	1.79219E+6	
2.752	1.79024E+6	2.752	1.79024E+6	
2.754	1.79336E+6	2.754	1.79336E+6	
2.756	1.795E+6	2.756	1.795E+6	
2.758	1.79086E+6	2.758	1.79086E+6	
2.76	1.79117E+6	2.76	1.79117E+6	
2.762	1.79221E+6	2.762	1.79221E+6	
2.764	1.79087E+6	2.764	1.79087E+6	
2.766	1.79056E+6	2.766	1.79056E+6	
2.768	1.79051E+6	2.768	1.79051E+6	
2.77	1.79184E+6	2.77	1.79184E+6	
2.772	1.79259E+6	2.772	1.79259E+6	
2.774	1.79352E+6	2.774	1.79352E+6	
2.776	1.78997E+6	2.776	1.78997E+6	
2.778	1.79324E+6	2.778	1.79324E+6	
2.78	1.79086E+6	2.78	1.79086E+6	
2.782	1.79139E+6	2.782	1.79139E+6	
2.784	1.78818E+6	2.784	1.78818E+6	
2.786	1.79334E+6	2.786	1.79334E+6	
2.788	1.79367E+6	2.788	1.79367E+6	
2.79	1.79381E+6	2.79	1.79381E+6	
2.792	1.79291E+6	2.792	1.79291E+6	
2.794	1.79202E+6	2.794	1.79202E+6	
2.796	1.79152E+6	2.796	1.79152E+6	
2.798	1.78963E+6	2.798	1.78963E+6	
2.8	1.79251E+6	2.8	1.79251E+6	
2.802	1.79182E+6	2.802	1.79182E+6	
2.804	1.79009E+6	2.804	1.79009E+6	
2.806	1.78971E+6	2.806	1.78971E+6	
2.808	1.78998E+6	2.808	1.78998E+6	
2.81	1.79279E+6	2.81	1.79279E+6	
2.812	1.78682E+6	2.812	1.78682E+6	
2.814	1.7892E+6	2.814	1.7892E+6	
2.816	1.79079E+6	2.816	1.79079E+6	
2.818	1.79116E+6	2.818	1.79116E+6	
2.82	1.7893E+6	2.82	1.7893E+6	
2.822	1.79241E+6	2.822	1.79241E+6	
2.824	1.79087E+6	2.824	1.79087E+6	
2.826	1.79186E+6	2.826	1.79186E+6	
2.828	1.79419E+6	2.828	1.79419E+6	
2.83	1.7923E+6	2.83	1.7923E+6	
2.832	1.78771E+6	2.832	1.78771E+6	
2.834	1.78964E+6	2.834	1.78964E+6	
2.836	1.79289E+6	2.836	1.79289E+6	
2.838	1.79186E+6	2.838	1.79186E+6	
2.84	1.78779E+6	2.84	1.78779E+6	
2.842	1.79187E+6	2.842	1.79187E+6	
2.844	1.79165E+6	2.844	1.79165E+6	
2.846	1.79097E+6	2.846	1.79097E+6	
2.848	1.78891E+6	2.848	1.78891E+6	
2.85	1.79112E+6	2.85	1.79112E+6	
2.852	1.7918E+6	2.852	1.7918E+6	
2.854	1.79154E+6	2.854	1.79154E+6	
2.856	1.792E+6	2.856	1.792E+6	
2.858	1.78999E+6	2.858	1.78999E+6	
2.86	1.78989E+6	2.86	1.78989E+6	
2.862	1.79002E+6	2.862	1.79002E+6	
2.864	1.79161E+6	2.864	1.79161E+6	
2.866	1.79094E+6	2.866	1.79094E+6	
2.868	1.78789E+6	2.868	1.78789E+6	
2.87	1.79219E+6	2.87	1.79219E+6	
2.872	1.79113E+6	2.872	1.79113E+6	
2.874	1.78615E+6	2.874	1.78615E+6	
2.876	1.78336E+6	2.876	1.78336E+6	
2.878	1.77708E+6	2.878	1.77708E+6	
2.88	1.77007E+6	2.88	1.77007E+6	
2.882	1.77024E+6	2.882	1.77024E+6	
2.884	1.77132E+6	2.884	1.77132E+6	
2.886	1.78165E+6	2.886	1.78165E+6	
2.888	1.78471E+6	2.888	1.78471E+6	
2.89	1.78706E+6	2.89	1.78706E+6	
2.892	1.7914E+6	2.892	1.7914E+6	
2.894	1.79138E+6	2.894	1.79138E+6	
2.896	1.79036E+6	2.896	1.79036E+6	
2.898	1.79326E+6	2.898	1.79326E+6	
2.9	1.78913E+6	2.9	1.78913E+6	
2.902	1.78006E+6	2.902	1.78006E+6	
2.904	1.77038E+6	2.904	1.77038E+6	
2.906	1.76854E+6	2.906	1.76854E+6	
2.908	1.77062E+6	2.908	1.77062E+6	
2.91	1.77712E+6	2.91	1.77712E+6	
2.912	1.77987E+6	2.912	1.77987E+6	
2.914	1.78591E+6	2.914	1.78591E+6	
2.916	1.79021E+6	2.916	1.79021E+6	
2.918	1.79159E+6	2.918	1.79159E+6	
2.92	1.79353E+6	2.92	1.79353E+6	
2.922	1.79226E+6	2.922	1.79226E+6	
2.924	1.79195E+6	2.924	1.79195E+6	
2.926	1.79072E+6	2.926	1.79072E+6	
2.928	1.79165E+6	2.928	1.79165E+6	
2.93	1.79321E+6	2.93	1.79321E+6	
2.932	1.78916E+6	2.932	1.78916E+6	
2.934	1.79227E+6	2.934	1.79227E+6	
2.936	1.7907E+6	2.936	1.7907E+6	
2.938	1.7877E+6	2.938	1.7877E+6	
2.94	1.79016E+6	2.94	1.79016E+6	
2.942	1.79432E+6	2.942	1.79432E+6	
2.944	1.79134E+6	2.944	1.79134E+6	
2.946	1.79407E+6	2.946	1.79407E+6	
2.948	1.79164E+6	2.948	1.79164E+6	
2.95	1.79398E+6	2.95	1.79398E+6	
2.952	1.79151E+6	2.952	1.79151E+6	
2.954	1.78928E+6	2.954	1.78928E+6	
2.956	1.78961E+6	2.956	1.78961E+6	
2.958	1.79155E+6	2.958	1.79155E+6	
2.96	1.79216E+6	2.96	1.79216E+6	
2.962	1.79174E+6	2.962	1.79174E+6	
2.964	1.79181E+6	2.964	1.79181E+6	
2.966	1.78836E+6	2.966	1.78836E+6	
2.968	1.79043E+6	2.968	1.79043E+6	
2.97	1.79322E+6	2.97	1.79322E+6	
2.972	1.79124E+6	2.972	1.79124E+6	
2.974	1.78938E+6	2.974	1.78938E+6	
2.976	1.79173E+6	2.976	1.79173E+6	
2.978	1.79339E+6	2.978	1.79339E+6	
2.98	1.78941E+6	2.98	1.78941E+6	
2.982	1.79262E+6	2.982	1.79262E+6	
2.984	1.79037E+6	2.984	1.79037E+6	
2.986	1.78666E+6	2.986	1.78666E+6	
2.988	1.7904E+6	2.988	1.7904E+6	
2.99	1.79326E+6	2.99	1.79326E+6	
2.992	1.78989E+6	2.992	1.78989E+6	
2.994	1.79078E+6	2.994	1.79078E+6	
2.996	1.79319E+6	2.996	1.79319E+6	
2.998	1.7896E+6	2.998	1.7896E+6	
3	1.79365E+6	3	1.79365E+6	
3.002	1.79003E+6	3.002	1.79003E+6	
3.004	1.79094E+6	3.004	1.79094E+6	
3.006	1.79252E+6	3.006	1.79252E+6	
3.008	1.78963E+6	3.008	1.78963E+6	
3.01	1.79238E+6	3.01	1.79238E+6	
3.012	1.79142E+6	3.012	1.79142E+6	
3.014	1.79308E+6	3.014	1.79308E+6	
3.016	1.79222E+6	3.016	1.79222E+6	
3.018	1.79133E+6	3.018	1.79133E+6	
3.02	1.79326E+6	3.02	1.79326E+6	
3.022	1.78768E+6	3.022	1.78768E+6	
3.024	1.7925E+6	3.024	1.7925E+6	
3.026	1.79138E+6	3.026	1.79138E+6	
3.028	1.79008E+6	3.028	1.79008E+6	
3.03	1.79269E+6	3.03	1.79269E+6	
3.032	1.79176E+6	3.032	1.79176E+6	
3.034	1.79323E+6	3.034	1.79323E+6	
3.036	1.7935E+6	3.036	1.7935E+6	
3.038	1.79098E+6	3.038	1.79098E+6	
3.04	1.79266E+6	3.04	1.79266E+6	
3.042	1.78905E+6	3.042	1.78905E+6	
3.044	1.78724E+6	3.044	1.78724E+6	
3.046	1.78475E+6	3.046	1.78475E+6	
3.048	1.78287E+6	3.048	1.78287E+6	
3.05	1.78058E+6	3.05	1.78058E+6	
3.052	1.77277E+6	3.052	1.77277E+6	
3.054	1.7753E+6	3.054	1.7753E+6	
3.056	1.78046E+6	3.056	1.78046E+6	
3.058	1.78204E+6	3.058	1.78204E+6	
3.06	1.78839E+6	3.06	1.78839E+6	
3.062	1.78854E+6	3.062	1.78854E+6	
3.064	1.79105E+6	3.064	1.79105E+6	
3.066	1.79205E+6	3.066	1.79205E+6	
3.068	1.7901E+6	3.068	1.7901E+6	
3.07	1.79107E+6	3.07	1.79107E+6	
3.072	1.79311E+6	3.072	1.79311E+6	
3.074	1.79283E+6	3.074	1.79283E+6	
3.076	1.79185E+6	3.076	1.79185E+6	
3.078	1.79304E+6	3.078	1.79304E+6	
3.08	1.79275E+6	3.08	1.79275E+6	
3.082	1.78945E+6	3.082	1.78945E+6	
3.084	1.79302E+6	3.084	1.79302E+6	
3.086	1.79092E+6	3.086	1.79092E+6	
3.088	1.79255E+6	3.088	1.79255E+6	
3.09	1.79277E+6	3.09	1.79277E+6	
3.092	1.79069E+6	3.092	1.79069E+6	
3.094	1.79063E+6	3.094	1.79063E+6	
3.096	1.79321E+6	3.096	1.79321E+6	
3.098	1.79204E+6	3.098	1.79204E+6	
3.1	1.79155E+6	3.1	1.79155E+6	
3.102	1.79027E+6	3.102	1.79027E+6	
3.104	1.79142E+6	3.104	1.79142E+6	
3.106	1.79089E+6	3.106	1.79089E+6	
3.108	1.79117E+6	3.108	1.79117E+6	
3.11	1.7904E+6	3.11	1.7904E+6	
3.112	1.79232E+6	3.112	1.79232E+6	
3.114	1.79359E+6	3.114	1.79359E+6	
3.116	1.78967E+6	3.116	1.78967E+6	
3.118	1.79199E+6	3.118	1.79199E+6	
3.12	1.79412E+6	3.12	1.79412E+6	
3.122	1.7924E+6	3.122	1.7924E+6	
3.124	1.79181E+6	3.124	1.79181E+6	
3.126	1.78961E+6	3.126	1.78961E+6	
3.128	1.79135E+6	3.128	1.79135E+6	
3.13	1.79052E+6	3.13	1.79052E+6	
3.132	1.79217E+6	3.132	1.79217E+6	
3.134	1.79324E+6	3.134	1.79324E+6	
3.136	1.79277E+6	3.136	1.79277E+6	
3.138	1.79047E+6	3.138	1.79047E+6	
3.14	1.79565E+6	3.14	1.79565E+6	
3.142	1.79191E+6	3.142	1.79191E+6	
3.144	1.7913E+6	3.144	1.7913E+6	
3.146	1.78974E+6	3.146	1.78974E+6	
