Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.6	4.01273E+6	2.6	4.01273E+6	
2.602	4.01025E+6	2.602	4.01025E+6	
2.604	4.00937E+6	2.604	4.00937E+6	
2.606	4.00819E+6	2.606	4.00819E+6	
2.608	4.01374E+6	2.608	4.01374E+6	
2.61	4.00841E+6	2.61	4.00841E+6	
2.612	4.01168E+6	2.612	4.01168E+6	
2.614	4.01138E+6	2.614	4.01138E+6	
2.616	4.00921E+6	2.616	4.00921E+6	
2.618	4.00831E+6	2.618	4.00831E+6	
2.62	4.00948E+6	2.62	4.00948E+6	
2.622	4.01051E+6	2.622	4.01051E+6	
2.624	4.01186E+6	2.624	4.01186E+6	
2.626	4.01167E+6	2.626	4.01167E+6	
2.628	4.01193E+6	2.628	4.01193E+6	
2.63	4.00905E+6	2.63	4.00905E+6	
2.632	4.01009E+6	2.632	4.01009E+6	
2.634	4.01257E+6	2.634	4.01257E+6	
2.636	4.01192E+6	2.636	4.01192E+6	
2.638	4.01377E+6	2.638	4.01377E+6	
2.64	4.0104E+6	2.64	4.0104E+6	
2.642	4.01135E+6	2.642	4.01135E+6	
2.644	4.01041E+6	2.644	4.01041E+6	
2.646	4.01011E+6	2.646	4.01011E+6	
2.648	4.00958E+6	2.648	4.00958E+6	
2.65	4.0104E+6	2.65	4.0104E+6	
2.652	4.00929E+6	2.652	4.00929E+6	
2.654	4.013E+6	2.654	4.013E+6	
2.656	4.01486E+6	2.656	4.01486E+6	
2.658	4.00884E+6	2.658	4.00884E+6	
2.66	4.01114E+6	2.66	4.01114E+6	
2.662	4.00996E+6	2.662	4.00996E+6	
2.664	4.00934E+6	2.664	4.00934E+6	
2.666	4.01216E+6	2.666	4.01216E+6	
2.668	4.00292E+6	2.668	4.00292E+6	
2.67	3.99302E+6	2.67	3.99302E+6	
2.672	3.99877E+6	2.672	3.99877E+6	
2.674	3.99885E+6	2.674	3.99885E+6	
2.676	4.00173E+6	2.676	4.00173E+6	
2.678	4.00845E+6	2.678	4.00845E+6	
2.68	4.00464E+6	2.68	4.00464E+6	
2.682	4.00971E+6	2.682	4.00971E+6	
2.684	4.0093E+6	2.684	4.0093E+6	
2.686	4.01242E+6	2.686	4.01242E+6	
2.688	4.01116E+6	2.688	4.01116E+6	
2.69	4.0142E+6	2.69	4.0142E+6	
2.692	4.00622E+6	2.692	4.00622E+6	
2.694	4.0097E+6	2.694	4.0097E+6	
2.696	4.01201E+6	2.696	4.01201E+6	
2.698	4.01216E+6	2.698	4.01216E+6	
2.7	4.00816E+6	2.7	4.00816E+6	
2.702	4.00792E+6	2.702	4.00792E+6	
2.704	4.00916E+6	2.704	4.00916E+6	
2.706	4.01311E+6	2.706	4.01311E+6	
2.708	4.01006E+6	2.708	4.01006E+6	
2.71	4.00859E+6	2.71	4.00859E+6	
2.712	4.00834E+6	2.712	4.00834E+6	
2.714	4.01254E+6	2.714	4.01254E+6	
2.716	4.00891E+6	2.716	4.00891E+6	
2.718	4.00793E+6	2.718	4.00793E+6	
2.72	4.01081E+6	2.72	4.01081E+6	
2.722	4.01236E+6	2.722	4.01236E+6	
2.724	4.00881E+6	2.724	4.00881E+6	
2.726	4.01175E+6	2.726	4.01175E+6	
2.728	4.00621E+6	2.728	4.00621E+6	
2.73	4.01112E+6	2.73	4.01112E+6	
2.732	4.00737E+6	2.732	4.00737E+6	
2.734	4.01005E+6	2.734	4.01005E+6	
2.736	4.01018E+6	2.736	4.01018E+6	
2.738	4.00927E+6	2.738	4.00927E+6	
2.74	4.01574E+6	2.74	4.01574E+6	
2.742	4.00833E+6	2.742	4.00833E+6	
2.744	4.0098E+6	2.744	4.0098E+6	
2.746	4.01279E+6	2.746	4.01279E+6	
2.748	4.01203E+6	2.748	4.01203E+6	
2.75	4.0107E+6	2.75	4.0107E+6	
2.752	4.00507E+6	2.752	4.00507E+6	
2.754	4.00799E+6	2.754	4.00799E+6	
2.756	4.008E+6	2.756	4.008E+6	
2.758	4.00712E+6	2.758	4.00712E+6	
2.76	4.00175E+6	2.76	4.00175E+6	
2.762	3.99554E+6	2.762	3.99554E+6	
2.764	3.99589E+6	2.764	3.99589E+6	
2.766	3.99863E+6	2.766	3.99863E+6	
2.768	4.00024E+6	2.768	4.00024E+6	
2.77	4.00436E+6	2.77	4.00436E+6	
2.772	4.00616E+6	2.772	4.00616E+6	
2.774	4.00433E+6	2.774	4.00433E+6	
2.776	4.01002E+6	2.776	4.01002E+6	
2.778	4.00935E+6	2.778	4.00935E+6	
2.78	4.00747E+6	2.78	4.00747E+6	
2.782	4.00378E+6	2.782	4.00378E+6	
2.784	4.00948E+6	2.784	4.00948E+6	
2.786	4.00895E+6	2.786	4.00895E+6	
2.788	4.01209E+6	2.788	4.01209E+6	
2.79	4.00675E+6	2.79	4.00675E+6	
2.792	4.01107E+6	2.792	4.01107E+6	
2.794	4.01136E+6	2.794	4.01136E+6	
2.796	4.01305E+6	2.796	4.01305E+6	
2.798	4.01117E+6	2.798	4.01117E+6	
2.8	4.01059E+6	2.8	4.01059E+6	
2.802	4.00365E+6	2.802	4.00365E+6	
2.804	4.01004E+6	2.804	4.01004E+6	
2.806	4.00392E+6	2.806	4.00392E+6	
2.808	4.00998E+6	2.808	4.00998E+6	
2.81	4.01142E+6	2.81	4.01142E+6	
2.812	4.00721E+6	2.812	4.00721E+6	
2.814	4.011E+6	2.814	4.011E+6	
2.816	4.01063E+6	2.816	4.01063E+6	
2.818	4.00997E+6	2.818	4.00997E+6	
2.82	4.00964E+6	2.82	4.00964E+6	
2.822	4.01069E+6	2.822	4.01069E+6	
2.824	4.0094E+6	2.824	4.0094E+6	
2.826	4.009E+6	2.826	4.009E+6	
2.828	4.01211E+6	2.828	4.01211E+6	
2.83	4.01162E+6	2.83	4.01162E+6	
2.832	4.01251E+6	2.832	4.01251E+6	
2.834	4.01306E+6	2.834	4.01306E+6	
2.836	4.00981E+6	2.836	4.00981E+6	
2.838	4.00783E+6	2.838	4.00783E+6	
2.84	4.00461E+6	2.84	4.00461E+6	
2.842	4.00818E+6	2.842	4.00818E+6	
2.844	4.00009E+6	2.844	4.00009E+6	
2.846	3.98788E+6	2.846	3.98788E+6	
2.848	3.98173E+6	2.848	3.98173E+6	
2.85	3.97851E+6	2.85	3.97851E+6	
