Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.6	2.1912E+6	2.6	2.1912E+6	
2.602	2.1906E+6	2.602	2.1906E+6	
2.604	2.18971E+6	2.604	2.18971E+6	
2.606	2.18885E+6	2.606	2.18885E+6	
2.608	2.19191E+6	2.608	2.19191E+6	
2.61	2.18572E+6	2.61	2.18572E+6	
2.612	2.1917E+6	2.612	2.1917E+6	
2.614	2.19E+6	2.614	2.19E+6	
2.616	2.18869E+6	2.616	2.18869E+6	
2.618	2.18793E+6	2.618	2.18793E+6	
2.62	2.19126E+6	2.62	2.19126E+6	
2.622	2.19041E+6	2.622	2.19041E+6	
2.624	2.18903E+6	2.624	2.18903E+6	
2.626	2.18844E+6	2.626	2.18844E+6	
2.628	2.19082E+6	2.628	2.19082E+6	
2.63	2.18914E+6	2.63	2.18914E+6	
2.632	2.18983E+6	2.632	2.18983E+6	
2.634	2.1883E+6	2.634	2.1883E+6	
2.636	2.19176E+6	2.636	2.19176E+6	
2.638	2.18924E+6	2.638	2.18924E+6	
2.64	2.1875E+6	2.64	2.1875E+6	
2.642	2.18985E+6	2.642	2.18985E+6	
2.644	2.19089E+6	2.644	2.19089E+6	
2.646	2.18686E+6	2.646	2.18686E+6	
2.648	2.1882E+6	2.648	2.1882E+6	
2.65	2.18868E+6	2.65	2.18868E+6	
2.652	2.18925E+6	2.652	2.18925E+6	
2.654	2.18778E+6	2.654	2.18778E+6	
2.656	2.18963E+6	2.656	2.18963E+6	
2.658	2.19038E+6	2.658	2.19038E+6	
2.66	2.19084E+6	2.66	2.19084E+6	
2.662	2.19009E+6	2.662	2.19009E+6	
2.664	2.18837E+6	2.664	2.18837E+6	
2.666	2.19128E+6	2.666	2.19128E+6	
2.668	2.18714E+6	2.668	2.18714E+6	
2.67	2.19109E+6	2.67	2.19109E+6	
2.672	2.19203E+6	2.672	2.19203E+6	
2.674	2.19018E+6	2.674	2.19018E+6	
2.676	2.19056E+6	2.676	2.19056E+6	
2.678	2.18877E+6	2.678	2.18877E+6	
2.68	2.18942E+6	2.68	2.18942E+6	
2.682	2.19054E+6	2.682	2.19054E+6	
2.684	2.1868E+6	2.684	2.1868E+6	
2.686	2.18985E+6	2.686	2.18985E+6	
2.688	2.18757E+6	2.688	2.18757E+6	
2.69	2.17828E+6	2.69	2.17828E+6	
2.692	2.1766E+6	2.692	2.1766E+6	
2.694	2.17906E+6	2.694	2.17906E+6	
2.696	2.17723E+6	2.696	2.17723E+6	
2.698	2.18514E+6	2.698	2.18514E+6	
2.7	2.18365E+6	2.7	2.18365E+6	
2.702	2.18938E+6	2.702	2.18938E+6	
2.704	2.18997E+6	2.704	2.18997E+6	
2.706	2.1887E+6	2.706	2.1887E+6	
2.708	2.18857E+6	2.708	2.18857E+6	
2.71	2.19246E+6	2.71	2.19246E+6	
2.712	2.18751E+6	2.712	2.18751E+6	
2.714	2.18834E+6	2.714	2.18834E+6	
2.716	2.18968E+6	2.716	2.18968E+6	
2.718	2.18961E+6	2.718	2.18961E+6	
2.72	2.18655E+6	2.72	2.18655E+6	
2.722	2.18845E+6	2.722	2.18845E+6	
2.724	2.18915E+6	2.724	2.18915E+6	
2.726	2.18777E+6	2.726	2.18777E+6	
2.728	2.18972E+6	2.728	2.18972E+6	
2.73	2.18926E+6	2.73	2.18926E+6	
2.732	2.18902E+6	2.732	2.18902E+6	
2.734	2.19223E+6	2.734	2.19223E+6	
2.736	2.18676E+6	2.736	2.18676E+6	
2.738	2.18986E+6	2.738	2.18986E+6	
2.74	2.19044E+6	2.74	2.19044E+6	
2.742	2.19068E+6	2.742	2.19068E+6	
2.744	2.1914E+6	2.744	2.1914E+6	
2.746	2.18823E+6	2.746	2.18823E+6	
2.748	2.19021E+6	2.748	2.19021E+6	
2.75	2.18757E+6	2.75	2.18757E+6	
2.752	2.19117E+6	2.752	2.19117E+6	
2.754	2.18889E+6	2.754	2.18889E+6	
2.756	2.18663E+6	2.756	2.18663E+6	
2.758	2.19027E+6	2.758	2.19027E+6	
2.76	2.18943E+6	2.76	2.18943E+6	
2.762	2.18945E+6	2.762	2.18945E+6	
2.764	2.19168E+6	2.764	2.19168E+6	
2.766	2.18777E+6	2.766	2.18777E+6	
2.768	2.18684E+6	2.768	2.18684E+6	
2.77	2.18952E+6	2.77	2.18952E+6	
2.772	2.18748E+6	2.772	2.18748E+6	
2.774	2.18569E+6	2.774	2.18569E+6	
2.776	2.18326E+6	2.776	2.18326E+6	
2.778	2.17196E+6	2.778	2.17196E+6	
2.78	2.17104E+6	2.78	2.17104E+6	
2.782	2.17938E+6	2.782	2.17938E+6	
2.784	2.17996E+6	2.784	2.17996E+6	
2.786	2.18652E+6	2.786	2.18652E+6	
2.788	2.1878E+6	2.788	2.1878E+6	
2.79	2.18898E+6	2.79	2.18898E+6	
2.792	2.18463E+6	2.792	2.18463E+6	
