Temps - Tracé 0	Amplitude - Tracé 0	
2.76	2.91032E+6	
2.7603	2.91149E+6	
2.7606	2.91109E+6	
2.7609	2.91285E+6	
2.7612	2.91234E+6	
2.7615	2.91238E+6	
2.7618	2.91114E+6	
2.7621	2.91183E+6	
2.7624	2.91247E+6	
2.7627	2.91157E+6	
2.763	2.91229E+6	
2.7633	2.91207E+6	
2.7636	2.91217E+6	
2.7639	2.91262E+6	
2.7642	2.90929E+6	
2.7645	2.90985E+6	
2.7648	2.91103E+6	
2.7651	2.91113E+6	
2.7654	2.91172E+6	
2.7657	2.91114E+6	
2.766	2.91182E+6	
2.7663	2.91221E+6	
2.7666	2.9112E+6	
2.7669	2.91299E+6	
2.7672	2.91148E+6	
2.7675	2.91188E+6	
2.7678	2.9121E+6	
2.7681	2.91299E+6	
2.7684	2.91219E+6	
2.7687	2.91182E+6	
2.769	2.91231E+6	
2.7693	2.91168E+6	
2.7696	2.91126E+6	
2.7699	2.9124E+6	
2.7702	2.91095E+6	
2.7705	2.91289E+6	
2.7708	2.91124E+6	
2.7711	2.91079E+6	
2.7714	2.91272E+6	
2.7717	2.91149E+6	
2.772	2.91032E+6	
2.7723	2.91294E+6	
2.7726	2.91232E+6	
2.7729	2.91125E+6	
2.7732	2.91144E+6	
2.7735	2.91283E+6	
2.7738	2.91219E+6	
2.7741	2.91268E+6	
2.7744	2.91134E+6	
2.7747	2.9109E+6	
2.775	2.91211E+6	
2.7753	2.91328E+6	
2.7756	2.91114E+6	
2.7759	2.9129E+6	
2.7762	2.91189E+6	
2.7765	2.91227E+6	
2.7768	2.91068E+6	
2.7771	2.91178E+6	
2.7774	2.90988E+6	
2.7777	2.90983E+6	
2.778	2.91183E+6	
2.7783	2.91082E+6	
2.7786	2.91138E+6	
2.7789	2.91036E+6	
2.7792	2.91077E+6	
2.7795	2.91182E+6	
2.7798	2.91083E+6	
2.7801	2.91175E+6	
2.7804	2.91043E+6	
2.7807	2.90975E+6	
2.781	2.90917E+6	
2.7813	2.91088E+6	
2.7816	2.91071E+6	
2.7819	2.91133E+6	
2.7822	2.91001E+6	
2.7825	2.90628E+6	
2.7828	2.9073E+6	
2.7831	2.91023E+6	
2.7834	2.90805E+6	
2.7837	2.90633E+6	
2.784	2.90849E+6	
2.7843	2.907E+6	
2.7846	2.90666E+6	
2.7849	2.90692E+6	
2.7852	2.90623E+6	
2.7855	2.90368E+6	
2.7858	2.90536E+6	
2.7861	2.90556E+6	
2.7864	2.90186E+6	
2.7867	2.90281E+6	
2.787	2.90142E+6	
2.7873	2.90278E+6	
2.7876	2.90059E+6	
2.7879	2.89791E+6	
2.7882	2.89778E+6	
2.7885	2.89921E+6	
2.7888	2.89983E+6	
2.7891	2.89934E+6	
2.7894	2.89798E+6	
2.7897	2.89983E+6	
2.79	2.89885E+6	
2.7903	2.90039E+6	
2.7906	2.89845E+6	
2.7909	2.89888E+6	
2.7912	2.89931E+6	
2.7915	2.9009E+6	
2.7918	2.9002E+6	
2.7921	2.90091E+6	
2.7924	2.90186E+6	
2.7927	2.90224E+6	
2.793	2.90283E+6	
2.7933	2.90108E+6	
2.7936	2.90222E+6	
2.7939	2.90392E+6	
2.7942	2.90528E+6	
2.7945	2.90446E+6	
2.7948	2.90383E+6	
2.7951	2.90521E+6	
2.7954	2.90332E+6	
2.7957	2.90399E+6	
2.796	2.90381E+6	
2.7963	2.90479E+6	
2.7966	2.90299E+6	
2.7969	2.90602E+6	
2.7972	2.90429E+6	
2.7975	2.90279E+6	
2.7978	2.90423E+6	
2.7981	2.90372E+6	
2.7984	2.90621E+6	
2.7987	2.90346E+6	
2.799	2.90553E+6	
2.7993	2.9041E+6	
2.7996	2.90373E+6	
2.7999	2.90571E+6	
2.8002	2.90414E+6	
2.8005	2.90585E+6	
2.8008	2.9044E+6	
2.8011	2.90702E+6	
2.8014	2.90739E+6	
2.8017	2.90589E+6	
2.802	2.90799E+6	
2.8023	2.9081E+6	
2.8026	2.90792E+6	
2.8029	2.90754E+6	
2.8032	2.90839E+6	
2.8035	2.90981E+6	
2.8038	2.91039E+6	
2.8041	2.9106E+6	
2.8044	2.91041E+6	
2.8047	2.90943E+6	
2.805	2.90969E+6	
2.8053	2.91071E+6	
2.8056	2.9092E+6	
2.8059	2.91043E+6	
2.8062	2.91167E+6	
2.8065	2.91047E+6	
2.8068	2.90981E+6	
2.8071	2.91176E+6	
2.8074	2.91109E+6	
2.8077	2.91023E+6	
2.808	2.91111E+6	
2.8083	2.90984E+6	
2.8086	2.90995E+6	
2.8089	2.91059E+6	
2.8092	2.91118E+6	
2.8095	2.91023E+6	
2.8098	2.91249E+6	
2.8101	2.91153E+6	
2.8104	2.91115E+6	
2.8107	2.91002E+6	
2.811	2.91051E+6	
2.8113	2.91258E+6	
2.8116	2.91176E+6	
2.8119	2.91217E+6	
2.8122	2.91137E+6	
2.8125	2.91094E+6	
2.8128	2.91174E+6	
2.8131	2.91017E+6	
2.8134	2.9103E+6	
2.8137	2.90985E+6	
2.814	2.91187E+6	
2.8143	2.91184E+6	
2.8146	2.91231E+6	
2.8149	2.91122E+6	
2.8152	2.91297E+6	
2.8155	2.91286E+6	
2.8158	2.91112E+6	
2.8161	2.91109E+6	
2.8164	2.91057E+6	
2.8167	2.91352E+6	
2.817	2.91204E+6	
2.8173	2.91249E+6	
2.8176	2.90963E+6	
2.8179	2.91236E+6	
2.8182	2.91096E+6	
2.8185	2.91321E+6	
