Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.408	2.31983E+6	2.408	2.31983E+6	
2.4081	2.32229E+6	2.4081	2.32229E+6	
2.4082	2.31874E+6	2.4082	2.31874E+6	
2.4083	2.32046E+6	2.4083	2.32046E+6	
2.4084	2.32018E+6	2.4084	2.32018E+6	
2.4085	2.321E+6	2.4085	2.321E+6	
2.4086	2.32068E+6	2.4086	2.32068E+6	
2.4087	2.31934E+6	2.4087	2.31934E+6	
2.4088	2.31453E+6	2.4088	2.31453E+6	
2.4089	2.32054E+6	2.4089	2.32054E+6	
2.409	2.32093E+6	2.409	2.32093E+6	
2.4091	2.317E+6	2.4091	2.317E+6	
2.4092	2.31639E+6	2.4092	2.31639E+6	
2.4093	2.31911E+6	2.4093	2.31911E+6	
2.4094	2.316E+6	2.4094	2.316E+6	
2.4095	2.32178E+6	2.4095	2.32178E+6	
2.4096	2.31875E+6	2.4096	2.31875E+6	
2.4097	2.31621E+6	2.4097	2.31621E+6	
2.4098	2.31891E+6	2.4098	2.31891E+6	
2.4099	2.31976E+6	2.4099	2.31976E+6	
2.41	2.3206E+6	2.41	2.3206E+6	
2.4101	2.31815E+6	2.4101	2.31815E+6	
2.4102	2.3209E+6	2.4102	2.3209E+6	
2.4103	2.31896E+6	2.4103	2.31896E+6	
2.4104	2.32041E+6	2.4104	2.32041E+6	
2.4105	2.31629E+6	2.4105	2.31629E+6	
2.4106	2.31806E+6	2.4106	2.31806E+6	
2.4107	2.31629E+6	2.4107	2.31629E+6	
2.4108	2.31271E+6	2.4108	2.31271E+6	
2.4109	2.31939E+6	2.4109	2.31939E+6	
2.411	2.31237E+6	2.411	2.31237E+6	
2.4111	2.31452E+6	2.4111	2.31452E+6	
2.4112	2.31517E+6	2.4112	2.31517E+6	
2.4113	2.31837E+6	2.4113	2.31837E+6	
2.4114	2.31473E+6	2.4114	2.31473E+6	
2.4115	2.31564E+6	2.4115	2.31564E+6	
2.4116	2.31623E+6	2.4116	2.31623E+6	
2.4117	2.31489E+6	2.4117	2.31489E+6	
2.4118	2.31901E+6	2.4118	2.31901E+6	
2.4119	2.31362E+6	2.4119	2.31362E+6	
2.412	2.31708E+6	2.412	2.31708E+6	
2.4121	2.31434E+6	2.4121	2.31434E+6	
2.4122	2.31308E+6	2.4122	2.31308E+6	
2.4123	2.31212E+6	2.4123	2.31212E+6	
2.4124	2.31532E+6	2.4124	2.31532E+6	
2.4125	2.308E+6	2.4125	2.308E+6	
2.4126	2.30911E+6	2.4126	2.30911E+6	
2.4127	2.31228E+6	2.4127	2.31228E+6	
2.4128	2.30662E+6	2.4128	2.30662E+6	
2.4129	2.30425E+6	2.4129	2.30425E+6	
2.413	2.30274E+6	2.413	2.30274E+6	
2.4131	2.30162E+6	2.4131	2.30162E+6	
2.4132	2.29707E+6	2.4132	2.29707E+6	
2.4133	2.29298E+6	2.4133	2.29298E+6	
2.4134	2.29195E+6	2.4134	2.29195E+6	
2.4135	2.29157E+6	2.4135	2.29157E+6	
2.4136	2.2906E+6	2.4136	2.2906E+6	
2.4137	2.28904E+6	2.4137	2.28904E+6	
2.4138	2.28315E+6	2.4138	2.28315E+6	
2.4139	2.27863E+6	2.4139	2.27863E+6	
2.414	2.28127E+6	2.414	2.28127E+6	
2.4141	2.28645E+6	2.4141	2.28645E+6	
2.4142	2.28426E+6	2.4142	2.28426E+6	
2.4143	2.28133E+6	2.4143	2.28133E+6	
2.4144	2.2857E+6	2.4144	2.2857E+6	
2.4145	2.2855E+6	2.4145	2.2855E+6	
2.4146	2.29389E+6	2.4146	2.29389E+6	
2.4147	2.28975E+6	2.4147	2.28975E+6	
2.4148	2.29656E+6	2.4148	2.29656E+6	
2.4149	2.29382E+6	2.4149	2.29382E+6	
2.415	2.29437E+6	2.415	2.29437E+6	
2.4151	2.2937E+6	2.4151	2.2937E+6	
2.4152	2.2971E+6	2.4152	2.2971E+6	
2.4153	2.2961E+6	2.4153	2.2961E+6	
2.4154	2.29344E+6	2.4154	2.29344E+6	
2.4155	2.28994E+6	2.4155	2.28994E+6	
2.4156	2.28873E+6	2.4156	2.28873E+6	
2.4157	2.28715E+6	2.4157	2.28715E+6	
2.4158	2.28708E+6	2.4158	2.28708E+6	
2.4159	2.2824E+6	2.4159	2.2824E+6	
2.416	2.28217E+6	2.416	2.28217E+6	
2.4161	2.27729E+6	2.4161	2.27729E+6	
2.4162	2.27807E+6	2.4162	2.27807E+6	
2.4163	2.27966E+6	2.4163	2.27966E+6	
2.4164	2.28457E+6	2.4164	2.28457E+6	
2.4165	2.28204E+6	2.4165	2.28204E+6	
2.4166	2.28547E+6	2.4166	2.28547E+6	
2.4167	2.28859E+6	2.4167	2.28859E+6	
2.4168	2.2936E+6	2.4168	2.2936E+6	
2.4169	2.29019E+6	2.4169	2.29019E+6	
2.417	2.29126E+6	2.417	2.29126E+6	
2.4171	2.29159E+6	2.4171	2.29159E+6	
2.4172	2.2943E+6	2.4172	2.2943E+6	
2.4173	2.2936E+6	2.4173	2.2936E+6	
2.4174	2.29381E+6	2.4174	2.29381E+6	
2.4175	2.28935E+6	2.4175	2.28935E+6	
2.4176	2.2987E+6	2.4176	2.2987E+6	
2.4177	2.29247E+6	2.4177	2.29247E+6	
2.4178	2.29292E+6	2.4178	2.29292E+6	
2.4179	2.30318E+6	2.4179	2.30318E+6	
2.418	2.28425E+6	2.418	2.28425E+6	
2.4181	2.28017E+6	2.4181	2.28017E+6	
2.4182	2.28123E+6	2.4182	2.28123E+6	
2.4183	2.28471E+6	2.4183	2.28471E+6	
2.4184	2.27801E+6	2.4184	2.27801E+6	
2.4185	2.2846E+6	2.4185	2.2846E+6	
2.4186	2.28329E+6	2.4186	2.28329E+6	
2.4187	2.2873E+6	2.4187	2.2873E+6	
2.4188	2.2949E+6	2.4188	2.2949E+6	
2.4189	2.2981E+6	2.4189	2.2981E+6	
2.419	2.29019E+6	2.419	2.29019E+6	
2.4191	2.29793E+6	2.4191	2.29793E+6	
2.4192	2.30227E+6	2.4192	2.30227E+6	
2.4193	2.30373E+6	2.4193	2.30373E+6	
2.4194	2.30296E+6	2.4194	2.30296E+6	
2.4195	2.30952E+6	2.4195	2.30952E+6	
2.4196	2.30141E+6	2.4196	2.30141E+6	
2.4197	2.30791E+6	2.4197	2.30791E+6	
2.4198	2.30832E+6	2.4198	2.30832E+6	
2.4199	2.30756E+6	2.4199	2.30756E+6	
2.42	2.30757E+6	2.42	2.30757E+6	
2.4201	2.31269E+6	2.4201	2.31269E+6	
2.4202	2.30896E+6	2.4202	2.30896E+6	
2.4203	2.31174E+6	2.4203	2.31174E+6	
2.4204	2.31361E+6	2.4204	2.31361E+6	
2.4205	2.31045E+6	2.4205	2.31045E+6	
2.4206	2.31404E+6	2.4206	2.31404E+6	
2.4207	2.3099E+6	2.4207	2.3099E+6	
2.4208	2.31146E+6	2.4208	2.31146E+6	
2.4209	2.31387E+6	2.4209	2.31387E+6	
2.421	2.30951E+6	2.421	2.30951E+6	
2.4211	2.30998E+6	2.4211	2.30998E+6	
2.4212	2.31118E+6	2.4212	2.31118E+6	
2.4213	2.30857E+6	2.4213	2.30857E+6	
2.4214	2.31574E+6	2.4214	2.31574E+6	
2.4215	2.31139E+6	2.4215	2.31139E+6	
2.4216	2.31452E+6	2.4216	2.31452E+6	
2.4217	2.31986E+6	2.4217	2.31986E+6	
2.4218	2.31327E+6	2.4218	2.31327E+6	
2.4219	2.31857E+6	2.4219	2.31857E+6	
2.422	2.315E+6	2.422	2.315E+6	
2.4221	2.31435E+6	2.4221	2.31435E+6	
2.4222	2.31963E+6	2.4222	2.31963E+6	
2.4223	2.32173E+6	2.4223	2.32173E+6	
2.4224	2.31586E+6	2.4224	2.31586E+6	
2.4225	2.31832E+6	2.4225	2.31832E+6	
2.4226	2.32023E+6	2.4226	2.32023E+6	
2.4227	2.32174E+6	2.4227	2.32174E+6	
2.4228	2.31449E+6	2.4228	2.31449E+6	
2.4229	2.31794E+6	2.4229	2.31794E+6	
2.423	2.31661E+6	2.423	2.31661E+6	
