Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
1.02	1.04167	1.02	1.04167	
2.02	1.041	2.02	1.041	
3.02	1.03945	3.02	1.03945	
4.02	1.03703	4.02	1.03703	
5.02	1.03904	5.02	1.03904	
6.02	1.03876	6.02	1.03876	
7.02	1.04	7.02	1.04	
8.02	1.04068	8.02	1.04068	
9.02	1.04063	9.02	1.04063	
10.02	1.04076	10.02	1.04076	
11.02	1.04022	11.02	1.04022	
12.02	1.03836	12.02	1.03836	
13.02	1.03878	13.02	1.03878	
14.02	1.03987	14.02	1.03987	
15.02	1.03832	15.02	1.03832	
16.02	1.03945	16.02	1.03945	
17.02	1.03923	17.02	1.03923	
18.02	1.03992	18.02	1.03992	
19.02	1.04137	19.02	1.04137	
20.02	1.03904	20.02	1.03904	
21.02	1.03838	21.02	1.03838	
22.02	1.03863	22.02	1.03863	
23.02	1.03923	23.02	1.03923	
24.02	1.0385	24.02	1.0385	
25.02	1.03949	25.02	1.03949	
26.02	1.04046	26.02	1.04046	
27.02	1.04108	27.02	1.04108	
28.02	1.04016	28.02	1.04016	
29.02	1.04021	29.02	1.04021	
30.02	1.03986	30.02	1.03986	
31.02	1.03839	31.02	1.03839	
32.02	1.03725	32.02	1.03725	
33.02	1.03824	33.02	1.03824	
34.02	1.03897	34.02	1.03897	
35.02	1.03927	35.02	1.03927	
36.02	1.0399	36.02	1.0399	
37.02	1.04077	37.02	1.04077	
38.02	1.03869	38.02	1.03869	
39.02	1.041	39.02	1.041	
40.02	1.04021	40.02	1.04021	
41.02	1.03983	41.02	1.03983	
