Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
1.02	1.04199	1.02	1.04199	
2.02	1.04017	2.02	1.04017	
3.02	1.0392	3.02	1.0392	
4.02	1.03816	4.02	1.03816	
5.02	1.03818	5.02	1.03818	
6.02	1.0391	6.02	1.0391	
7.02	1.03979	7.02	1.03979	
8.02	1.04021	8.02	1.04021	
9.02	1.04038	9.02	1.04038	
10.02	1.03983	10.02	1.03983	
11.02	1.03993	11.02	1.03993	
12.02	1.03853	12.02	1.03853	
13.02	1.03867	13.02	1.03867	
14.02	1.03921	14.02	1.03921	
15.02	1.03792	15.02	1.03792	
16.02	1.03946	16.02	1.03946	
17.02	1.04047	17.02	1.04047	
18.02	1.04035	18.02	1.04035	
19.02	1.04073	19.02	1.04073	
20.02	1.03963	20.02	1.03963	
21.02	1.03853	21.02	1.03853	
22.02	1.03845	22.02	1.03845	
23.02	1.03931	23.02	1.03931	
24.02	1.03884	24.02	1.03884	
25.02	1.03994	25.02	1.03994	
26.02	1.0406	26.02	1.0406	
27.02	1.04079	27.02	1.04079	
28.02	1.04059	28.02	1.04059	
29.02	1.04094	29.02	1.04094	
30.02	1.03985	30.02	1.03985	
31.02	1.03918	31.02	1.03918	
32.02	1.03839	32.02	1.03839	
33.02	1.03813	33.02	1.03813	
34.02	1.03978	34.02	1.03978	
35.02	1.03936	35.02	1.03936	
36.02	1.03946	36.02	1.03946	
37.02	1.04004	37.02	1.04004	
38.02	1.03957	38.02	1.03957	
39.02	1.04055	39.02	1.04055	
40.02	1.04	40.02	1.04	
41.02	1.0394	41.02	1.0394	
