Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
1.02	1.04008	1.02	1.04008	
1.05	1.04121	1.05	1.04121	
1.08	1.03994	1.08	1.03994	
1.11	1.03764	1.11	1.03764	
1.14	1.03762	1.14	1.03762	
1.17	1.03463	1.17	1.03463	
1.2	1.03576	1.2	1.03576	
1.23	1.03496	1.23	1.03496	
1.26	1.03605	1.26	1.03605	
1.29	1.03498	1.29	1.03498	
1.32	1.03859	1.32	1.03859	
1.35	1.03555	1.35	1.03555	
1.38	1.03755	1.38	1.03755	
1.41	1.03794	1.41	1.03794	
1.44	1.04059	1.44	1.04059	
1.47	1.03941	1.47	1.03941	
1.5	1.03673	1.5	1.03673	
1.53	1.03764	1.53	1.03764	
1.56	1.04201	1.56	1.04201	
1.59	1.03937	1.59	1.03937	
1.62	1.03826	1.62	1.03826	
1.65	1.03464	1.65	1.03464	
1.68	1.03364	1.68	1.03364	
1.71	1.03424	1.71	1.03424	
1.74	1.03399	1.74	1.03399	
1.77	1.0347	1.77	1.0347	
1.8	1.03428	1.8	1.03428	
1.83	1.03561	1.83	1.03561	
1.86	1.03565	1.86	1.03565	
1.89	1.03646	1.89	1.03646	
1.92	1.03882	1.92	1.03882	
1.95	1.0385	1.95	1.0385	
1.98	1.04018	1.98	1.04018	
2.01	1.03877	2.01	1.03877	
2.04	1.0335	2.04	1.0335	
2.07	1.03854	2.07	1.03854	
2.1	1.03561	2.1	1.03561	
2.13	1.03542	2.13	1.03542	
2.16	1.03394	2.16	1.03394	
2.19	1.03312	2.19	1.03312	
2.22	1.033	2.22	1.033	
2.25	1.03161	2.25	1.03161	
2.28	1.03372	2.28	1.03372	
2.31	1.03589	2.31	1.03589	
2.34	1.0352	2.34	1.0352	
2.37	1.03454	2.37	1.03454	
2.4	1.03476	2.4	1.03476	
2.43	1.03525	2.43	1.03525	
2.46	1.03756	2.46	1.03756	
2.49	1.03875	2.49	1.03875	
2.52	1.04074	2.52	1.04074	
2.55	1.03671	2.55	1.03671	
2.58	1.03686	2.58	1.03686	
2.61	1.03675	2.61	1.03675	
2.64	1.03631	2.64	1.03631	
2.67	1.03164	2.67	1.03164	
2.7	1.03249	2.7	1.03249	
2.73	1.03351	2.73	1.03351	
2.76	1.03423	2.76	1.03423	
2.79	1.03423	2.79	1.03423	
2.82	1.03728	2.82	1.03728	
2.85	1.03069	2.85	1.03069	
2.88	1.03591	2.88	1.03591	
2.91	1.04109	2.91	1.04109	
2.94	1.0382	2.94	1.0382	
2.97	1.03762	2.97	1.03762	
3	1.03944	3	1.03944	
3.03	1.03633	3.03	1.03633	
3.06	1.03579	3.06	1.03579	
3.09	1.03617	3.09	1.03617	
3.12	1.03364	3.12	1.03364	
3.15	1.03569	3.15	1.03569	
3.18	1.03336	3.18	1.03336	
3.21	1.03271	3.21	1.03271	
3.24	1.03259	3.24	1.03259	
3.27	1.03156	3.27	1.03156	
3.3	1.03467	3.3	1.03467	
3.33	1.03053	3.33	1.03053	
3.36	1.03687	3.36	1.03687	
3.39	1.03678	3.39	1.03678	
3.42	1.0352	3.42	1.0352	
3.45	1.03858	3.45	1.03858	
3.48	1.0365	3.48	1.0365	
3.51	1.03863	3.51	1.03863	
3.54	1.03954	3.54	1.03954	
3.57	1.0342	3.57	1.0342	
3.6	1.03492	3.6	1.03492	
3.63	1.03509	3.63	1.03509	
3.66	1.03657	3.66	1.03657	
3.69	1.03534	3.69	1.03534	
3.72	1.03356	3.72	1.03356	
3.75	1.03635	3.75	1.03635	
3.78	1.03605	3.78	1.03605	
3.81	1.03441	3.81	1.03441	
3.84	1.03436	3.84	1.03436	
3.87	1.03951	3.87	1.03951	
3.9	1.03993	3.9	1.03993	
3.93	1.03858	3.93	1.03858	
3.96	1.03902	3.96	1.03902	
3.99	1.03893	3.99	1.03893	
4.02	1.03574	4.02	1.03574	
