Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0	2.18598E+6	0	2.16432E+6	
5E-7	2.16983E+6	5E-7	2.17344E+6	
1E-6	2.16624E+6	1E-6	2.18064E+6	
1.5E-6	2.16224E+6	1.5E-6	2.18253E+6	
2E-6	2.16119E+6	2E-6	2.19038E+6	
2.5E-6	2.16025E+6	2.5E-6	2.19619E+6	
3E-6	2.15629E+6	3E-6	2.19614E+6	
3.5E-6	2.15871E+6	3.5E-6	2.19868E+6	
4E-6	2.16132E+6	4E-6	2.19959E+6	
4.5E-6	2.15891E+6	4.5E-6	2.2028E+6	
5E-6	2.16409E+6	5E-6	2.20141E+6	
5.5E-6	2.15792E+6	5.5E-6	2.20216E+6	
6E-6	2.16358E+6	6E-6	2.2021E+6	
6.5E-6	2.15936E+6	6.5E-6	2.2085E+6	
7E-6	2.15626E+6	7E-6	2.20629E+6	
7.5E-6	2.15696E+6	7.5E-6	2.19963E+6	
8E-6	2.16172E+6	8E-6	2.20822E+6	
8.5E-6	2.15926E+6	8.5E-6	2.20911E+6	
9E-6	2.16239E+6	9E-6	2.20202E+6	
9.5E-6	2.15975E+6	9.5E-6	2.20597E+6	
1E-5	2.15656E+6	1E-5	2.20735E+6	
1.05E-5	2.16341E+6	1.05E-5	2.20517E+6	
1.1E-5	2.1607E+6	1.1E-5	2.21152E+6	
1.15E-5	2.15985E+6	1.15E-5	2.21121E+6	
1.2E-5	2.16149E+6	1.2E-5	2.20633E+6	
1.25E-5	2.15683E+6	1.25E-5	2.20864E+6	
1.3E-5	2.16139E+6	1.3E-5	2.20717E+6	
1.35E-5	2.15758E+6	1.35E-5	2.20911E+6	
1.4E-5	2.15729E+6	1.4E-5	2.20954E+6	
1.45E-5	2.15786E+6	1.45E-5	2.21057E+6	
1.5E-5	2.15416E+6	1.5E-5	2.20656E+6	
1.55E-5	2.15735E+6	1.55E-5	2.20954E+6	
1.6E-5	2.15965E+6	1.6E-5	2.20798E+6	
1.65E-5	2.1551E+6	1.65E-5	2.20722E+6	
1.7E-5	2.16063E+6	1.7E-5	2.21443E+6	
1.75E-5	2.16175E+6	1.75E-5	2.20831E+6	
1.8E-5	2.15701E+6	1.8E-5	2.20425E+6	
1.85E-5	2.15463E+6	1.85E-5	2.21173E+6	
1.9E-5	2.15518E+6	1.9E-5	2.20686E+6	
1.95E-5	2.15744E+6	1.95E-5	2.21066E+6	
2E-5	2.15805E+6	2E-5	2.20862E+6	
2.05E-5	2.16418E+6	2.05E-5	2.20811E+6	
2.1E-5	2.15988E+6	2.1E-5	2.20992E+6	
2.15E-5	2.16215E+6	2.15E-5	2.20969E+6	
2.2E-5	2.16308E+6	2.2E-5	2.20724E+6	
2.25E-5	2.16277E+6	2.25E-5	2.20976E+6	
2.3E-5	2.15957E+6	2.3E-5	2.21067E+6	
2.35E-5	2.1624E+6	2.35E-5	2.21068E+6	
2.4E-5	2.16295E+6	2.4E-5	2.20514E+6	
