Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.6435	497095	2.6435	497095	
2.6436	497006	2.6436	497006	
2.6437	497047	2.6437	497047	
2.6438	497057	2.6438	497057	
2.6439	498169	2.6439	498169	
2.644	497505	2.644	497505	
2.6441	497028	2.6441	497028	
2.6442	495918	2.6442	495918	
2.6443	496211	2.6443	496211	
2.6444	495075	2.6444	495075	
2.6445	497408	2.6445	497408	
2.6446	494411	2.6446	494411	
2.6447	495380	2.6447	495380	
2.6448	492742	2.6448	492742	
2.6449	491221	2.6449	491221	
2.645	490213	2.645	490213	
2.6451	484327	2.6451	484327	
2.6452	479021	2.6452	479021	
2.6453	479135	2.6453	479135	
2.6454	486197	2.6454	486197	
2.6455	488755	2.6455	488755	
2.6456	490562	2.6456	490562	
2.6457	493811	2.6457	493811	
2.6458	494985	2.6458	494985	
2.6459	497282	2.6459	497282	
2.646	494453	2.646	494453	
2.6461	497522	2.6461	497522	
2.6462	494600	2.6462	494600	
2.6463	497415	2.6463	497415	
2.6464	495458	2.6464	495458	
2.6465	497379	2.6465	497379	
2.6466	494310	2.6466	494310	
2.6467	494721	2.6467	494721	
2.6468	494588	2.6468	494588	
2.6469	492006	2.6469	492006	
2.647	494559	2.647	494559	
2.6471	491642	2.6471	491642	
2.6472	491548	2.6472	491548	
2.6473	490187	2.6473	490187	
2.6474	487941	2.6474	487941	
2.6475	487924	2.6475	487924	
2.6476	492132	2.6476	492132	
2.6477	494540	2.6477	494540	
2.6478	496228	2.6478	496228	
2.6479	493215	2.6479	493215	
2.648	495879	2.648	495879	
2.6481	499477	2.6481	499477	
2.6482	496432	2.6482	496432	
2.6483	496117	2.6483	496117	
2.6484	496010	2.6484	496010	
2.6485	497195	2.6485	497195	
2.6486	494087	2.6486	494087	
2.6487	496211	2.6487	496211	
2.6488	497951	2.6488	497951	
2.6489	495172	2.6489	495172	
2.649	494658	2.649	494658	
2.6491	494058	2.6491	494058	
2.6492	493203	2.6492	493203	
2.6493	493299	2.6493	493299	
2.6494	491618	2.6494	491618	
2.6495	488784	2.6495	488784	
2.6496	485414	2.6496	485414	
2.6497	489368	2.6497	489368	
2.6498	491546	2.6498	491546	
2.6499	494300	2.6499	494300	
2.65	493847	2.65	493847	
2.6501	494276	2.6501	494276	
2.6502	494843	2.6502	494843	
2.6503	495930	2.6503	495930	
2.6504	496853	2.6504	496853	
2.6505	496441	2.6505	496441	
2.6506	495879	2.6506	495879	
2.6507	498849	2.6507	498849	
2.6508	497900	2.6508	497900	
2.6509	497638	2.6509	497638	
2.651	496584	2.651	496584	
