Temps - Tracé 0	Amplitude - Tracé 0	
0	2.01029E+6	
1E-7	2.00388E+6	
2E-7	1.94353E+6	
3E-7	1.88079E+6	
4E-7	1.8823E+6	
5E-7	1.9257E+6	
6E-7	1.9212E+6	
7E-7	1.90396E+6	
8E-7	1.87109E+6	
9E-7	1.87401E+6	
1E-6	1.90221E+6	
1.1E-6	1.91304E+6	
1.2E-6	1.87445E+6	
1.3E-6	1.85909E+6	
1.4E-6	1.8843E+6	
1.5E-6	1.89363E+6	
1.6E-6	1.88725E+6	
1.7E-6	1.87004E+6	
1.8E-6	1.87184E+6	
1.9E-6	1.87956E+6	
2E-6	1.89282E+6	
2.1E-6	1.87468E+6	
2.2E-6	1.86227E+6	
2.3E-6	1.86666E+6	
2.4E-6	1.88528E+6	
2.5E-6	1.87415E+6	
2.6E-6	1.87158E+6	
2.7E-6	1.85765E+6	
2.8E-6	1.87208E+6	
2.9E-6	1.87329E+6	
3E-6	1.87012E+6	
3.1E-6	1.87155E+6	
3.2E-6	1.86558E+6	
3.3E-6	1.86821E+6	
3.4E-6	1.87445E+6	
3.5E-6	1.87093E+6	
3.6E-6	1.86052E+6	
3.7E-6	1.86909E+6	
3.8E-6	1.87673E+6	
3.9E-6	1.87063E+6	
4E-6	1.86882E+6	
4.1E-6	1.86491E+6	
4.2E-6	1.87289E+6	
4.3E-6	1.87023E+6	
4.4E-6	1.87215E+6	
4.5E-6	1.8727E+6	
4.6E-6	1.86108E+6	
4.7E-6	1.86389E+6	
4.8E-6	1.87695E+6	
