Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.652	2.0947E+6	2.652	2.0947E+6	
2.65205	2.1022E+6	2.65205	2.1022E+6	
2.6521	2.09959E+6	2.6521	2.09959E+6	
2.65215	2.09545E+6	2.65215	2.09545E+6	
2.6522	2.09734E+6	2.6522	2.09734E+6	
2.65225	2.09431E+6	2.65225	2.09431E+6	
2.6523	2.0947E+6	2.6523	2.0947E+6	
2.65235	2.09869E+6	2.65235	2.09869E+6	
2.6524	2.09936E+6	2.6524	2.09936E+6	
2.65245	2.0964E+6	2.65245	2.0964E+6	
2.6525	2.09923E+6	2.6525	2.09923E+6	
2.65255	2.10387E+6	2.65255	2.10387E+6	
2.6526	2.09173E+6	2.6526	2.09173E+6	
2.65265	2.09741E+6	2.65265	2.09741E+6	
2.6527	2.09586E+6	2.6527	2.09586E+6	
2.65275	2.0947E+6	2.65275	2.0947E+6	
2.6528	2.096E+6	2.6528	2.096E+6	
2.65285	2.09423E+6	2.65285	2.09423E+6	
2.6529	2.08912E+6	2.6529	2.08912E+6	
2.65295	2.09728E+6	2.65295	2.09728E+6	
2.653	2.09541E+6	2.653	2.09541E+6	
2.65305	2.09054E+6	2.65305	2.09054E+6	
2.6531	2.09216E+6	2.6531	2.09216E+6	
2.65315	2.09294E+6	2.65315	2.09294E+6	
2.6532	2.08644E+6	2.6532	2.08644E+6	
2.65325	2.0885E+6	2.65325	2.0885E+6	
2.6533	2.08388E+6	2.6533	2.08388E+6	
2.65335	2.07534E+6	2.65335	2.07534E+6	
2.6534	2.07959E+6	2.6534	2.07959E+6	
2.65345	2.07336E+6	2.65345	2.07336E+6	
2.6535	2.07327E+6	2.6535	2.07327E+6	
2.65355	2.07524E+6	2.65355	2.07524E+6	
2.6536	2.08067E+6	2.6536	2.08067E+6	
2.65365	2.08233E+6	2.65365	2.08233E+6	
2.6537	2.08158E+6	2.6537	2.08158E+6	
2.65375	2.09282E+6	2.65375	2.09282E+6	
2.6538	2.08984E+6	2.6538	2.08984E+6	
2.65385	2.08968E+6	2.65385	2.08968E+6	
2.6539	2.08771E+6	2.6539	2.08771E+6	
2.65395	2.096E+6	2.65395	2.096E+6	
2.654	2.09014E+6	2.654	2.09014E+6	
2.65405	2.09212E+6	2.65405	2.09212E+6	
2.6541	2.09503E+6	2.6541	2.09503E+6	
2.65415	2.09347E+6	2.65415	2.09347E+6	
2.6542	2.09463E+6	2.6542	2.09463E+6	
2.65425	2.09888E+6	2.65425	2.09888E+6	
2.6543	2.09457E+6	2.6543	2.09457E+6	
2.65435	2.09423E+6	2.65435	2.09423E+6	
2.6544	2.08759E+6	2.6544	2.08759E+6	
2.65445	2.09417E+6	2.65445	2.09417E+6	
2.6545	2.09051E+6	2.6545	2.09051E+6	
2.65455	2.09617E+6	2.65455	2.09617E+6	
2.6546	2.08802E+6	2.6546	2.08802E+6	
2.65465	2.09744E+6	2.65465	2.09744E+6	
2.6547	2.0977E+6	2.6547	2.0977E+6	
2.65475	2.0968E+6	2.65475	2.0968E+6	
2.6548	2.0976E+6	2.6548	2.0976E+6	
2.65485	2.0994E+6	2.65485	2.0994E+6	
2.6549	2.09677E+6	2.6549	2.09677E+6	
2.65495	2.09157E+6	2.65495	2.09157E+6	
2.655	2.09488E+6	2.655	2.09488E+6	
2.65505	2.09248E+6	2.65505	2.09248E+6	
2.6551	2.09296E+6	2.6551	2.09296E+6	
2.65515	2.08934E+6	2.65515	2.08934E+6	
2.6552	2.09193E+6	2.6552	2.09193E+6	
2.65525	2.09187E+6	2.65525	2.09187E+6	
2.6553	2.08916E+6	2.6553	2.08916E+6	
2.65535	2.08554E+6	2.65535	2.08554E+6	
2.6554	2.08274E+6	2.6554	2.08274E+6	
2.65545	2.08187E+6	2.65545	2.08187E+6	
2.6555	2.08319E+6	2.6555	2.08319E+6	
2.65555	2.07979E+6	2.65555	2.07979E+6	
2.6556	2.08087E+6	2.6556	2.08087E+6	
2.65565	2.07897E+6	2.65565	2.07897E+6	
2.6557	2.07959E+6	2.6557	2.07959E+6	
2.65575	2.07824E+6	2.65575	2.07824E+6	
2.6558	2.08513E+6	2.6558	2.08513E+6	
2.65585	2.0867E+6	2.65585	2.0867E+6	
2.6559	2.08009E+6	2.6559	2.08009E+6	
2.65595	2.08469E+6	2.65595	2.08469E+6	
2.656	2.09015E+6	2.656	2.09015E+6	
2.65605	2.0928E+6	2.65605	2.0928E+6	
2.6561	2.09753E+6	2.6561	2.09753E+6	
2.65615	2.09168E+6	2.65615	2.09168E+6	
2.6562	2.09598E+6	2.6562	2.09598E+6	
2.65625	2.09852E+6	2.65625	2.09852E+6	
2.6563	2.09694E+6	2.6563	2.09694E+6	
2.65635	2.09516E+6	2.65635	2.09516E+6	
2.6564	2.09915E+6	2.6564	2.09915E+6	
2.65645	2.09672E+6	2.65645	2.09672E+6	
2.6565	2.09214E+6	2.6565	2.09214E+6	
2.65655	2.09717E+6	2.65655	2.09717E+6	
2.6566	2.0944E+6	2.6566	2.0944E+6	
2.65665	2.09497E+6	2.65665	2.09497E+6	
2.6567	2.09132E+6	2.6567	2.09132E+6	
2.65675	2.09364E+6	2.65675	2.09364E+6	
2.6568	2.09264E+6	2.6568	2.09264E+6	
2.65685	2.09365E+6	2.65685	2.09365E+6	
2.6569	2.09581E+6	2.6569	2.09581E+6	
2.65695	2.09731E+6	2.65695	2.09731E+6	
2.657	2.09887E+6	2.657	2.09887E+6	
2.65705	2.09742E+6	2.65705	2.09742E+6	
2.6571	2.09458E+6	2.6571	2.09458E+6	
2.65715	2.09688E+6	2.65715	2.09688E+6	
2.6572	2.09524E+6	2.6572	2.09524E+6	
2.65725	2.09297E+6	2.65725	2.09297E+6	
2.6573	2.09195E+6	2.6573	2.09195E+6	
2.65735	2.09745E+6	2.65735	2.09745E+6	
2.6574	2.09223E+6	2.6574	2.09223E+6	
2.65745	2.08912E+6	2.65745	2.08912E+6	
2.6575	2.09464E+6	2.6575	2.09464E+6	
2.65755	2.09003E+6	2.65755	2.09003E+6	
2.6576	2.08651E+6	2.6576	2.08651E+6	
2.65765	2.07893E+6	2.65765	2.07893E+6	
2.6577	2.08052E+6	2.6577	2.08052E+6	
2.65775	2.08436E+6	2.65775	2.08436E+6	
2.6578	2.08615E+6	2.6578	2.08615E+6	
2.65785	2.08103E+6	2.65785	2.08103E+6	
2.6579	2.08022E+6	2.6579	2.08022E+6	
2.65795	2.08474E+6	2.65795	2.08474E+6	
2.658	2.08441E+6	2.658	2.08441E+6	
2.65805	2.0807E+6	2.65805	2.0807E+6	
2.6581	2.08928E+6	2.6581	2.08928E+6	
2.65815	2.09506E+6	2.65815	2.09506E+6	
2.6582	2.09097E+6	2.6582	2.09097E+6	
2.65825	2.08728E+6	2.65825	2.08728E+6	
2.6583	2.09358E+6	2.6583	2.09358E+6	
2.65835	2.09801E+6	2.65835	2.09801E+6	
2.6584	2.09594E+6	2.6584	2.09594E+6	
2.65845	2.09749E+6	2.65845	2.09749E+6	
2.6585	2.09607E+6	2.6585	2.09607E+6	
2.65855	2.09756E+6	2.65855	2.09756E+6	
2.6586	2.09579E+6	2.6586	2.09579E+6	
2.65865	2.09105E+6	2.65865	2.09105E+6	
2.6587	2.09494E+6	2.6587	2.09494E+6	
2.65875	2.10134E+6	2.65875	2.10134E+6	
2.6588	2.09594E+6	2.6588	2.09594E+6	
2.65885	2.09751E+6	2.65885	2.09751E+6	
2.6589	2.10165E+6	2.6589	2.10165E+6	
2.65895	2.0991E+6	2.65895	2.0991E+6	
2.659	2.09568E+6	2.659	2.09568E+6	
2.65905	2.09779E+6	2.65905	2.09779E+6	
2.6591	2.10038E+6	2.6591	2.10038E+6	
2.65915	2.09263E+6	2.65915	2.09263E+6	
2.6592	2.10432E+6	2.6592	2.10432E+6	
2.65925	2.09574E+6	2.65925	2.09574E+6	
2.6593	2.1002E+6	2.6593	2.1002E+6	
2.65935	2.09786E+6	2.65935	2.09786E+6	
2.6594	2.09904E+6	2.6594	2.09904E+6	
2.65945	2.10205E+6	2.65945	2.10205E+6	
2.6595	2.10562E+6	2.6595	2.10562E+6	
