Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.5	1.71253E+6	2.5	1.71253E+6	
2.50233	1.71069E+6	2.50233	1.71069E+6	
2.50467	1.71187E+6	2.50467	1.71187E+6	
2.507	1.71045E+6	2.507	1.71045E+6	
2.50933	1.71464E+6	2.50933	1.71464E+6	
2.51167	1.70842E+6	2.51167	1.70842E+6	
2.514	1.7154E+6	2.514	1.7154E+6	
2.51633	1.7125E+6	2.51633	1.7125E+6	
2.51867	1.71219E+6	2.51867	1.71219E+6	
2.521	1.7123E+6	2.521	1.7123E+6	
2.52333	1.70956E+6	2.52333	1.70956E+6	
2.52567	1.71444E+6	2.52567	1.71444E+6	
2.528	1.71313E+6	2.528	1.71313E+6	
2.53033	1.71414E+6	2.53033	1.71414E+6	
2.53267	1.70889E+6	2.53267	1.70889E+6	
2.535	1.71371E+6	2.535	1.71371E+6	
2.53733	1.71239E+6	2.53733	1.71239E+6	
2.53967	1.71334E+6	2.53967	1.71334E+6	
2.542	1.71119E+6	2.542	1.71119E+6	
2.54433	1.71303E+6	2.54433	1.71303E+6	
2.54667	1.71323E+6	2.54667	1.71323E+6	
2.549	1.71282E+6	2.549	1.71282E+6	
2.55133	1.7178E+6	2.55133	1.7178E+6	
2.55367	1.713E+6	2.55367	1.713E+6	
2.556	1.71374E+6	2.556	1.71374E+6	
2.55833	1.71089E+6	2.55833	1.71089E+6	
2.56067	1.71042E+6	2.56067	1.71042E+6	
2.563	1.71229E+6	2.563	1.71229E+6	
2.56533	1.7124E+6	2.56533	1.7124E+6	
2.56767	1.71197E+6	2.56767	1.71197E+6	
2.57	1.71098E+6	2.57	1.71098E+6	
2.57233	1.71378E+6	2.57233	1.71378E+6	
2.57467	1.71305E+6	2.57467	1.71305E+6	
2.577	1.71114E+6	2.577	1.71114E+6	
2.57933	1.71479E+6	2.57933	1.71479E+6	
2.58167	1.71242E+6	2.58167	1.71242E+6	
2.584	1.71281E+6	2.584	1.71281E+6	
2.58633	1.71277E+6	2.58633	1.71277E+6	
2.58867	1.71478E+6	2.58867	1.71478E+6	
2.591	1.7126E+6	2.591	1.7126E+6	
2.59333	1.71454E+6	2.59333	1.71454E+6	
2.59567	1.7159E+6	2.59567	1.7159E+6	
2.598	1.71038E+6	2.598	1.71038E+6	
2.60033	1.71215E+6	2.60033	1.71215E+6	
