Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.648	1.71934E+6	2.648	1.71934E+6	
2.64805	1.72659E+6	2.64805	1.72659E+6	
2.6481	1.72749E+6	2.6481	1.72749E+6	
2.64815	1.73045E+6	2.64815	1.73045E+6	
2.6482	1.7276E+6	2.6482	1.7276E+6	
2.64825	1.72578E+6	2.64825	1.72578E+6	
2.6483	1.71933E+6	2.6483	1.71933E+6	
2.64835	1.72414E+6	2.64835	1.72414E+6	
2.6484	1.72495E+6	2.6484	1.72495E+6	
2.64845	1.72529E+6	2.64845	1.72529E+6	
2.6485	1.72577E+6	2.6485	1.72577E+6	
2.64855	1.72428E+6	2.64855	1.72428E+6	
2.6486	1.72325E+6	2.6486	1.72325E+6	
2.64865	1.72505E+6	2.64865	1.72505E+6	
2.6487	1.72558E+6	2.6487	1.72558E+6	
2.64875	1.73204E+6	2.64875	1.73204E+6	
2.6488	1.71843E+6	2.6488	1.71843E+6	
2.64885	1.72403E+6	2.64885	1.72403E+6	
2.6489	1.7245E+6	2.6489	1.7245E+6	
2.64895	1.72285E+6	2.64895	1.72285E+6	
2.649	1.72456E+6	2.649	1.72456E+6	
2.64905	1.71992E+6	2.64905	1.71992E+6	
2.6491	1.72303E+6	2.6491	1.72303E+6	
2.64915	1.72499E+6	2.64915	1.72499E+6	
2.6492	1.7193E+6	2.6492	1.7193E+6	
2.64925	1.72469E+6	2.64925	1.72469E+6	
2.6493	1.72803E+6	2.6493	1.72803E+6	
2.64935	1.72528E+6	2.64935	1.72528E+6	
2.6494	1.72362E+6	2.6494	1.72362E+6	
2.64945	1.72465E+6	2.64945	1.72465E+6	
2.6495	1.72823E+6	2.6495	1.72823E+6	
2.64955	1.7176E+6	2.64955	1.7176E+6	
2.6496	1.72215E+6	2.6496	1.72215E+6	
2.64965	1.72085E+6	2.64965	1.72085E+6	
2.6497	1.72655E+6	2.6497	1.72655E+6	
2.64975	1.72229E+6	2.64975	1.72229E+6	
2.6498	1.72367E+6	2.6498	1.72367E+6	
2.64985	1.72324E+6	2.64985	1.72324E+6	
2.6499	1.72652E+6	2.6499	1.72652E+6	
2.64995	1.71976E+6	2.64995	1.71976E+6	
2.65	1.72381E+6	2.65	1.72381E+6	
2.65005	1.72821E+6	2.65005	1.72821E+6	
2.6501	1.72438E+6	2.6501	1.72438E+6	
2.65015	1.72111E+6	2.65015	1.72111E+6	
2.6502	1.72376E+6	2.6502	1.72376E+6	
2.65025	1.72108E+6	2.65025	1.72108E+6	
2.6503	1.7247E+6	2.6503	1.7247E+6	
2.65035	1.71985E+6	2.65035	1.71985E+6	
2.6504	1.72507E+6	2.6504	1.72507E+6	
2.65045	1.72824E+6	2.65045	1.72824E+6	
2.6505	1.71977E+6	2.6505	1.71977E+6	
2.65055	1.7236E+6	2.65055	1.7236E+6	
2.6506	1.71961E+6	2.6506	1.71961E+6	
2.65065	1.72205E+6	2.65065	1.72205E+6	
2.6507	1.71709E+6	2.6507	1.71709E+6	
2.65075	1.72254E+6	2.65075	1.72254E+6	
2.6508	1.71885E+6	2.6508	1.71885E+6	
2.65085	1.71778E+6	2.65085	1.71778E+6	
2.6509	1.71746E+6	2.6509	1.71746E+6	
2.65095	1.72054E+6	2.65095	1.72054E+6	
2.651	1.71735E+6	2.651	1.71735E+6	
2.65105	1.72158E+6	2.65105	1.72158E+6	
2.6511	1.71863E+6	2.6511	1.71863E+6	
2.65115	1.7246E+6	2.65115	1.7246E+6	
2.6512	1.71515E+6	2.6512	1.71515E+6	
2.65125	1.71432E+6	2.65125	1.71432E+6	
2.6513	1.71456E+6	2.6513	1.71456E+6	
2.65135	1.72125E+6	2.65135	1.72125E+6	
2.6514	1.71224E+6	2.6514	1.71224E+6	
2.65145	1.71591E+6	2.65145	1.71591E+6	
2.6515	1.71436E+6	2.6515	1.71436E+6	
2.65155	1.71991E+6	2.65155	1.71991E+6	
2.6516	1.71648E+6	2.6516	1.71648E+6	
2.65165	1.71861E+6	2.65165	1.71861E+6	
2.6517	1.71501E+6	2.6517	1.71501E+6	
2.65175	1.71275E+6	2.65175	1.71275E+6	
2.6518	1.71933E+6	2.6518	1.71933E+6	
2.65185	1.70775E+6	2.65185	1.70775E+6	
2.6519	1.71044E+6	2.6519	1.71044E+6	
2.65195	1.71146E+6	2.65195	1.71146E+6	
2.652	1.71386E+6	2.652	1.71386E+6	
2.65205	1.71111E+6	2.65205	1.71111E+6	
2.6521	1.70341E+6	2.6521	1.70341E+6	
2.65215	1.7111E+6	2.65215	1.7111E+6	
2.6522	1.70378E+6	2.6522	1.70378E+6	
2.65225	1.70671E+6	2.65225	1.70671E+6	
2.6523	1.70626E+6	2.6523	1.70626E+6	
2.65235	1.69938E+6	2.65235	1.69938E+6	
2.6524	1.69923E+6	2.6524	1.69923E+6	
2.65245	1.69661E+6	2.65245	1.69661E+6	
2.6525	1.69057E+6	2.6525	1.69057E+6	
2.65255	1.69695E+6	2.65255	1.69695E+6	
2.6526	1.69168E+6	2.6526	1.69168E+6	
2.65265	1.68005E+6	2.65265	1.68005E+6	
2.6527	1.67778E+6	2.6527	1.67778E+6	
2.65275	1.68093E+6	2.65275	1.68093E+6	
2.6528	1.67773E+6	2.6528	1.67773E+6	
2.65285	1.67936E+6	2.65285	1.67936E+6	
2.6529	1.66654E+6	2.6529	1.66654E+6	
2.65295	1.66127E+6	2.65295	1.66127E+6	
2.653	1.65688E+6	2.653	1.65688E+6	
2.65305	1.66574E+6	2.65305	1.66574E+6	
2.6531	1.65071E+6	2.6531	1.65071E+6	
2.65315	1.64951E+6	2.65315	1.64951E+6	
2.6532	1.6438E+6	2.6532	1.6438E+6	
2.65325	1.64718E+6	2.65325	1.64718E+6	
2.6533	1.64645E+6	2.6533	1.64645E+6	
2.65335	1.65277E+6	2.65335	1.65277E+6	
2.6534	1.64284E+6	2.6534	1.64284E+6	
2.65345	1.65443E+6	2.65345	1.65443E+6	
2.6535	1.64591E+6	2.6535	1.64591E+6	
2.65355	1.65779E+6	2.65355	1.65779E+6	
2.6536	1.65913E+6	2.6536	1.65913E+6	
2.65365	1.66199E+6	2.65365	1.66199E+6	
2.6537	1.66215E+6	2.6537	1.66215E+6	
2.65375	1.66714E+6	2.65375	1.66714E+6	
2.6538	1.67191E+6	2.6538	1.67191E+6	
2.65385	1.68031E+6	2.65385	1.68031E+6	
2.6539	1.67609E+6	2.6539	1.67609E+6	
2.65395	1.68079E+6	2.65395	1.68079E+6	
2.654	1.67966E+6	2.654	1.67966E+6	
2.65405	1.68758E+6	2.65405	1.68758E+6	
2.6541	1.684E+6	2.6541	1.684E+6	
2.65415	1.68491E+6	2.65415	1.68491E+6	
2.6542	1.68211E+6	2.6542	1.68211E+6	
2.65425	1.68786E+6	2.65425	1.68786E+6	
2.6543	1.6899E+6	2.6543	1.6899E+6	
2.65435	1.68951E+6	2.65435	1.68951E+6	
2.6544	1.69036E+6	2.6544	1.69036E+6	
2.65445	1.69033E+6	2.65445	1.69033E+6	
2.6545	1.68807E+6	2.6545	1.68807E+6	
2.65455	1.69545E+6	2.65455	1.69545E+6	
2.6546	1.69358E+6	2.6546	1.69358E+6	
2.65465	1.6824E+6	2.65465	1.6824E+6	
2.6547	1.68394E+6	2.6547	1.68394E+6	
2.65475	1.67986E+6	2.65475	1.67986E+6	
2.6548	1.6844E+6	2.6548	1.6844E+6	
2.65485	1.68456E+6	2.65485	1.68456E+6	
2.6549	1.68182E+6	2.6549	1.68182E+6	
2.65495	1.67776E+6	2.65495	1.67776E+6	
2.655	1.67062E+6	2.655	1.67062E+6	
2.65505	1.66291E+6	2.65505	1.66291E+6	
2.6551	1.66139E+6	2.6551	1.66139E+6	
2.65515	1.66481E+6	2.65515	1.66481E+6	
2.6552	1.65444E+6	2.6552	1.65444E+6	
2.65525	1.65318E+6	2.65525	1.65318E+6	
2.6553	1.64392E+6	2.6553	1.64392E+6	
2.65535	1.65064E+6	2.65535	1.65064E+6	
2.6554	1.64373E+6	2.6554	1.64373E+6	
2.65545	1.64259E+6	2.65545	1.64259E+6	
2.6555	1.64155E+6	2.6555	1.64155E+6	
2.65555	1.64076E+6	2.65555	1.64076E+6	
2.6556	1.6444E+6	2.6556	1.6444E+6	
2.65565	1.64751E+6	2.65565	1.64751E+6	
2.6557	1.65444E+6	2.6557	1.65444E+6	
2.65575	1.65416E+6	2.65575	1.65416E+6	
2.6558	1.66111E+6	2.6558	1.66111E+6	
2.65585	1.66353E+6	2.65585	1.66353E+6	
2.6559	1.66274E+6	2.6559	1.66274E+6	
2.65595	1.67153E+6	2.65595	1.67153E+6	
2.656	1.67412E+6	2.656	1.67412E+6	
2.65605	1.68388E+6	2.65605	1.68388E+6	
2.6561	1.67627E+6	2.6561	1.67627E+6	
2.65615	1.69045E+6	2.65615	1.69045E+6	
2.6562	1.68966E+6	2.6562	1.68966E+6	
2.65625	1.68337E+6	2.65625	1.68337E+6	
2.6563	1.68768E+6	2.6563	1.68768E+6	
2.65635	1.69504E+6	2.65635	1.69504E+6	
2.6564	1.69259E+6	2.6564	1.69259E+6	
2.65645	1.69219E+6	2.65645	1.69219E+6	
2.6565	1.69364E+6	2.6565	1.69364E+6	
2.65655	1.69913E+6	2.65655	1.69913E+6	
2.6566	1.69415E+6	2.6566	1.69415E+6	
2.65665	1.69464E+6	2.65665	1.69464E+6	
2.6567	1.69118E+6	2.6567	1.69118E+6	
2.65675	1.68413E+6	2.65675	1.68413E+6	
2.6568	1.68428E+6	2.6568	1.68428E+6	
2.65685	1.69027E+6	2.65685	1.69027E+6	
2.6569	1.68705E+6	2.6569	1.68705E+6	
2.65695	1.69191E+6	2.65695	1.69191E+6	
2.657	1.6898E+6	2.657	1.6898E+6	
2.65705	1.68404E+6	2.65705	1.68404E+6	
2.6571	1.68173E+6	2.6571	1.68173E+6	
2.65715	1.67469E+6	2.65715	1.67469E+6	
2.6572	1.67288E+6	2.6572	1.67288E+6	
2.65725	1.67076E+6	2.65725	1.67076E+6	
2.6573	1.66447E+6	2.6573	1.66447E+6	
2.65735	1.6624E+6	2.65735	1.6624E+6	
2.6574	1.65834E+6	2.6574	1.65834E+6	
2.65745	1.65254E+6	2.65745	1.65254E+6	
2.6575	1.65002E+6	2.6575	1.65002E+6	
2.65755	1.65097E+6	2.65755	1.65097E+6	
2.6576	1.64455E+6	2.6576	1.64455E+6	
2.65765	1.65092E+6	2.65765	1.65092E+6	
2.6577	1.64609E+6	2.6577	1.64609E+6	
2.65775	1.64454E+6	2.65775	1.64454E+6	
2.6578	1.65163E+6	2.6578	1.65163E+6	
2.65785	1.65487E+6	2.65785	1.65487E+6	
2.6579	1.65634E+6	2.6579	1.65634E+6	
2.65795	1.66478E+6	2.65795	1.66478E+6	
2.658	1.67266E+6	2.658	1.67266E+6	
2.65805	1.67498E+6	2.65805	1.67498E+6	
2.6581	1.67896E+6	2.6581	1.67896E+6	
2.65815	1.68101E+6	2.65815	1.68101E+6	
2.6582	1.68203E+6	2.6582	1.68203E+6	
2.65825	1.69074E+6	2.65825	1.69074E+6	
2.6583	1.68672E+6	2.6583	1.68672E+6	
2.65835	1.698E+6	2.65835	1.698E+6	
2.6584	1.69355E+6	2.6584	1.69355E+6	
2.65845	1.70365E+6	2.65845	1.70365E+6	
2.6585	1.70445E+6	2.6585	1.70445E+6	
2.65855	1.70706E+6	2.65855	1.70706E+6	
2.6586	1.70495E+6	2.6586	1.70495E+6	
2.65865	1.71384E+6	2.65865	1.71384E+6	
2.6587	1.70782E+6	2.6587	1.70782E+6	
2.65875	1.71546E+6	2.65875	1.71546E+6	
2.6588	1.70946E+6	2.6588	1.70946E+6	
2.65885	1.70992E+6	2.65885	1.70992E+6	
2.6589	1.71496E+6	2.6589	1.71496E+6	
2.65895	1.71398E+6	2.65895	1.71398E+6	
2.659	1.7172E+6	2.659	1.7172E+6	
2.65905	1.72204E+6	2.65905	1.72204E+6	
2.6591	1.71655E+6	2.6591	1.71655E+6	
2.65915	1.71662E+6	2.65915	1.71662E+6	
2.6592	1.71642E+6	2.6592	1.71642E+6	
2.65925	1.7181E+6	2.65925	1.7181E+6	
2.6593	1.72232E+6	2.6593	1.72232E+6	
2.65935	1.72425E+6	2.65935	1.72425E+6	
2.6594	1.7212E+6	2.6594	1.7212E+6	
2.65945	1.72574E+6	2.65945	1.72574E+6	
2.6595	1.7231E+6	2.6595	1.7231E+6	
2.65955	1.71836E+6	2.65955	1.71836E+6	
2.6596	1.72172E+6	2.6596	1.72172E+6	
2.65965	1.72412E+6	2.65965	1.72412E+6	
2.6597	1.72004E+6	2.6597	1.72004E+6	
2.65975	1.71699E+6	2.65975	1.71699E+6	
2.6598	1.72127E+6	2.6598	1.72127E+6	
2.65985	1.72428E+6	2.65985	1.72428E+6	
2.6599	1.72691E+6	2.6599	1.72691E+6	
2.65995	1.72397E+6	2.65995	1.72397E+6	
2.66	1.72579E+6	2.66	1.72579E+6	
2.66005	1.7202E+6	2.66005	1.7202E+6	
2.6601	1.71994E+6	2.6601	1.71994E+6	
2.66015	1.72589E+6	2.66015	1.72589E+6	
2.6602	1.73025E+6	2.6602	1.73025E+6	
2.66025	1.72496E+6	2.66025	1.72496E+6	
2.6603	1.7223E+6	2.6603	1.7223E+6	
2.66035	1.72715E+6	2.66035	1.72715E+6	
2.6604	1.7287E+6	2.6604	1.7287E+6	
2.66045	1.72984E+6	2.66045	1.72984E+6	
2.6605	1.72163E+6	2.6605	1.72163E+6	
2.66055	1.72559E+6	2.66055	1.72559E+6	
2.6606	1.72181E+6	2.6606	1.72181E+6	
2.66065	1.72362E+6	2.66065	1.72362E+6	
2.6607	1.7185E+6	2.6607	1.7185E+6	
2.66075	1.7269E+6	2.66075	1.7269E+6	
2.6608	1.72593E+6	2.6608	1.72593E+6	
2.66085	1.72773E+6	2.66085	1.72773E+6	
2.6609	1.72025E+6	2.6609	1.72025E+6	
2.66095	1.72542E+6	2.66095	1.72542E+6	
2.661	1.73167E+6	2.661	1.73167E+6	
2.66105	1.7323E+6	2.66105	1.7323E+6	
2.6611	1.73176E+6	2.6611	1.73176E+6	
2.66115	1.7259E+6	2.66115	1.7259E+6	
2.6612	1.72481E+6	2.6612	1.72481E+6	
2.66125	1.72584E+6	2.66125	1.72584E+6	
2.6613	1.72416E+6	2.6613	1.72416E+6	
2.66135	1.73009E+6	2.66135	1.73009E+6	
2.6614	1.73155E+6	2.6614	1.73155E+6	
2.66145	1.73464E+6	2.66145	1.73464E+6	
2.6615	1.72904E+6	2.6615	1.72904E+6	
2.66155	1.72881E+6	2.66155	1.72881E+6	
2.6616	1.72802E+6	2.6616	1.72802E+6	
