Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0	1.7302E+6	0	1.69909E+6	
8E-7	1.72311E+6	8E-7	1.70987E+6	
1.6E-6	1.70948E+6	1.6E-6	1.71265E+6	
2.4E-6	1.70129E+6	2.4E-6	1.71802E+6	
3.2E-6	1.69517E+6	3.2E-6	1.71763E+6	
4E-6	1.69788E+6	4E-6	1.72011E+6	
4.8E-6	1.70144E+6	4.8E-6	1.72577E+6	
5.6E-6	1.70448E+6	5.6E-6	1.72472E+6	
6.4E-6	1.70149E+6	6.4E-6	1.72785E+6	
7.2E-6	1.70346E+6	7.2E-6	1.72514E+6	
8E-6	1.69768E+6	8E-6	1.7296E+6	
8.8E-6	1.70144E+6	8.8E-6	1.73109E+6	
9.6E-6	1.69841E+6	9.6E-6	1.72405E+6	
1.04E-5	1.69889E+6	1.04E-5	1.72894E+6	
1.12E-5	1.69858E+6	1.12E-5	1.73468E+6	
1.2E-5	1.69895E+6	1.2E-5	1.73122E+6	
1.28E-5	1.70189E+6	1.28E-5	1.7326E+6	
1.36E-5	1.69387E+6	1.36E-5	1.73059E+6	
1.44E-5	1.69837E+6	1.44E-5	1.73225E+6	
1.52E-5	1.69891E+6	1.52E-5	1.73187E+6	
1.6E-5	1.69771E+6	1.6E-5	1.73011E+6	
1.68E-5	1.69841E+6	1.68E-5	1.73078E+6	
1.76E-5	1.6968E+6	1.76E-5	1.73264E+6	
1.84E-5	1.69627E+6	1.84E-5	1.73324E+6	
1.92E-5	1.69806E+6	1.92E-5	1.73182E+6	
2E-5	1.69785E+6	2E-5	1.73748E+6	
2.08E-5	1.69798E+6	2.08E-5	1.73595E+6	
2.16E-5	1.69623E+6	2.16E-5	1.73512E+6	
2.24E-5	1.69507E+6	2.24E-5	1.73471E+6	
2.32E-5	1.69552E+6	2.32E-5	1.73396E+6	
2.4E-5	1.69471E+6	2.4E-5	1.73332E+6	
2.48E-5	1.69783E+6	2.48E-5	1.73097E+6	
2.56E-5	1.69551E+6	2.56E-5	1.73513E+6	
2.64E-5	1.69627E+6	2.64E-5	1.73653E+6	
2.72E-5	1.70001E+6	2.72E-5	1.73237E+6	
2.8E-5	1.6949E+6	2.8E-5	1.7317E+6	
2.88E-5	1.69465E+6	2.88E-5	1.73502E+6	
2.96E-5	1.69822E+6	2.96E-5	1.733E+6	
3.04E-5	1.69672E+6	3.04E-5	1.72955E+6	
3.12E-5	1.69526E+6	3.12E-5	1.73077E+6	
3.2E-5	1.69475E+6	3.2E-5	1.73458E+6	
3.28E-5	1.69834E+6	3.28E-5	1.73292E+6	
3.36E-5	1.69525E+6	3.36E-5	1.73759E+6	
3.44E-5	1.69449E+6	3.44E-5	1.73406E+6	
3.52E-5	1.69342E+6	3.52E-5	1.73302E+6	
3.6E-5	1.69724E+6	3.6E-5	1.735E+6	
3.68E-5	1.69594E+6	3.68E-5	1.73503E+6	
3.76E-5	1.69766E+6	3.76E-5	1.73365E+6	
3.84E-5	1.69525E+6	3.84E-5	1.73507E+6	
