Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.651	4.35274E+6	2.651	4.35274E+6	
2.65113	4.34505E+6	2.65113	4.34505E+6	
2.65126	4.33994E+6	2.65126	4.33994E+6	
2.65139	4.33822E+6	2.65139	4.33822E+6	
2.65151	4.34432E+6	2.65151	4.34432E+6	
2.65164	4.34361E+6	2.65164	4.34361E+6	
2.65177	4.33312E+6	2.65177	4.33312E+6	
2.6519	4.34793E+6	2.6519	4.34793E+6	
2.65203	4.3338E+6	2.65203	4.3338E+6	
2.65216	4.33843E+6	2.65216	4.33843E+6	
2.65229	4.32192E+6	2.65229	4.32192E+6	
2.65241	4.33328E+6	2.65241	4.33328E+6	
2.65254	4.32683E+6	2.65254	4.32683E+6	
2.65267	4.32067E+6	2.65267	4.32067E+6	
2.6528	4.30636E+6	2.6528	4.30636E+6	
2.65293	4.2956E+6	2.65293	4.2956E+6	
2.65306	4.2834E+6	2.65306	4.2834E+6	
2.65319	4.27046E+6	2.65319	4.27046E+6	
2.65331	4.26918E+6	2.65331	4.26918E+6	
2.65344	4.27432E+6	2.65344	4.27432E+6	
2.65357	4.29252E+6	2.65357	4.29252E+6	
2.6537	4.30395E+6	2.6537	4.30395E+6	
2.65383	4.31912E+6	2.65383	4.31912E+6	
2.65396	4.32322E+6	2.65396	4.32322E+6	
2.65409	4.32547E+6	2.65409	4.32547E+6	
2.65421	4.31917E+6	2.65421	4.31917E+6	
2.65434	4.32724E+6	2.65434	4.32724E+6	
2.65447	4.32066E+6	2.65447	4.32066E+6	
2.6546	4.32042E+6	2.6546	4.32042E+6	
2.65473	4.3234E+6	2.65473	4.3234E+6	
2.65486	4.32045E+6	2.65486	4.32045E+6	
2.65499	4.30186E+6	2.65499	4.30186E+6	
2.65511	4.30617E+6	2.65511	4.30617E+6	
2.65524	4.2917E+6	2.65524	4.2917E+6	
2.65537	4.28529E+6	2.65537	4.28529E+6	
2.6555	4.28127E+6	2.6555	4.28127E+6	
2.65563	4.29614E+6	2.65563	4.29614E+6	
2.65576	4.30086E+6	2.65576	4.30086E+6	
2.65589	4.30636E+6	2.65589	4.30636E+6	
2.65601	4.32064E+6	2.65601	4.32064E+6	
2.65614	4.32046E+6	2.65614	4.32046E+6	
2.65627	4.326E+6	2.65627	4.326E+6	
2.6564	4.33099E+6	2.6564	4.33099E+6	
2.65653	4.31869E+6	2.65653	4.31869E+6	
2.65666	4.32896E+6	2.65666	4.32896E+6	
2.65679	4.33115E+6	2.65679	4.33115E+6	
2.65691	4.32604E+6	2.65691	4.32604E+6	
2.65704	4.31522E+6	2.65704	4.31522E+6	
2.65717	4.31537E+6	2.65717	4.31537E+6	
2.6573	4.30143E+6	2.6573	4.30143E+6	
2.65743	4.30245E+6	2.65743	4.30245E+6	
2.65756	4.29127E+6	2.65756	4.29127E+6	
2.65769	4.28279E+6	2.65769	4.28279E+6	
2.65781	4.29885E+6	2.65781	4.29885E+6	
2.65794	4.31863E+6	2.65794	4.31863E+6	
2.65807	4.31143E+6	2.65807	4.31143E+6	
2.6582	4.32092E+6	2.6582	4.32092E+6	
2.65833	4.32687E+6	2.65833	4.32687E+6	
2.65846	4.34249E+6	2.65846	4.34249E+6	
2.65859	4.34821E+6	2.65859	4.34821E+6	
2.65871	4.34368E+6	2.65871	4.34368E+6	
2.65884	4.35087E+6	2.65884	4.35087E+6	
2.65897	4.34077E+6	2.65897	4.34077E+6	
2.6591	4.35257E+6	2.6591	4.35257E+6	
2.65923	4.34303E+6	2.65923	4.34303E+6	
2.65936	4.33889E+6	2.65936	4.33889E+6	
2.65949	4.35172E+6	2.65949	4.35172E+6	
2.65961	4.34967E+6	2.65961	4.34967E+6	
2.65974	4.34218E+6	2.65974	4.34218E+6	
2.65987	4.35391E+6	2.65987	4.35391E+6	
2.66	4.35336E+6	2.66	4.35336E+6	
