Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.646	1.13598E+6	2.646	1.13598E+6	
2.64613	1.13815E+6	2.64613	1.13815E+6	
2.64626	1.1403E+6	2.64626	1.1403E+6	
2.64639	1.13424E+6	2.64639	1.13424E+6	
2.64651	1.13533E+6	2.64651	1.13533E+6	
2.64664	1.13747E+6	2.64664	1.13747E+6	
2.64677	1.13121E+6	2.64677	1.13121E+6	
2.6469	1.13612E+6	2.6469	1.13612E+6	
2.64703	1.13061E+6	2.64703	1.13061E+6	
2.64716	1.1296E+6	2.64716	1.1296E+6	
2.64729	1.12552E+6	2.64729	1.12552E+6	
2.64741	1.12533E+6	2.64741	1.12533E+6	
2.64754	1.12417E+6	2.64754	1.12417E+6	
2.64767	1.11586E+6	2.64767	1.11586E+6	
2.6478	1.11625E+6	2.6478	1.11625E+6	
2.64793	1.11159E+6	2.64793	1.11159E+6	
2.64806	1.10202E+6	2.64806	1.10202E+6	
2.64819	1.11178E+6	2.64819	1.11178E+6	
2.64831	1.11736E+6	2.64831	1.11736E+6	
2.64844	1.11716E+6	2.64844	1.11716E+6	
2.64857	1.12455E+6	2.64857	1.12455E+6	
2.6487	1.1242E+6	2.6487	1.1242E+6	
2.64883	1.13034E+6	2.64883	1.13034E+6	
2.64896	1.12565E+6	2.64896	1.12565E+6	
2.64909	1.13184E+6	2.64909	1.13184E+6	
2.64921	1.13263E+6	2.64921	1.13263E+6	
2.64934	1.12907E+6	2.64934	1.12907E+6	
2.64947	1.1291E+6	2.64947	1.1291E+6	
2.6496	1.12974E+6	2.6496	1.12974E+6	
2.64973	1.12398E+6	2.64973	1.12398E+6	
2.64986	1.11266E+6	2.64986	1.11266E+6	
2.64999	1.11138E+6	2.64999	1.11138E+6	
2.65011	1.11253E+6	2.65011	1.11253E+6	
2.65024	1.10736E+6	2.65024	1.10736E+6	
2.65037	1.11972E+6	2.65037	1.11972E+6	
2.6505	1.12014E+6	2.6505	1.12014E+6	
2.65063	1.12737E+6	2.65063	1.12737E+6	
2.65076	1.12432E+6	2.65076	1.12432E+6	
2.65089	1.12615E+6	2.65089	1.12615E+6	
2.65101	1.12795E+6	2.65101	1.12795E+6	
2.65114	1.12635E+6	2.65114	1.12635E+6	
2.65127	1.13032E+6	2.65127	1.13032E+6	
2.6514	1.13399E+6	2.6514	1.13399E+6	
2.65153	1.12557E+6	2.65153	1.12557E+6	
2.65166	1.12679E+6	2.65166	1.12679E+6	
2.65179	1.12388E+6	2.65179	1.12388E+6	
2.65191	1.11833E+6	2.65191	1.11833E+6	
2.65204	1.11452E+6	2.65204	1.11452E+6	
2.65217	1.09965E+6	2.65217	1.09965E+6	
2.6523	1.09258E+6	2.6523	1.09258E+6	
2.65243	1.09782E+6	2.65243	1.09782E+6	
2.65256	1.10553E+6	2.65256	1.10553E+6	
2.65269	1.11406E+6	2.65269	1.11406E+6	
2.65281	1.12236E+6	2.65281	1.12236E+6	
2.65294	1.12847E+6	2.65294	1.12847E+6	
2.65307	1.13482E+6	2.65307	1.13482E+6	
2.6532	1.12425E+6	2.6532	1.12425E+6	
2.65333	1.12975E+6	2.65333	1.12975E+6	
2.65346	1.13165E+6	2.65346	1.13165E+6	
2.65359	1.13229E+6	2.65359	1.13229E+6	
2.65371	1.13124E+6	2.65371	1.13124E+6	
2.65384	1.14026E+6	2.65384	1.14026E+6	
2.65397	1.13731E+6	2.65397	1.13731E+6	
2.6541	1.1346E+6	2.6541	1.1346E+6	
2.65423	1.13716E+6	2.65423	1.13716E+6	
2.65436	1.13708E+6	2.65436	1.13708E+6	
2.65449	1.14084E+6	2.65449	1.14084E+6	
2.65461	1.13441E+6	2.65461	1.13441E+6	
2.65474	1.13823E+6	2.65474	1.13823E+6	
2.65487	1.12923E+6	2.65487	1.12923E+6	
2.655	1.13226E+6	2.655	1.13226E+6	
