Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.642	1.57211E+6	2.642	1.57211E+6	
2.64205	1.578E+6	2.64205	1.578E+6	
2.64211	1.5755E+6	2.64211	1.5755E+6	
2.64216	1.57757E+6	2.64216	1.57757E+6	
2.64221	1.57615E+6	2.64221	1.57615E+6	
2.64227	1.57615E+6	2.64227	1.57615E+6	
2.64232	1.57693E+6	2.64232	1.57693E+6	
2.64237	1.57702E+6	2.64237	1.57702E+6	
2.64243	1.57711E+6	2.64243	1.57711E+6	
2.64248	1.57583E+6	2.64248	1.57583E+6	
2.64253	1.57308E+6	2.64253	1.57308E+6	
2.64259	1.57836E+6	2.64259	1.57836E+6	
2.64264	1.57468E+6	2.64264	1.57468E+6	
2.64269	1.57415E+6	2.64269	1.57415E+6	
2.64275	1.57425E+6	2.64275	1.57425E+6	
2.6428	1.57512E+6	2.6428	1.57512E+6	
2.64285	1.57214E+6	2.64285	1.57214E+6	
2.64291	1.57134E+6	2.64291	1.57134E+6	
2.64296	1.57319E+6	2.64296	1.57319E+6	
2.64301	1.57075E+6	2.64301	1.57075E+6	
2.64307	1.56831E+6	2.64307	1.56831E+6	
2.64312	1.5636E+6	2.64312	1.5636E+6	
2.64317	1.56286E+6	2.64317	1.56286E+6	
2.64323	1.55571E+6	2.64323	1.55571E+6	
2.64328	1.55381E+6	2.64328	1.55381E+6	
2.64333	1.55609E+6	2.64333	1.55609E+6	
2.64339	1.55685E+6	2.64339	1.55685E+6	
2.64344	1.56366E+6	2.64344	1.56366E+6	
2.64349	1.56393E+6	2.64349	1.56393E+6	
2.64355	1.56358E+6	2.64355	1.56358E+6	
2.6436	1.56602E+6	2.6436	1.56602E+6	
2.64365	1.56436E+6	2.64365	1.56436E+6	
2.64371	1.56475E+6	2.64371	1.56475E+6	
2.64376	1.567E+6	2.64376	1.567E+6	
2.64381	1.56594E+6	2.64381	1.56594E+6	
2.64387	1.56468E+6	2.64387	1.56468E+6	
2.64392	1.56518E+6	2.64392	1.56518E+6	
2.64397	1.56204E+6	2.64397	1.56204E+6	
2.64403	1.56788E+6	2.64403	1.56788E+6	
2.64408	1.56373E+6	2.64408	1.56373E+6	
2.64413	1.56488E+6	2.64413	1.56488E+6	
2.64419	1.56172E+6	2.64419	1.56172E+6	
2.64424	1.55707E+6	2.64424	1.55707E+6	
2.64429	1.56122E+6	2.64429	1.56122E+6	
2.64435	1.56271E+6	2.64435	1.56271E+6	
2.6444	1.55563E+6	2.6444	1.55563E+6	
2.64445	1.56193E+6	2.64445	1.56193E+6	
2.64451	1.55664E+6	2.64451	1.55664E+6	
2.64456	1.56041E+6	2.64456	1.56041E+6	
2.64461	1.55979E+6	2.64461	1.55979E+6	
2.64467	1.55393E+6	2.64467	1.55393E+6	
2.64472	1.56057E+6	2.64472	1.56057E+6	
2.64477	1.55071E+6	2.64477	1.55071E+6	
2.64483	1.55183E+6	2.64483	1.55183E+6	
2.64488	1.55012E+6	2.64488	1.55012E+6	
2.64493	1.55045E+6	2.64493	1.55045E+6	
2.64499	1.55005E+6	2.64499	1.55005E+6	
2.64504	1.54714E+6	2.64504	1.54714E+6	
2.64509	1.54697E+6	2.64509	1.54697E+6	
2.64515	1.54895E+6	2.64515	1.54895E+6	
2.6452	1.54793E+6	2.6452	1.54793E+6	
2.64525	1.54417E+6	2.64525	1.54417E+6	
2.64531	1.53991E+6	2.64531	1.53991E+6	
2.64536	1.54342E+6	2.64536	1.54342E+6	
2.64541	1.54057E+6	2.64541	1.54057E+6	
2.64547	1.54043E+6	2.64547	1.54043E+6	
2.64552	1.53986E+6	2.64552	1.53986E+6	
2.64557	1.53839E+6	2.64557	1.53839E+6	
2.64563	1.53905E+6	2.64563	1.53905E+6	
2.64568	1.53805E+6	2.64568	1.53805E+6	
2.64573	1.53548E+6	2.64573	1.53548E+6	
2.64579	1.5335E+6	2.64579	1.5335E+6	
2.64584	1.533E+6	2.64584	1.533E+6	
2.64589	1.53052E+6	2.64589	1.53052E+6	
2.64595	1.52892E+6	2.64595	1.52892E+6	
2.646	1.53022E+6	2.646	1.53022E+6	
2.64605	1.52648E+6	2.64605	1.52648E+6	
2.64611	1.52345E+6	2.64611	1.52345E+6	
2.64616	1.52495E+6	2.64616	1.52495E+6	
2.64621	1.52348E+6	2.64621	1.52348E+6	
2.64627	1.5239E+6	2.64627	1.5239E+6	
2.64632	1.51908E+6	2.64632	1.51908E+6	
2.64637	1.5162E+6	2.64637	1.5162E+6	
2.64643	1.51239E+6	2.64643	1.51239E+6	
2.64648	1.51369E+6	2.64648	1.51369E+6	
2.64653	1.51209E+6	2.64653	1.51209E+6	
2.64659	1.51088E+6	2.64659	1.51088E+6	
2.64664	1.50394E+6	2.64664	1.50394E+6	
2.64669	1.5038E+6	2.64669	1.5038E+6	
2.64675	1.5045E+6	2.64675	1.5045E+6	
2.6468	1.49926E+6	2.6468	1.49926E+6	
2.64685	1.49779E+6	2.64685	1.49779E+6	
2.64691	1.49612E+6	2.64691	1.49612E+6	
2.64696	1.49425E+6	2.64696	1.49425E+6	
2.64701	1.49147E+6	2.64701	1.49147E+6	
2.64707	1.49266E+6	2.64707	1.49266E+6	
2.64712	1.49012E+6	2.64712	1.49012E+6	
2.64717	1.48855E+6	2.64717	1.48855E+6	
2.64723	1.48833E+6	2.64723	1.48833E+6	
2.64728	1.48834E+6	2.64728	1.48834E+6	
2.64733	1.48962E+6	2.64733	1.48962E+6	
2.64739	1.48252E+6	2.64739	1.48252E+6	
2.64744	1.48456E+6	2.64744	1.48456E+6	
2.64749	1.4793E+6	2.64749	1.4793E+6	
2.64755	1.48137E+6	2.64755	1.48137E+6	
2.6476	1.486E+6	2.6476	1.486E+6	
2.64765	1.48839E+6	2.64765	1.48839E+6	
2.64771	1.48771E+6	2.64771	1.48771E+6	
2.64776	1.48775E+6	2.64776	1.48775E+6	
2.64781	1.4861E+6	2.64781	1.4861E+6	
2.64787	1.48579E+6	2.64787	1.48579E+6	
2.64792	1.48049E+6	2.64792	1.48049E+6	
2.64797	1.47665E+6	2.64797	1.47665E+6	
2.64803	1.47126E+6	2.64803	1.47126E+6	
2.64808	1.47154E+6	2.64808	1.47154E+6	
2.64813	1.46868E+6	2.64813	1.46868E+6	
2.64819	1.46738E+6	2.64819	1.46738E+6	
2.64824	1.46633E+6	2.64824	1.46633E+6	
2.64829	1.46117E+6	2.64829	1.46117E+6	
2.64835	1.46364E+6	2.64835	1.46364E+6	
2.6484	1.46693E+6	2.6484	1.46693E+6	
2.64845	1.46541E+6	2.64845	1.46541E+6	
2.64851	1.46192E+6	2.64851	1.46192E+6	
2.64856	1.46033E+6	2.64856	1.46033E+6	
2.64861	1.46259E+6	2.64861	1.46259E+6	
2.64867	1.46095E+6	2.64867	1.46095E+6	
2.64872	1.45977E+6	2.64872	1.45977E+6	
2.64877	1.45738E+6	2.64877	1.45738E+6	
2.64883	1.45959E+6	2.64883	1.45959E+6	
2.64888	1.45904E+6	2.64888	1.45904E+6	
2.64893	1.45962E+6	2.64893	1.45962E+6	
2.64899	1.46224E+6	2.64899	1.46224E+6	
2.64904	1.46283E+6	2.64904	1.46283E+6	
2.64909	1.45624E+6	2.64909	1.45624E+6	
2.64915	1.45606E+6	2.64915	1.45606E+6	
2.6492	1.45577E+6	2.6492	1.45577E+6	
2.64925	1.45735E+6	2.64925	1.45735E+6	
2.64931	1.4529E+6	2.64931	1.4529E+6	
2.64936	1.45918E+6	2.64936	1.45918E+6	
2.64941	1.45648E+6	2.64941	1.45648E+6	
2.64947	1.45514E+6	2.64947	1.45514E+6	
2.64952	1.45281E+6	2.64952	1.45281E+6	
2.64957	1.45476E+6	2.64957	1.45476E+6	
2.64963	1.4528E+6	2.64963	1.4528E+6	
2.64968	1.45191E+6	2.64968	1.45191E+6	
2.64973	1.45112E+6	2.64973	1.45112E+6	
2.64979	1.4556E+6	2.64979	1.4556E+6	
2.64984	1.45009E+6	2.64984	1.45009E+6	
2.64989	1.45592E+6	2.64989	1.45592E+6	
2.64995	1.4491E+6	2.64995	1.4491E+6	
2.65	1.44735E+6	2.65	1.44735E+6	
2.65005	1.45215E+6	2.65005	1.45215E+6	
2.65011	1.44954E+6	2.65011	1.44954E+6	
2.65016	1.45158E+6	2.65016	1.45158E+6	
2.65021	1.45089E+6	2.65021	1.45089E+6	
2.65027	1.45326E+6	2.65027	1.45326E+6	
2.65032	1.45043E+6	2.65032	1.45043E+6	
2.65037	1.44688E+6	2.65037	1.44688E+6	
2.65043	1.44981E+6	2.65043	1.44981E+6	
2.65048	1.44868E+6	2.65048	1.44868E+6	
2.65053	1.45025E+6	2.65053	1.45025E+6	
2.65059	1.45578E+6	2.65059	1.45578E+6	
2.65064	1.45389E+6	2.65064	1.45389E+6	
2.65069	1.45397E+6	2.65069	1.45397E+6	
2.65075	1.45336E+6	2.65075	1.45336E+6	
2.6508	1.45487E+6	2.6508	1.45487E+6	
2.65085	1.45297E+6	2.65085	1.45297E+6	
2.65091	1.45376E+6	2.65091	1.45376E+6	
2.65096	1.45564E+6	2.65096	1.45564E+6	
2.65101	1.45153E+6	2.65101	1.45153E+6	
2.65107	1.46018E+6	2.65107	1.46018E+6	
2.65112	1.4555E+6	2.65112	1.4555E+6	
2.65117	1.46067E+6	2.65117	1.46067E+6	
2.65123	1.45914E+6	2.65123	1.45914E+6	
2.65128	1.46078E+6	2.65128	1.46078E+6	
2.65133	1.45923E+6	2.65133	1.45923E+6	
2.65139	1.46159E+6	2.65139	1.46159E+6	
2.65144	1.46053E+6	2.65144	1.46053E+6	
2.65149	1.45718E+6	2.65149	1.45718E+6	
2.65155	1.45993E+6	2.65155	1.45993E+6	
2.6516	1.4594E+6	2.6516	1.4594E+6	
2.65165	1.45846E+6	2.65165	1.45846E+6	
2.65171	1.46152E+6	2.65171	1.46152E+6	
2.65176	1.45772E+6	2.65176	1.45772E+6	
2.65181	1.4582E+6	2.65181	1.4582E+6	
2.65187	1.462E+6	2.65187	1.462E+6	
2.65192	1.46003E+6	2.65192	1.46003E+6	
2.65197	1.45711E+6	2.65197	1.45711E+6	
2.65203	1.46083E+6	2.65203	1.46083E+6	
2.65208	1.46139E+6	2.65208	1.46139E+6	
2.65213	1.46636E+6	2.65213	1.46636E+6	
2.65219	1.46092E+6	2.65219	1.46092E+6	
2.65224	1.46204E+6	2.65224	1.46204E+6	
2.65229	1.46593E+6	2.65229	1.46593E+6	
2.65235	1.46795E+6	2.65235	1.46795E+6	
2.6524	1.46783E+6	2.6524	1.46783E+6	
2.65245	1.46802E+6	2.65245	1.46802E+6	
2.65251	1.46837E+6	2.65251	1.46837E+6	
2.65256	1.46954E+6	2.65256	1.46954E+6	
2.65261	1.47216E+6	2.65261	1.47216E+6	
2.65267	1.4738E+6	2.65267	1.4738E+6	
2.65272	1.47696E+6	2.65272	1.47696E+6	
2.65277	1.47687E+6	2.65277	1.47687E+6	
2.65283	1.4795E+6	2.65283	1.4795E+6	
2.65288	1.48514E+6	2.65288	1.48514E+6	
2.65293	1.48417E+6	2.65293	1.48417E+6	
2.65299	1.48166E+6	2.65299	1.48166E+6	
2.65304	1.4871E+6	2.65304	1.4871E+6	
2.65309	1.48769E+6	2.65309	1.48769E+6	
2.65315	1.49242E+6	2.65315	1.49242E+6	
2.6532	1.49289E+6	2.6532	1.49289E+6	
2.65325	1.4948E+6	2.65325	1.4948E+6	
2.65331	1.4981E+6	2.65331	1.4981E+6	
2.65336	1.49704E+6	2.65336	1.49704E+6	
2.65341	1.5013E+6	2.65341	1.5013E+6	
2.65347	1.50512E+6	2.65347	1.50512E+6	
2.65352	1.50336E+6	2.65352	1.50336E+6	
2.65357	1.50499E+6	2.65357	1.50499E+6	
2.65363	1.5063E+6	2.65363	1.5063E+6	
2.65368	1.50971E+6	2.65368	1.50971E+6	
2.65373	1.51125E+6	2.65373	1.51125E+6	
2.65379	1.51306E+6	2.65379	1.51306E+6	
2.65384	1.51695E+6	2.65384	1.51695E+6	
2.65389	1.51945E+6	2.65389	1.51945E+6	
2.65395	1.52258E+6	2.65395	1.52258E+6	
2.654	1.52151E+6	2.654	1.52151E+6	
2.65405	1.52324E+6	2.65405	1.52324E+6	
2.65411	1.52364E+6	2.65411	1.52364E+6	
2.65416	1.52969E+6	2.65416	1.52969E+6	
2.65421	1.52818E+6	2.65421	1.52818E+6	
2.65427	1.53404E+6	2.65427	1.53404E+6	
2.65432	1.52993E+6	2.65432	1.52993E+6	
2.65437	1.53612E+6	2.65437	1.53612E+6	
2.65443	1.53333E+6	2.65443	1.53333E+6	
2.65448	1.53669E+6	2.65448	1.53669E+6	
2.65453	1.53656E+6	2.65453	1.53656E+6	
2.65459	1.539E+6	2.65459	1.539E+6	
2.65464	1.53772E+6	2.65464	1.53772E+6	
2.65469	1.53717E+6	2.65469	1.53717E+6	
2.65475	1.5381E+6	2.65475	1.5381E+6	
2.6548	1.53756E+6	2.6548	1.53756E+6	
2.65485	1.53787E+6	2.65485	1.53787E+6	
2.65491	1.53423E+6	2.65491	1.53423E+6	
2.65496	1.5356E+6	2.65496	1.5356E+6	
2.65501	1.5411E+6	2.65501	1.5411E+6	
2.65507	1.54388E+6	2.65507	1.54388E+6	
2.65512	1.54936E+6	2.65512	1.54936E+6	
2.65517	1.54625E+6	2.65517	1.54625E+6	
2.65523	1.55124E+6	2.65523	1.55124E+6	
2.65528	1.55355E+6	2.65528	1.55355E+6	
2.65533	1.55125E+6	2.65533	1.55125E+6	
2.65539	1.55066E+6	2.65539	1.55066E+6	
2.65544	1.55562E+6	2.65544	1.55562E+6	
2.65549	1.55648E+6	2.65549	1.55648E+6	
2.65555	1.56282E+6	2.65555	1.56282E+6	
2.6556	1.56015E+6	2.6556	1.56015E+6	
2.65565	1.55727E+6	2.65565	1.55727E+6	
2.65571	1.55783E+6	2.65571	1.55783E+6	
2.65576	1.56006E+6	2.65576	1.56006E+6	
2.65581	1.56402E+6	2.65581	1.56402E+6	
2.65587	1.56643E+6	2.65587	1.56643E+6	
2.65592	1.56421E+6	2.65592	1.56421E+6	
2.65597	1.56443E+6	2.65597	1.56443E+6	
2.65603	1.56266E+6	2.65603	1.56266E+6	
2.65608	1.56526E+6	2.65608	1.56526E+6	
2.65613	1.56547E+6	2.65613	1.56547E+6	
2.65619	1.56613E+6	2.65619	1.56613E+6	
2.65624	1.56717E+6	2.65624	1.56717E+6	
2.65629	1.5719E+6	2.65629	1.5719E+6	
2.65635	1.56731E+6	2.65635	1.56731E+6	
2.6564	1.56925E+6	2.6564	1.56925E+6	
2.65645	1.57018E+6	2.65645	1.57018E+6	
2.65651	1.57314E+6	2.65651	1.57314E+6	
2.65656	1.57374E+6	2.65656	1.57374E+6	
2.65661	1.57311E+6	2.65661	1.57311E+6	
2.65667	1.5739E+6	2.65667	1.5739E+6	
2.65672	1.57558E+6	2.65672	1.57558E+6	
2.65677	1.57204E+6	2.65677	1.57204E+6	
2.65683	1.57514E+6	2.65683	1.57514E+6	
2.65688	1.57917E+6	2.65688	1.57917E+6	
2.65693	1.57285E+6	2.65693	1.57285E+6	
2.65699	1.57608E+6	2.65699	1.57608E+6	
2.65704	1.58043E+6	2.65704	1.58043E+6	
2.65709	1.57225E+6	2.65709	1.57225E+6	
2.65715	1.57628E+6	2.65715	1.57628E+6	
2.6572	1.57833E+6	2.6572	1.57833E+6	
2.65725	1.57767E+6	2.65725	1.57767E+6	
2.65731	1.57661E+6	2.65731	1.57661E+6	
2.65736	1.57936E+6	2.65736	1.57936E+6	
2.65741	1.57796E+6	2.65741	1.57796E+6	
2.65747	1.57702E+6	2.65747	1.57702E+6	
2.65752	1.57647E+6	2.65752	1.57647E+6	
2.65757	1.58117E+6	2.65757	1.58117E+6	
2.65763	1.58272E+6	2.65763	1.58272E+6	
2.65768	1.57702E+6	2.65768	1.57702E+6	
2.65773	1.57914E+6	2.65773	1.57914E+6	
2.65779	1.58325E+6	2.65779	1.58325E+6	
2.65784	1.57831E+6	2.65784	1.57831E+6	
2.65789	1.58061E+6	2.65789	1.58061E+6	
2.65795	1.58444E+6	2.65795	1.58444E+6	
2.658	1.58146E+6	2.658	1.58146E+6	
