Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.646	1.56644E+6	2.646	1.56644E+6	
2.64613	1.55906E+6	2.64613	1.55906E+6	
2.64626	1.57022E+6	2.64626	1.57022E+6	
2.64639	1.56246E+6	2.64639	1.56246E+6	
2.64651	1.56516E+6	2.64651	1.56516E+6	
2.64664	1.56205E+6	2.64664	1.56205E+6	
2.64677	1.56122E+6	2.64677	1.56122E+6	
2.6469	1.55785E+6	2.6469	1.55785E+6	
2.64703	1.5563E+6	2.64703	1.5563E+6	
2.64716	1.56359E+6	2.64716	1.56359E+6	
2.64729	1.54722E+6	2.64729	1.54722E+6	
2.64741	1.55415E+6	2.64741	1.55415E+6	
2.64754	1.54314E+6	2.64754	1.54314E+6	
2.64767	1.52968E+6	2.64767	1.52968E+6	
2.6478	1.51518E+6	2.6478	1.51518E+6	
2.64793	1.50014E+6	2.64793	1.50014E+6	
2.64806	1.50223E+6	2.64806	1.50223E+6	
2.64819	1.51897E+6	2.64819	1.51897E+6	
2.64831	1.53646E+6	2.64831	1.53646E+6	
2.64844	1.54781E+6	2.64844	1.54781E+6	
2.64857	1.54639E+6	2.64857	1.54639E+6	
2.6487	1.55986E+6	2.6487	1.55986E+6	
2.64883	1.55919E+6	2.64883	1.55919E+6	
2.64896	1.55347E+6	2.64896	1.55347E+6	
2.64909	1.55693E+6	2.64909	1.55693E+6	
2.64921	1.55514E+6	2.64921	1.55514E+6	
2.64934	1.5523E+6	2.64934	1.5523E+6	
2.64947	1.55193E+6	2.64947	1.55193E+6	
2.6496	1.54879E+6	2.6496	1.54879E+6	
2.64973	1.55044E+6	2.64973	1.55044E+6	
2.64986	1.55281E+6	2.64986	1.55281E+6	
2.64999	1.53933E+6	2.64999	1.53933E+6	
2.65011	1.54184E+6	2.65011	1.54184E+6	
2.65024	1.54233E+6	2.65024	1.54233E+6	
2.65037	1.53994E+6	2.65037	1.53994E+6	
2.6505	1.55167E+6	2.6505	1.55167E+6	
2.65063	1.54817E+6	2.65063	1.54817E+6	
2.65076	1.55276E+6	2.65076	1.55276E+6	
2.65089	1.55327E+6	2.65089	1.55327E+6	
2.65101	1.56641E+6	2.65101	1.56641E+6	
2.65114	1.56001E+6	2.65114	1.56001E+6	
2.65127	1.56468E+6	2.65127	1.56468E+6	
2.6514	1.5614E+6	2.6514	1.5614E+6	
2.65153	1.56068E+6	2.65153	1.56068E+6	
2.65166	1.55712E+6	2.65166	1.55712E+6	
2.65179	1.54547E+6	2.65179	1.54547E+6	
2.65191	1.54074E+6	2.65191	1.54074E+6	
2.65204	1.53171E+6	2.65204	1.53171E+6	
2.65217	1.52601E+6	2.65217	1.52601E+6	
2.6523	1.51337E+6	2.6523	1.51337E+6	
2.65243	1.52763E+6	2.65243	1.52763E+6	
2.65256	1.53692E+6	2.65256	1.53692E+6	
2.65269	1.54706E+6	2.65269	1.54706E+6	
2.65281	1.56097E+6	2.65281	1.56097E+6	
2.65294	1.55579E+6	2.65294	1.55579E+6	
2.65307	1.55955E+6	2.65307	1.55955E+6	
2.6532	1.5583E+6	2.6532	1.5583E+6	
2.65333	1.56301E+6	2.65333	1.56301E+6	
2.65346	1.55906E+6	2.65346	1.55906E+6	
2.65359	1.56039E+6	2.65359	1.56039E+6	
2.65371	1.56889E+6	2.65371	1.56889E+6	
2.65384	1.56656E+6	2.65384	1.56656E+6	
2.65397	1.57028E+6	2.65397	1.57028E+6	
2.6541	1.56287E+6	2.6541	1.56287E+6	
2.65423	1.5612E+6	2.65423	1.5612E+6	
2.65436	1.55813E+6	2.65436	1.55813E+6	
2.65449	1.56425E+6	2.65449	1.56425E+6	
2.65461	1.56326E+6	2.65461	1.56326E+6	
2.65474	1.56883E+6	2.65474	1.56883E+6	
2.65487	1.56568E+6	2.65487	1.56568E+6	
2.655	1.56231E+6	2.655	1.56231E+6	
