Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.6481	1.55783E+6	2.6481	1.55783E+6	
2.6481	1.55976E+6	2.6481	1.55976E+6	
2.64811	1.55805E+6	2.64811	1.55805E+6	
2.64811	1.55851E+6	2.64811	1.55851E+6	
2.64812	1.55943E+6	2.64812	1.55943E+6	
2.64812	1.5605E+6	2.64812	1.5605E+6	
2.64813	1.55991E+6	2.64813	1.55991E+6	
2.64813	1.5603E+6	2.64813	1.5603E+6	
2.64814	1.56099E+6	2.64814	1.56099E+6	
2.64814	1.55965E+6	2.64814	1.55965E+6	
2.64815	1.56031E+6	2.64815	1.56031E+6	
2.64816	1.55866E+6	2.64816	1.55866E+6	
2.64816	1.5591E+6	2.64816	1.5591E+6	
2.64817	1.56081E+6	2.64817	1.56081E+6	
2.64817	1.55705E+6	2.64817	1.55705E+6	
2.64817	1.56006E+6	2.64817	1.56006E+6	
2.64818	1.56029E+6	2.64818	1.56029E+6	
2.64818	1.55733E+6	2.64818	1.55733E+6	
2.64819	1.55815E+6	2.64819	1.55815E+6	
2.64819	1.56209E+6	2.64819	1.56209E+6	
2.6482	1.55946E+6	2.6482	1.55946E+6	
2.6482	1.55841E+6	2.6482	1.55841E+6	
2.64821	1.56043E+6	2.64821	1.56043E+6	
2.64821	1.55812E+6	2.64821	1.55812E+6	
2.64822	1.55931E+6	2.64822	1.55931E+6	
2.64823	1.55989E+6	2.64823	1.55989E+6	
2.64823	1.55778E+6	2.64823	1.55778E+6	
2.64823	1.55806E+6	2.64823	1.55806E+6	
2.64824	1.55977E+6	2.64824	1.55977E+6	
2.64824	1.55888E+6	2.64824	1.55888E+6	
2.64825	1.55935E+6	2.64825	1.55935E+6	
2.64825	1.55726E+6	2.64825	1.55726E+6	
2.64826	1.55817E+6	2.64826	1.55817E+6	
2.64826	1.55714E+6	2.64826	1.55714E+6	
2.64827	1.5565E+6	2.64827	1.5565E+6	
2.64827	1.55686E+6	2.64827	1.55686E+6	
2.64828	1.55802E+6	2.64828	1.55802E+6	
2.64829	1.55989E+6	2.64829	1.55989E+6	
2.64829	1.5577E+6	2.64829	1.5577E+6	
2.6483	1.55541E+6	2.6483	1.55541E+6	
2.6483	1.55672E+6	2.6483	1.55672E+6	
2.6483	1.55961E+6	2.6483	1.55961E+6	
2.64831	1.55804E+6	2.64831	1.55804E+6	
2.64831	1.55738E+6	2.64831	1.55738E+6	
2.64832	1.55632E+6	2.64832	1.55632E+6	
2.64832	1.55734E+6	2.64832	1.55734E+6	
2.64833	1.55747E+6	2.64833	1.55747E+6	
2.64833	1.55719E+6	2.64833	1.55719E+6	
2.64834	1.55517E+6	2.64834	1.55517E+6	
2.64834	1.5568E+6	2.64834	1.5568E+6	
2.64835	1.55699E+6	2.64835	1.55699E+6	
2.64836	1.55494E+6	2.64836	1.55494E+6	
2.64836	1.55345E+6	2.64836	1.55345E+6	
2.64837	1.55121E+6	2.64837	1.55121E+6	
2.64837	1.55376E+6	2.64837	1.55376E+6	
2.64837	1.55338E+6	2.64837	1.55338E+6	
2.64838	1.5539E+6	2.64838	1.5539E+6	
2.64838	1.55611E+6	2.64838	1.55611E+6	
2.64839	1.55537E+6	2.64839	1.55537E+6	
2.64839	1.55351E+6	2.64839	1.55351E+6	
2.6484	1.5534E+6	2.6484	1.5534E+6	
