Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0	498415	0	490683	
1.6E-6	492684	1.6E-6	491639	
3.2E-6	491155	3.2E-6	495813	
4.8E-6	491520	4.8E-6	498069	
6.4E-6	491669	6.4E-6	501392	
8E-6	490722	8E-6	503746	
9.6E-6	490949	9.6E-6	505317	
1.12E-5	490190	1.12E-5	503744	
1.28E-5	491891	1.28E-5	503556	
1.44E-5	491552	1.44E-5	506554	
1.6E-5	489324	1.6E-5	508798	
1.76E-5	488762	1.76E-5	508881	
1.92E-5	489823	1.92E-5	508278	
2.08E-5	491004	2.08E-5	508574	
2.24E-5	490353	2.24E-5	509310	
2.4E-5	486862	2.4E-5	509708	
2.56E-5	487648	2.56E-5	510295	
2.72E-5	488666	2.72E-5	510561	
2.88E-5	487304	2.88E-5	511648	
3.04E-5	486552	3.04E-5	510552	
3.2E-5	489154	3.2E-5	511088	
3.36E-5	489654	3.36E-5	510921	
3.52E-5	487655	3.52E-5	512977	
3.68E-5	489035	3.68E-5	510774	
3.84E-5	488386	3.84E-5	511540	
4E-5	489097	4E-5	512198	
4.16E-5	487165	4.16E-5	511574	
4.32E-5	485551	4.32E-5	511024	
4.48E-5	488116	4.48E-5	515136	
4.64E-5	487201	4.64E-5	512872	
4.8E-5	486335	4.8E-5	511712	
4.96E-5	489581	4.96E-5	512489	
5.12E-5	489067	5.12E-5	513365	
5.28E-5	486752	5.28E-5	513381	
5.44E-5	486122	5.44E-5	514073	
5.6E-5	487199	5.6E-5	513562	
5.76E-5	487064	5.76E-5	512230	
5.92E-5	487084	5.92E-5	511554	
6.08E-5	489374	6.08E-5	514827	
6.24E-5	487522	6.24E-5	514999	
6.4E-5	487488	6.4E-5	514880	
6.56E-5	486225	6.56E-5	513539	
6.72E-5	488061	6.72E-5	513970	
6.88E-5	487850	6.88E-5	513608	
7.04E-5	488301	7.04E-5	515448	
7.2E-5	488547	7.2E-5	513963	
7.36E-5	486825	7.36E-5	516003	
7.52E-5	487256	7.52E-5	514123	
7.68E-5	488340	7.68E-5	515256	
