Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0	6.21359E+6	0	6.06759E+6	
1E-6	6.09467E+6	1E-6	6.15098E+6	
2E-6	6.1263E+6	2E-6	6.20901E+6	
3E-6	6.07869E+6	3E-6	6.24825E+6	
4E-6	6.06657E+6	4E-6	6.28344E+6	
5E-6	6.08121E+6	5E-6	6.30249E+6	
6E-6	6.05689E+6	6E-6	6.3275E+6	
7E-6	6.08024E+6	7E-6	6.32996E+6	
8E-6	6.06835E+6	8E-6	6.3598E+6	
9E-6	6.07056E+6	9E-6	6.36233E+6	
1E-5	6.07917E+6	1E-5	6.36197E+6	
1.1E-5	6.06152E+6	1.1E-5	6.384E+6	
1.2E-5	6.06268E+6	1.2E-5	6.38308E+6	
1.3E-5	6.04577E+6	1.3E-5	6.38925E+6	
1.4E-5	6.07466E+6	1.4E-5	6.38346E+6	
1.5E-5	6.06624E+6	1.5E-5	6.38564E+6	
1.6E-5	6.055E+6	1.6E-5	6.40685E+6	
1.7E-5	6.0549E+6	1.7E-5	6.39898E+6	
1.8E-5	6.05653E+6	1.8E-5	6.40313E+6	
1.9E-5	6.0531E+6	1.9E-5	6.39956E+6	
2E-5	6.04661E+6	2E-5	6.40675E+6	
2.1E-5	6.04927E+6	2.1E-5	6.41085E+6	
2.2E-5	6.05234E+6	2.2E-5	6.41567E+6	
2.3E-5	6.0468E+6	2.3E-5	6.40676E+6	
2.4E-5	6.03989E+6	2.4E-5	6.40686E+6	
2.5E-5	6.05593E+6	2.5E-5	6.41405E+6	
2.6E-5	6.06595E+6	2.6E-5	6.41638E+6	
2.7E-5	6.05633E+6	2.7E-5	6.41986E+6	
2.8E-5	6.05344E+6	2.8E-5	6.42091E+6	
2.9E-5	6.05628E+6	2.9E-5	6.42482E+6	
3E-5	6.05665E+6	3E-5	6.43565E+6	
3.1E-5	6.04288E+6	3.1E-5	6.42043E+6	
3.2E-5	6.05643E+6	3.2E-5	6.42308E+6	
3.3E-5	6.0557E+6	3.3E-5	6.41659E+6	
3.4E-5	6.05285E+6	3.4E-5	6.43157E+6	
3.5E-5	6.05822E+6	3.5E-5	6.42651E+6	
3.6E-5	6.03718E+6	3.6E-5	6.44403E+6	
3.7E-5	6.0493E+6	3.7E-5	6.43264E+6	
3.8E-5	6.05159E+6	3.8E-5	6.4317E+6	
3.9E-5	6.05861E+6	3.9E-5	6.44544E+6	
4E-5	6.05492E+6	4E-5	6.43785E+6	
4.1E-5	6.04522E+6	4.1E-5	6.43167E+6	
4.2E-5	6.04445E+6	4.2E-5	6.4389E+6	
4.3E-5	6.0473E+6	4.3E-5	6.44568E+6	
4.4E-5	6.04287E+6	4.4E-5	6.44322E+6	
4.5E-5	6.05286E+6	4.5E-5	6.43594E+6	
4.6E-5	6.04425E+6	4.6E-5	6.4409E+6	
4.7E-5	6.04404E+6	4.7E-5	6.42937E+6	
4.8E-5	6.06139E+6	4.8E-5	6.43958E+6	
