Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0.02	1.0062	0.02	1.0062	
0.045	1.00788	0.045	1.00788	
0.07	1.0002	0.07	1.0002	
0.095	0.993502	0.095	0.993502	
0.12	0.980061	0.12	0.980061	
0.145	0.985846	0.145	0.985846	
0.17	0.959458	0.17	0.959458	
0.195	0.977567	0.195	0.977567	
0.22	0.966651	0.22	0.966651	
0.245	0.978696	0.245	0.978696	
0.27	0.974543	0.27	0.974543	
0.295	0.973597	0.295	0.973597	
0.32	0.976699	0.32	0.976699	
0.345	0.987796	0.345	0.987796	
0.37	0.996405	0.37	0.996405	
0.395	1.00496	0.395	1.00496	
0.42	1.00542	0.42	1.00542	
0.445	1.00622	0.445	1.00622	
0.47	1.00081	0.47	1.00081	
0.495	0.992753	0.495	0.992753	
0.52	0.982721	0.52	0.982721	
0.545	0.989578	0.545	0.989578	
0.57	0.988228	0.57	0.988228	
0.595	0.995685	0.595	0.995685	
0.62	0.988184	0.62	0.988184	
0.645	0.981417	0.645	0.981417	
0.67	0.984461	0.67	0.984461	
0.695	0.976231	0.695	0.976231	
0.72	0.978988	0.72	0.978988	
0.745	0.967591	0.745	0.967591	
0.77	0.971391	0.77	0.971391	
0.795	0.977705	0.795	0.977705	
0.82	0.977882	0.82	0.977882	
0.845	0.978894	0.845	0.978894	
0.87	0.988974	0.87	0.988974	
0.895	0.996479	0.895	0.996479	
0.92	0.996877	0.92	0.996877	
0.945	1.00527	0.945	1.00527	
0.97	1.00419	0.97	1.00419	
0.995	1.00489	0.995	1.00489	
1.02	1.00857	1.02	1.00857	
1.045	1.01266	1.045	1.01266	
1.07	1.00587	1.07	1.00587	
1.095	0.97869	1.095	0.97869	
1.12	0.980572	1.12	0.980572	
1.145	0.969281	1.145	0.969281	
1.17	0.966083	1.17	0.966083	
1.195	0.953805	1.195	0.953805	
1.22	0.966587	1.22	0.966587	
1.245	0.975585	1.245	0.975585	
1.27	0.983612	1.27	0.983612	
1.295	0.977747	1.295	0.977747	
1.32	0.990172	1.32	0.990172	
1.345	0.995141	1.345	0.995141	
1.37	0.991862	1.37	0.991862	
1.395	1.00819	1.395	1.00819	
1.42	0.992811	1.42	0.992811	
1.445	0.998803	1.445	0.998803	
1.47	1.00499	1.47	1.00499	
1.495	0.996882	1.495	0.996882	
1.52	0.987527	1.52	0.987527	
1.545	0.982705	1.545	0.982705	
1.57	0.979265	1.57	0.979265	
1.595	0.976432	1.595	0.976432	
1.62	0.978327	1.62	0.978327	
1.645	0.975947	1.645	0.975947	
1.67	0.974	1.67	0.974	
1.695	0.980254	1.695	0.980254	
1.72	0.977944	1.72	0.977944	
