Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2	1.04042	2	1.04042	
4	1.03645	4	1.03645	
6	1.0348	6	1.0348	
8	1.03439	8	1.03439	
10	1.03412	10	1.03412	
12	1.03412	12	1.03412	
14	1.03586	14	1.03586	
16	1.0363	16	1.0363	
18	1.03772	18	1.03772	
20	1.03578	20	1.03578	
22	1.0359	22	1.0359	
24	1.03454	24	1.03454	
26	1.03418	26	1.03418	
28	1.03502	28	1.03502	
30	1.0347	30	1.0347	
32	1.03459	32	1.03459	
34	1.03482	34	1.03482	
36	1.03479	36	1.03479	
38	1.03438	38	1.03438	
40	1.03323	40	1.03323	
42	1.03311	42	1.03311	
