Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.6	1.92725E+6	2.6	1.92725E+6	
2.602	1.92807E+6	2.602	1.92807E+6	
2.604	1.92784E+6	2.604	1.92784E+6	
2.606	1.9281E+6	2.606	1.9281E+6	
2.608	1.92773E+6	2.608	1.92773E+6	
2.61	1.92724E+6	2.61	1.92724E+6	
2.612	1.92757E+6	2.612	1.92757E+6	
2.614	1.92776E+6	2.614	1.92776E+6	
2.616	1.92737E+6	2.616	1.92737E+6	
2.618	1.92806E+6	2.618	1.92806E+6	
2.62	1.92743E+6	2.62	1.92743E+6	
2.622	1.92695E+6	2.622	1.92695E+6	
2.624	1.92673E+6	2.624	1.92673E+6	
2.626	1.92708E+6	2.626	1.92708E+6	
2.628	1.92751E+6	2.628	1.92751E+6	
2.63	1.9274E+6	2.63	1.9274E+6	
2.632	1.92725E+6	2.632	1.92725E+6	
2.634	1.92835E+6	2.634	1.92835E+6	
2.636	1.92677E+6	2.636	1.92677E+6	
2.638	1.92717E+6	2.638	1.92717E+6	
2.64	1.92763E+6	2.64	1.92763E+6	
2.642	1.92686E+6	2.642	1.92686E+6	
2.644	1.92771E+6	2.644	1.92771E+6	
2.646	1.92728E+6	2.646	1.92728E+6	
2.648	1.92785E+6	2.648	1.92785E+6	
2.65	1.927E+6	2.65	1.927E+6	
2.652	1.92711E+6	2.652	1.92711E+6	
2.654	1.92862E+6	2.654	1.92862E+6	
2.656	1.92659E+6	2.656	1.92659E+6	
2.658	1.928E+6	2.658	1.928E+6	
2.66	1.92844E+6	2.66	1.92844E+6	
2.662	1.92748E+6	2.662	1.92748E+6	
2.664	1.92739E+6	2.664	1.92739E+6	
2.666	1.92734E+6	2.666	1.92734E+6	
2.668	1.92693E+6	2.668	1.92693E+6	
2.67	1.92775E+6	2.67	1.92775E+6	
2.672	1.92708E+6	2.672	1.92708E+6	
2.674	1.92766E+6	2.674	1.92766E+6	
2.676	1.92823E+6	2.676	1.92823E+6	
2.678	1.92689E+6	2.678	1.92689E+6	
2.68	1.92794E+6	2.68	1.92794E+6	
2.682	1.92687E+6	2.682	1.92687E+6	
2.684	1.92752E+6	2.684	1.92752E+6	
2.686	1.92701E+6	2.686	1.92701E+6	
2.688	1.92832E+6	2.688	1.92832E+6	
2.69	1.92716E+6	2.69	1.92716E+6	
2.692	1.92718E+6	2.692	1.92718E+6	
2.694	1.92801E+6	2.694	1.92801E+6	
2.696	1.9286E+6	2.696	1.9286E+6	
2.698	1.92771E+6	2.698	1.92771E+6	
2.7	1.92727E+6	2.7	1.92727E+6	
2.702	1.9287E+6	2.702	1.9287E+6	
2.704	1.92742E+6	2.704	1.92742E+6	
2.706	1.92754E+6	2.706	1.92754E+6	
2.708	1.92637E+6	2.708	1.92637E+6	
2.71	1.92736E+6	2.71	1.92736E+6	
2.712	1.92721E+6	2.712	1.92721E+6	
2.714	1.92748E+6	2.714	1.92748E+6	
2.716	1.92716E+6	2.716	1.92716E+6	
2.718	1.92778E+6	2.718	1.92778E+6	
2.72	1.92725E+6	2.72	1.92725E+6	
2.722	1.92719E+6	2.722	1.92719E+6	
2.724	1.92745E+6	2.724	1.92745E+6	
2.726	1.92742E+6	2.726	1.92742E+6	
2.728	1.92698E+6	2.728	1.92698E+6	
2.73	1.92731E+6	2.73	1.92731E+6	
2.732	1.92747E+6	2.732	1.92747E+6	
2.734	1.92807E+6	2.734	1.92807E+6	
2.736	1.92769E+6	2.736	1.92769E+6	
2.738	1.92807E+6	2.738	1.92807E+6	
2.74	1.92719E+6	2.74	1.92719E+6	
2.742	1.92766E+6	2.742	1.92766E+6	
2.744	1.92754E+6	2.744	1.92754E+6	
2.746	1.92734E+6	2.746	1.92734E+6	
2.748	1.92783E+6	2.748	1.92783E+6	
2.75	1.92688E+6	2.75	1.92688E+6	
2.752	1.92659E+6	2.752	1.92659E+6	
2.754	1.92764E+6	2.754	1.92764E+6	
2.756	1.92688E+6	2.756	1.92688E+6	
2.758	1.92773E+6	2.758	1.92773E+6	
2.76	1.92715E+6	2.76	1.92715E+6	
2.762	1.92752E+6	2.762	1.92752E+6	
2.764	1.92777E+6	2.764	1.92777E+6	
2.766	1.92761E+6	2.766	1.92761E+6	
2.768	1.92726E+6	2.768	1.92726E+6	
2.77	1.92708E+6	2.77	1.92708E+6	
2.772	1.92631E+6	2.772	1.92631E+6	
2.774	1.92469E+6	2.774	1.92469E+6	
2.776	1.92559E+6	2.776	1.92559E+6	
2.778	1.92449E+6	2.778	1.92449E+6	
2.78	1.92521E+6	2.78	1.92521E+6	
2.782	1.92564E+6	2.782	1.92564E+6	
2.784	1.92675E+6	2.784	1.92675E+6	
2.786	1.92554E+6	2.786	1.92554E+6	
2.788	1.92452E+6	2.788	1.92452E+6	
2.79	1.92315E+6	2.79	1.92315E+6	
2.792	1.92131E+6	2.792	1.92131E+6	
2.794	1.92021E+6	2.794	1.92021E+6	
2.796	1.92183E+6	2.796	1.92183E+6	
2.798	1.92346E+6	2.798	1.92346E+6	
2.8	1.92509E+6	2.8	1.92509E+6	
2.802	1.9258E+6	2.802	1.9258E+6	
2.804	1.92662E+6	2.804	1.92662E+6	
2.806	1.92729E+6	2.806	1.92729E+6	
2.808	1.92736E+6	2.808	1.92736E+6	
2.81	1.9277E+6	2.81	1.9277E+6	
2.812	1.928E+6	2.812	1.928E+6	
2.814	1.92737E+6	2.814	1.92737E+6	
2.816	1.92695E+6	2.816	1.92695E+6	
2.818	1.92736E+6	2.818	1.92736E+6	
2.82	1.92793E+6	2.82	1.92793E+6	
2.822	1.92823E+6	2.822	1.92823E+6	
2.824	1.92645E+6	2.824	1.92645E+6	
2.826	1.92779E+6	2.826	1.92779E+6	
2.828	1.92755E+6	2.828	1.92755E+6	
2.83	1.9281E+6	2.83	1.9281E+6	
2.832	1.92614E+6	2.832	1.92614E+6	
2.834	1.92654E+6	2.834	1.92654E+6	
2.836	1.92599E+6	2.836	1.92599E+6	
2.838	1.9261E+6	2.838	1.9261E+6	
2.84	1.92697E+6	2.84	1.92697E+6	
2.842	1.92743E+6	2.842	1.92743E+6	
2.844	1.92709E+6	2.844	1.92709E+6	
2.846	1.92741E+6	2.846	1.92741E+6	
2.848	1.92619E+6	2.848	1.92619E+6	
2.85	1.92546E+6	2.85	1.92546E+6	
