Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
50	3.50941E+6	50	3.50941E+6	
100	3.51783E+6	100	3.51783E+6	
150	3.51761E+6	150	3.51761E+6	
200	3.51689E+6	200	3.51689E+6	
250	3.51148E+6	250	3.51148E+6	
300	3.51151E+6	300	3.51151E+6	
350	3.51197E+6	350	3.51197E+6	
400	3.51151E+6	400	3.51151E+6	
450	3.51351E+6	450	3.51351E+6	
500	3.51402E+6	500	3.51402E+6	
550	3.51221E+6	550	3.51221E+6	
600	3.51349E+6	600	3.51349E+6	
650	3.51148E+6	650	3.51148E+6	
700	3.51452E+6	700	3.51452E+6	
750	3.5157E+6	750	3.5157E+6	
800	3.51307E+6	800	3.51307E+6	
850	3.51694E+6	850	3.51694E+6	
900	3.51687E+6	900	3.51687E+6	
950	3.51204E+6	950	3.51204E+6	
1000	3.51763E+6	1000	3.51763E+6	
1050	3.51316E+6	1050	3.51316E+6	
