Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0	1.08622E+6	0	1.07549E+6	
4E-6	1.08386E+6	4E-6	1.07961E+6	
8E-6	1.08412E+6	8E-6	1.08561E+6	
1.2E-5	1.07959E+6	1.2E-5	1.08972E+6	
1.6E-5	1.07967E+6	1.6E-5	1.09242E+6	
2E-5	1.07768E+6	2E-5	1.09527E+6	
2.4E-5	1.07422E+6	2.4E-5	1.10153E+6	
2.8E-5	1.08105E+6	2.8E-5	1.10358E+6	
3.2E-5	1.07983E+6	3.2E-5	1.10929E+6	
3.6E-5	1.07746E+6	3.6E-5	1.10777E+6	
4E-5	1.07727E+6	4E-5	1.10928E+6	
4.4E-5	1.07219E+6	4.4E-5	1.11152E+6	
4.8E-5	1.07428E+6	4.8E-5	1.1117E+6	
5.2E-5	1.07518E+6	5.2E-5	1.1125E+6	
5.6E-5	1.07204E+6	5.6E-5	1.11765E+6	
6E-5	1.07708E+6	6E-5	1.1164E+6	
6.4E-5	1.07552E+6	6.4E-5	1.11736E+6	
6.8E-5	1.07222E+6	6.8E-5	1.11667E+6	
7.2E-5	1.07341E+6	7.2E-5	1.1203E+6	
7.6E-5	1.07418E+6	7.6E-5	1.12088E+6	
8E-5	1.07618E+6	8E-5	1.12205E+6	
8.4E-5	1.07338E+6	8.4E-5	1.12153E+6	
8.8E-5	1.07769E+6	8.8E-5	1.12216E+6	
9.2E-5	1.07359E+6	9.2E-5	1.12578E+6	
9.6E-5	1.0735E+6	9.6E-5	1.11804E+6	
0.0001	1.07194E+6	0.0001	1.12175E+6	
0.000104	1.07676E+6	0.000104	1.12471E+6	
0.000108	1.07027E+6	0.000108	1.12E+6	
0.000112	1.07485E+6	0.000112	1.12724E+6	
0.000116	1.07519E+6	0.000116	1.12591E+6	
0.00012	1.07441E+6	0.00012	1.12475E+6	
0.000124	1.07404E+6	0.000124	1.12688E+6	
0.000128	1.07025E+6	0.000128	1.12867E+6	
0.000132	1.07276E+6	0.000132	1.12916E+6	
0.000136	1.07161E+6	0.000136	1.12433E+6	
0.00014	1.07341E+6	0.00014	1.12818E+6	
0.000144	1.07005E+6	0.000144	1.12652E+6	
0.000148	1.07031E+6	0.000148	1.12739E+6	
0.000152	1.07025E+6	0.000152	1.12834E+6	
0.000156	1.0724E+6	0.000156	1.13061E+6	
0.00016	1.07338E+6	0.00016	1.12945E+6	
0.000164	1.07309E+6	0.000164	1.1292E+6	
0.000168	1.07209E+6	0.000168	1.13225E+6	
0.000172	1.0757E+6	0.000172	1.12951E+6	
0.000176	1.07069E+6	0.000176	1.13036E+6	
0.00018	1.07442E+6	0.00018	1.13213E+6	
0.000184	1.07264E+6	0.000184	1.12811E+6	
0.000188	1.0743E+6	0.000188	1.13041E+6	
0.000192	1.06846E+6	0.000192	1.12913E+6	
