Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.8	5.15633E+6	2.8	5.15633E+6	
2.80015	5.14983E+6	2.80015	5.14983E+6	
2.8003	5.1478E+6	2.8003	5.1478E+6	
2.80045	5.14949E+6	2.80045	5.14949E+6	
2.8006	5.15324E+6	2.8006	5.15324E+6	
2.80075	5.15435E+6	2.80075	5.15435E+6	
2.8009	5.15427E+6	2.8009	5.15427E+6	
2.80105	5.15076E+6	2.80105	5.15076E+6	
2.8012	5.14937E+6	2.8012	5.14937E+6	
2.80135	5.15002E+6	2.80135	5.15002E+6	
2.8015	5.15172E+6	2.8015	5.15172E+6	
2.80165	5.15355E+6	2.80165	5.15355E+6	
2.8018	5.15048E+6	2.8018	5.15048E+6	
2.80195	5.15206E+6	2.80195	5.15206E+6	
2.8021	5.15204E+6	2.8021	5.15204E+6	
2.80225	5.15214E+6	2.80225	5.15214E+6	
2.8024	5.15125E+6	2.8024	5.15125E+6	
2.80255	5.15567E+6	2.80255	5.15567E+6	
2.8027	5.15217E+6	2.8027	5.15217E+6	
2.80285	5.15398E+6	2.80285	5.15398E+6	
2.803	5.14817E+6	2.803	5.14817E+6	
2.80315	5.14855E+6	2.80315	5.14855E+6	
2.8033	5.14463E+6	2.8033	5.14463E+6	
2.80345	5.14958E+6	2.80345	5.14958E+6	
2.8036	5.15012E+6	2.8036	5.15012E+6	
2.80375	5.14594E+6	2.80375	5.14594E+6	
2.8039	5.15311E+6	2.8039	5.15311E+6	
2.80405	5.1463E+6	2.80405	5.1463E+6	
2.8042	5.14833E+6	2.8042	5.14833E+6	
2.80435	5.14421E+6	2.80435	5.14421E+6	
2.8045	5.14264E+6	2.8045	5.14264E+6	
2.80465	5.14688E+6	2.80465	5.14688E+6	
2.8048	5.14786E+6	2.8048	5.14786E+6	
2.80495	5.1417E+6	2.80495	5.1417E+6	
2.8051	5.1451E+6	2.8051	5.1451E+6	
2.80525	5.14245E+6	2.80525	5.14245E+6	
2.8054	5.14789E+6	2.8054	5.14789E+6	
2.80555	5.14123E+6	2.80555	5.14123E+6	
2.8057	5.14468E+6	2.8057	5.14468E+6	
2.80585	5.13994E+6	2.80585	5.13994E+6	
2.806	5.14415E+6	2.806	5.14415E+6	
2.80615	5.1386E+6	2.80615	5.1386E+6	
2.8063	5.14134E+6	2.8063	5.14134E+6	
2.80645	5.14236E+6	2.80645	5.14236E+6	
2.8066	5.14188E+6	2.8066	5.14188E+6	
2.80675	5.14194E+6	2.80675	5.14194E+6	
2.8069	5.13628E+6	2.8069	5.13628E+6	
2.80705	5.13657E+6	2.80705	5.13657E+6	
2.8072	5.13973E+6	2.8072	5.13973E+6	
2.80735	5.13833E+6	2.80735	5.13833E+6	
2.8075	5.13949E+6	2.8075	5.13949E+6	
2.80765	5.13719E+6	2.80765	5.13719E+6	
2.8078	5.13896E+6	2.8078	5.13896E+6	
2.80795	5.13762E+6	2.80795	5.13762E+6	
2.8081	5.1407E+6	2.8081	5.1407E+6	
2.80825	5.13776E+6	2.80825	5.13776E+6	
2.8084	5.13911E+6	2.8084	5.13911E+6	
2.80855	5.13642E+6	2.80855	5.13642E+6	
2.8087	5.13834E+6	2.8087	5.13834E+6	
2.80885	5.13863E+6	2.80885	5.13863E+6	
2.809	5.14244E+6	2.809	5.14244E+6	
2.80915	5.13888E+6	2.80915	5.13888E+6	
2.8093	5.13921E+6	2.8093	5.13921E+6	
2.80945	5.14066E+6	2.80945	5.14066E+6	
2.8096	5.13825E+6	2.8096	5.13825E+6	
2.80975	5.13674E+6	2.80975	5.13674E+6	
2.8099	5.13074E+6	2.8099	5.13074E+6	
2.81005	5.13986E+6	2.81005	5.13986E+6	
2.8102	5.14003E+6	2.8102	5.14003E+6	
2.81035	5.13763E+6	2.81035	5.13763E+6	
2.8105	5.14029E+6	2.8105	5.14029E+6	
2.81065	5.13881E+6	2.81065	5.13881E+6	
2.8108	5.14468E+6	2.8108	5.14468E+6	
2.81095	5.14188E+6	2.81095	5.14188E+6	
2.8111	5.14546E+6	2.8111	5.14546E+6	
2.81125	5.14155E+6	2.81125	5.14155E+6	
2.8114	5.13881E+6	2.8114	5.13881E+6	
2.81155	5.14139E+6	2.81155	5.14139E+6	
