Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.6	5.05914E+6	2.6	5.05914E+6	
2.6012	5.05738E+6	2.6012	5.05738E+6	
2.6024	5.0593E+6	2.6024	5.0593E+6	
2.6036	5.06351E+6	2.6036	5.06351E+6	
2.6048	5.06741E+6	2.6048	5.06741E+6	
2.606	5.0579E+6	2.606	5.0579E+6	
2.6072	5.05642E+6	2.6072	5.05642E+6	
2.6084	5.05472E+6	2.6084	5.05472E+6	
2.6096	5.05289E+6	2.6096	5.05289E+6	
2.6108	5.05686E+6	2.6108	5.05686E+6	
2.612	5.05114E+6	2.612	5.05114E+6	
2.6132	5.05583E+6	2.6132	5.05583E+6	
2.6144	5.0457E+6	2.6144	5.0457E+6	
2.6156	5.0405E+6	2.6156	5.0405E+6	
2.6168	5.03923E+6	2.6168	5.03923E+6	
2.618	5.04405E+6	2.618	5.04405E+6	
2.6192	5.03988E+6	2.6192	5.03988E+6	
2.6204	5.04293E+6	2.6204	5.04293E+6	
2.6216	5.04453E+6	2.6216	5.04453E+6	
2.6228	5.04974E+6	2.6228	5.04974E+6	
2.624	5.05364E+6	2.624	5.05364E+6	
2.6252	5.0559E+6	2.6252	5.0559E+6	
2.6264	5.05654E+6	2.6264	5.05654E+6	
2.6276	5.05632E+6	2.6276	5.05632E+6	
2.6288	5.06003E+6	2.6288	5.06003E+6	
2.63	5.06099E+6	2.63	5.06099E+6	
2.6312	5.05897E+6	2.6312	5.05897E+6	
2.6324	5.05684E+6	2.6324	5.05684E+6	
2.6336	5.06212E+6	2.6336	5.06212E+6	
2.6348	5.0653E+6	2.6348	5.0653E+6	
2.636	5.06084E+6	2.636	5.06084E+6	
2.6372	5.06141E+6	2.6372	5.06141E+6	
2.6384	5.06161E+6	2.6384	5.06161E+6	
2.6396	5.05515E+6	2.6396	5.05515E+6	
2.6408	5.0578E+6	2.6408	5.0578E+6	
2.642	5.05956E+6	2.642	5.05956E+6	
2.6432	5.05383E+6	2.6432	5.05383E+6	
2.6444	5.0624E+6	2.6444	5.0624E+6	
2.6456	5.05965E+6	2.6456	5.05965E+6	
2.6468	5.06268E+6	2.6468	5.06268E+6	
2.648	5.05867E+6	2.648	5.05867E+6	
2.6492	5.0617E+6	2.6492	5.0617E+6	
2.6504	5.05612E+6	2.6504	5.05612E+6	
2.6516	5.0592E+6	2.6516	5.0592E+6	
2.6528	5.0619E+6	2.6528	5.0619E+6	
2.654	5.06012E+6	2.654	5.06012E+6	
2.6552	5.06527E+6	2.6552	5.06527E+6	
2.6564	5.06114E+6	2.6564	5.06114E+6	
2.6576	5.06287E+6	2.6576	5.06287E+6	
2.6588	5.0595E+6	2.6588	5.0595E+6	
2.66	5.05857E+6	2.66	5.05857E+6	
2.6612	5.05904E+6	2.6612	5.05904E+6	
2.6624	5.05811E+6	2.6624	5.05811E+6	
2.6636	5.06103E+6	2.6636	5.06103E+6	
2.6648	5.06128E+6	2.6648	5.06128E+6	
2.666	5.05738E+6	2.666	5.05738E+6	
2.6672	5.0654E+6	2.6672	5.0654E+6	
2.6684	5.05773E+6	2.6684	5.05773E+6	
2.6696	5.06038E+6	2.6696	5.06038E+6	
2.6708	5.06174E+6	2.6708	5.06174E+6	
2.672	5.06441E+6	2.672	5.06441E+6	
2.6732	5.06246E+6	2.6732	5.06246E+6	
2.6744	5.06237E+6	2.6744	5.06237E+6	
2.6756	5.05635E+6	2.6756	5.05635E+6	
2.6768	5.05825E+6	2.6768	5.05825E+6	
2.678	5.06043E+6	2.678	5.06043E+6	
2.6792	5.05789E+6	2.6792	5.05789E+6	
2.6804	5.06052E+6	2.6804	5.06052E+6	
2.6816	5.06216E+6	2.6816	5.06216E+6	
2.6828	5.0591E+6	2.6828	5.0591E+6	
2.684	5.05998E+6	2.684	5.05998E+6	
2.6852	5.06011E+6	2.6852	5.06011E+6	
2.6864	5.05743E+6	2.6864	5.05743E+6	
2.6876	5.0575E+6	2.6876	5.0575E+6	
2.6888	5.06025E+6	2.6888	5.06025E+6	
2.69	5.06274E+6	2.69	5.06274E+6	
2.6912	5.05928E+6	2.6912	5.05928E+6	
2.6924	5.05682E+6	2.6924	5.05682E+6	
2.6936	5.05759E+6	2.6936	5.05759E+6	
2.6948	5.06092E+6	2.6948	5.06092E+6	
2.696	5.05863E+6	2.696	5.05863E+6	
2.6972	5.05805E+6	2.6972	5.05805E+6	
2.6984	5.05919E+6	2.6984	5.05919E+6	
2.6996	5.05805E+6	2.6996	5.05805E+6	
2.7008	5.06075E+6	2.7008	5.06075E+6	
2.702	5.06182E+6	2.702	5.06182E+6	
2.7032	5.06266E+6	2.7032	5.06266E+6	
2.7044	5.05731E+6	2.7044	5.05731E+6	
2.7056	5.06241E+6	2.7056	5.06241E+6	
2.7068	5.06378E+6	2.7068	5.06378E+6	
2.708	5.05934E+6	2.708	5.05934E+6	
2.7092	5.05959E+6	2.7092	5.05959E+6	
2.7104	5.06548E+6	2.7104	5.06548E+6	
2.7116	5.06022E+6	2.7116	5.06022E+6	
2.7128	5.06234E+6	2.7128	5.06234E+6	
2.714	5.06584E+6	2.714	5.06584E+6	
2.7152	5.06188E+6	2.7152	5.06188E+6	
2.7164	5.06193E+6	2.7164	5.06193E+6	
2.7176	5.05949E+6	2.7176	5.05949E+6	
2.7188	5.06093E+6	2.7188	5.06093E+6	
2.72	5.06252E+6	2.72	5.06252E+6	
2.7212	5.06101E+6	2.7212	5.06101E+6	
2.7224	5.06159E+6	2.7224	5.06159E+6	
2.7236	5.06289E+6	2.7236	5.06289E+6	
2.7248	5.06054E+6	2.7248	5.06054E+6	
2.726	5.06305E+6	2.726	5.06305E+6	
2.7272	5.0605E+6	2.7272	5.0605E+6	
2.7284	5.0637E+6	2.7284	5.0637E+6	
2.7296	5.06518E+6	2.7296	5.06518E+6	
2.7308	5.05505E+6	2.7308	5.05505E+6	
2.732	5.06056E+6	2.732	5.06056E+6	
2.7332	5.06137E+6	2.7332	5.06137E+6	
2.7344	5.06202E+6	2.7344	5.06202E+6	
2.7356	5.06154E+6	2.7356	5.06154E+6	
2.7368	5.06228E+6	2.7368	5.06228E+6	
2.738	5.05964E+6	2.738	5.05964E+6	
2.7392	5.06336E+6	2.7392	5.06336E+6	
2.7404	5.05554E+6	2.7404	5.05554E+6	
2.7416	5.0574E+6	2.7416	5.0574E+6	
2.7428	5.05881E+6	2.7428	5.05881E+6	
2.744	5.06342E+6	2.744	5.06342E+6	
2.7452	5.061E+6	2.7452	5.061E+6	
2.7464	5.05531E+6	2.7464	5.05531E+6	
2.7476	5.05839E+6	2.7476	5.05839E+6	
2.7488	5.05426E+6	2.7488	5.05426E+6	
2.75	5.05115E+6	2.75	5.05115E+6	
2.7512	5.04895E+6	2.7512	5.04895E+6	
2.7524	5.04689E+6	2.7524	5.04689E+6	
2.7536	5.04472E+6	2.7536	5.04472E+6	
2.7548	5.04024E+6	2.7548	5.04024E+6	
2.756	5.04763E+6	2.756	5.04763E+6	
2.7572	5.04962E+6	2.7572	5.04962E+6	
2.7584	5.04998E+6	2.7584	5.04998E+6	
2.7596	5.05281E+6	2.7596	5.05281E+6	
2.7608	5.05433E+6	2.7608	5.05433E+6	
2.762	5.05733E+6	2.762	5.05733E+6	
2.7632	5.05822E+6	2.7632	5.05822E+6	
2.7644	5.06259E+6	2.7644	5.06259E+6	
2.7656	5.06118E+6	2.7656	5.06118E+6	
2.7668	5.05826E+6	2.7668	5.05826E+6	
2.768	5.05892E+6	2.768	5.05892E+6	
2.7692	5.06176E+6	2.7692	5.06176E+6	
2.7704	5.05931E+6	2.7704	5.05931E+6	
2.7716	5.06196E+6	2.7716	5.06196E+6	
2.7728	5.05745E+6	2.7728	5.05745E+6	
2.774	5.05617E+6	2.774	5.05617E+6	
2.7752	5.05972E+6	2.7752	5.05972E+6	
2.7764	5.05932E+6	2.7764	5.05932E+6	
2.7776	5.06454E+6	2.7776	5.06454E+6	
2.7788	5.06122E+6	2.7788	5.06122E+6	
2.78	5.06038E+6	2.78	5.06038E+6	
2.7812	5.05901E+6	2.7812	5.05901E+6	
2.7824	5.05941E+6	2.7824	5.05941E+6	
2.7836	5.05519E+6	2.7836	5.05519E+6	
2.7848	5.05701E+6	2.7848	5.05701E+6	
2.786	5.06025E+6	2.786	5.06025E+6	
2.7872	5.04947E+6	2.7872	5.04947E+6	
2.7884	5.04646E+6	2.7884	5.04646E+6	
2.7896	5.04579E+6	2.7896	5.04579E+6	
2.7908	5.04123E+6	2.7908	5.04123E+6	
2.792	5.04443E+6	2.792	5.04443E+6	
2.7932	5.04161E+6	2.7932	5.04161E+6	
2.7944	5.04526E+6	2.7944	5.04526E+6	
2.7956	5.04595E+6	2.7956	5.04595E+6	
2.7968	5.04899E+6	2.7968	5.04899E+6	
2.798	5.05117E+6	2.798	5.05117E+6	
2.7992	5.05297E+6	2.7992	5.05297E+6	
2.8004	5.05581E+6	2.8004	5.05581E+6	
2.8016	5.05894E+6	2.8016	5.05894E+6	
2.8028	5.05867E+6	2.8028	5.05867E+6	
2.804	5.05916E+6	2.804	5.05916E+6	
2.8052	5.05547E+6	2.8052	5.05547E+6	
2.8064	5.05715E+6	2.8064	5.05715E+6	
2.8076	5.05953E+6	2.8076	5.05953E+6	
2.8088	5.05885E+6	2.8088	5.05885E+6	
2.81	5.06488E+6	2.81	5.06488E+6	
2.8112	5.06032E+6	2.8112	5.06032E+6	
2.8124	5.0604E+6	2.8124	5.0604E+6	
2.8136	5.0617E+6	2.8136	5.0617E+6	
2.8148	5.06002E+6	2.8148	5.06002E+6	
2.816	5.05645E+6	2.816	5.05645E+6	
2.8172	5.05823E+6	2.8172	5.05823E+6	
2.8184	5.06285E+6	2.8184	5.06285E+6	
2.8196	5.0577E+6	2.8196	5.0577E+6	
2.8208	5.06204E+6	2.8208	5.06204E+6	
2.822	5.05878E+6	2.822	5.05878E+6	
2.8232	5.06075E+6	2.8232	5.06075E+6	
2.8244	5.06052E+6	2.8244	5.06052E+6	
2.8256	5.06002E+6	2.8256	5.06002E+6	
2.8268	5.05785E+6	2.8268	5.05785E+6	
2.828	5.05936E+6	2.828	5.05936E+6	
2.8292	5.06047E+6	2.8292	5.06047E+6	
2.8304	5.06355E+6	2.8304	5.06355E+6	
2.8316	5.06448E+6	2.8316	5.06448E+6	
2.8328	5.05635E+6	2.8328	5.05635E+6	
2.834	5.06252E+6	2.834	5.06252E+6	
2.8352	5.06097E+6	2.8352	5.06097E+6	
2.8364	5.05479E+6	2.8364	5.05479E+6	
2.8376	5.0635E+6	2.8376	5.0635E+6	
2.8388	5.06459E+6	2.8388	5.06459E+6	
2.84	5.0602E+6	2.84	5.0602E+6	
2.8412	5.06366E+6	2.8412	5.06366E+6	
2.8424	5.0607E+6	2.8424	5.0607E+6	
2.8436	5.05382E+6	2.8436	5.05382E+6	
2.8448	5.06088E+6	2.8448	5.06088E+6	
2.846	5.05983E+6	2.846	5.05983E+6	
2.8472	5.05987E+6	2.8472	5.05987E+6	
2.8484	5.0597E+6	2.8484	5.0597E+6	
2.8496	5.05855E+6	2.8496	5.05855E+6	
2.8508	5.05768E+6	2.8508	5.05768E+6	
2.852	5.06332E+6	2.852	5.06332E+6	
2.8532	5.06123E+6	2.8532	5.06123E+6	
2.8544	5.06625E+6	2.8544	5.06625E+6	
2.8556	5.05882E+6	2.8556	5.05882E+6	
2.8568	5.06403E+6	2.8568	5.06403E+6	
2.858	5.06019E+6	2.858	5.06019E+6	
2.8592	5.06132E+6	2.8592	5.06132E+6	
2.8604	5.06268E+6	2.8604	5.06268E+6	
2.8616	5.05917E+6	2.8616	5.05917E+6	
2.8628	5.05319E+6	2.8628	5.05319E+6	
2.864	5.06077E+6	2.864	5.06077E+6	
2.8652	5.06096E+6	2.8652	5.06096E+6	
2.8664	5.05963E+6	2.8664	5.05963E+6	
2.8676	5.06548E+6	2.8676	5.06548E+6	
2.8688	5.05863E+6	2.8688	5.05863E+6	
2.87	5.05903E+6	2.87	5.05903E+6	
2.8712	5.06117E+6	2.8712	5.06117E+6	
2.8724	5.06214E+6	2.8724	5.06214E+6	
2.8736	5.06415E+6	2.8736	5.06415E+6	
2.8748	5.058E+6	2.8748	5.058E+6	
2.876	5.05598E+6	2.876	5.05598E+6	
2.8772	5.06089E+6	2.8772	5.06089E+6	
2.8784	5.06319E+6	2.8784	5.06319E+6	
2.8796	5.06161E+6	2.8796	5.06161E+6	
2.8808	5.05946E+6	2.8808	5.05946E+6	
2.882	5.06022E+6	2.882	5.06022E+6	
2.8832	5.05642E+6	2.8832	5.05642E+6	
2.8844	5.06112E+6	2.8844	5.06112E+6	
2.8856	5.05905E+6	2.8856	5.05905E+6	
2.8868	5.05453E+6	2.8868	5.05453E+6	
2.888	5.05502E+6	2.888	5.05502E+6	
2.8892	5.05337E+6	2.8892	5.05337E+6	
2.8904	5.05297E+6	2.8904	5.05297E+6	
2.8916	5.04866E+6	2.8916	5.04866E+6	
2.8928	5.04673E+6	2.8928	5.04673E+6	
2.894	5.04798E+6	2.894	5.04798E+6	
2.8952	5.04263E+6	2.8952	5.04263E+6	
2.8964	5.04189E+6	2.8964	5.04189E+6	
2.8976	5.04806E+6	2.8976	5.04806E+6	
2.8988	5.04772E+6	2.8988	5.04772E+6	
2.9	5.05082E+6	2.9	5.05082E+6	
2.9012	5.05865E+6	2.9012	5.05865E+6	
2.9024	5.06096E+6	2.9024	5.06096E+6	
2.9036	5.05529E+6	2.9036	5.05529E+6	
2.9048	5.05984E+6	2.9048	5.05984E+6	
2.906	5.05792E+6	2.906	5.05792E+6	
2.9072	5.06221E+6	2.9072	5.06221E+6	
2.9084	5.05766E+6	2.9084	5.05766E+6	
2.9096	5.06208E+6	2.9096	5.06208E+6	
2.9108	5.05194E+6	2.9108	5.05194E+6	
2.912	5.06132E+6	2.912	5.06132E+6	
2.9132	5.05815E+6	2.9132	5.05815E+6	
2.9144	5.06174E+6	2.9144	5.06174E+6	
2.9156	5.05618E+6	2.9156	5.05618E+6	
2.9168	5.05415E+6	2.9168	5.05415E+6	
2.918	5.05005E+6	2.918	5.05005E+6	
2.9192	5.04318E+6	2.9192	5.04318E+6	
2.9204	5.04186E+6	2.9204	5.04186E+6	
2.9216	5.03853E+6	2.9216	5.03853E+6	
2.9228	5.0303E+6	2.9228	5.0303E+6	
2.924	5.03781E+6	2.924	5.03781E+6	
2.9252	5.04301E+6	2.9252	5.04301E+6	
2.9264	5.04724E+6	2.9264	5.04724E+6	
2.9276	5.04784E+6	2.9276	5.04784E+6	
2.9288	5.04912E+6	2.9288	5.04912E+6	
2.93	5.05271E+6	2.93	5.05271E+6	
2.9312	5.05718E+6	2.9312	5.05718E+6	
2.9324	5.05709E+6	2.9324	5.05709E+6	
2.9336	5.06E+6	2.9336	5.06E+6	
2.9348	5.06467E+6	2.9348	5.06467E+6	
2.936	5.05946E+6	2.936	5.05946E+6	
2.9372	5.05866E+6	2.9372	5.05866E+6	
2.9384	5.05802E+6	2.9384	5.05802E+6	
2.9396	5.06011E+6	2.9396	5.06011E+6	
2.9408	5.06596E+6	2.9408	5.06596E+6	
2.942	5.06198E+6	2.942	5.06198E+6	
2.9432	5.05764E+6	2.9432	5.05764E+6	
2.9444	5.06241E+6	2.9444	5.06241E+6	
2.9456	5.06405E+6	2.9456	5.06405E+6	
2.9468	5.05796E+6	2.9468	5.05796E+6	
2.948	5.05945E+6	2.948	5.05945E+6	
2.9492	5.05754E+6	2.9492	5.05754E+6	
2.9504	5.06317E+6	2.9504	5.06317E+6	
2.9516	5.06233E+6	2.9516	5.06233E+6	
2.9528	5.06035E+6	2.9528	5.06035E+6	
