Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.648	2.68556E+6	2.648	2.68556E+6	
2.6481	2.68396E+6	2.6481	2.68396E+6	
2.6482	2.68453E+6	2.6482	2.68453E+6	
2.6483	2.68413E+6	2.6483	2.68413E+6	
2.6484	2.68914E+6	2.6484	2.68914E+6	
2.6485	2.68039E+6	2.6485	2.68039E+6	
2.6486	2.68033E+6	2.6486	2.68033E+6	
2.6487	2.67989E+6	2.6487	2.67989E+6	
2.6488	2.68159E+6	2.6488	2.68159E+6	
2.6489	2.68112E+6	2.6489	2.68112E+6	
2.649	2.68744E+6	2.649	2.68744E+6	
2.6491	2.68818E+6	2.6491	2.68818E+6	
2.6492	2.68531E+6	2.6492	2.68531E+6	
2.6493	2.68026E+6	2.6493	2.68026E+6	
2.6494	2.68017E+6	2.6494	2.68017E+6	
2.6495	2.6697E+6	2.6495	2.6697E+6	
2.6496	2.67199E+6	2.6496	2.67199E+6	
2.6497	2.6717E+6	2.6497	2.6717E+6	
2.6498	2.67165E+6	2.6498	2.67165E+6	
2.6499	2.67296E+6	2.6499	2.67296E+6	
2.65	2.67572E+6	2.65	2.67572E+6	
2.6501	2.67519E+6	2.6501	2.67519E+6	
2.6502	2.68183E+6	2.6502	2.68183E+6	
2.6503	2.67959E+6	2.6503	2.67959E+6	
2.6504	2.68085E+6	2.6504	2.68085E+6	
2.6505	2.68285E+6	2.6505	2.68285E+6	
2.6506	2.68747E+6	2.6506	2.68747E+6	
2.6507	2.67819E+6	2.6507	2.67819E+6	
2.6508	2.67562E+6	2.6508	2.67562E+6	
2.6509	2.67569E+6	2.6509	2.67569E+6	
2.651	2.67759E+6	2.651	2.67759E+6	
2.6511	2.68811E+6	2.6511	2.68811E+6	
2.6512	2.68207E+6	2.6512	2.68207E+6	
2.6513	2.6774E+6	2.6513	2.6774E+6	
2.6514	2.67796E+6	2.6514	2.67796E+6	
2.6515	2.67982E+6	2.6515	2.67982E+6	
2.6516	2.67078E+6	2.6516	2.67078E+6	
2.6517	2.66608E+6	2.6517	2.66608E+6	
2.6518	2.66282E+6	2.6518	2.66282E+6	
2.6519	2.65693E+6	2.6519	2.65693E+6	
2.652	2.66955E+6	2.652	2.66955E+6	
2.6521	2.67404E+6	2.6521	2.67404E+6	
2.6522	2.67652E+6	2.6522	2.67652E+6	
2.6523	2.67922E+6	2.6523	2.67922E+6	
2.6524	2.68001E+6	2.6524	2.68001E+6	
2.6525	2.68232E+6	2.6525	2.68232E+6	
2.6526	2.68043E+6	2.6526	2.68043E+6	
2.6527	2.67749E+6	2.6527	2.67749E+6	
2.6528	2.67971E+6	2.6528	2.67971E+6	
2.6529	2.67896E+6	2.6529	2.67896E+6	
2.653	2.67951E+6	2.653	2.67951E+6	
2.6531	2.68231E+6	2.6531	2.68231E+6	
2.6532	2.67915E+6	2.6532	2.67915E+6	
2.6533	2.67743E+6	2.6533	2.67743E+6	
2.6534	2.67779E+6	2.6534	2.67779E+6	
2.6535	2.67908E+6	2.6535	2.67908E+6	
2.6536	2.6697E+6	2.6536	2.6697E+6	
2.6537	2.66573E+6	2.6537	2.66573E+6	
2.6538	2.65261E+6	2.6538	2.65261E+6	
2.6539	2.62916E+6	2.6539	2.62916E+6	
2.654	2.61547E+6	2.654	2.61547E+6	
2.6541	2.62658E+6	2.6541	2.62658E+6	
2.6542	2.64422E+6	2.6542	2.64422E+6	
2.6543	2.66416E+6	2.6543	2.66416E+6	
2.6544	2.67482E+6	2.6544	2.67482E+6	
2.6545	2.67384E+6	2.6545	2.67384E+6	
2.6546	2.67907E+6	2.6546	2.67907E+6	
2.6547	2.67671E+6	2.6547	2.67671E+6	
2.6548	2.67837E+6	2.6548	2.67837E+6	
2.6549	2.67828E+6	2.6549	2.67828E+6	
2.655	2.69123E+6	2.655	2.69123E+6	
2.6551	2.68812E+6	2.6551	2.68812E+6	
2.6552	2.67908E+6	2.6552	2.67908E+6	
2.6553	2.68339E+6	2.6553	2.68339E+6	
2.6554	2.68524E+6	2.6554	2.68524E+6	
2.6555	2.67649E+6	2.6555	2.67649E+6	
2.6556	2.6848E+6	2.6556	2.6848E+6	
2.6557	2.68344E+6	2.6557	2.68344E+6	
2.6558	2.68354E+6	2.6558	2.68354E+6	
2.6559	2.68781E+6	2.6559	2.68781E+6	
2.656	2.6844E+6	2.656	2.6844E+6	
