Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.648	2.59661E+6	2.648	2.59661E+6	
2.64804	2.59426E+6	2.64804	2.59426E+6	
2.64808	2.59193E+6	2.64808	2.59193E+6	
2.64812	2.59324E+6	2.64812	2.59324E+6	
2.64816	2.59793E+6	2.64816	2.59793E+6	
2.6482	2.59304E+6	2.6482	2.59304E+6	
2.64824	2.59289E+6	2.64824	2.59289E+6	
2.64828	2.59639E+6	2.64828	2.59639E+6	
2.64832	2.59684E+6	2.64832	2.59684E+6	
2.64836	2.59283E+6	2.64836	2.59283E+6	
2.6484	2.59812E+6	2.6484	2.59812E+6	
2.64844	2.59277E+6	2.64844	2.59277E+6	
2.64848	2.59392E+6	2.64848	2.59392E+6	
2.64852	2.59347E+6	2.64852	2.59347E+6	
2.64856	2.59412E+6	2.64856	2.59412E+6	
2.6486	2.58999E+6	2.6486	2.58999E+6	
2.64864	2.59344E+6	2.64864	2.59344E+6	
2.64868	2.58458E+6	2.64868	2.58458E+6	
2.64872	2.58742E+6	2.64872	2.58742E+6	
2.64876	2.58868E+6	2.64876	2.58868E+6	
2.6488	2.59107E+6	2.6488	2.59107E+6	
2.64884	2.58601E+6	2.64884	2.58601E+6	
2.64888	2.58694E+6	2.64888	2.58694E+6	
2.64892	2.58384E+6	2.64892	2.58384E+6	
2.64896	2.58372E+6	2.64896	2.58372E+6	
2.649	2.57732E+6	2.649	2.57732E+6	
2.64904	2.57478E+6	2.64904	2.57478E+6	
2.64908	2.575E+6	2.64908	2.575E+6	
2.64912	2.57478E+6	2.64912	2.57478E+6	
2.64916	2.57175E+6	2.64916	2.57175E+6	
2.6492	2.566E+6	2.6492	2.566E+6	
2.64924	2.56649E+6	2.64924	2.56649E+6	
2.64928	2.5573E+6	2.64928	2.5573E+6	
2.64932	2.55773E+6	2.64932	2.55773E+6	
2.64936	2.54998E+6	2.64936	2.54998E+6	
2.6494	2.54224E+6	2.6494	2.54224E+6	
2.64944	2.53547E+6	2.64944	2.53547E+6	
2.64948	2.53415E+6	2.64948	2.53415E+6	
2.64952	2.52333E+6	2.64952	2.52333E+6	
2.64956	2.52461E+6	2.64956	2.52461E+6	
2.6496	2.51692E+6	2.6496	2.51692E+6	
2.64964	2.51475E+6	2.64964	2.51475E+6	
2.64968	2.5115E+6	2.64968	2.5115E+6	
2.64972	2.51479E+6	2.64972	2.51479E+6	
2.64976	2.51692E+6	2.64976	2.51692E+6	
2.6498	2.51764E+6	2.6498	2.51764E+6	
2.64984	2.52225E+6	2.64984	2.52225E+6	
2.64988	2.53422E+6	2.64988	2.53422E+6	
2.64992	2.53338E+6	2.64992	2.53338E+6	
2.64996	2.54037E+6	2.64996	2.54037E+6	
2.65	2.54419E+6	2.65	2.54419E+6	
2.65004	2.55561E+6	2.65004	2.55561E+6	
2.65008	2.55537E+6	2.65008	2.55537E+6	
2.65012	2.55938E+6	2.65012	2.55938E+6	
2.65016	2.56547E+6	2.65016	2.56547E+6	
2.6502	2.56828E+6	2.6502	2.56828E+6	
2.65024	2.56239E+6	2.65024	2.56239E+6	
2.65028	2.5712E+6	2.65028	2.5712E+6	
2.65032	2.57597E+6	2.65032	2.57597E+6	
2.65036	2.57465E+6	2.65036	2.57465E+6	
2.6504	2.57728E+6	2.6504	2.57728E+6	
2.65044	2.57764E+6	2.65044	2.57764E+6	
2.65048	2.58051E+6	2.65048	2.58051E+6	
2.65052	2.5814E+6	2.65052	2.5814E+6	
2.65056	2.58112E+6	2.65056	2.58112E+6	
2.6506	2.57876E+6	2.6506	2.57876E+6	
2.65064	2.57685E+6	2.65064	2.57685E+6	
2.65068	2.58252E+6	2.65068	2.58252E+6	
