Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0	2.54298E+6	0	2.54298E+6	
50	2.56805E+6	50	2.56805E+6	
100	2.57209E+6	100	2.57209E+6	
150	2.57127E+6	150	2.57127E+6	
200	2.56967E+6	200	2.56967E+6	
250	2.56994E+6	250	2.56994E+6	
300	2.56932E+6	300	2.56932E+6	
350	2.56861E+6	350	2.56861E+6	
400	2.57084E+6	400	2.57084E+6	
450	2.57005E+6	450	2.57005E+6	
500	2.56995E+6	500	2.56995E+6	
550	2.5719E+6	550	2.5719E+6	
600	2.56657E+6	600	2.56657E+6	
650	2.5702E+6	650	2.5702E+6	
700	2.57026E+6	700	2.57026E+6	
750	2.56987E+6	750	2.56987E+6	
800	2.56921E+6	800	2.56921E+6	
850	2.56908E+6	850	2.56908E+6	
900	2.5691E+6	900	2.5691E+6	
950	2.5715E+6	950	2.5715E+6	
1000	2.57345E+6	1000	2.57345E+6	
