Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.639	2.99544E+6	2.639	2.99544E+6	
2.6391	2.99236E+6	2.6391	2.99236E+6	
2.6392	2.98936E+6	2.6392	2.98936E+6	
2.6393	2.98767E+6	2.6393	2.98767E+6	
2.6394	2.98736E+6	2.6394	2.98736E+6	
2.6395	2.98983E+6	2.6395	2.98983E+6	
2.6396	2.99397E+6	2.6396	2.99397E+6	
2.6397	2.98703E+6	2.6397	2.98703E+6	
2.6398	2.9774E+6	2.6398	2.9774E+6	
2.6399	2.98424E+6	2.6399	2.98424E+6	
2.64	2.97796E+6	2.64	2.97796E+6	
2.6401	2.97327E+6	2.6401	2.97327E+6	
2.6402	2.95999E+6	2.6402	2.95999E+6	
2.6403	2.951E+6	2.6403	2.951E+6	
2.6404	2.94613E+6	2.6404	2.94613E+6	
2.6405	2.93686E+6	2.6405	2.93686E+6	
2.6406	2.92931E+6	2.6406	2.92931E+6	
2.6407	2.94886E+6	2.6407	2.94886E+6	
2.6408	2.94654E+6	2.6408	2.94654E+6	
2.6409	2.95959E+6	2.6409	2.95959E+6	
2.641	2.96943E+6	2.641	2.96943E+6	
2.6411	2.96393E+6	2.6411	2.96393E+6	
2.6412	2.96535E+6	2.6412	2.96535E+6	
2.6413	2.97903E+6	2.6413	2.97903E+6	
2.6414	2.97673E+6	2.6414	2.97673E+6	
2.6415	2.98245E+6	2.6415	2.98245E+6	
2.6416	2.98066E+6	2.6416	2.98066E+6	
2.6417	2.98013E+6	2.6417	2.98013E+6	
2.6418	2.97826E+6	2.6418	2.97826E+6	
2.6419	2.97437E+6	2.6419	2.97437E+6	
2.642	2.95948E+6	2.642	2.95948E+6	
2.6421	2.96976E+6	2.6421	2.96976E+6	
2.6422	2.96772E+6	2.6422	2.96772E+6	
2.6423	2.97354E+6	2.6423	2.97354E+6	
2.6424	2.9623E+6	2.6424	2.9623E+6	
2.6425	2.94289E+6	2.6425	2.94289E+6	
2.6426	2.93308E+6	2.6426	2.93308E+6	
2.6427	2.93811E+6	2.6427	2.93811E+6	
2.6428	2.93375E+6	2.6428	2.93375E+6	
2.6429	2.93099E+6	2.6429	2.93099E+6	
2.643	2.94783E+6	2.643	2.94783E+6	
2.6431	2.96193E+6	2.6431	2.96193E+6	
2.6432	2.96847E+6	2.6432	2.96847E+6	
2.6433	2.96489E+6	2.6433	2.96489E+6	
2.6434	2.97771E+6	2.6434	2.97771E+6	
2.6435	2.9759E+6	2.6435	2.9759E+6	
2.6436	2.97351E+6	2.6436	2.97351E+6	
2.6437	2.98284E+6	2.6437	2.98284E+6	
2.6438	2.97522E+6	2.6438	2.97522E+6	
2.6439	2.97101E+6	2.6439	2.97101E+6	
2.644	2.98514E+6	2.644	2.98514E+6	
2.6441	2.97257E+6	2.6441	2.97257E+6	
2.6442	2.96843E+6	2.6442	2.96843E+6	
2.6443	2.95593E+6	2.6443	2.95593E+6	
2.6444	2.9563E+6	2.6444	2.9563E+6	
2.6445	2.93701E+6	2.6445	2.93701E+6	
2.6446	2.92478E+6	2.6446	2.92478E+6	
2.6447	2.89909E+6	2.6447	2.89909E+6	
2.6448	2.87318E+6	2.6448	2.87318E+6	
2.6449	2.87048E+6	2.6449	2.87048E+6	
2.645	2.87156E+6	2.645	2.87156E+6	
2.6451	2.90752E+6	2.6451	2.90752E+6	
2.6452	2.92023E+6	2.6452	2.92023E+6	
2.6453	2.93659E+6	2.6453	2.93659E+6	
2.6454	2.95774E+6	2.6454	2.95774E+6	
2.6455	2.9606E+6	2.6455	2.9606E+6	
2.6456	2.96632E+6	2.6456	2.96632E+6	
2.6457	2.96738E+6	2.6457	2.96738E+6	
2.6458	2.97942E+6	2.6458	2.97942E+6	
2.6459	2.98234E+6	2.6459	2.98234E+6	
2.646	2.9705E+6	2.646	2.9705E+6	
2.6461	2.98246E+6	2.6461	2.98246E+6	
2.6462	2.97533E+6	2.6462	2.97533E+6	
2.6463	2.98325E+6	2.6463	2.98325E+6	
2.6464	2.98723E+6	2.6464	2.98723E+6	
2.6465	2.99487E+6	2.6465	2.99487E+6	
2.6466	2.99251E+6	2.6466	2.99251E+6	
2.6467	2.99612E+6	2.6467	2.99612E+6	
2.6468	2.99287E+6	2.6468	2.99287E+6	
2.6469	2.99373E+6	2.6469	2.99373E+6	
2.647	2.98522E+6	2.647	2.98522E+6	
