Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.633	1.36305E+6	2.633	1.36305E+6	
2.6331	1.3632E+6	2.6331	1.3632E+6	
2.6332	1.36295E+6	2.6332	1.36295E+6	
2.6333	1.36214E+6	2.6333	1.36214E+6	
2.6334	1.36169E+6	2.6334	1.36169E+6	
2.6335	1.3612E+6	2.6335	1.3612E+6	
2.6336	1.36152E+6	2.6336	1.36152E+6	
2.6337	1.36106E+6	2.6337	1.36106E+6	
2.6338	1.36193E+6	2.6338	1.36193E+6	
2.6339	1.36186E+6	2.6339	1.36186E+6	
2.634	1.36186E+6	2.634	1.36186E+6	
2.6341	1.36063E+6	2.6341	1.36063E+6	
2.6342	1.36087E+6	2.6342	1.36087E+6	
2.6343	1.36092E+6	2.6343	1.36092E+6	
2.6344	1.36205E+6	2.6344	1.36205E+6	
2.6345	1.36138E+6	2.6345	1.36138E+6	
2.6346	1.36139E+6	2.6346	1.36139E+6	
2.6347	1.3597E+6	2.6347	1.3597E+6	
2.6348	1.36108E+6	2.6348	1.36108E+6	
2.6349	1.36077E+6	2.6349	1.36077E+6	
2.635	1.36053E+6	2.635	1.36053E+6	
2.6351	1.36092E+6	2.6351	1.36092E+6	
2.6352	1.3605E+6	2.6352	1.3605E+6	
2.6353	1.35928E+6	2.6353	1.35928E+6	
2.6354	1.35991E+6	2.6354	1.35991E+6	
2.6355	1.35812E+6	2.6355	1.35812E+6	
2.6356	1.35701E+6	2.6356	1.35701E+6	
2.6357	1.3556E+6	2.6357	1.3556E+6	
2.6358	1.35576E+6	2.6358	1.35576E+6	
2.6359	1.35778E+6	2.6359	1.35778E+6	
2.636	1.35675E+6	2.636	1.35675E+6	
2.6361	1.35813E+6	2.6361	1.35813E+6	
2.6362	1.3578E+6	2.6362	1.3578E+6	
2.6363	1.35734E+6	2.6363	1.35734E+6	
2.6364	1.35734E+6	2.6364	1.35734E+6	
2.6365	1.35689E+6	2.6365	1.35689E+6	
2.6366	1.35652E+6	2.6366	1.35652E+6	
2.6367	1.35656E+6	2.6367	1.35656E+6	
2.6368	1.35703E+6	2.6368	1.35703E+6	
2.6369	1.35693E+6	2.6369	1.35693E+6	
2.637	1.35523E+6	2.637	1.35523E+6	
2.6371	1.35466E+6	2.6371	1.35466E+6	
2.6372	1.35494E+6	2.6372	1.35494E+6	
2.6373	1.35424E+6	2.6373	1.35424E+6	
2.6374	1.35485E+6	2.6374	1.35485E+6	
2.6375	1.35351E+6	2.6375	1.35351E+6	
2.6376	1.35325E+6	2.6376	1.35325E+6	
2.6377	1.35721E+6	2.6377	1.35721E+6	
2.6378	1.35147E+6	2.6378	1.35147E+6	
2.6379	1.35011E+6	2.6379	1.35011E+6	
2.638	1.34946E+6	2.638	1.34946E+6	
2.6381	1.34896E+6	2.6381	1.34896E+6	
2.6382	1.34815E+6	2.6382	1.34815E+6	
2.6383	1.34761E+6	2.6383	1.34761E+6	
2.6384	1.34657E+6	2.6384	1.34657E+6	
2.6385	1.34566E+6	2.6385	1.34566E+6	
2.6386	1.34448E+6	2.6386	1.34448E+6	
2.6387	1.343E+6	2.6387	1.343E+6	
2.6388	1.34155E+6	2.6388	1.34155E+6	
2.6389	1.33939E+6	2.6389	1.33939E+6	
2.639	1.33797E+6	2.639	1.33797E+6	
2.6391	1.33611E+6	2.6391	1.33611E+6	
2.6392	1.33506E+6	2.6392	1.33506E+6	
2.6393	1.33282E+6	2.6393	1.33282E+6	
2.6394	1.33094E+6	2.6394	1.33094E+6	
2.6395	1.32806E+6	2.6395	1.32806E+6	
2.6396	1.32572E+6	2.6396	1.32572E+6	
2.6397	1.32255E+6	2.6397	1.32255E+6	
2.6398	1.32034E+6	2.6398	1.32034E+6	
2.6399	1.31764E+6	2.6399	1.31764E+6	
2.64	1.31539E+6	2.64	1.31539E+6	
2.6401	1.33629E+6	2.6401	1.33629E+6	
2.6402	1.31747E+6	2.6402	1.31747E+6	
2.6403	1.31538E+6	2.6403	1.31538E+6	
2.6404	1.31212E+6	2.6404	1.31212E+6	
2.6405	1.30935E+6	2.6405	1.30935E+6	
2.6406	1.30697E+6	2.6406	1.30697E+6	
2.6407	1.3052E+6	2.6407	1.3052E+6	
2.6408	1.30368E+6	2.6408	1.30368E+6	
2.6409	1.30285E+6	2.6409	1.30285E+6	
2.641	1.30278E+6	2.641	1.30278E+6	
2.6411	1.30265E+6	2.6411	1.30265E+6	
2.6412	1.30279E+6	2.6412	1.30279E+6	
2.6413	1.30268E+6	2.6413	1.30268E+6	
2.6414	1.30216E+6	2.6414	1.30216E+6	
2.6415	1.30327E+6	2.6415	1.30327E+6	
2.6416	1.30312E+6	2.6416	1.30312E+6	
2.6417	1.302E+6	2.6417	1.302E+6	
2.6418	1.30188E+6	2.6418	1.30188E+6	
2.6419	1.30143E+6	2.6419	1.30143E+6	
2.642	1.30034E+6	2.642	1.30034E+6	
2.6421	1.29807E+6	2.6421	1.29807E+6	
2.6422	1.29595E+6	2.6422	1.29595E+6	
2.6423	1.29542E+6	2.6423	1.29542E+6	
2.6424	1.29436E+6	2.6424	1.29436E+6	
2.6425	1.29332E+6	2.6425	1.29332E+6	
2.6426	1.2931E+6	2.6426	1.2931E+6	
2.6427	1.29202E+6	2.6427	1.29202E+6	
2.6428	1.29168E+6	2.6428	1.29168E+6	
2.6429	1.29068E+6	2.6429	1.29068E+6	
2.643	1.29211E+6	2.643	1.29211E+6	
2.6431	1.29241E+6	2.6431	1.29241E+6	
2.6432	1.29354E+6	2.6432	1.29354E+6	
2.6433	1.29439E+6	2.6433	1.29439E+6	
2.6434	1.29517E+6	2.6434	1.29517E+6	
2.6435	1.29722E+6	2.6435	1.29722E+6	
2.6436	1.29643E+6	2.6436	1.29643E+6	
2.6437	1.29782E+6	2.6437	1.29782E+6	
2.6438	1.29758E+6	2.6438	1.29758E+6	
2.6439	1.29851E+6	2.6439	1.29851E+6	
2.644	1.29735E+6	2.644	1.29735E+6	
2.6441	1.29808E+6	2.6441	1.29808E+6	
2.6442	1.29742E+6	2.6442	1.29742E+6	
2.6443	1.29654E+6	2.6443	1.29654E+6	
2.6444	1.29524E+6	2.6444	1.29524E+6	
2.6445	1.29578E+6	2.6445	1.29578E+6	
2.6446	1.29531E+6	2.6446	1.29531E+6	
2.6447	1.2941E+6	2.6447	1.2941E+6	
2.6448	1.29455E+6	2.6448	1.29455E+6	
2.6449	1.29477E+6	2.6449	1.29477E+6	
2.645	1.29634E+6	2.645	1.29634E+6	
2.6451	1.29655E+6	2.6451	1.29655E+6	
2.6452	1.29872E+6	2.6452	1.29872E+6	
2.6453	1.30003E+6	2.6453	1.30003E+6	
2.6454	1.30261E+6	2.6454	1.30261E+6	
2.6455	1.30432E+6	2.6455	1.30432E+6	
2.6456	1.30698E+6	2.6456	1.30698E+6	
2.6457	1.30896E+6	2.6457	1.30896E+6	
2.6458	1.31227E+6	2.6458	1.31227E+6	
2.6459	1.31491E+6	2.6459	1.31491E+6	
2.646	1.31656E+6	2.646	1.31656E+6	
2.6461	1.3208E+6	2.6461	1.3208E+6	
2.6462	1.32263E+6	2.6462	1.32263E+6	
2.6463	1.32548E+6	2.6463	1.32548E+6	
2.6464	1.32688E+6	2.6464	1.32688E+6	
2.6465	1.32938E+6	2.6465	1.32938E+6	
2.6466	1.33007E+6	2.6466	1.33007E+6	
2.6467	1.33303E+6	2.6467	1.33303E+6	
2.6468	1.33352E+6	2.6468	1.33352E+6	
2.6469	1.33572E+6	2.6469	1.33572E+6	
2.647	1.33808E+6	2.647	1.33808E+6	
2.6471	1.33911E+6	2.6471	1.33911E+6	
2.6472	1.3397E+6	2.6472	1.3397E+6	
2.6473	1.34053E+6	2.6473	1.34053E+6	
2.6474	1.34054E+6	2.6474	1.34054E+6	
2.6475	1.33965E+6	2.6475	1.33965E+6	
2.6476	1.34246E+6	2.6476	1.34246E+6	
2.6477	1.34427E+6	2.6477	1.34427E+6	
2.6478	1.3459E+6	2.6478	1.3459E+6	
2.6479	1.34667E+6	2.6479	1.34667E+6	
2.648	1.34823E+6	2.648	1.34823E+6	
2.6481	1.3489E+6	2.6481	1.3489E+6	
2.6482	1.34892E+6	2.6482	1.34892E+6	
2.6483	1.35081E+6	2.6483	1.35081E+6	
2.6484	1.34982E+6	2.6484	1.34982E+6	
2.6485	1.35066E+6	2.6485	1.35066E+6	
2.6486	1.35171E+6	2.6486	1.35171E+6	
2.6487	1.35159E+6	2.6487	1.35159E+6	
2.6488	1.35198E+6	2.6488	1.35198E+6	
2.6489	1.35278E+6	2.6489	1.35278E+6	
2.649	1.35396E+6	2.649	1.35396E+6	
2.6491	1.35347E+6	2.6491	1.35347E+6	
2.6492	1.35423E+6	2.6492	1.35423E+6	
2.6493	1.35442E+6	2.6493	1.35442E+6	
2.6494	1.35464E+6	2.6494	1.35464E+6	
2.6495	1.35507E+6	2.6495	1.35507E+6	
2.6496	1.35565E+6	2.6496	1.35565E+6	
2.6497	1.35536E+6	2.6497	1.35536E+6	
2.6498	1.3561E+6	2.6498	1.3561E+6	
2.6499	1.35656E+6	2.6499	1.35656E+6	
2.65	1.35693E+6	2.65	1.35693E+6	
2.6501	1.35701E+6	2.6501	1.35701E+6	
2.6502	1.35708E+6	2.6502	1.35708E+6	
2.6503	1.35612E+6	2.6503	1.35612E+6	
2.6504	1.3568E+6	2.6504	1.3568E+6	
2.6505	1.35769E+6	2.6505	1.35769E+6	
2.6506	1.35919E+6	2.6506	1.35919E+6	
2.6507	1.35835E+6	2.6507	1.35835E+6	
2.6508	1.35815E+6	2.6508	1.35815E+6	
2.6509	1.35886E+6	2.6509	1.35886E+6	
2.651	1.35856E+6	2.651	1.35856E+6	
2.6511	1.35812E+6	2.6511	1.35812E+6	
2.6512	1.35863E+6	2.6512	1.35863E+6	
2.6513	1.35943E+6	2.6513	1.35943E+6	
2.6514	1.35999E+6	2.6514	1.35999E+6	
2.6515	1.35957E+6	2.6515	1.35957E+6	
2.6516	1.36016E+6	2.6516	1.36016E+6	
2.6517	1.35959E+6	2.6517	1.35959E+6	
2.6518	1.3586E+6	2.6518	1.3586E+6	
2.6519	1.36123E+6	2.6519	1.36123E+6	
2.652	1.35955E+6	2.652	1.35955E+6	
2.6521	1.36106E+6	2.6521	1.36106E+6	
2.6522	1.36075E+6	2.6522	1.36075E+6	
2.6523	1.36098E+6	2.6523	1.36098E+6	
2.6524	1.36058E+6	2.6524	1.36058E+6	
2.6525	1.36098E+6	2.6525	1.36098E+6	
2.6526	1.36079E+6	2.6526	1.36079E+6	
2.6527	1.36155E+6	2.6527	1.36155E+6	
2.6528	1.36055E+6	2.6528	1.36055E+6	
2.6529	1.36176E+6	2.6529	1.36176E+6	
2.653	1.36159E+6	2.653	1.36159E+6	
