Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
400	778174	400	778174	
900	779804	900	779804	
1400	780647	1400	780647	
1900	781778	1900	781778	
2400	782893	2400	782893	
2900	784020	2900	784020	
3400	784571	3400	784571	
3900	784566	3900	784566	
4400	785857	4400	785857	
4900	785221	4900	785221	
5400	785818	5400	785818	
5900	786753	5900	786753	
6400	786386	6400	786386	
6900	787133	6900	787133	
7400	786574	7400	786574	
7900	787006	7900	787006	
8400	787189	8400	787189	
8900	786540	8900	786540	
9400	787730	9400	787730	
9900	787714	9900	787714	
10400	787229	10400	787229	
