Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
100	2.41374E+6	100	2.41374E+6	
200	2.41071E+6	200	2.41071E+6	
300	2.40636E+6	300	2.40636E+6	
400	2.40611E+6	400	2.40611E+6	
500	2.40648E+6	500	2.40648E+6	
600	2.40361E+6	600	2.40361E+6	
700	2.40419E+6	700	2.40419E+6	
800	2.40321E+6	800	2.40321E+6	
900	2.40357E+6	900	2.40357E+6	
1000	2.40257E+6	1000	2.40257E+6	
1100	2.40308E+6	1100	2.40308E+6	
1200	2.40303E+6	1200	2.40303E+6	
1300	2.40293E+6	1300	2.40293E+6	
1400	2.40201E+6	1400	2.40201E+6	
1500	2.40153E+6	1500	2.40153E+6	
1600	2.4019E+6	1600	2.4019E+6	
1700	2.40216E+6	1700	2.40216E+6	
1800	2.40312E+6	1800	2.40312E+6	
1900	2.40255E+6	1900	2.40255E+6	
2000	2.40249E+6	2000	2.40249E+6	
2100	2.40294E+6	2100	2.40294E+6	
