Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.6385	2.1664E+6	2.6385	2.1664E+6	
2.6386	2.16516E+6	2.6386	2.16516E+6	
2.6387	2.16552E+6	2.6387	2.16552E+6	
2.6388	2.16524E+6	2.6388	2.16524E+6	
2.6389	2.16773E+6	2.6389	2.16773E+6	
2.639	2.16124E+6	2.639	2.16124E+6	
2.6391	2.16601E+6	2.6391	2.16601E+6	
2.6392	2.16989E+6	2.6392	2.16989E+6	
2.6393	2.16148E+6	2.6393	2.16148E+6	
2.6394	2.16806E+6	2.6394	2.16806E+6	
2.6395	2.16089E+6	2.6395	2.16089E+6	
2.6396	2.16172E+6	2.6396	2.16172E+6	
2.6397	2.15728E+6	2.6397	2.15728E+6	
2.6398	2.15271E+6	2.6398	2.15271E+6	
2.6399	2.15081E+6	2.6399	2.15081E+6	
2.64	2.14316E+6	2.64	2.14316E+6	
2.6401	2.1373E+6	2.6401	2.1373E+6	
2.6402	2.1356E+6	2.6402	2.1356E+6	
2.6403	2.11996E+6	2.6403	2.11996E+6	
2.6404	2.11174E+6	2.6404	2.11174E+6	
2.6405	2.11432E+6	2.6405	2.11432E+6	
2.6406	2.11808E+6	2.6406	2.11808E+6	
2.6407	2.12549E+6	2.6407	2.12549E+6	
2.6408	2.13053E+6	2.6408	2.13053E+6	
2.6409	2.13943E+6	2.6409	2.13943E+6	
2.641	2.14955E+6	2.641	2.14955E+6	
2.6411	2.14786E+6	2.6411	2.14786E+6	
2.6412	2.14471E+6	2.6412	2.14471E+6	
2.6413	2.14843E+6	2.6413	2.14843E+6	
2.6414	2.14857E+6	2.6414	2.14857E+6	
2.6415	2.15652E+6	2.6415	2.15652E+6	
2.6416	2.15432E+6	2.6416	2.15432E+6	
2.6417	2.15209E+6	2.6417	2.15209E+6	
2.6418	2.15369E+6	2.6418	2.15369E+6	
2.6419	2.15094E+6	2.6419	2.15094E+6	
2.642	2.14979E+6	2.642	2.14979E+6	
2.6421	2.14094E+6	2.6421	2.14094E+6	
2.6422	2.13476E+6	2.6422	2.13476E+6	
2.6423	2.12816E+6	2.6423	2.12816E+6	
2.6424	2.11693E+6	2.6424	2.11693E+6	
2.6425	2.11006E+6	2.6425	2.11006E+6	
2.6426	2.10341E+6	2.6426	2.10341E+6	
2.6427	2.10806E+6	2.6427	2.10806E+6	
2.6428	2.11147E+6	2.6428	2.11147E+6	
2.6429	2.11985E+6	2.6429	2.11985E+6	
2.643	2.12711E+6	2.643	2.12711E+6	
2.6431	2.13992E+6	2.6431	2.13992E+6	
2.6432	2.1392E+6	2.6432	2.1392E+6	
2.6433	2.14646E+6	2.6433	2.14646E+6	
2.6434	2.1467E+6	2.6434	2.1467E+6	
2.6435	2.14607E+6	2.6435	2.14607E+6	
2.6436	2.14994E+6	2.6436	2.14994E+6	
2.6437	2.15167E+6	2.6437	2.15167E+6	
2.6438	2.14988E+6	2.6438	2.14988E+6	
2.6439	2.14785E+6	2.6439	2.14785E+6	
2.644	2.14127E+6	2.644	2.14127E+6	
2.6441	2.14281E+6	2.6441	2.14281E+6	
2.6442	2.13977E+6	2.6442	2.13977E+6	
2.6443	2.1341E+6	2.6443	2.1341E+6	
2.6444	2.12647E+6	2.6444	2.12647E+6	
2.6445	2.11588E+6	2.6445	2.11588E+6	
2.6446	2.10874E+6	2.6446	2.10874E+6	
2.6447	2.09712E+6	2.6447	2.09712E+6	
2.6448	2.09382E+6	2.6448	2.09382E+6	
2.6449	2.09482E+6	2.6449	2.09482E+6	
2.645	2.10657E+6	2.645	2.10657E+6	
2.6451	2.11703E+6	2.6451	2.11703E+6	
2.6452	2.12747E+6	2.6452	2.12747E+6	
2.6453	2.13497E+6	2.6453	2.13497E+6	
2.6454	2.14011E+6	2.6454	2.14011E+6	
2.6455	2.14273E+6	2.6455	2.14273E+6	
2.6456	2.15183E+6	2.6456	2.15183E+6	
2.6457	2.14936E+6	2.6457	2.14936E+6	
2.6458	2.15577E+6	2.6458	2.15577E+6	
2.6459	2.1601E+6	2.6459	2.1601E+6	
2.646	2.16191E+6	2.646	2.16191E+6	
2.6461	2.15635E+6	2.6461	2.15635E+6	
2.6462	2.16379E+6	2.6462	2.16379E+6	
2.6463	2.15968E+6	2.6463	2.15968E+6	
2.6464	2.16989E+6	2.6464	2.16989E+6	
2.6465	2.17074E+6	2.6465	2.17074E+6	
2.6466	2.16372E+6	2.6466	2.16372E+6	
2.6467	2.16781E+6	2.6467	2.16781E+6	
2.6468	2.16661E+6	2.6468	2.16661E+6	
2.6469	2.16573E+6	2.6469	2.16573E+6	
2.647	2.16236E+6	2.647	2.16236E+6	
