Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0	904608	0	891598	
1E-5	907434	1E-5	892926	
2E-5	908042	2E-5	897949	
3E-5	905128	3E-5	901756	
4E-5	904294	4E-5	905102	
5E-5	903024	5E-5	907457	
6E-5	900194	6E-5	912395	
7E-5	899418	7E-5	915857	
8E-5	896169	8E-5	917810	
9E-5	894349	9E-5	918445	
0.0001	897765	0.0001	922289	
0.00011	895672	0.00011	925654	
0.00012	893350	0.00012	927040	
0.00013	893625	0.00013	927278	
0.00014	894316	0.00014	927664	
0.00015	892646	0.00015	930923	
0.00016	892135	0.00016	927503	
0.00017	890106	0.00017	929780	
0.00018	892960	0.00018	930032	
0.00019	893371	0.00019	930094	
0.0002	893526	0.0002	929136	
0.00021	894183	0.00021	932782	
0.00022	895521	0.00022	931957	
0.00023	893498	0.00023	934160	
0.00024	895893	0.00024	930286	
0.00025	895772	0.00025	932488	
0.00026	892988	0.00026	928842	
0.00027	894116	0.00027	933212	
0.00028	894267	0.00028	932128	
0.00029	895281	0.00029	932629	
0.0003	893377	0.0003	931032	
0.00031	894819	0.00031	933071	
0.00032	894665	0.00032	931387	
0.00033	893595	0.00033	933114	
0.00034	894396	0.00034	932176	
0.00035	893994	0.00035	933249	
0.00036	893691	0.00036	934565	
0.00037	895442	0.00037	934089	
0.00038	895979	0.00038	934329	
0.00039	894296	0.00039	934595	
0.0004	895205	0.0004	932848	
0.00041	894389	0.00041	934998	
0.00042	894609	0.00042	933322	
0.00043	894834	0.00043	934142	
0.00044	892191	0.00044	935588	
0.00045	890872	0.00045	934376	
0.00046	892662	0.00046	934809	
0.00047	893034	0.00047	933196	
0.00048	892883	0.00048	933443	
