Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0	1.89115E+6	0	1.86895E+6	
8.33333E-6	1.89763E+6	8.33333E-6	1.87563E+6	
1.66667E-5	1.89634E+6	1.66667E-5	1.88211E+6	
2.5E-5	1.89453E+6	2.5E-5	1.8926E+6	
3.33333E-5	1.89136E+6	3.33333E-5	1.89909E+6	
4.16667E-5	1.8878E+6	4.16667E-5	1.90801E+6	
5E-5	1.88583E+6	5E-5	1.90826E+6	
5.83333E-5	1.88484E+6	5.83333E-5	1.91761E+6	
6.66667E-5	1.88316E+6	6.66667E-5	1.92687E+6	
7.5E-5	1.87863E+6	7.5E-5	1.92795E+6	
8.33333E-5	1.87808E+6	8.33333E-5	1.93115E+6	
9.16667E-5	1.8765E+6	9.16667E-5	1.93705E+6	
0.0001	1.87375E+6	0.0001	1.93787E+6	
0.000108333	1.86983E+6	0.000108333	1.94219E+6	
0.000116667	1.87214E+6	0.000116667	1.94534E+6	
0.000125	1.8672E+6	0.000125	1.94987E+6	
0.000133333	1.87138E+6	0.000133333	1.9501E+6	
0.000141667	1.87097E+6	0.000141667	1.94957E+6	
0.00015	1.86697E+6	0.00015	1.951E+6	
0.000158333	1.86454E+6	0.000158333	1.95121E+6	
0.000166667	1.86733E+6	0.000166667	1.94898E+6	
0.000175	1.86408E+6	0.000175	1.95491E+6	
0.000183333	1.86614E+6	0.000183333	1.95444E+6	
0.000191667	1.86664E+6	0.000191667	1.95058E+6	
0.0002	1.86616E+6	0.0002	1.95458E+6	
0.000208333	1.86565E+6	0.000208333	1.95654E+6	
0.000216667	1.86677E+6	0.000216667	1.95125E+6	
0.000225	1.86652E+6	0.000225	1.95313E+6	
0.000233333	1.86754E+6	0.000233333	1.95353E+6	
0.000241667	1.86636E+6	0.000241667	1.95621E+6	
0.00025	1.86731E+6	0.00025	1.95321E+6	
0.000258333	1.86883E+6	0.000258333	1.95573E+6	
0.000266667	1.86714E+6	0.000266667	1.95365E+6	
0.000275	1.86911E+6	0.000275	1.95181E+6	
0.000283333	1.87081E+6	0.000283333	1.95567E+6	
0.000291667	1.86694E+6	0.000291667	1.95362E+6	
0.0003	1.86698E+6	0.0003	1.95196E+6	
0.000308333	1.86717E+6	0.000308333	1.9526E+6	
0.000316667	1.86628E+6	0.000316667	1.95465E+6	
0.000325	1.87027E+6	0.000325	1.95242E+6	
0.000333333	1.86851E+6	0.000333333	1.95445E+6	
0.000341667	1.86827E+6	0.000341667	1.95372E+6	
0.00035	1.87063E+6	0.00035	1.95391E+6	
0.000358333	1.86613E+6	0.000358333	1.95234E+6	
0.000366667	1.87097E+6	0.000366667	1.9527E+6	
0.000375	1.86916E+6	0.000375	1.9561E+6	
0.000383333	1.86794E+6	0.000383333	1.95281E+6	
0.000391667	1.86819E+6	0.000391667	1.9574E+6	
0.0004	1.86748E+6	0.0004	1.95687E+6	
0.000408333	1.86731E+6	0.000408333	1.95512E+6	
0.000416667	1.87009E+6	0.000416667	1.95406E+6	
0.000425	1.86299E+6	0.000425	1.96092E+6	
0.000433333	1.86797E+6	0.000433333	1.95478E+6	
0.000441667	1.86583E+6	0.000441667	1.95611E+6	
0.00045	1.86661E+6	0.00045	1.95499E+6	
0.000458333	1.86593E+6	0.000458333	1.95608E+6	
0.000466667	1.86941E+6	0.000466667	1.95251E+6	
0.000475	1.86824E+6	0.000475	1.95884E+6	
0.000483333	1.86721E+6	0.000483333	1.95739E+6	
