Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.639	2.40514E+6	2.639	2.40514E+6	
2.6391	2.40861E+6	2.6391	2.40861E+6	
2.6392	2.41279E+6	2.6392	2.41279E+6	
2.6393	2.40899E+6	2.6393	2.40899E+6	
2.6394	2.40811E+6	2.6394	2.40811E+6	
2.6395	2.40451E+6	2.6395	2.40451E+6	
2.6396	2.41042E+6	2.6396	2.41042E+6	
2.6397	2.40652E+6	2.6397	2.40652E+6	
2.6398	2.40151E+6	2.6398	2.40151E+6	
2.6399	2.40961E+6	2.6399	2.40961E+6	
2.64	2.40519E+6	2.64	2.40519E+6	
2.6401	2.40632E+6	2.6401	2.40632E+6	
2.6402	2.39719E+6	2.6402	2.39719E+6	
2.6403	2.39112E+6	2.6403	2.39112E+6	
2.6404	2.38348E+6	2.6404	2.38348E+6	
2.6405	2.37656E+6	2.6405	2.37656E+6	
2.6406	2.37339E+6	2.6406	2.37339E+6	
2.6407	2.38995E+6	2.6407	2.38995E+6	
2.6408	2.39521E+6	2.6408	2.39521E+6	
2.6409	2.40244E+6	2.6409	2.40244E+6	
2.641	2.40499E+6	2.641	2.40499E+6	
2.6411	2.40653E+6	2.6411	2.40653E+6	
2.6412	2.40999E+6	2.6412	2.40999E+6	
2.6413	2.40845E+6	2.6413	2.40845E+6	
2.6414	2.40999E+6	2.6414	2.40999E+6	
2.6415	2.40754E+6	2.6415	2.40754E+6	
2.6416	2.40793E+6	2.6416	2.40793E+6	
2.6417	2.41034E+6	2.6417	2.41034E+6	
2.6418	2.40635E+6	2.6418	2.40635E+6	
2.6419	2.40639E+6	2.6419	2.40639E+6	
2.642	2.40757E+6	2.642	2.40757E+6	
2.6421	2.40318E+6	2.6421	2.40318E+6	
2.6422	2.40637E+6	2.6422	2.40637E+6	
2.6423	2.40165E+6	2.6423	2.40165E+6	
2.6424	2.39981E+6	2.6424	2.39981E+6	
2.6425	2.38421E+6	2.6425	2.38421E+6	
2.6426	2.37332E+6	2.6426	2.37332E+6	
2.6427	2.36284E+6	2.6427	2.36284E+6	
2.6428	2.36977E+6	2.6428	2.36977E+6	
2.6429	2.38412E+6	2.6429	2.38412E+6	
2.643	2.39459E+6	2.643	2.39459E+6	
2.6431	2.39738E+6	2.6431	2.39738E+6	
2.6432	2.39806E+6	2.6432	2.39806E+6	
2.6433	2.3987E+6	2.6433	2.3987E+6	
2.6434	2.39701E+6	2.6434	2.39701E+6	
2.6435	2.40558E+6	2.6435	2.40558E+6	
2.6436	2.40366E+6	2.6436	2.40366E+6	
2.6437	2.40217E+6	2.6437	2.40217E+6	
2.6438	2.40922E+6	2.6438	2.40922E+6	
2.6439	2.40336E+6	2.6439	2.40336E+6	
2.644	2.40587E+6	2.644	2.40587E+6	
2.6441	2.40022E+6	2.6441	2.40022E+6	
2.6442	2.40482E+6	2.6442	2.40482E+6	
2.6443	2.40265E+6	2.6443	2.40265E+6	
2.6444	2.40368E+6	2.6444	2.40368E+6	
2.6445	2.39972E+6	2.6445	2.39972E+6	
2.6446	2.38548E+6	2.6446	2.38548E+6	
2.6447	2.37526E+6	2.6447	2.37526E+6	
2.6448	2.36753E+6	2.6448	2.36753E+6	
2.6449	2.36391E+6	2.6449	2.36391E+6	
2.645	2.37534E+6	2.645	2.37534E+6	
2.6451	2.38963E+6	2.6451	2.38963E+6	
2.6452	2.39089E+6	2.6452	2.39089E+6	
2.6453	2.40445E+6	2.6453	2.40445E+6	
2.6454	2.40321E+6	2.6454	2.40321E+6	
2.6455	2.41205E+6	2.6455	2.41205E+6	
2.6456	2.40707E+6	2.6456	2.40707E+6	
2.6457	2.41238E+6	2.6457	2.41238E+6	
2.6458	2.40887E+6	2.6458	2.40887E+6	
2.6459	2.40605E+6	2.6459	2.40605E+6	
2.646	2.40241E+6	2.646	2.40241E+6	
2.6461	2.4077E+6	2.6461	2.4077E+6	
2.6462	2.40829E+6	2.6462	2.40829E+6	
2.6463	2.40983E+6	2.6463	2.40983E+6	
2.6464	2.41074E+6	2.6464	2.41074E+6	
2.6465	2.41083E+6	2.6465	2.41083E+6	
2.6466	2.40811E+6	2.6466	2.40811E+6	
2.6467	2.40854E+6	2.6467	2.40854E+6	
2.6468	2.40925E+6	2.6468	2.40925E+6	
2.6469	2.41249E+6	2.6469	2.41249E+6	
2.647	2.41184E+6	2.647	2.41184E+6	
