Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
100	2.25974E+6	100	2.25974E+6	
250	2.258E+6	250	2.258E+6	
400	2.2544E+6	400	2.2544E+6	
550	2.25366E+6	550	2.25366E+6	
700	2.25336E+6	700	2.25336E+6	
850	2.25155E+6	850	2.25155E+6	
1000	2.25106E+6	1000	2.25106E+6	
1150	2.24999E+6	1150	2.24999E+6	
1300	2.25072E+6	1300	2.25072E+6	
1450	2.25003E+6	1450	2.25003E+6	
1600	2.25007E+6	1600	2.25007E+6	
1750	2.25019E+6	1750	2.25019E+6	
1900	2.25091E+6	1900	2.25091E+6	
2050	2.2494E+6	2050	2.2494E+6	
2200	2.25153E+6	2200	2.25153E+6	
2350	2.24961E+6	2350	2.24961E+6	
2500	2.24953E+6	2500	2.24953E+6	
